Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,503.0,509.9,501.15,502.8,507.5,508.1,505.49,924.40,482.4,"1,048,410","529,958,990.60","22,993"
23-Jun-2023,EQ,524.25,524.25,501.0,524.3,502.7,502.8,508.38,924.40,482.4,"2,035,407","1,034,753,172.20","51,312"
22-Jun-2023,EQ,536.05,539.25,523.0,532.15,524.85,524.3,531.79,924.40,482.4,"2,338,366","1,243,531,043.80","49,803"
21-Jun-2023,EQ,520.85,535.0,518.0,518.35,533.0,532.15,530.37,924.40,482.4,"2,514,068","1,333,386,989.40","52,239"
20-Jun-2023,EQ,520.5,522.0,514.55,520.15,519.0,518.35,518.15,924.40,482.4,"662,377","343,207,456.35","16,213"
19-Jun-2023,EQ,520.1,522.3,516.0,519.3,521.2,520.15,519.4,924.40,482.4,"454,607","236,122,329.10","13,416"
16-Jun-2023,EQ,521.5,525.9,516.5,520.4,518.85,519.3,521.79,924.40,482.4,"569,689","297,260,583.25","16,331"
15-Jun-2023,EQ,521.45,526.0,518.85,518.3,521.0,520.4,522.44,924.40,482.4,"1,093,620","571,347,372.95","26,405"
14-Jun-2023,EQ,514.5,522.9,511.65,512.6,518.2,518.3,518.77,924.40,482.4,"1,139,950","591,367,225.20","38,942"
13-Jun-2023,EQ,508.25,514.5,506.1,504.95,513.0,512.6,510.81,924.40,482.4,"1,001,565","511,605,323.50","25,156"
12-Jun-2023,EQ,506.7,507.65,501.2,506.5,504.85,504.95,504.51,924.40,482.4,"670,917","338,487,241.25","19,209"
09-Jun-2023,EQ,514.2,515.8,505.15,513.05,506.5,506.5,509.65,924.40,482.4,"727,436","370,737,254.35","22,398"
08-Jun-2023,EQ,523.4,524.4,512.0,521.55,513.6,513.05,517.15,924.40,482.4,"972,574","502,970,089.80","26,449"
07-Jun-2023,EQ,514.0,523.0,511.7,511.85,522.5,521.55,518.64,924.40,482.4,"938,593","486,788,527.45","21,653"
06-Jun-2023,EQ,516.6,523.0,510.7,516.6,512.45,511.85,515.38,924.40,482.4,"1,097,158","565,456,196.30","24,833"
05-Jun-2023,EQ,514.0,519.5,514.0,513.65,517.3,516.6,517.0,924.40,482.4,"887,687","458,934,019.05","19,615"
02-Jun-2023,EQ,519.0,520.55,512.35,514.6,513.5,513.65,514.99,924.40,482.4,"600,008","308,995,518.75","17,266"
01-Jun-2023,EQ,513.2,519.8,511.95,512.3,515.55,514.6,516.08,924.40,482.4,"957,532","494,164,334.05","24,635"
31-May-2023,EQ,512.75,517.6,509.0,512.8,513.95,512.3,512.72,924.40,482.4,"754,821","387,010,497.95","17,824"
30-May-2023,EQ,514.6,516.6,509.1,514.6,513.05,512.8,512.3,924.40,482.4,"443,308","227,105,998.70","14,221"
29-May-2023,EQ,512.0,516.9,510.25,511.2,515.0,514.6,513.49,924.40,482.4,"804,560","413,134,622.00","18,584"
26-May-2023,EQ,507.45,512.0,505.2,506.1,511.0,511.2,508.76,924.40,482.4,"598,726","304,607,444.50","19,393"
25-May-2023,EQ,513.0,514.05,504.35,511.75,507.45,506.1,507.4,924.40,482.4,"616,554","312,840,303.60","15,922"
