Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"4,237.00","4,300.00","4,216.30","4,239.70","4,299.95","4,285.35","4,266.78","4,443.90","2,230.00","138,748","592,007,084.50","18,287"
23-Jun-2023,EQ,"4,279.90","4,303.80","4,216.55","4,270.50","4,235.70","4,239.70","4,255.68","4,443.90","2,120.00","204,714","871,197,871.65","24,130"
22-Jun-2023,EQ,"4,351.10","4,373.00","4,261.00","4,366.45","4,268.85","4,270.50","4,296.01","4,443.90","2,120.00","188,292","808,903,973.45","23,724"
21-Jun-2023,EQ,"4,393.95","4,443.90","4,323.55","4,376.00","4,366.00","4,366.45","4,385.52","4,443.90","2,120.00","304,147","1,333,841,653.15","49,129"
20-Jun-2023,EQ,"4,311.80","4,384.00","4,311.80","4,327.65","4,365.00","4,376.00","4,349.90","4,411.30","2,120.00","231,190","1,005,652,464.75","40,320"
19-Jun-2023,EQ,"4,369.00","4,411.30","4,311.75","4,336.90","4,323.00","4,327.65","4,351.65","4,411.30","2,120.00","177,825","773,831,325.80","28,277"
16-Jun-2023,EQ,"4,300.00","4,350.00","4,288.00","4,313.65","4,325.00","4,336.90","4,329.58","4,369.35","2,120.00","153,331","663,859,440.65","18,102"
15-Jun-2023,EQ,"4,340.00","4,348.25","4,280.00","4,349.85","4,294.10","4,313.65","4,309.40","4,369.35","2,120.00","144,416","622,346,720.10","19,504"
14-Jun-2023,EQ,"4,327.00","4,369.35","4,288.55","4,319.80","4,351.00","4,349.85","4,338.10","4,369.35","2,120.00","282,696","1,226,363,475.10","33,715"
13-Jun-2023,EQ,"4,155.65","4,329.85","4,140.80","4,151.45","4,327.00","4,319.80","4,268.60","4,329.85","2,120.00","484,212","2,066,906,686.05","51,511"
12-Jun-2023,EQ,"4,157.45","4,173.70","4,097.15","4,151.20","4,155.00","4,151.45","4,135.35","4,299.00","2,120.00","197,995","818,778,364.60","31,741"
09-Jun-2023,EQ,"4,137.90","4,164.10","4,107.00","4,112.30","4,136.30","4,151.20","4,142.12","4,299.00","2,120.00","140,674","582,688,264.80","20,068"
08-Jun-2023,EQ,"4,170.00","4,171.95","4,085.00","4,151.10","4,105.00","4,112.30","4,113.20","4,299.00","2,120.00","171,143","703,945,311.25","25,368"
07-Jun-2023,EQ,"4,068.60","4,162.00","4,058.90","4,057.65","4,158.45","4,151.10","4,117.92","4,299.00","2,120.00","241,488","994,427,751.35","25,414"
06-Jun-2023,EQ,"4,045.00","4,091.95","4,032.95","4,033.00","4,050.00","4,057.65","4,063.20","4,299.00","2,120.00","240,261","976,228,327.60","25,550"
05-Jun-2023,EQ,"4,035.00","4,069.00","3,978.00","4,021.55","4,039.00","4,033.00","4,012.31","4,299.00","2,120.00","316,713","1,270,751,087.85","40,251"
02-Jun-2023,EQ,"3,977.00","4,028.20","3,938.50","3,944.65","4,024.90","4,021.55","3,995.28","4,299.00","2,120.00","397,566","1,588,388,808.75","46,762"
01-Jun-2023,EQ,"4,131.55","4,140.00","3,936.80","4,125.90","3,944.90","3,944.65","4,000.27","4,299.00","2,120.00","421,490","1,686,074,585.15","49,443"
31-May-2023,EQ,"4,012.75","4,299.00","3,989.55","4,029.60","4,294.90","4,125.90","4,111.14","4,299.00","2,120.00","1,169,176","4,806,643,833.95","56,936"
30-May-2023,EQ,"4,028.00","4,059.95","4,008.15","4,031.15","4,022.50","4,029.60","4,031.86","4,059.95","2,120.00","179,306","722,937,095.35","22,116"
29-May-2023,EQ,"4,025.95","4,058.10","4,012.30","4,004.75","4,032.00","4,031.15","4,033.53","4,058.10","2,120.00","277,673","1,120,002,921.80","26,639"
26-May-2023,EQ,"3,955.00","4,012.30","3,950.00","3,941.95","4,011.10","4,004.75","3,993.54","4,012.30","2,120.00","327,697","1,308,672,472.90","32,861"
25-May-2023,EQ,"3,885.00","3,957.00","3,881.95","3,891.65","3,940.00","3,941.95","3,923.96","3,967.95","2,120.00","339,853","1,333,570,277.90","30,027"
24-May-2023,EQ,"3,912.00","3,954.65","3,883.05","3,912.75","3,885.00","3,891.65","3,910.43","3,967.95","2,120.00","205,631","804,106,426.20","21,157"
23-May-2023,EQ,"3,894.95","3,967.95","3,872.30","3,893.20","3,905.00","3,912.75","3,919.70","3,967.95","2,120.00","279,818","1,096,802,792.95","31,517"
22-May-2023,EQ,"3,870.00","3,927.85","3,809.50","3,894.75","3,890.10","3,893.20","3,853.71","3,956.00","2,120.00","275,112","1,060,200,744.60","46,875"
19-May-2023,EQ,"3,890.10","3,925.00","3,845.60","3,897.50","3,891.90","3,894.75","3,893.24","3,956.00","2,120.00","154,467","601,377,667.45","17,913"
18-May-2023,EQ,"3,920.50","3,935.00","3,890.55","3,918.90","3,895.00","3,897.50","3,915.98","3,956.00","2,120.00","141,795","555,265,876.20","33,329"
17-May-2023,EQ,"3,904.50","3,946.05","3,877.00","3,910.50","3,918.95","3,918.90","3,913.41","3,956.00","2,120.00","187,846","735,118,973.20","27,544"
16-May-2023,EQ,"3,851.00","3,933.75","3,845.60","3,855.45","3,904.50","3,910.50","3,908.16","3,956.00","2,120.00","268,910","1,050,944,312.75","27,421"
15-May-2023,EQ,"3,935.00","3,939.00","3,845.00","3,942.55","3,851.00","3,855.45","3,879.74","3,956.00","2,120.00","227,276","881,772,477.90","33,499"
12-May-2023,EQ,"3,851.15","3,956.00","3,850.00","3,860.45","3,940.00","3,942.55","3,922.78","3,956.00","2,077.40","404,269","1,585,858,855.55","35,579"
11-May-2023,EQ,"3,815.00","3,870.15","3,805.10","3,815.45","3,861.95","3,860.45","3,845.62","3,870.15","2,077.40","221,052","850,081,211.90","26,548"
10-May-2023,EQ,"3,809.40","3,839.50","3,791.00","3,807.05","3,814.75","3,815.45","3,814.96","3,839.50","2,077.40","253,030","965,300,038.50","28,726"
09-May-2023,EQ,"3,814.95","3,816.85","3,765.05","3,802.60","3,809.50","3,807.05","3,791.77","3,818.40","2,077.40","395,444","1,499,431,904.95","36,100"
08-May-2023,EQ,"3,728.45","3,818.40","3,720.00","3,718.85","3,815.00","3,802.60","3,770.49","3,818.40","2,077.40","321,297","1,211,448,271.75","32,497"
05-May-2023,EQ,"3,653.00","3,753.65","3,649.95","3,645.35","3,720.00","3,718.85","3,716.80","3,753.65","2,000.00","978,769","3,637,888,380.55","69,776"
04-May-2023,EQ,"3,484.00","3,662.75","3,455.00","3,453.60","3,654.30","3,645.35","3,604.22","3,662.75","2,000.00","1,282,221","4,621,404,954.30","78,852"
03-May-2023,EQ,"3,443.00","3,480.00","3,407.15","3,442.15","3,455.00","3,453.60","3,450.65","3,480.00","2,000.00","359,375","1,240,076,226.85","21,701"
02-May-2023,EQ,"3,420.00","3,464.25","3,390.40","3,417.95","3,443.80","3,442.15","3,431.31","3,467.95","2,000.00","331,768","1,138,400,147.05","45,125"
28-Apr-2023,EQ,"3,409.00","3,439.25","3,386.00","3,411.60","3,411.70","3,417.95","3,411.72","3,467.95","2,000.00","251,132","856,791,150.15","31,981"
27-Apr-2023,EQ,"3,405.00","3,421.90","3,376.05","3,400.15","3,402.00","3,411.60","3,397.72","3,467.95","2,000.00","327,674","1,113,345,534.80","19,663"
26-Apr-2023,EQ,"3,345.00","3,407.00","3,330.00","3,336.10","3,396.95","3,400.15","3,378.94","3,467.95","2,000.00","361,730","1,222,264,327.45","35,865"
25-Apr-2023,EQ,"3,228.00","3,355.00","3,210.05","3,217.40","3,341.95","3,336.10","3,304.90","3,467.95","2,000.00","690,245","2,281,191,477.50","48,653"
24-Apr-2023,EQ,"3,164.70","3,232.00","3,160.65","3,153.30","3,223.10","3,217.40","3,211.51","3,467.95","2,000.00","314,556","1,010,198,947.45","42,345"
21-Apr-2023,EQ,"3,198.00","3,212.55","3,141.15","3,184.30","3,159.85","3,153.30","3,159.00","3,467.95","2,000.00","267,054","843,624,307.05","32,040"
20-Apr-2023,EQ,"3,212.00","3,231.75","3,178.00","3,201.05","3,190.25","3,184.30","3,199.12","3,467.95","2,000.00","276,392","884,212,138.05","21,662"
19-Apr-2023,EQ,"3,213.00","3,243.00","3,186.05","3,207.70","3,199.90","3,201.05","3,221.72","3,467.95","2,000.00","266,982","860,142,298.85","33,749"
18-Apr-2023,EQ,"3,240.00","3,259.85","3,202.90","3,229.00","3,209.00","3,207.70","3,222.16","3,467.95","2,000.00","277,893","895,416,590.85","23,712"
17-Apr-2023,EQ,"3,250.00","3,270.00","3,213.00","3,230.00","3,231.00","3,229.00","3,236.02","3,467.95","2,000.00","286,059","925,693,728.65","27,964"
13-Apr-2023,EQ,"3,216.80","3,256.65","3,173.00","3,203.55","3,223.20","3,230.00","3,213.21","3,467.95","2,000.00","402,975","1,294,843,295.45","35,138"
12-Apr-2023,EQ,"3,293.90","3,301.30","3,196.55","3,277.45","3,200.00","3,203.55","3,221.77","3,467.95","2,000.00","498,526","1,606,136,792.00","29,229"
11-Apr-2023,EQ,"3,383.00","3,383.00","3,267.10","3,397.65","3,280.00","3,277.45","3,305.30","3,467.95","2,000.00","493,329","1,630,601,117.60","33,103"
10-Apr-2023,EQ,"3,419.90","3,419.90","3,369.70","3,397.10","3,400.00","3,397.65","3,391.88","3,467.95","2,000.00","193,423","656,068,125.10","16,653"
06-Apr-2023,EQ,"3,380.05","3,467.95","3,366.00","3,374.15","3,397.00","3,397.10","3,416.11","3,467.95","2,000.00","733,361","2,505,238,485.75","55,478"
