Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"22,600.00","22,933.95","22,598.80","22,659.30","22,920.90","22,841.15","22,742.61","23,300.00","17,325.00","9,642","219,284,220.75","4,926"
23-Jun-2023,EQ,"22,670.00","22,719.95","22,470.05","22,554.85","22,550.10","22,659.30","22,572.06","23,300.00","17,325.00","8,049","181,682,474.05","3,982"
22-Jun-2023,EQ,"22,612.00","22,762.95","22,444.00","22,678.90","22,549.95","22,554.85","22,518.30","23,300.00","17,325.00","10,211","229,934,320.40","2,616"
21-Jun-2023,EQ,"23,090.00","23,090.00","22,601.00","22,996.90","22,653.40","22,678.90","22,752.47","23,300.00","17,325.00","8,024","182,565,802.95","3,111"
20-Jun-2023,EQ,"23,093.50","23,189.85","22,713.10","23,093.50","23,020.00","22,996.90","22,981.21","23,300.00","17,325.00","12,863","295,607,252.00","4,378"
19-Jun-2023,EQ,"22,712.00","23,300.00","22,706.30","22,711.50","23,133.00","23,093.50","23,127.93","23,300.00","17,325.00","20,737","479,603,922.80","9,347"
16-Jun-2023,EQ,"22,432.55","22,750.00","22,420.00","22,432.55","22,730.00","22,711.50","22,638.86","23,140.00","17,325.00","16,868","381,872,318.75","6,693"
15-Jun-2023,EQ,"22,160.00","22,495.00","22,071.40","22,038.70","22,466.00","22,432.55","22,350.92","23,140.00","17,325.00","12,198","272,636,545.75","4,195"
14-Jun-2023,EQ,"22,333.00","22,340.65","21,919.55","22,155.70","22,109.30","22,038.70","22,117.58","23,140.00","17,325.00","7,374","163,095,010.50","2,507"
13-Jun-2023,EQ,"22,000.00","22,247.95","21,940.05","21,960.40","22,178.20","22,155.70","22,150.29","23,140.00","17,325.00","10,928","242,058,345.70","5,720"
12-Jun-2023,EQ,"21,791.15","22,000.00","21,680.10","21,791.15","21,999.00","21,960.40","21,895.57","23,140.00","17,325.00","7,816","171,135,802.45","3,102"
09-Jun-2023,EQ,"21,700.00","21,870.00","21,450.10","21,645.25","21,746.75","21,791.15","21,687.51","23,140.00","17,325.00","11,353","246,218,319.55","3,463"
08-Jun-2023,EQ,"21,940.00","21,940.00","21,600.00","21,865.80","21,618.15","21,645.25","21,742.14","23,140.00","17,325.00","4,828","104,971,036.25","2,218"
07-Jun-2023,EQ,"21,900.00","21,989.95","21,800.25","21,823.05","21,910.50","21,865.80","21,875.20","23,140.00","17,325.00","7,574","165,682,782.65","3,034"
06-Jun-2023,EQ,"21,800.00","21,900.00","21,591.05","21,832.15","21,844.00","21,823.05","21,746.34","23,140.00","17,325.00","6,250","135,914,638.65","2,412"
05-Jun-2023,EQ,"21,950.00","21,999.95","21,720.45","21,927.25","21,841.00","21,832.15","21,863.99","23,140.00","17,325.00","3,841","83,979,568.70","1,674"
02-Jun-2023,EQ,"21,602.00","21,995.95","21,503.00","21,602.65","21,888.00","21,927.25","21,748.44","23,140.00","17,325.00","10,784","234,535,148.70","4,785"
01-Jun-2023,EQ,"21,857.70","21,889.70","21,550.00","21,737.90","21,550.00","21,602.65","21,752.63","23,140.00","17,325.00","10,678","232,274,579.55","3,646"
31-May-2023,EQ,"22,025.00","22,119.95","21,696.20","22,054.60","21,729.00","21,737.90","21,832.65","23,140.00","17,325.00","6,644","145,056,140.20","2,317"
