Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,175.95,182.0,174.35,175.0,181.55,181.25,178.09,183.6,88.0,"6,215,223","1,106,862,750.05","42,944"
23-Jun-2023,EQ,172.0,175.9,168.0,171.65,175.45,175.0,172.31,183.6,85.6,"5,225,285","900,355,982.15","36,113"
22-Jun-2023,EQ,180.0,180.5,171.0,180.1,171.5,171.65,174.15,183.6,85.6,"4,713,486","820,841,688.85","35,697"
21-Jun-2023,EQ,181.0,183.6,179.1,179.6,179.8,180.1,181.3,183.6,85.6,"3,547,753","643,205,860.65","32,065"
20-Jun-2023,EQ,178.95,180.0,176.8,179.45,179.3,179.6,178.72,182.0,85.6,"2,073,207","370,517,155.35","16,789"
19-Jun-2023,EQ,178.95,181.25,178.1,178.0,179.4,179.45,179.82,182.0,85.6,"4,680,334","841,626,826.30","25,205"
16-Jun-2023,EQ,174.6,178.8,174.6,174.2,177.65,178.0,177.62,182.0,85.6,"3,138,998","557,536,331.65","39,505"
15-Jun-2023,EQ,175.5,176.1,172.75,175.55,174.3,174.2,174.45,182.0,85.6,"2,896,833","505,342,833.75","48,329"
14-Jun-2023,EQ,178.7,178.7,174.3,177.65,175.3,175.55,175.89,182.0,85.6,"3,070,446","540,049,646.00","49,414"
13-Jun-2023,EQ,177.95,182.0,176.35,177.35,177.35,177.65,179.28,182.0,85.6,"7,703,658","1,381,130,577.60","65,597"
12-Jun-2023,EQ,175.05,178.0,173.15,173.95,177.55,177.35,176.28,178.0,85.6,"3,884,631","684,774,156.55","40,075"
09-Jun-2023,EQ,172.05,175.25,171.5,171.95,173.95,173.95,173.97,176.6,85.6,"2,852,670","496,276,293.95","29,083"
08-Jun-2023,EQ,173.95,174.0,170.2,173.45,171.85,171.95,172.25,176.6,85.6,"1,720,511","296,362,426.00","16,810"
07-Jun-2023,EQ,172.35,173.9,171.0,171.55,173.1,173.45,172.77,176.6,85.6,"3,030,378","523,556,693.90","18,582"
06-Jun-2023,EQ,168.65,172.3,168.3,168.5,171.05,171.55,170.5,176.6,85.6,"2,172,894","370,477,193.20","16,708"
05-Jun-2023,EQ,173.6,173.95,167.35,172.55,168.75,168.5,169.41,176.6,85.6,"4,106,204","695,622,199.95","25,240"
02-Jun-2023,EQ,174.25,176.6,172.05,171.85,172.65,172.55,173.95,176.6,85.6,"6,648,877","1,156,549,337.90","35,190"
01-Jun-2023,EQ,170.3,172.5,170.3,170.3,171.5,171.85,171.6,175.3,85.6,"2,858,463","490,507,056.35","16,955"
31-May-2023,EQ,171.35,172.3,169.05,171.1,170.35,170.3,170.25,175.3,85.6,"4,753,246","809,231,073.00","14,594"
30-May-2023,EQ,166.0,171.65,166.0,165.65,171.35,171.1,168.97,175.3,85.6,"5,661,479","956,629,062.95","25,024"
29-May-2023,EQ,166.45,168.0,164.4,165.25,165.7,165.65,166.09,175.3,85.6,"1,891,433","314,144,465.15","11,627"
26-May-2023,EQ,165.0,167.4,164.2,164.9,164.65,165.25,165.43,175.3,85.6,"1,338,330","221,401,754.45","9,434"
25-May-2023,EQ,165.0,165.7,162.1,164.75,165.5,164.9,163.52,175.3,85.6,"1,683,122","275,216,447.00","14,509"
24-May-2023,EQ,166.4,166.7,164.05,166.75,164.5,164.75,165.43,175.3,85.6,"1,079,136","178,525,853.90","12,308"
23-May-2023,EQ,165.7,167.3,165.45,166.2,166.7,166.75,166.73,175.3,85.6,"2,839,335","473,398,720.95","13,465"
22-May-2023,EQ,164.0,166.6,162.3,163.9,166.0,166.2,164.68,175.3,85.6,"2,073,225","341,412,941.75","15,099"
19-May-2023,EQ,165.7,165.7,157.45,164.8,163.85,163.9,160.76,175.3,85.6,"7,812,419","1,255,943,414.00","40,134"
18-May-2023,EQ,165.5,167.75,164.35,164.55,164.75,164.8,166.07,175.3,85.6,"2,580,037","428,473,601.35","15,342"
17-May-2023,EQ,165.25,165.85,162.25,165.05,164.5,164.55,164.1,175.3,85.6,"2,077,678","340,941,614.40","13,191"
16-May-2023,EQ,166.45,170.3,164.6,165.7,165.3,165.05,167.55,175.3,85.6,"4,447,014","745,098,406.60","22,466"
15-May-2023,EQ,164.3,166.7,160.55,163.25,166.15,165.7,164.83,175.3,85.6,"3,903,109","643,336,699.70","27,267"
12-May-2023,EQ,165.8,167.1,162.8,163.95,163.35,163.25,164.47,175.3,85.6,"5,905,941","971,338,111.70","30,215"
11-May-2023,EQ,172.4,173.3,162.95,170.9,164.0,163.95,167.99,175.3,85.6,"7,907,257","1,328,350,993.00","46,742"
10-May-2023,EQ,171.0,171.55,166.2,170.9,170.35,170.9,169.23,175.3,85.6,"2,740,053","463,709,672.10","16,809"
09-May-2023,EQ,174.9,175.1,169.45,174.3,170.85,170.9,172.36,175.3,85.6,"3,081,984","531,202,247.75","18,739"
08-May-2023,EQ,171.0,175.3,171.0,170.65,174.2,174.3,173.92,175.3,85.6,"5,200,785","904,517,433.80","30,025"
05-May-2023,EQ,173.25,174.15,170.25,173.35,170.9,170.65,172.23,174.15,85.6,"2,663,617","458,756,289.05","24,530"
04-May-2023,EQ,169.25,173.9,169.0,169.3,173.0,173.35,172.13,173.9,85.6,"4,709,083","810,574,268.05","27,022"
03-May-2023,EQ,168.0,170.35,166.55,167.95,169.0,169.3,169.04,170.4,85.6,"2,860,885","483,604,874.00","20,473"
02-May-2023,EQ,167.95,170.4,167.4,167.2,168.45,167.95,168.92,170.4,85.6,"3,831,072","647,157,599.95","22,914"
28-Apr-2023,EQ,162.0,168.2,162.0,161.85,167.2,167.2,166.3,168.2,85.6,"6,152,158","1,023,098,099.90","31,223"
27-Apr-2023,EQ,161.25,162.85,160.8,161.9,161.9,161.85,161.61,167.45,85.6,"2,421,277","391,292,754.40","9,377"
26-Apr-2023,EQ,161.0,162.65,159.65,160.55,161.8,161.9,161.43,167.45,85.6,"2,023,581","326,672,729.35","11,933"
25-Apr-2023,EQ,161.2,163.35,160.1,160.15,160.6,160.55,161.49,167.45,85.6,"2,904,356","469,037,231.90","20,366"
24-Apr-2023,EQ,158.45,160.85,157.1,158.05,160.45,160.15,159.15,167.45,85.6,"2,307,134","367,177,708.60","14,362"
21-Apr-2023,EQ,161.45,161.85,157.2,161.3,157.55,158.05,158.59,167.45,85.6,"2,573,247","408,084,834.65","18,437"
20-Apr-2023,EQ,161.2,164.0,160.2,161.3,160.95,161.3,162.01,167.45,85.6,"3,458,466","560,296,602.45","22,600"
19-Apr-2023,EQ,164.1,164.85,160.6,163.3,161.2,161.3,162.97,167.45,85.6,"4,321,909","704,324,269.90","24,104"
18-Apr-2023,EQ,165.9,167.45,161.45,164.65,163.25,163.3,164.62,167.45,85.6,"7,369,936","1,213,268,713.85","50,911"
17-Apr-2023,EQ,157.0,166.0,156.75,157.7,165.9,164.65,162.21,166.0,85.6,"7,182,068","1,165,004,679.75","47,288"
13-Apr-2023,EQ,156.35,158.0,155.35,156.35,157.65,157.7,157.07,162.45,85.6,"1,531,256","240,513,306.75","10,800"
12-Apr-2023,EQ,157.3,158.25,155.7,157.6,156.1,156.35,156.76,162.45,85.6,"1,367,641","214,387,595.60","11,067"
11-Apr-2023,EQ,160.5,161.3,157.05,159.75,157.3,157.6,158.92,162.45,85.6,"2,936,298","466,644,731.80","19,528"
10-Apr-2023,EQ,158.75,160.3,155.9,157.9,159.45,159.75,158.48,162.45,85.6,"3,508,046","555,937,816.75","24,022"
06-Apr-2023,EQ,155.7,159.3,153.8,155.25,157.9,157.9,157.35,162.45,85.6,"3,718,974","585,190,686.90","21,879"
05-Apr-2023,EQ,153.8,156.45,152.8,153.8,155.5,155.25,155.23,162.45,85.6,"3,010,848","467,369,077.15","19,714"
03-Apr-2023,EQ,154.0,154.9,152.0,153.55,153.9,153.8,153.56,162.45,85.6,"2,347,046","360,407,519.60","16,483"
31-Mar-2023,EQ,153.25,155.25,152.3,153.1,152.9,153.55,153.6,162.45,85.6,"3,103,897","476,772,532.80","19,934"
29-Mar-2023,EQ,147.5,154.0,146.25,146.8,153.35,153.1,151.35,162.45,85.6,"6,064,506","917,874,678.45","32,016"
28-Mar-2023,EQ,146.5,149.1,143.6,146.0,147.95,146.8,146.24,162.45,85.6,"8,032,279","1,174,657,217.25","37,170"
27-Mar-2023,EQ,143.45,147.6,139.25,144.05,147.0,146.0,144.51,162.45,85.6,"11,289,841","1,631,441,249.40","39,146"
24-Mar-2023,EQ,152.8,152.8,142.7,154.15,143.2,144.05,146.56,162.45,85.6,"7,296,594","1,069,360,907.75","41,815"
23-Mar-2023,EQ,156.75,156.75,153.65,156.15,153.7,154.15,155.16,162.45,85.6,"2,537,785","393,760,748.25","25,481"
22-Mar-2023,EQ,152.85,157.4,151.5,152.65,156.45,156.15,155.16,162.45,85.6,"5,797,383","899,508,169.10","35,907"
21-Mar-2023,EQ,151.35,153.15,150.0,149.85,152.65,152.65,151.68,162.45,85.6,"2,222,698","337,135,974.15","13,920"
20-Mar-2023,EQ,154.4,154.4,147.75,153.65,150.35,149.85,149.67,162.45,85.6,"2,311,943","346,033,462.90","16,424"
17-Mar-2023,EQ,150.0,154.8,149.3,148.8,154.45,153.65,152.79,162.45,85.6,"4,338,216","662,823,763.60","36,508"
16-Mar-2023,EQ,146.0,149.45,143.8,146.0,149.05,148.8,147.12,162.45,85.6,"2,258,790","332,316,093.95","15,330"
15-Mar-2023,EQ,146.4,149.6,145.15,144.95,146.55,146.0,147.78,162.45,85.6,"2,107,117","311,393,877.65","18,606"
14-Mar-2023,EQ,146.2,147.45,144.15,147.05,145.2,144.95,145.63,162.45,85.6,"2,438,666","355,150,362.25","15,628"
13-Mar-2023,EQ,153.0,154.95,146.65,153.65,147.2,147.05,151.71,162.45,85.6,"5,736,755","870,342,587.20","29,442"
10-Mar-2023,EQ,155.2,156.15,152.6,156.65,154.0,153.65,154.17,162.45,85.6,"2,713,413","418,335,028.00","19,311"
09-Mar-2023,EQ,158.9,159.35,156.1,158.1,156.5,156.65,157.92,162.45,85.6,"2,059,355","325,205,384.40","18,857"
08-Mar-2023,EQ,155.75,158.8,154.8,156.25,158.25,158.1,157.27,162.45,85.6,"3,092,218","486,300,281.05","20,215"
06-Mar-2023,EQ,155.45,156.9,153.8,154.55,156.45,156.25,155.76,162.45,85.6,"2,908,665","453,061,854.50","20,897"
03-Mar-2023,EQ,153.0,155.5,152.5,152.3,154.5,154.55,154.4,162.45,85.6,"4,031,630","622,477,535.05","23,676"
02-Mar-2023,EQ,152.5,154.0,150.65,152.0,152.25,152.3,152.17,162.45,85.6,"3,748,862","570,465,967.80","25,181"
01-Mar-2023,EQ,145.85,152.5,145.35,145.85,152.5,152.0,150.11,162.45,85.6,"5,527,276","829,709,827.10","36,702"
28-Feb-2023,EQ,141.55,146.85,141.35,141.75,145.95,145.85,145.01,162.45,85.6,"3,363,671","487,760,184.95","21,413"
27-Feb-2023,EQ,142.05,142.55,140.1,142.15,141.45,141.75,141.47,162.45,85.6,"1,704,804","241,172,994.55","14,263"
24-Feb-2023,EQ,140.0,143.4,140.0,139.6,142.05,142.15,142.35,162.45,85.6,"2,666,355","379,542,937.60","18,199"
23-Feb-2023,EQ,139.4,140.9,137.0,139.1,140.8,139.6,139.18,162.45,85.6,"2,327,798","323,984,501.80","13,995"
22-Feb-2023,EQ,142.5,143.15,138.65,143.05,139.45,139.1,140.3,162.45,85.6,"1,617,711","226,969,946.60","14,278"
21-Feb-2023,EQ,143.8,144.1,142.1,144.3,143.0,143.05,142.96,162.45,85.6,"1,494,848","213,706,074.25","10,306"
20-Feb-2023,EQ,144.6,145.9,143.55,143.95,143.9,144.3,144.69,162.45,85.6,"1,293,108","187,094,152.85","8,931"
17-Feb-2023,EQ,145.8,146.35,142.55,146.45,143.9,143.95,144.4,162.45,85.6,"1,665,141","240,441,809.70","12,462"
16-Feb-2023,EQ,145.35,147.9,144.6,145.3,145.85,146.45,146.5,162.45,85.6,"1,316,108","192,809,362.05","11,235"
15-Feb-2023,EQ,144.9,146.5,143.85,144.4,145.95,145.3,145.25,162.45,85.6,"1,207,511","175,387,444.90","11,146"
14-Feb-2023,EQ,144.0,144.9,141.85,143.95,144.35,144.4,143.57,162.45,85.6,"1,071,794","153,872,265.80","9,581"
13-Feb-2023,EQ,147.5,147.6,142.8,146.7,144.15,143.95,144.49,162.45,85.6,"1,450,507","209,581,217.55","12,790"
10-Feb-2023,EQ,146.0,148.25,146.0,147.1,146.8,146.7,147.0,162.45,85.6,"1,013,926","149,046,257.15","10,707"
09-Feb-2023,EQ,149.0,149.0,145.4,148.4,147.5,147.1,146.89,162.45,85.6,"1,788,578","262,732,567.90","13,791"
08-Feb-2023,EQ,145.45,149.3,143.5,145.6,148.5,148.4,146.94,162.45,85.6,"2,838,732","417,135,746.10","20,792"
07-Feb-2023,EQ,145.85,147.1,143.9,145.75,145.55,145.6,145.75,162.45,85.6,"2,211,603","322,344,904.35","18,802"
06-Feb-2023,EQ,141.9,146.65,140.85,141.75,145.8,145.75,144.85,162.45,85.6,"3,872,825","560,967,254.15","27,181"
03-Feb-2023,EQ,142.0,142.85,138.0,138.5,142.0,141.75,140.46,162.45,85.6,"5,437,878","763,800,759.30","32,788"
02-Feb-2023,EQ,135.75,140.5,134.9,136.45,138.5,138.5,138.61,162.45,85.6,"2,170,837","300,909,143.55","21,348"
01-Feb-2023,EQ,142.05,143.3,133.7,141.2,136.05,136.45,139.55,162.45,85.6,"2,347,994","327,667,695.60","21,004"
31-Jan-2023,EQ,136.15,141.7,135.7,136.1,141.05,141.2,139.49,162.45,85.6,"2,807,843","391,660,494.65","27,795"
30-Jan-2023,EQ,133.05,138.55,133.05,135.7,136.0,136.1,136.02,162.45,85.6,"2,422,416","329,486,120.05","18,552"
27-Jan-2023,EQ,137.5,140.05,134.0,139.65,136.1,135.7,136.37,162.45,85.6,"3,137,504","427,873,583.40","18,278"
25-Jan-2023,EQ,144.0,144.1,139.2,144.15,139.75,139.65,140.76,162.45,85.6,"3,179,143","447,493,744.35","16,572"
24-Jan-2023,EQ,146.35,146.35,143.25,145.75,144.5,144.15,144.86,162.45,85.6,"2,069,101","299,723,690.15","9,867"
23-Jan-2023,EQ,146.2,147.2,144.85,145.6,145.4,145.75,145.92,162.45,85.6,"1,432,828","209,084,842.10","8,231"
20-Jan-2023,EQ,147.6,148.7,145.1,147.7,145.2,145.6,146.69,162.45,85.6,"1,501,294","220,225,613.40","11,202"
19-Jan-2023,EQ,147.1,148.4,146.5,148.15,147.4,147.7,147.41,162.45,85.6,"899,379","132,576,321.75","9,064"
18-Jan-2023,EQ,147.0,148.55,146.2,146.95,148.05,148.15,147.62,162.45,85.6,"1,342,945","198,250,217.45","10,888"
17-Jan-2023,EQ,147.5,147.8,144.5,147.65,146.8,146.95,146.33,162.45,85.6,"1,299,364","190,139,984.20","13,008"
16-Jan-2023,EQ,148.95,150.4,147.2,148.95,147.8,147.65,148.73,162.45,85.6,"1,666,841","247,911,855.90","11,996"
13-Jan-2023,EQ,146.3,149.6,146.0,146.3,148.7,148.95,147.82,162.45,85.6,"1,870,103","276,436,053.40","12,592"
12-Jan-2023,EQ,147.6,147.75,145.5,147.0,146.5,146.3,146.63,162.45,85.6,"1,636,532","239,971,097.55","12,022"
11-Jan-2023,EQ,144.25,147.75,142.7,143.4,147.0,147.0,145.87,162.45,85.6,"2,745,723","400,524,787.35","17,748"
10-Jan-2023,EQ,146.8,146.8,142.35,146.6,143.4,143.4,143.9,162.45,85.6,"1,530,310","220,207,958.20","13,407"
09-Jan-2023,EQ,146.7,147.2,145.15,145.3,146.55,146.6,146.17,162.45,85.6,"2,049,941","299,633,537.55","18,212"
06-Jan-2023,EQ,149.75,150.1,144.05,149.6,144.95,145.3,146.35,162.45,85.6,"2,479,526","362,884,086.55","17,935"
05-Jan-2023,EQ,148.95,150.0,146.95,148.25,149.6,149.6,148.64,162.45,85.6,"2,494,910","370,834,909.55","18,884"
04-Jan-2023,EQ,154.0,155.15,147.4,154.35,148.2,148.25,150.08,162.45,85.6,"3,973,852","596,397,475.45","25,232"
03-Jan-2023,EQ,156.25,157.8,152.75,155.4,154.05,154.35,155.39,162.45,85.6,"7,141,425","1,109,670,712.70","36,677"
02-Jan-2023,EQ,149.8,156.0,149.8,150.2,155.8,155.4,153.2,162.45,85.6,"3,828,055","586,471,898.20","23,869"
30-Dec-2022,EQ,151.3,151.9,149.2,150.15,149.8,150.2,150.44,162.45,85.6,"3,142,519","472,748,984.90","16,709"
29-Dec-2022,EQ,147.0,154.7,144.2,147.6,151.2,150.15,148.11,162.45,85.6,"5,479,157","811,517,828.95","49,499"
28-Dec-2022,EQ,148.0,149.4,146.6,148.05,147.05,147.6,147.94,162.45,85.6,"1,959,606","289,900,586.40","12,289"
27-Dec-2022,EQ,149.0,149.55,146.5,147.55,148.2,148.05,147.77,162.45,85.6,"1,972,878","291,527,189.45","15,101"
26-Dec-2022,EQ,142.95,148.8,141.45,143.35,148.2,147.55,145.83,162.45,85.6,"3,449,485","503,044,858.95","20,504"
23-Dec-2022,EQ,145.65,146.95,142.9,147.85,143.3,143.35,144.83,162.45,85.6,"4,835,266","700,294,237.50","26,965"
22-Dec-2022,EQ,149.5,150.9,145.75,148.6,147.55,147.85,147.59,162.45,85.6,"3,926,892","579,588,009.55","21,037"
21-Dec-2022,EQ,154.4,155.5,147.65,153.65,148.75,148.6,151.52,162.45,85.6,"4,973,655","753,596,470.75","27,049"
20-Dec-2022,EQ,154.55,155.35,150.7,154.55,153.25,153.65,152.61,162.45,85.6,"2,237,610","341,472,823.90","13,267"
19-Dec-2022,EQ,152.0,155.4,151.5,152.75,154.6,154.55,153.82,162.45,85.6,"2,527,734","388,826,105.50","19,729"
16-Dec-2022,EQ,152.95,154.9,149.5,153.65,152.2,152.75,152.33,162.45,85.6,"4,157,163","633,246,300.25","27,860"
15-Dec-2022,EQ,155.1,158.2,152.5,155.75,153.0,153.65,155.49,162.45,85.6,"2,872,366","446,625,571.45","20,597"
14-Dec-2022,EQ,157.1,157.55,155.3,156.4,155.5,155.75,156.35,162.45,85.6,"2,432,733","380,354,991.15","14,498"
13-Dec-2022,EQ,157.9,159.4,155.5,157.1,156.55,156.4,156.85,162.45,85.6,"4,793,844","751,900,682.10","25,494"
12-Dec-2022,EQ,153.5,157.65,153.3,156.0,156.6,157.1,155.83,162.45,85.6,"4,760,869","741,895,722.30","24,508"
09-Dec-2022,EQ,161.6,161.6,153.35,160.8,156.35,156.0,156.53,162.45,85.6,"7,830,852","1,225,787,902.85","38,626"
08-Dec-2022,EQ,159.55,162.45,158.65,159.55,160.8,160.8,160.97,162.45,85.6,"5,081,341","817,920,819.10","29,856"
07-Dec-2022,EQ,158.15,161.7,157.7,158.45,159.1,159.55,159.74,161.7,85.6,"7,365,362","1,176,517,378.05","37,720"
06-Dec-2022,EQ,158.5,161.25,156.55,158.65,158.6,158.45,158.58,161.25,85.6,"11,192,515","1,774,933,367.30","51,984"
05-Dec-2022,EQ,152.5,159.2,151.5,151.7,158.45,158.65,156.04,159.2,85.6,"18,326,577","2,859,590,561.00","89,159"
02-Dec-2022,EQ,145.25,153.3,145.0,145.7,151.35,151.7,150.51,153.3,85.6,"16,353,750","2,461,382,411.60","86,221"
01-Dec-2022,EQ,146.0,148.0,144.4,145.35,145.6,145.7,145.91,148.0,85.6,"5,916,057","863,185,692.15","35,880"
30-Nov-2022,EQ,144.45,146.65,143.55,144.1,145.35,145.35,145.16,147.55,85.6,"7,241,278","1,051,169,971.00","44,357"
29-Nov-2022,EQ,137.15,147.55,137.0,137.05,144.0,144.1,144.08,147.55,85.6,"28,477,714","4,103,015,828.80","125,835"
28-Nov-2022,EQ,136.4,138.3,135.0,135.3,136.95,137.05,136.84,139.2,85.6,"7,666,715","1,049,129,876.90","42,595"
