Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,203.95,209.1,200.0,203.95,208.5,208.3,204.8,359.5,184.4,"2,398,382","491,182,486.45","20,556"
23-Jun-2023,EQ,210.0,210.15,203.0,209.25,203.4,203.95,205.41,359.5,184.4,"2,687,605","552,068,767.75","23,667"
22-Jun-2023,EQ,212.55,216.85,208.1,212.2,209.45,209.25,212.73,359.5,184.4,"5,770,646","1,227,585,752.85","36,613"
21-Jun-2023,EQ,214.0,215.8,211.5,213.15,212.1,212.2,213.23,359.5,184.4,"2,537,456","541,073,998.35","20,693"
20-Jun-2023,EQ,214.35,214.5,212.1,213.4,213.0,213.15,213.2,359.5,184.4,"2,071,566","441,652,278.95","16,088"
19-Jun-2023,EQ,210.4,214.6,208.6,208.9,213.7,213.4,212.67,359.5,184.4,"4,374,611","930,346,415.15","29,597"
16-Jun-2023,EQ,212.0,213.45,208.45,211.6,208.95,208.9,210.0,359.5,184.4,"3,244,145","681,258,843.00","25,307"
15-Jun-2023,EQ,213.0,215.1,210.55,212.5,211.5,211.6,213.05,359.5,184.4,"3,628,276","772,997,572.60","26,225"
14-Jun-2023,EQ,213.05,215.75,210.8,210.35,213.0,212.5,213.49,359.5,184.4,"9,065,347","1,935,399,440.05","64,511"
13-Jun-2023,EQ,200.5,212.0,200.3,200.3,212.0,210.35,207.4,359.5,184.4,"6,192,911","1,284,400,195.15","39,825"
12-Jun-2023,EQ,201.0,201.0,197.4,199.25,201.0,200.3,199.55,359.5,184.4,"1,328,819","265,163,146.60","12,287"
09-Jun-2023,EQ,202.3,202.4,198.6,201.85,199.0,199.25,200.4,359.5,184.4,"1,432,537","287,084,207.80","14,536"
08-Jun-2023,EQ,206.35,207.7,201.4,206.9,201.5,201.85,203.89,359.5,184.4,"1,848,324","376,851,011.75","18,528"
07-Jun-2023,EQ,208.35,208.7,206.0,207.05,206.6,206.9,207.32,359.5,184.4,"1,280,326","265,441,074.10","11,085"
06-Jun-2023,EQ,207.0,208.1,205.25,206.6,207.05,207.05,207.01,359.5,184.4,"2,216,207","458,774,794.55","19,881"
05-Jun-2023,EQ,204.0,207.35,202.6,202.6,207.0,206.6,205.41,359.5,184.4,"4,322,957","887,973,444.30","28,707"
02-Jun-2023,EQ,203.9,204.9,202.2,203.3,202.35,202.6,203.39,359.5,184.4,"1,676,562","340,991,377.80","15,458"
01-Jun-2023,EQ,202.1,204.5,201.65,201.45,203.25,203.3,203.12,359.5,184.4,"1,817,415","369,158,688.80","14,805"
31-May-2023,EQ,204.15,205.5,200.75,204.15,201.35,201.45,202.99,359.5,184.4,"3,134,620","636,306,029.35","36,915"
30-May-2023,EQ,197.1,204.5,196.25,197.1,204.2,204.15,201.79,359.5,184.4,"5,270,622","1,063,568,591.40","34,359"
29-May-2023,EQ,198.05,198.4,196.05,197.05,197.05,197.1,196.95,359.5,184.4,"1,539,443","303,186,418.55","18,270"
26-May-2023,EQ,199.5,200.85,195.85,199.05,197.15,197.05,198.02,359.5,184.4,"3,413,417","675,941,624.20","34,775"
25-May-2023,EQ,197.9,202.75,197.3,198.05,199.45,199.05,200.51,359.5,184.4,"4,346,013","871,436,100.45","28,411"
24-May-2023,EQ,194.85,201.8,193.55,194.5,197.85,198.05,199.18,359.5,184.4,"7,410,104","1,475,919,398.85","52,413"
23-May-2023,EQ,187.0,199.15,184.4,189.85,194.5,194.5,192.35,359.5,184.4,"16,369,914","3,148,674,335.20","103,924"
22-May-2023,EQ,189.0,192.85,187.5,190.85,188.85,189.85,189.63,359.5,187.5,"8,101,174","1,536,248,345.05","51,262"
19-May-2023,EQ,195.0,195.45,188.0,193.7,190.8,190.85,191.0,359.5,188.0,"5,061,214","966,705,119.30","35,361"
18-May-2023,EQ,196.0,197.5,192.0,195.05,193.4,193.7,194.28,359.5,192.0,"3,852,667","748,502,906.00","31,032"
17-May-2023,EQ,199.3,200.0,193.65,198.15,195.5,195.05,195.79,359.5,193.65,"5,013,365","981,547,311.25","40,293"
16-May-2023,EQ,204.0,205.6,197.1,203.1,198.5,198.15,200.92,359.5,195.0,"4,323,438","868,656,891.25","38,996"
15-May-2023,EQ,199.5,204.75,199.0,198.7,203.15,203.1,201.84,359.5,195.0,"4,639,557","936,436,078.35","43,372"
12-May-2023,EQ,200.4,202.6,198.05,199.45,199.2,198.7,199.93,359.5,195.0,"3,770,552","753,828,032.40","27,612"
11-May-2023,EQ,200.4,204.4,198.5,198.95,200.4,199.45,200.91,359.5,195.0,"5,625,707","1,130,243,261.55","35,513"
10-May-2023,EQ,205.95,206.85,195.0,204.55,199.9,198.95,200.37,359.5,195.0,"6,126,672","1,227,593,603.35","51,432"
09-May-2023,EQ,208.5,212.8,204.05,205.95,204.6,204.55,207.07,359.5,198.5,"8,343,851","1,727,743,021.45","72,979"
08-May-2023,EQ,198.5,220.5,198.5,214.2,206.95,205.95,208.45,359.5,198.5,"24,792,716","5,167,994,272.15","207,443"
05-May-2023,EQ,226.0,226.3,210.25,224.95,213.9,214.2,218.65,359.5,202.7,"2,857,826","624,856,236.25","28,205"
04-May-2023,EQ,225.3,226.35,223.5,224.75,224.65,224.95,224.86,359.5,202.7,"948,446","213,264,629.95","11,191"
03-May-2023,EQ,224.7,226.9,223.05,224.15,224.9,224.75,225.01,359.5,202.7,"1,739,590","391,416,607.30","19,594"
