Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,772.00","1,796.80","1,754.00","1,766.90","1,795.05","1,792.30","1,780.90","2,785.00","1,592.35","361,121","643,120,327.15","21,605"
23-Jun-2023,EQ,"1,830.00","1,830.55","1,760.70","1,831.75","1,774.95","1,766.90","1,787.65","2,785.00","1,592.35","1,080,901","1,932,273,953.20","59,383"
22-Jun-2023,EQ,"1,845.85","1,850.45","1,830.00","1,845.85","1,832.40","1,831.75","1,840.37","2,785.00","1,592.35","444,033","817,183,379.95","22,161"
21-Jun-2023,EQ,"1,845.00","1,852.00","1,830.75","1,838.20","1,845.00","1,845.85","1,844.12","2,785.00","1,592.35","421,375","777,067,506.50","19,858"
20-Jun-2023,EQ,"1,828.80","1,841.00","1,810.50","1,825.40","1,839.95","1,838.20","1,830.82","2,785.00","1,592.35","362,678","663,996,673.30","14,007"
19-Jun-2023,EQ,"1,865.00","1,865.35","1,811.05","1,855.45","1,823.05","1,825.40","1,831.61","2,785.00","1,592.35","411,272","753,288,608.55","24,911"
16-Jun-2023,EQ,"1,850.00","1,867.40","1,848.15","1,850.00","1,857.00","1,855.45","1,856.09","2,785.00","1,592.35","317,296","588,930,401.45","15,966"
15-Jun-2023,EQ,"1,859.00","1,869.50","1,845.10","1,854.85","1,847.50","1,850.00","1,859.81","2,785.00","1,592.35","557,113","1,036,126,168.00","29,877"
14-Jun-2023,EQ,"1,850.50","1,859.90","1,842.50","1,846.95","1,853.00","1,854.85","1,852.56","2,785.00","1,592.35","250,046","463,224,096.60","12,874"
13-Jun-2023,EQ,"1,845.00","1,859.50","1,835.80","1,838.55","1,843.90","1,846.95","1,850.19","2,785.00","1,592.35","375,850","695,393,953.70","20,617"
12-Jun-2023,EQ,"1,841.25","1,847.95","1,826.20","1,837.30","1,837.00","1,838.55","1,840.22","2,785.00","1,592.35","213,874","393,575,132.25","14,295"
09-Jun-2023,EQ,"1,841.00","1,846.00","1,825.00","1,833.55","1,833.05","1,837.30","1,838.67","2,785.00","1,592.35","395,254","726,740,341.15","15,286"
08-Jun-2023,EQ,"1,864.00","1,867.40","1,820.05","1,851.75","1,834.00","1,833.55","1,840.93","2,785.00","1,592.35","663,101","1,220,721,035.85","28,413"
07-Jun-2023,EQ,"1,862.00","1,870.00","1,839.00","1,856.30","1,855.10","1,851.75","1,850.13","2,785.00","1,592.35","494,896","915,620,889.25","22,684"
