Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,710.0,726.3,705.1,714.3,723.8,724.4,720.51,987.85,395.1,"5,696,079","4,104,098,490.75","85,987"
23-Jun-2023,EQ,741.0,741.0,703.0,745.6,712.5,714.3,717.24,987.85,395.1,"15,398,550","11,044,403,838.60","200,586"
22-Jun-2023,EQ,755.0,758.0,741.0,749.45,745.0,745.6,750.69,987.85,395.1,"10,061,086","7,552,716,027.40","131,474"
21-Jun-2023,EQ,739.9,753.25,733.3,737.8,752.0,749.45,741.01,987.85,395.1,"9,312,613","6,900,769,692.45","122,968"
20-Jun-2023,EQ,738.0,742.0,730.2,735.65,738.4,737.8,734.34,987.85,395.1,"6,753,358","4,959,251,295.35","102,342"
19-Jun-2023,EQ,749.9,749.9,731.0,747.4,736.0,735.65,738.34,987.85,395.1,"5,256,363","3,880,967,015.50","75,603"
16-Jun-2023,EQ,741.0,749.7,740.8,739.5,744.55,747.4,744.54,987.85,395.1,"6,800,269","5,063,082,262.65","77,204"
15-Jun-2023,EQ,737.3,748.7,737.0,739.35,737.05,739.5,742.55,987.85,395.1,"6,448,934","4,788,685,950.75","85,893"
14-Jun-2023,EQ,736.35,742.75,735.8,737.85,738.85,739.35,739.35,987.85,395.1,"3,900,945","2,884,158,036.15","63,517"
13-Jun-2023,EQ,741.0,742.4,735.05,742.1,736.3,737.85,738.92,987.85,395.1,"3,636,359","2,686,977,618.65","62,181"
12-Jun-2023,EQ,735.2,746.55,733.55,734.95,741.8,742.1,742.71,987.85,395.1,"4,571,836","3,395,551,908.05","60,465"
09-Jun-2023,EQ,738.0,742.0,733.0,736.4,734.0,734.95,737.13,987.85,395.1,"1,335,172","984,194,827.00","28,748"
08-Jun-2023,EQ,744.95,749.0,733.0,743.75,738.5,736.4,740.78,987.85,395.1,"2,141,709","1,586,528,352.70","43,163"
07-Jun-2023,EQ,750.0,751.0,741.95,745.4,743.45,743.75,746.07,987.85,395.1,"2,129,238","1,588,565,483.55","47,226"
06-Jun-2023,EQ,742.9,747.0,740.0,738.8,744.9,745.4,744.6,987.85,395.1,"5,492,469","4,089,692,296.55","66,991"
05-Jun-2023,EQ,738.0,744.0,735.0,736.6,737.7,738.8,740.54,987.85,395.1,"5,166,097","3,825,705,777.05","65,724"
02-Jun-2023,EQ,738.0,744.0,734.0,732.05,735.0,736.6,737.9,987.85,395.1,"5,554,473","4,098,642,831.35","80,412"
01-Jun-2023,EQ,730.5,744.95,729.0,738.85,733.0,732.05,736.11,987.85,395.1,"3,771,760","2,776,423,260.05","66,793"
31-May-2023,EQ,736.0,749.0,721.3,734.05,740.0,738.85,736.74,987.85,395.1,"13,649,365","10,056,031,034.90","153,368"
30-May-2023,EQ,740.0,742.35,727.65,737.5,734.0,734.05,734.41,987.85,395.1,"4,785,799","3,514,743,227.30","80,819"
29-May-2023,EQ,731.0,740.0,728.05,726.85,737.05,737.5,734.06,987.85,395.1,"4,302,323","3,158,183,780.55","77,787"
26-May-2023,EQ,729.1,730.35,720.6,724.5,726.0,726.85,725.99,987.85,395.1,"4,507,617","3,272,506,893.75","67,608"
25-May-2023,EQ,717.0,727.0,705.6,718.25,725.7,724.5,719.19,987.85,395.1,"7,458,008","5,363,721,347.65","111,008"
24-May-2023,EQ,739.0,739.0,708.75,734.05,717.8,718.25,723.11,987.85,395.1,"12,809,164","9,262,417,057.00","217,870"
23-May-2023,EQ,744.3,785.65,730.0,729.7,735.0,734.05,756.58,987.85,395.1,"39,497,528","29,883,221,401.30","569,760"
22-May-2023,EQ,698.9,753.4,693.15,688.1,732.2,729.7,732.52,987.85,395.1,"30,204,070","22,125,072,606.30","470,198"
19-May-2023,EQ,664.0,694.15,659.5,664.95,691.0,688.1,677.74,987.85,395.1,"6,340,270","4,297,049,568.20","105,193"
18-May-2023,EQ,689.7,689.7,661.3,684.6,664.55,664.95,672.36,987.85,395.1,"4,405,410","2,962,035,063.55","77,856"
17-May-2023,EQ,687.25,691.95,682.55,687.0,684.6,684.6,686.36,987.85,395.1,"2,295,396","1,575,462,995.20","43,317"
16-May-2023,EQ,694.05,698.8,685.3,694.05,687.5,687.0,692.58,987.85,395.1,"1,403,759","972,211,248.60","32,405"
15-May-2023,EQ,699.8,701.7,687.5,700.0,693.0,694.05,695.0,987.85,395.1,"2,616,737","1,818,627,630.60","54,830"
12-May-2023,EQ,712.0,712.0,695.05,708.8,699.9,700.0,701.11,987.85,395.1,"4,025,355","2,822,228,720.35","64,776"
11-May-2023,EQ,694.0,714.0,692.25,691.0,708.0,708.8,706.21,987.85,395.1,"5,979,387","4,222,702,381.95","125,175"
10-May-2023,EQ,692.0,692.4,685.55,690.5,690.5,691.0,689.52,987.85,395.1,"1,794,579","1,237,395,570.60","39,257"
09-May-2023,EQ,685.1,695.9,684.5,685.1,689.45,690.5,691.81,987.85,395.1,"4,029,312","2,787,523,887.75","64,519"
08-May-2023,EQ,684.7,690.65,678.6,683.9,685.9,685.1,684.86,987.85,395.1,"3,671,007","2,514,114,384.20","58,366"
05-May-2023,EQ,682.8,693.6,677.5,679.75,683.1,683.9,684.47,987.85,395.1,"5,193,692","3,554,950,230.95","65,110"
04-May-2023,EQ,670.0,682.0,667.7,669.65,680.15,679.75,674.08,987.85,395.1,"5,124,811","3,454,517,851.20","87,207"
03-May-2023,EQ,675.0,684.85,656.75,681.5,668.0,669.65,673.54,987.85,395.1,"5,645,727","3,802,602,342.35","82,651"
02-May-2023,EQ,683.8,685.9,672.6,681.3,681.0,681.5,679.76,987.85,395.1,"5,563,089","3,781,577,392.65","99,001"
