Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"3,347.00","3,415.00","3,335.80","3,349.95","3,392.05","3,401.50","3,390.96","3,625.00","2,855.00","131,596","446,237,160.05","11,056"
23-Jun-2023,EQ,"3,348.40","3,373.40","3,307.20","3,349.40","3,350.00","3,349.95","3,342.72","3,625.00","2,855.00","187,418","626,485,854.70","12,895"
22-Jun-2023,EQ,"3,400.00","3,404.00","3,330.05","3,389.90","3,350.00","3,349.40","3,359.53","3,625.00","2,855.00","256,036","860,161,726.50","15,141"
21-Jun-2023,EQ,"3,391.20","3,414.00","3,375.30","3,383.90","3,390.00","3,389.90","3,385.75","3,625.00","2,855.00","124,993","423,194,892.20","8,212"
20-Jun-2023,EQ,"3,430.00","3,455.90","3,375.00","3,402.60","3,386.00","3,383.90","3,393.56","3,625.00","2,855.00","194,971","661,646,316.15","14,378"
19-Jun-2023,EQ,"3,402.95","3,456.85","3,372.10","3,398.95","3,402.00","3,402.60","3,417.87","3,625.00","2,855.00","181,443","620,149,223.05","11,346"
16-Jun-2023,EQ,"3,402.50","3,445.95","3,391.25","3,394.40","3,395.90","3,398.95","3,414.82","3,625.00","2,855.00","76,056","259,717,289.45","9,253"
15-Jun-2023,EQ,"3,388.90","3,438.90","3,360.00","3,372.85","3,404.00","3,394.40","3,395.72","3,625.00","2,855.00","137,974","468,521,492.00","11,818"
14-Jun-2023,EQ,"3,393.00","3,420.00","3,363.00","3,389.45","3,376.20","3,372.85","3,378.78","3,625.00","2,855.00","123,537","417,404,876.80","9,785"
13-Jun-2023,EQ,"3,367.60","3,450.95","3,350.00","3,347.50","3,399.95","3,389.45","3,413.38","3,625.00","2,855.00","231,707","790,903,089.65","14,453"
12-Jun-2023,EQ,"3,417.10","3,419.85","3,337.00","3,414.50","3,357.00","3,347.50","3,366.69","3,625.00","2,855.00","156,889","528,197,093.55","15,562"
09-Jun-2023,EQ,"3,460.00","3,460.00","3,386.05","3,442.05","3,417.40","3,414.50","3,411.06","3,625.00","2,855.00","369,823","1,261,487,985.15","11,399"
08-Jun-2023,EQ,"3,401.80","3,458.65","3,401.80","3,407.60","3,444.00","3,442.05","3,437.31","3,625.00","2,855.00","81,435","279,917,183.25","9,091"
07-Jun-2023,EQ,"3,396.70","3,417.95","3,385.35","3,388.80","3,415.00","3,407.60","3,404.04","3,625.00","2,855.00","53,590","182,422,501.95","7,713"
06-Jun-2023,EQ,"3,409.90","3,409.90","3,370.05","3,395.70","3,390.00","3,388.80","3,386.77","3,625.00","2,855.00","110,764","375,132,166.95","12,839"
05-Jun-2023,EQ,"3,400.00","3,410.00","3,354.00","3,363.75","3,394.00","3,395.70","3,373.15","3,625.00","2,855.00","177,877","600,005,648.60","11,359"
02-Jun-2023,EQ,"3,380.35","3,397.10","3,341.10","3,380.35","3,379.00","3,363.75","3,361.28","3,625.00","2,855.00","63,221","212,503,611.65","9,931"
01-Jun-2023,EQ,"3,383.95","3,418.75","3,366.45","3,359.60","3,385.00","3,380.35","3,388.95","3,625.00","2,855.00","55,564","188,303,631.00","10,717"
31-May-2023,EQ,"3,368.00","3,396.60","3,345.05","3,358.70","3,368.00","3,359.60","3,371.45","3,625.00","2,855.00","92,711","312,570,555.60","8,695"
30-May-2023,EQ,"3,351.90","3,390.00","3,341.80","3,348.45","3,350.00","3,358.70","3,363.75","3,625.00","2,855.00","144,778","486,997,337.95","15,153"
29-May-2023,EQ,"3,349.90","3,380.00","3,327.65","3,345.85","3,357.95","3,348.45","3,357.71","3,625.00","2,855.00","77,549","260,386,725.90","16,236"
26-May-2023,EQ,"3,329.10","3,368.50","3,309.95","3,324.40","3,340.15","3,345.85","3,350.58","3,625.00","2,855.00","140,257","469,941,629.25","10,220"
25-May-2023,EQ,"3,310.10","3,360.00","3,282.40","3,310.10","3,340.30","3,324.40","3,304.47","3,625.00","2,855.00","226,650","748,957,128.45","11,724"
24-May-2023,EQ,"3,258.00","3,400.80","3,252.00","3,257.90","3,301.20","3,310.10","3,328.18","3,625.00","2,855.00","251,572","837,277,535.25","20,448"
23-May-2023,EQ,"3,260.00","3,349.90","3,186.30","3,252.25","3,267.40","3,257.90","3,249.81","3,625.00","2,855.00","373,559","1,213,994,476.20","31,302"
22-May-2023,EQ,"3,225.60","3,280.35","3,225.60","3,302.10","3,256.00","3,252.25","3,252.32","3,625.00","2,855.00","263,130","855,783,335.15","32,749"
19-May-2023,EQ,"3,325.00","3,389.00","3,275.00","3,326.30","3,291.00","3,302.10","3,316.70","3,625.00","2,828.00","580,221","1,924,416,103.05","40,242"
18-May-2023,EQ,"3,390.25","3,392.05","3,313.15","3,383.95","3,323.00","3,326.30","3,338.35","3,625.00","2,828.00","373,242","1,246,013,082.90","18,947"
17-May-2023,EQ,"3,413.65","3,429.80","3,365.05","3,413.65","3,402.00","3,383.95","3,384.30","3,625.00","2,828.00","129,323","437,667,432.45","15,376"
16-May-2023,EQ,"3,443.70","3,475.00","3,401.75","3,425.65","3,416.00","3,413.65","3,439.22","3,625.00","2,828.00","181,489","624,181,444.20","15,094"
15-May-2023,EQ,"3,420.00","3,434.95","3,376.85","3,408.80","3,427.00","3,425.65","3,403.65","3,625.00","2,828.00","184,251","627,126,328.60","16,080"
12-May-2023,EQ,"3,507.80","3,507.80","3,405.00","3,497.65","3,409.35","3,408.80","3,455.46","3,625.00","2,828.00","105,538","364,682,301.75","15,244"
11-May-2023,EQ,"3,604.70","3,604.70","3,485.00","3,585.85","3,499.95","3,497.65","3,530.21","3,625.00","2,828.00","99,457","351,103,813.55","11,103"
10-May-2023,EQ,"3,622.55","3,622.95","3,567.90","3,618.05","3,577.15","3,585.85","3,587.62","3,625.00","2,828.00","189,248","678,949,939.35","10,353"
09-May-2023,EQ,"3,531.80","3,625.00","3,515.50","3,513.30","3,613.55","3,618.05","3,587.07","3,625.00","2,828.00","590,802","2,119,247,534.80","47,325"
08-May-2023,EQ,"3,475.80","3,531.30","3,464.05","3,465.80","3,518.00","3,513.30","3,504.68","3,544.10","2,828.00","118,023","413,632,558.65","17,445"
05-May-2023,EQ,"3,484.10","3,499.95","3,452.60","3,480.25","3,473.95","3,465.80","3,472.89","3,544.10","2,828.00","46,430","161,246,353.15","9,017"
04-May-2023,EQ,"3,517.15","3,540.00","3,467.90","3,517.15","3,475.50","3,480.25","3,507.47","3,544.10","2,828.00","82,813","290,463,751.50","9,410"
03-May-2023,EQ,"3,500.00","3,539.95","3,495.20","3,518.45","3,517.60","3,517.15","3,520.58","3,544.10","2,828.00","148,903","524,224,990.80","12,248"
02-May-2023,EQ,"3,525.15","3,544.10","3,495.60","3,509.90","3,497.60","3,518.45","3,521.49","3,544.10","2,828.00","110,550","389,300,275.65","17,248"
28-Apr-2023,EQ,"3,445.00","3,520.00","3,442.80","3,435.50","3,520.00","3,509.90","3,486.40","3,520.00","2,828.00","241,766","842,892,474.80","23,424"
27-Apr-2023,EQ,"3,426.85","3,444.90","3,419.60","3,426.85","3,435.00","3,435.50","3,435.72","3,462.35","2,828.00","95,163","326,952,980.70","10,977"
26-Apr-2023,EQ,"3,415.00","3,438.00","3,400.80","3,421.45","3,425.00","3,426.85","3,422.48","3,462.35","2,828.00","48,166","164,847,217.15","8,433"
25-Apr-2023,EQ,"3,428.85","3,450.00","3,385.00","3,428.80","3,412.90","3,421.45","3,415.80","3,462.35","2,828.00","97,313","332,401,310.80","12,334"
24-Apr-2023,EQ,"3,409.00","3,445.00","3,404.00","3,409.00","3,423.00","3,428.80","3,425.87","3,462.35","2,828.00","264,849","907,338,317.75","19,797"
21-Apr-2023,EQ,"3,355.90","3,462.35","3,355.85","3,355.90","3,409.90","3,409.00","3,421.77","3,515.00","2,828.00","451,859","1,546,155,348.95","38,648"
20-Apr-2023,EQ,"3,340.70","3,398.95","3,340.00","3,341.70","3,360.00","3,355.90","3,364.97","3,515.00","2,828.00","259,756","874,071,227.30","12,734"
19-Apr-2023,EQ,"3,367.00","3,379.95","3,327.20","3,366.85","3,354.00","3,341.70","3,347.15","3,515.00","2,828.00","149,586","500,687,145.10","9,037"
18-Apr-2023,EQ,"3,345.55","3,400.00","3,334.75","3,332.35","3,365.00","3,366.85","3,375.83","3,515.00","2,828.00","342,322","1,155,620,391.05","24,913"
17-Apr-2023,EQ,"3,362.70","3,369.95","3,300.85","3,345.05","3,328.00","3,332.35","3,332.22","3,515.00","2,828.00","129,855","432,705,990.10","12,294"
13-Apr-2023,EQ,"3,357.35","3,420.00","3,337.55","3,340.60","3,343.95","3,345.05","3,374.26","3,531.95","2,828.00","237,891","802,707,042.45","17,495"
12-Apr-2023,EQ,"3,339.85","3,395.25","3,316.75","3,331.55","3,342.00","3,340.60","3,336.18","3,531.95","2,828.00","339,626","1,133,054,309.95","24,249"
11-Apr-2023,EQ,"3,370.00","3,428.55","3,320.45","3,372.55","3,325.10","3,331.55","3,369.61","3,531.95","2,828.00","174,521","588,067,598.85","15,748"
10-Apr-2023,EQ,"3,403.25","3,429.95","3,358.20","3,405.65","3,361.15","3,372.55","3,393.92","3,531.95","2,828.00","246,320","835,990,845.55","13,386"
06-Apr-2023,EQ,"3,384.25","3,430.00","3,384.25","3,408.80","3,400.00","3,405.65","3,409.67","3,587.40","2,828.00","121,832","415,406,954.85","12,978"
05-Apr-2023,EQ,"3,399.70","3,430.35","3,381.05","3,399.80","3,405.00","3,408.80","3,404.66","3,587.40","2,828.00","210,599","717,018,790.00","28,177"
03-Apr-2023,EQ,"3,410.00","3,410.00","3,358.50","3,396.10","3,382.30","3,399.80","3,394.70","3,587.40","2,828.00","220,590","748,837,768.75","19,159"
31-Mar-2023,EQ,"3,312.70","3,414.35","3,296.30","3,300.30","3,399.30","3,396.10","3,378.82","3,724.95","2,828.00","248,234","838,738,434.40","22,764"
29-Mar-2023,EQ,"3,240.00","3,311.00","3,230.15","3,240.80","3,300.15","3,300.30","3,283.87","3,724.95","2,828.00","71,738","235,578,105.25","9,484"
28-Mar-2023,EQ,"3,231.90","3,259.90","3,201.60","3,227.95","3,219.15","3,240.80","3,222.38","3,724.95","2,828.00","56,411","181,777,687.20","10,081"
27-Mar-2023,EQ,"3,170.30","3,265.00","3,157.85","3,153.75","3,220.00","3,227.95","3,232.66","3,724.95","2,828.00","171,827","555,458,247.25","17,460"
24-Mar-2023,EQ,"3,150.00","3,202.00","3,145.00","3,149.75","3,169.70","3,153.75","3,173.30","3,724.95","2,828.00","63,939","202,897,315.45","10,012"
23-Mar-2023,EQ,"3,196.15","3,196.15","3,138.00","3,213.20","3,150.00","3,149.75","3,153.37","3,724.95","2,828.00","186,735","588,844,669.15","22,401"
22-Mar-2023,EQ,"3,132.00","3,225.00","3,106.60","3,116.60","3,196.10","3,213.20","3,176.18","3,724.95","2,828.00","130,364","414,059,682.80","13,847"
21-Mar-2023,EQ,"3,101.00","3,157.05","3,099.15","3,115.20","3,101.35","3,116.60","3,133.61","3,724.95","2,828.00","39,169","122,740,519.85","6,393"
20-Mar-2023,EQ,"3,100.85","3,144.85","3,087.60","3,113.25","3,101.00","3,115.20","3,120.06","3,724.95","2,828.00","91,221","284,615,256.70","12,503"
17-Mar-2023,EQ,"3,188.50","3,188.50","3,098.30","3,155.05","3,100.00","3,113.25","3,124.76","3,724.95","2,828.00","65,853","205,774,825.10","7,493"
16-Mar-2023,EQ,"3,060.00","3,170.35","3,051.90","3,079.85","3,133.25","3,155.05","3,140.55","3,724.95","2,828.00","73,462","230,711,214.35","9,086"
15-Mar-2023,EQ,"3,120.00","3,120.00","3,067.95","3,086.80","3,089.75","3,079.85","3,087.54","3,724.95","2,828.00","18,059","55,757,920.55","3,182"
14-Mar-2023,EQ,"3,057.00","3,103.20","3,056.60","3,066.65","3,103.20","3,086.80","3,078.09","3,724.95","2,828.00","42,051","129,436,581.25","6,748"
13-Mar-2023,EQ,"3,117.35","3,146.00","3,042.30","3,145.85","3,074.05","3,066.65","3,068.28","3,724.95","2,828.00","84,172","258,262,969.55","11,808"
10-Mar-2023,EQ,"3,135.00","3,166.55","3,104.55","3,163.80","3,135.05","3,145.85","3,130.14","3,724.95","2,828.00","21,793","68,215,177.45","3,944"
09-Mar-2023,EQ,"3,145.00","3,175.10","3,137.20","3,141.50","3,152.80","3,163.80","3,153.52","3,724.95","2,828.00","21,323","67,242,576.00","3,673"
08-Mar-2023,EQ,"3,132.05","3,175.00","3,121.00","3,157.45","3,147.90","3,141.50","3,145.30","3,724.95","2,828.00","52,791","166,043,555.00","12,835"
06-Mar-2023,EQ,"3,159.90","3,216.50","3,150.85","3,159.20","3,160.85","3,157.45","3,188.65","3,724.95","2,828.00","44,689","142,497,419.25","7,999"
03-Mar-2023,EQ,"3,143.00","3,167.60","3,119.35","3,126.50","3,159.95","3,159.20","3,145.75","3,724.95","2,828.00","36,163","113,759,874.85","6,674"
02-Mar-2023,EQ,"3,108.00","3,132.00","3,071.05","3,119.20","3,130.00","3,126.50","3,110.30","3,724.95","2,828.00","61,019","189,787,229.30","9,344"
01-Mar-2023,EQ,"3,175.00","3,202.00","3,108.00","3,175.00","3,119.90","3,119.20","3,137.15","3,724.95","2,828.00","107,004","335,688,062.40","13,676"
28-Feb-2023,EQ,"3,310.00","3,310.00","3,144.70","3,272.60","3,185.05","3,175.00","3,195.19","3,724.95","2,828.00","131,796","421,113,102.05","11,006"
27-Feb-2023,EQ,"3,297.00","3,297.00","3,253.30","3,297.35","3,270.00","3,272.60","3,275.13","3,724.95","2,828.00","53,733","175,982,313.95","8,948"
24-Feb-2023,EQ,"3,285.00","3,329.00","3,275.00","3,275.50","3,299.00","3,297.35","3,310.44","3,724.95","2,828.00","237,037","784,696,811.15","12,659"
23-Feb-2023,EQ,"3,269.00","3,292.10","3,249.05","3,276.40","3,252.10","3,275.50","3,265.72","3,724.95","2,828.00","108,550","354,494,207.60","9,903"
