Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,425.75,433.9,419.3,425.8,432.95,432.05,426.9,598.0,315.3,"3,401,951","1,452,301,134.30","48,625"
23-Jun-2023,EQ,445.0,445.0,424.0,444.85,425.0,425.8,431.74,598.0,315.3,"4,859,137","2,097,894,088.30","69,086"
22-Jun-2023,EQ,449.4,452.95,441.75,448.1,445.4,444.85,445.62,598.0,315.3,"2,318,198","1,033,043,033.75","34,070"
21-Jun-2023,EQ,449.0,452.35,444.6,448.95,450.7,448.1,448.15,598.0,315.3,"2,653,187","1,189,038,078.05","34,396"
20-Jun-2023,EQ,453.5,455.6,446.6,452.85,449.0,448.95,449.15,598.0,315.3,"3,007,712","1,350,924,635.35","50,244"
19-Jun-2023,EQ,460.9,464.05,449.25,460.9,453.05,452.85,455.36,598.0,315.3,"2,390,979","1,088,758,657.15","34,379"
16-Jun-2023,EQ,461.4,465.6,457.0,458.35,462.0,460.9,461.32,598.0,315.3,"4,270,855","1,970,251,791.10","56,028"
15-Jun-2023,EQ,466.0,468.9,457.05,464.6,457.45,458.35,463.48,598.0,315.3,"2,606,044","1,207,849,478.25","41,042"
14-Jun-2023,EQ,460.25,465.5,459.4,458.95,463.25,464.6,463.75,598.0,315.3,"4,260,531","1,975,800,107.00","39,644"
13-Jun-2023,EQ,457.5,463.8,455.55,456.3,459.0,458.95,459.63,598.0,315.3,"2,313,541","1,063,378,479.30","32,601"
12-Jun-2023,EQ,456.0,458.4,453.45,455.7,456.2,456.3,455.36,598.0,315.3,"2,768,142","1,260,501,701.50","40,913"
09-Jun-2023,EQ,452.0,458.15,451.0,451.7,454.2,455.7,455.04,598.0,315.3,"4,370,589","1,988,774,905.60","56,648"
08-Jun-2023,EQ,456.0,460.0,445.85,455.75,449.45,451.7,452.67,598.0,315.3,"4,925,548","2,229,671,692.25","62,616"
07-Jun-2023,EQ,461.0,461.5,452.5,459.15,455.35,455.75,455.46,598.0,315.3,"4,545,088","2,070,087,611.45","55,429"
06-Jun-2023,EQ,441.8,460.95,440.0,439.05,458.4,459.15,455.11,598.0,315.3,"15,043,392","6,846,451,272.30","175,747"
05-Jun-2023,EQ,440.05,441.65,437.05,438.05,438.0,439.05,439.82,598.0,315.3,"3,391,422","1,491,613,765.65","85,827"
02-Jun-2023,EQ,431.45,440.0,431.45,429.25,436.7,438.05,436.58,598.0,315.3,"5,425,758","2,368,797,625.65","82,198"
01-Jun-2023,EQ,425.0,431.25,424.0,423.6,429.25,429.25,428.92,598.0,315.3,"3,422,014","1,467,783,681.65","57,164"
31-May-2023,EQ,430.4,430.8,420.85,430.9,423.8,423.6,425.01,598.0,315.3,"6,180,317","2,626,676,267.10","55,940"
30-May-2023,EQ,427.0,432.95,425.35,427.0,430.7,430.9,430.22,598.0,315.3,"3,733,902","1,606,405,517.45","49,775"
29-May-2023,EQ,426.9,430.9,422.75,424.55,426.8,427.0,426.44,598.0,315.3,"7,799,828","3,326,196,590.35","42,735"
26-May-2023,EQ,421.4,425.65,417.5,419.2,423.8,424.55,422.28,598.0,315.3,"3,769,455","1,591,782,772.70","30,297"
25-May-2023,EQ,421.0,424.65,415.7,422.3,420.1,419.2,419.38,598.0,315.3,"4,130,074","1,732,058,083.80","40,035"
24-May-2023,EQ,428.1,430.0,419.6,427.3,421.4,422.3,424.9,598.0,315.3,"6,096,592","2,590,439,941.80","64,836"
23-May-2023,EQ,428.8,440.95,424.45,423.9,427.0,427.3,431.83,598.0,315.3,"18,654,251","8,055,512,755.25","185,191"
22-May-2023,EQ,405.5,433.7,405.0,403.15,426.2,423.9,423.37,598.0,315.3,"17,691,079","7,489,937,616.55","176,901"
19-May-2023,EQ,399.05,406.0,395.65,399.05,404.0,403.15,401.56,598.0,315.3,"4,401,094","1,767,317,548.30","47,648"
18-May-2023,EQ,408.0,408.8,395.5,406.3,398.2,399.05,402.79,598.0,315.3,"4,266,534","1,718,503,379.90","58,597"
