Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,418.7,418.7,399.45,415.9,405.15,403.75,405.89,427.6,183.3,"3,398,449","1,379,411,325.20","61,539"
23-Jun-2023,EQ,416.9,420.65,410.45,415.1,417.2,415.9,416.39,427.6,167.1,"2,593,725","1,079,989,638.40","37,328"
22-Jun-2023,EQ,421.45,427.6,413.2,419.45,414.6,415.1,419.51,427.6,167.1,"3,965,592","1,663,609,978.15","44,520"
21-Jun-2023,EQ,409.8,422.0,409.5,408.95,419.7,419.45,417.87,422.0,167.1,"2,950,591","1,232,952,159.25","33,538"
20-Jun-2023,EQ,407.5,410.75,405.2,407.0,409.55,408.95,407.95,414.55,167.1,"1,055,318","430,514,512.60","18,984"
19-Jun-2023,EQ,412.85,412.85,405.25,411.6,407.95,407.0,408.85,414.55,167.1,"1,065,984","435,831,153.60","21,680"
16-Jun-2023,EQ,409.7,413.0,408.6,407.35,412.05,411.6,411.4,414.55,167.1,"1,126,995","463,647,624.95","15,016"
15-Jun-2023,EQ,407.95,414.55,403.05,408.2,408.75,407.35,410.66,414.55,167.1,"1,992,061","818,068,985.05","43,643"
14-Jun-2023,EQ,409.3,409.5,405.75,408.55,407.0,408.2,407.49,410.6,167.1,"861,858","351,201,863.45","15,562"
13-Jun-2023,EQ,409.5,410.6,404.25,406.8,408.0,408.55,407.38,410.6,167.1,"1,713,166","697,914,637.05","28,207"
12-Jun-2023,EQ,407.95,408.6,404.25,405.3,406.4,406.8,406.41,408.6,167.1,"1,753,255","712,534,237.05","28,695"
09-Jun-2023,EQ,396.95,406.5,396.5,396.2,404.3,405.3,403.76,406.5,167.1,"4,097,632","1,654,457,975.40","62,286"
08-Jun-2023,EQ,392.25,399.85,390.0,394.25,396.0,396.2,396.71,399.85,167.1,"1,991,553","790,063,473.20","25,002"
07-Jun-2023,EQ,392.35,398.5,391.6,391.6,393.05,394.25,395.41,398.5,167.1,"2,850,595","1,127,166,152.10","34,058"
06-Jun-2023,EQ,393.0,393.45,390.0,391.35,392.0,391.6,391.52,396.75,167.1,"1,078,428","422,225,543.45","17,521"
05-Jun-2023,EQ,393.15,396.75,390.3,391.95,391.3,391.35,393.14,396.75,167.1,"842,797","331,333,123.30","12,167"
02-Jun-2023,EQ,392.0,393.5,388.35,391.0,391.2,391.95,391.53,395.95,167.1,"1,184,325","463,695,952.45","14,644"
01-Jun-2023,EQ,391.7,393.45,388.85,390.8,389.9,391.0,391.11,395.95,167.1,"815,217","318,838,569.05","12,829"
31-May-2023,EQ,385.65,392.3,385.05,385.65,389.5,390.8,390.04,395.95,167.1,"1,403,719","547,510,961.85","20,790"
30-May-2023,EQ,391.05,392.0,384.0,392.3,384.0,385.65,387.37,395.95,167.1,"1,445,958","560,117,084.60","22,331"
29-May-2023,EQ,393.3,395.95,390.1,392.5,391.0,392.3,392.84,395.95,167.1,"1,654,415","649,928,386.85","16,645"
26-May-2023,EQ,389.8,393.9,389.2,389.2,393.0,392.5,391.73,393.9,167.1,"1,949,600","763,726,168.25","22,134"
25-May-2023,EQ,382.95,390.0,380.0,383.8,388.65,389.2,385.54,390.0,167.1,"2,487,583","959,068,743.70","39,715"
24-May-2023,EQ,379.5,385.0,376.7,379.1,383.3,383.8,382.8,385.0,167.1,"3,259,370","1,247,690,644.35","35,923"
23-May-2023,EQ,370.0,380.65,368.05,369.6,378.2,379.1,377.22,383.3,167.1,"4,118,807","1,553,677,760.50","41,725"
22-May-2023,EQ,365.7,371.6,363.4,367.2,369.0,369.6,368.52,383.3,167.1,"1,784,711","657,706,158.35","29,733"
19-May-2023,EQ,371.35,371.35,360.7,369.1,365.6,367.2,365.36,383.3,167.1,"1,835,070","670,463,594.95","23,719"
18-May-2023,EQ,371.9,373.35,367.0,369.1,368.15,369.1,370.43,383.3,167.1,"3,293,186","1,219,911,316.10","47,083"
17-May-2023,EQ,367.95,371.0,365.0,365.9,369.1,369.1,368.18,383.3,167.1,"2,194,687","808,032,740.80","25,699"
16-May-2023,EQ,363.0,373.45,359.0,362.9,368.0,365.9,367.51,383.3,167.1,"4,562,352","1,676,731,061.60","62,844"
15-May-2023,EQ,369.9,369.9,360.55,368.05,362.4,362.9,362.8,383.3,167.1,"2,980,168","1,081,203,857.65","49,051"
12-May-2023,EQ,369.0,372.95,367.6,368.6,368.0,368.05,368.97,383.3,167.1,"5,705,146","2,105,021,657.20","70,266"
11-May-2023,EQ,371.7,373.2,365.65,368.6,367.75,368.6,369.34,383.3,167.1,"4,603,092","1,700,097,249.55","67,725"
10-May-2023,EQ,370.0,377.5,364.55,381.6,368.6,368.6,369.28,383.3,167.1,"11,482,573","4,240,243,161.70","98,437"
09-May-2023,EQ,377.45,383.3,375.0,376.25,381.9,381.6,380.53,383.3,167.1,"6,585,578","2,506,027,074.40","69,944"
08-May-2023,EQ,370.0,377.3,367.05,368.9,376.7,376.25,373.44,377.3,167.1,"3,930,879","1,467,931,731.65","46,732"
05-May-2023,EQ,361.55,371.8,359.1,359.75,369.55,368.9,367.22,371.8,167.1,"4,033,463","1,481,154,132.85","51,223"
04-May-2023,EQ,357.95,365.0,356.35,355.35,359.5,359.75,360.79,365.0,167.1,"3,839,531","1,385,246,461.80","42,178"
03-May-2023,EQ,347.05,357.0,344.5,346.2,355.5,355.35,352.61,357.0,167.1,"3,760,025","1,325,823,502.70","42,739"
02-May-2023,EQ,348.0,348.55,344.65,346.9,346.1,346.2,346.63,353.3,167.1,"1,588,048","550,464,827.80","32,071"
28-Apr-2023,EQ,344.0,353.3,342.0,341.45,347.3,346.9,347.61,353.3,167.1,"3,535,675","1,229,038,103.70","45,934"
27-Apr-2023,EQ,335.05,342.75,333.4,334.85,342.0,341.45,338.13,343.05,167.1,"1,931,229","652,996,821.60","19,221"
26-Apr-2023,EQ,331.7,335.4,328.1,330.0,334.5,334.85,331.33,343.05,167.1,"1,942,987","643,768,738.15","24,085"
25-Apr-2023,EQ,332.75,333.75,329.4,332.1,330.45,330.0,331.35,343.05,167.1,"769,557","254,993,230.30","13,947"
24-Apr-2023,EQ,334.0,337.9,331.5,334.0,332.45,332.1,334.88,343.05,167.1,"1,518,113","508,380,040.95","20,253"
21-Apr-2023,EQ,334.7,337.4,333.1,334.7,333.15,334.0,335.21,343.05,167.1,"1,445,953","484,700,682.20","28,999"
20-Apr-2023,EQ,333.15,335.35,331.9,332.5,334.8,334.7,334.32,343.05,167.1,"891,486","298,038,363.75","19,929"
19-Apr-2023,EQ,332.0,336.5,331.2,332.2,332.45,332.5,334.09,343.05,167.1,"1,969,414","657,963,975.80","26,140"
18-Apr-2023,EQ,325.5,335.2,324.75,325.35,332.0,332.2,331.71,343.05,167.1,"4,934,182","1,636,736,057.05","46,756"
17-Apr-2023,EQ,324.25,326.9,323.05,324.15,324.7,325.35,325.2,343.05,167.1,"1,107,718","360,227,559.85","14,361"
13-Apr-2023,EQ,325.15,325.8,320.35,324.05,323.25,324.15,322.75,343.05,167.1,"897,691","289,730,966.00","17,365"
12-Apr-2023,EQ,323.45,327.65,323.25,322.85,324.4,324.05,325.27,343.05,167.1,"2,196,682","714,517,774.90","27,659"
11-Apr-2023,EQ,329.95,329.95,319.0,328.35,323.15,322.85,323.29,343.05,167.1,"3,428,685","1,108,460,869.70","35,753"
10-Apr-2023,EQ,319.9,329.1,317.65,319.05,328.0,328.35,324.56,343.05,167.1,"1,984,551","644,099,847.70","29,483"
06-Apr-2023,EQ,320.1,322.95,318.6,321.75,319.2,319.05,320.35,343.05,167.1,"762,865","244,380,378.35","18,164"
05-Apr-2023,EQ,322.8,323.65,320.5,322.8,321.2,321.75,322.18,343.05,167.1,"710,747","228,990,721.80","22,222"
03-Apr-2023,EQ,319.85,323.3,315.0,319.9,322.75,322.8,321.26,343.05,167.1,"1,152,811","370,349,700.25","24,885"
31-Mar-2023,EQ,313.1,321.0,312.0,311.5,320.5,319.9,318.67,343.05,167.1,"2,701,524","860,894,073.50","42,481"
29-Mar-2023,EQ,306.7,313.75,305.25,307.15,310.3,311.5,310.05,343.05,167.1,"2,879,575","892,804,621.10","29,818"
28-Mar-2023,EQ,305.65,308.8,305.3,307.1,306.4,307.15,306.92,343.05,167.1,"989,912","303,822,276.40","13,270"
27-Mar-2023,EQ,306.55,310.55,303.5,306.05,306.75,307.1,307.65,343.05,167.1,"1,263,044","388,577,946.10","17,363"
24-Mar-2023,EQ,311.5,313.45,305.2,309.9,306.25,306.05,309.64,343.05,167.1,"2,721,241","842,598,188.00","21,073"
23-Mar-2023,EQ,315.0,315.15,309.15,315.15,310.4,309.9,311.88,343.05,167.1,"1,387,433","432,708,259.55","20,461"
22-Mar-2023,EQ,317.5,319.5,313.2,317.0,315.9,315.15,316.33,343.05,167.1,"1,016,366","321,504,036.75","12,342"
21-Mar-2023,EQ,313.1,318.6,305.95,311.45,315.35,317.0,315.53,343.05,167.1,"1,822,097","574,932,328.40","21,270"
20-Mar-2023,EQ,309.95,311.95,304.6,308.7,311.95,311.45,307.93,343.05,167.1,"1,722,665","530,457,784.00","19,738"
17-Mar-2023,EQ,310.05,311.05,306.4,308.95,308.4,308.7,308.25,343.05,167.1,"972,728","299,843,194.90","25,856"
16-Mar-2023,EQ,308.9,311.5,305.75,308.15,308.75,308.95,308.72,343.05,167.1,"1,675,202","517,162,485.95","29,110"
15-Mar-2023,EQ,310.0,312.25,307.15,307.75,308.0,308.15,309.96,343.05,167.1,"1,061,050","328,886,166.40","20,828"
14-Mar-2023,EQ,308.0,311.3,303.35,306.8,306.8,307.75,307.51,343.05,167.1,"1,335,168","410,572,895.55","19,107"
13-Mar-2023,EQ,313.45,313.55,304.55,312.0,307.1,306.8,308.25,343.05,167.1,"1,160,542","357,732,273.90","21,236"
10-Mar-2023,EQ,313.35,313.35,306.1,314.2,312.6,312.0,310.12,343.05,165.25,"2,162,817","670,732,968.90","32,638"
09-Mar-2023,EQ,323.1,324.85,313.55,322.0,314.2,314.2,318.02,343.05,165.25,"1,493,511","474,967,516.90","37,111"
08-Mar-2023,EQ,319.3,324.8,318.0,319.3,322.95,322.0,322.37,343.05,165.25,"2,016,020","649,896,977.00","39,282"
06-Mar-2023,EQ,316.0,320.65,315.4,315.85,319.6,319.3,318.47,343.05,165.25,"1,056,606","336,498,379.85","19,237"
03-Mar-2023,EQ,314.0,317.7,310.5,313.95,315.4,315.85,314.09,343.05,165.25,"2,205,652","692,780,173.85","29,274"
02-Mar-2023,EQ,316.2,317.15,313.3,316.2,313.85,313.95,315.11,343.05,165.25,"857,188","270,112,201.20","13,752"
01-Mar-2023,EQ,314.0,317.35,311.75,313.35,315.15,316.2,315.27,343.05,165.25,"1,199,802","378,260,514.05","21,692"
28-Feb-2023,EQ,315.65,321.3,312.35,314.35,314.5,313.35,315.44,343.05,165.25,"2,360,674","744,657,397.30","27,940"
27-Feb-2023,EQ,318.65,319.3,309.45,318.65,314.0,314.35,312.85,343.05,165.25,"1,693,961","529,960,197.35","32,612"
24-Feb-2023,EQ,329.5,330.0,314.7,327.85,319.5,318.65,319.75,343.05,165.25,"2,294,583","733,694,317.15","31,411"
23-Feb-2023,EQ,329.45,330.9,325.75,328.65,328.0,327.85,328.38,343.05,165.25,"2,167,454","711,742,233.50","35,407"
22-Feb-2023,EQ,328.85,329.75,325.2,329.25,328.75,328.65,327.74,343.05,165.25,"1,864,934","611,206,392.70","25,213"
21-Feb-2023,EQ,330.8,333.9,327.5,330.35,328.9,329.25,330.77,343.05,165.25,"996,302","329,551,578.90","14,945"
20-Feb-2023,EQ,332.0,334.0,327.4,330.95,330.8,330.35,330.83,343.05,165.25,"2,761,417","913,564,821.00","31,174"
17-Feb-2023,EQ,334.15,336.5,329.65,334.15,331.0,330.95,331.91,343.05,165.25,"1,704,718","565,821,246.70","29,507"
16-Feb-2023,EQ,327.85,335.7,327.0,327.8,334.0,334.15,332.62,343.05,165.25,"2,062,059","685,882,939.80","28,317"
15-Feb-2023,EQ,327.5,329.9,325.75,327.7,327.35,327.8,327.57,343.05,165.25,"2,024,744","663,237,953.45","27,988"
14-Feb-2023,EQ,331.95,332.2,325.1,331.15,327.5,327.7,328.59,343.05,165.25,"1,213,411","398,712,291.65","18,429"
13-Feb-2023,EQ,330.0,332.85,327.4,330.15,330.35,331.15,331.05,343.05,165.25,"1,287,043","426,074,935.05","17,423"
10-Feb-2023,EQ,333.4,335.5,327.6,333.45,330.5,330.15,331.87,343.05,165.25,"1,284,465","426,276,275.65","16,142"
09-Feb-2023,EQ,332.65,337.0,331.3,332.65,334.0,333.45,334.07,343.05,165.25,"2,196,089","733,644,297.35","31,020"
08-Feb-2023,EQ,329.75,333.7,327.65,328.1,332.2,332.65,331.77,343.05,165.25,"1,835,770","609,050,486.15","25,734"
07-Feb-2023,EQ,339.85,339.85,325.1,338.3,330.0,328.1,329.26,343.05,165.25,"4,209,719","1,386,105,348.45","41,369"
06-Feb-2023,EQ,330.2,340.0,327.3,330.2,338.5,338.3,337.04,343.05,165.25,"3,947,224","1,330,388,330.70","40,501"
03-Feb-2023,EQ,335.0,343.05,319.45,331.45,329.7,330.2,330.49,343.05,165.25,"8,825,502","2,916,716,333.15","86,863"
02-Feb-2023,EQ,329.95,337.0,326.25,329.45,333.0,331.45,331.56,339.95,165.25,"3,482,811","1,154,744,249.50","42,330"
01-Feb-2023,EQ,322.3,336.4,321.35,321.2,329.95,329.45,327.61,339.95,165.25,"8,286,501","2,714,721,734.50","63,773"
31-Jan-2023,EQ,313.4,324.0,313.2,311.85,321.3,321.2,320.27,339.95,165.25,"3,528,721","1,130,160,523.65","31,171"
30-Jan-2023,EQ,307.15,315.45,306.8,308.3,313.2,311.85,311.86,339.95,165.25,"4,045,915","1,261,749,364.70","44,101"
27-Jan-2023,EQ,323.5,323.5,304.9,322.3,308.95,308.3,310.79,339.95,165.25,"3,650,520","1,134,536,549.35","40,144"
25-Jan-2023,EQ,321.0,324.35,317.0,320.75,321.1,322.3,321.26,339.95,165.25,"3,455,839","1,110,231,986.90","38,456"
24-Jan-2023,EQ,317.1,322.5,316.3,316.15,321.0,320.75,320.24,339.95,165.25,"2,715,461","869,610,806.50","24,407"
23-Jan-2023,EQ,311.8,317.65,310.5,311.8,315.5,316.15,314.89,339.95,165.25,"2,367,258","745,430,805.05","34,573"
20-Jan-2023,EQ,319.25,319.9,311.0,318.3,311.65,311.8,315.2,339.95,165.25,"1,874,396","590,806,335.40","29,805"
19-Jan-2023,EQ,322.75,323.75,316.35,323.3,318.55,318.3,318.9,339.95,165.25,"1,519,717","484,644,508.70","19,018"
18-Jan-2023,EQ,319.95,324.95,319.35,319.25,322.9,323.3,322.66,339.95,165.25,"2,129,497","687,104,267.05","25,872"
17-Jan-2023,EQ,318.0,320.3,315.25,317.7,318.75,319.25,318.35,339.95,165.25,"1,389,647","442,395,582.55","17,163"
16-Jan-2023,EQ,322.0,323.95,317.0,320.8,317.5,317.7,319.03,339.95,165.25,"1,617,910","516,169,462.65","19,099"
13-Jan-2023,EQ,318.3,323.0,317.0,317.0,320.0,320.8,320.33,339.95,165.25,"2,637,954","845,014,185.85","43,585"
12-Jan-2023,EQ,318.95,319.4,315.25,319.2,318.7,317.0,317.59,339.95,165.25,"2,789,739","886,004,936.35","70,677"
11-Jan-2023,EQ,326.0,326.95,318.05,325.9,319.4,319.2,320.86,339.95,165.25,"2,598,658","833,812,333.50","37,791"
10-Jan-2023,EQ,327.9,329.4,323.35,327.2,325.6,325.9,326.09,339.95,165.25,"2,303,256","751,060,955.45","34,239"
09-Jan-2023,EQ,330.0,331.9,323.75,327.75,326.6,327.2,326.57,339.95,165.25,"3,224,407","1,052,980,992.75","41,127"
06-Jan-2023,EQ,339.95,339.95,326.45,338.25,328.5,327.75,331.62,339.95,165.25,"6,218,095","2,062,054,533.90","80,224"
05-Jan-2023,EQ,321.9,339.5,321.7,320.05,338.85,338.25,333.85,339.5,165.25,"11,848,529","3,955,634,469.45","99,880"
04-Jan-2023,EQ,326.9,327.3,315.4,325.4,319.7,320.05,320.1,330.7,165.25,"3,016,870","965,709,415.35","36,152"
03-Jan-2023,EQ,329.0,330.7,324.35,328.25,324.8,325.4,327.07,330.7,165.25,"3,036,393","993,123,698.35","28,377"
02-Jan-2023,EQ,324.3,329.0,323.75,324.3,328.0,328.25,326.9,330.5,165.25,"1,011,815","330,764,647.55","13,729"
30-Dec-2022,EQ,328.9,329.5,323.25,326.5,325.0,324.3,326.05,330.5,165.25,"1,613,534","526,095,837.95","18,165"
29-Dec-2022,EQ,320.0,327.5,317.4,321.75,327.0,326.5,322.4,330.5,165.25,"2,306,713","743,682,182.15","28,205"
28-Dec-2022,EQ,323.85,326.7,319.8,323.5,320.85,321.75,323.19,330.5,165.25,"1,706,586","551,554,023.90","18,877"
27-Dec-2022,EQ,321.6,325.95,320.5,320.35,322.85,323.5,323.32,330.5,165.25,"2,689,611","869,594,223.00","34,457"
26-Dec-2022,EQ,306.5,321.4,305.1,308.15,319.7,320.35,318.23,330.5,165.25,"3,012,205","958,575,476.40","33,007"
23-Dec-2022,EQ,313.6,314.75,306.7,316.3,308.0,308.15,309.68,330.5,165.25,"3,345,847","1,036,128,375.70","36,739"
22-Dec-2022,EQ,319.0,323.45,313.6,319.0,315.6,316.3,316.76,330.5,165.25,"2,038,444","645,701,851.25","22,406"
21-Dec-2022,EQ,329.0,330.5,317.7,327.4,318.05,319.0,324.66,330.5,165.25,"4,263,341","1,384,121,695.90","41,588"
20-Dec-2022,EQ,324.5,328.85,319.0,324.5,328.2,327.4,324.04,328.85,165.25,"2,233,392","723,709,835.95","22,113"
19-Dec-2022,EQ,323.85,325.3,313.3,323.05,324.0,324.5,320.49,326.55,165.25,"3,389,328","1,086,260,431.35","37,743"
16-Dec-2022,EQ,320.45,326.55,316.75,322.6,321.75,323.05,322.29,326.55,165.25,"3,837,290","1,236,710,979.55","36,026"
15-Dec-2022,EQ,318.95,325.3,318.15,319.35,320.5,322.6,322.6,325.3,165.25,"3,522,801","1,136,447,103.50","32,228"
14-Dec-2022,EQ,318.45,321.25,314.0,318.3,319.0,319.35,319.51,324.7,165.25,"1,405,239","448,991,460.70","18,267"
13-Dec-2022,EQ,324.7,324.7,317.2,323.1,317.7,318.3,319.57,324.7,165.25,"2,959,479","945,746,687.85","31,645"
12-Dec-2022,EQ,316.0,323.65,313.65,315.95,323.5,323.1,319.89,323.65,165.25,"3,811,951","1,219,394,563.90","36,119"
09-Dec-2022,EQ,319.5,320.2,312.05,317.05,316.25,315.95,316.48,323.65,165.25,"2,150,553","680,600,180.65","20,956"
08-Dec-2022,EQ,316.25,317.7,311.65,314.65,317.0,317.05,315.05,323.65,165.25,"1,683,435","530,363,050.45","18,158"
07-Dec-2022,EQ,321.95,321.95,313.0,319.2,314.0,314.65,316.28,323.65,165.25,"1,747,704","552,765,848.85","28,768"
06-Dec-2022,EQ,317.5,320.4,316.0,318.95,318.45,319.2,318.57,323.65,165.25,"1,851,704","589,895,386.60","29,519"
05-Dec-2022,EQ,322.2,323.65,317.35,319.2,318.5,318.95,320.15,323.65,165.25,"2,711,201","867,980,240.75","30,241"
02-Dec-2022,EQ,317.4,320.85,315.4,315.5,318.25,319.2,318.32,321.0,165.25,"3,277,532","1,043,297,532.95","34,700"
01-Dec-2022,EQ,317.65,321.0,314.7,316.45,315.5,315.5,318.06,321.0,165.25,"4,447,547","1,414,582,317.20","39,655"
30-Nov-2022,EQ,316.85,318.0,310.7,315.15,317.4,316.45,314.48,318.0,165.25,"3,736,077","1,174,912,426.20","36,864"
29-Nov-2022,EQ,314.3,318.0,312.95,312.7,314.2,315.15,315.49,318.0,165.25,"7,814,998","2,465,580,839.95","66,006"
28-Nov-2022,EQ,296.05,314.0,296.05,293.2,311.9,312.7,309.49,314.0,165.25,"20,698,755","6,405,971,699.30","138,134"
25-Nov-2022,EQ,283.55,294.3,283.1,282.1,292.75,293.2,290.22,303.6,165.25,"5,019,984","1,456,876,172.85","41,126"
24-Nov-2022,EQ,285.15,286.7,280.45,284.0,282.1,282.1,282.99,303.6,165.25,"1,787,377","505,809,902.70","15,854"
23-Nov-2022,EQ,283.8,286.45,281.8,284.4,283.3,284.0,284.3,303.6,165.25,"2,150,977","611,519,987.90","21,146"
22-Nov-2022,EQ,280.45,286.0,279.5,280.45,283.0,284.4,283.99,303.6,165.25,"4,001,103","1,136,274,731.60","37,285"
21-Nov-2022,EQ,274.7,281.7,272.7,273.3,279.95,280.45,278.45,303.6,165.25,"5,378,366","1,497,611,366.20","44,220"
18-Nov-2022,EQ,276.9,281.55,270.0,276.7,273.4,273.3,275.61,303.6,165.25,"5,855,231","1,613,785,953.25","50,879"
17-Nov-2022,EQ,277.75,281.0,275.15,277.35,275.7,276.7,278.47,303.6,165.25,"5,588,794","1,556,305,543.40","47,214"
16-Nov-2022,EQ,298.1,301.95,274.5,297.7,276.3,277.35,284.46,303.6,165.25,"16,069,595","4,571,083,576.15","112,157"
15-Nov-2022,EQ,291.0,303.6,290.0,285.35,298.0,297.7,298.94,303.6,165.25,"16,987,072","5,078,102,039.90","127,801"
14-Nov-2022,EQ,291.45,292.1,282.5,290.3,284.5,285.35,285.16,303.45,165.25,"2,684,508","765,526,342.15","29,142"
11-Nov-2022,EQ,295.5,298.95,288.75,293.85,289.8,290.3,294.58,303.45,165.25,"2,276,331","670,556,075.35","24,538"
10-Nov-2022,EQ,295.0,295.45,290.85,295.8,293.7,293.85,293.22,303.45,165.25,"1,590,521","466,372,277.25","21,862"
09-Nov-2022,EQ,301.0,302.15,291.1,300.75,295.1,295.8,295.8,303.45,165.25,"4,248,129","1,256,585,154.45","44,099"
07-Nov-2022,EQ,289.8,301.6,289.8,288.9,301.0,300.75,297.09,303.45,165.25,"5,723,504","1,700,384,181.65","48,218"
04-Nov-2022,EQ,286.45,289.6,285.0,286.45,289.6,288.9,287.28,303.45,165.25,"1,776,393","510,317,453.30","14,783"
03-Nov-2022,EQ,286.85,291.4,284.0,288.65,286.65,286.45,287.69,303.45,165.25,"2,123,051","610,779,600.30","21,286"
02-Nov-2022,EQ,291.75,294.0,287.5,292.95,287.5,288.65,290.25,303.45,165.25,"1,679,080","487,350,440.65","19,717"
01-Nov-2022,EQ,292.2,294.1,288.15,290.7,291.9,292.95,291.8,303.45,165.25,"1,986,351","579,610,474.95","26,344"
31-Oct-2022,EQ,290.65,293.4,289.15,289.2,290.1,290.7,290.87,303.45,165.25,"2,333,379","678,715,961.95","26,221"
28-Oct-2022,EQ,288.65,291.75,286.35,288.5,288.4,289.2,289.14,303.45,165.25,"2,360,584","682,546,028.10","25,758"
27-Oct-2022,EQ,288.0,289.0,284.0,287.45,288.85,288.5,286.87,303.45,165.25,"1,692,821","485,624,336.00","20,240"
25-Oct-2022,EQ,282.95,290.7,278.8,281.3,286.6,287.45,286.64,303.45,165.25,"2,651,663","760,069,207.30","23,833"
24-Oct-2022,EQ,285.0,285.5,279.25,281.75,281.2,281.3,282.49,303.45,165.25,"405,664","114,594,200.75","6,644"
21-Oct-2022,EQ,284.3,286.3,277.95,282.3,281.8,281.75,282.78,303.45,165.25,"2,375,508","671,749,109.75","23,649"
