Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,161.6,165.2,160.0,161.6,163.65,164.25,162.61,170.55,133.1,"7,159,126","1,164,162,881.35","47,242"
23-Jun-2023,EQ,164.25,164.25,159.65,164.0,161.6,161.6,161.37,170.55,130.75,"9,807,312","1,582,626,119.35","64,787"
22-Jun-2023,EQ,164.2,166.2,163.2,163.9,164.35,164.0,164.68,170.55,130.75,"9,855,375","1,622,945,496.55","72,547"
21-Jun-2023,EQ,167.4,168.3,163.5,167.25,164.1,163.9,165.18,170.55,130.75,"11,324,714","1,870,604,459.05","89,097"
20-Jun-2023,EQ,168.35,170.55,165.2,167.95,167.35,167.25,167.59,170.55,130.75,"20,734,673","3,475,011,858.45","90,061"
19-Jun-2023,EQ,166.0,170.15,165.7,164.4,168.1,167.95,168.38,170.15,130.75,"25,040,816","4,216,491,343.10","150,636"
16-Jun-2023,EQ,159.7,167.8,158.1,157.35,164.45,164.4,164.47,169.45,128.2,"47,565,738","7,822,948,378.85","187,069"
15-Jun-2023,EQ,156.1,159.25,155.95,156.35,157.2,157.35,158.02,169.45,128.2,"14,928,825","2,359,090,618.80","64,400"
14-Jun-2023,EQ,154.5,156.75,154.25,154.05,156.3,156.35,155.59,169.45,128.2,"7,894,967","1,228,383,855.20","45,331"
13-Jun-2023,EQ,153.25,154.75,153.0,152.85,154.1,154.05,153.96,169.45,128.2,"6,347,143","977,216,677.10","40,502"
12-Jun-2023,EQ,152.35,153.3,151.55,152.35,152.5,152.85,152.81,169.45,128.2,"4,223,042","645,341,119.30","42,550"
09-Jun-2023,EQ,153.85,153.95,152.1,153.0,152.25,152.35,152.93,169.45,128.2,"3,730,672","570,534,854.75","27,934"
08-Jun-2023,EQ,151.55,153.75,151.55,151.95,152.55,153.0,153.02,169.45,128.2,"10,261,501","1,570,230,984.50","44,962"
07-Jun-2023,EQ,150.5,152.7,150.2,150.15,151.95,151.95,151.5,169.45,128.2,"6,642,914","1,006,371,678.55","53,578"
06-Jun-2023,EQ,149.85,150.35,149.0,149.05,150.35,150.15,149.8,169.45,128.2,"7,809,829","1,169,897,952.05","59,458"
05-Jun-2023,EQ,147.15,149.75,146.5,146.15,149.4,149.05,148.94,169.45,128.2,"9,952,669","1,482,344,970.60","62,163"
02-Jun-2023,EQ,146.35,146.9,144.45,147.15,146.25,146.15,145.82,169.45,128.2,"8,208,381","1,196,951,124.80","43,582"
01-Jun-2023,EQ,146.75,148.0,145.65,146.3,147.0,147.15,147.0,169.45,128.2,"5,844,016","859,059,243.75","31,972"
31-May-2023,EQ,145.65,146.75,144.75,145.85,146.45,146.3,146.06,169.45,128.2,"6,761,906","987,630,337.95","37,886"
30-May-2023,EQ,145.65,146.4,144.6,146.1,146.05,145.85,145.37,169.45,128.2,"6,579,187","956,417,213.35","25,746"
29-May-2023,EQ,147.15,147.15,145.2,145.5,146.15,146.1,145.93,169.45,128.2,"7,022,143","1,024,743,911.40","34,096"
26-May-2023,EQ,146.2,146.5,144.8,145.5,145.6,145.5,145.5,169.45,128.2,"10,268,894","1,494,166,748.65","50,366"
25-May-2023,EQ,149.0,150.0,144.1,150.4,146.05,145.5,145.96,169.45,128.2,"20,328,296","2,967,213,024.70","126,096"
24-May-2023,EQ,154.9,154.9,148.3,152.2,151.05,150.4,150.83,169.45,128.2,"22,506,977","3,394,752,808.45","109,008"
23-May-2023,EQ,153.8,154.75,151.7,153.05,152.3,152.2,152.95,169.45,128.2,"10,231,757","1,564,900,455.95","39,721"
22-May-2023,EQ,154.7,154.9,152.4,154.7,153.5,153.05,153.39,169.45,128.2,"3,694,625","566,709,923.65","24,467"
19-May-2023,EQ,152.7,154.95,151.55,152.7,154.55,154.7,153.09,169.45,121.25,"7,037,870","1,077,448,686.45","29,911"
18-May-2023,EQ,153.7,154.5,152.1,152.9,152.75,152.7,153.39,169.45,121.25,"5,065,490","777,016,208.55","26,347"
17-May-2023,EQ,152.7,154.35,151.75,152.55,153.0,152.9,153.37,169.45,121.25,"8,197,687","1,257,252,985.55","28,955"
16-May-2023,EQ,153.65,153.95,152.1,153.35,152.6,152.55,153.13,169.45,121.25,"7,805,972","1,195,366,635.00","48,975"
15-May-2023,EQ,149.65,153.6,149.1,149.75,153.1,153.35,152.12,169.45,121.25,"11,634,243","1,769,837,639.85","53,422"
12-May-2023,EQ,147.5,150.5,147.5,148.9,149.5,149.75,149.61,169.45,113.0,"6,368,388","952,801,771.30","39,131"
11-May-2023,EQ,149.45,150.75,148.65,148.85,148.9,148.9,149.43,169.45,113.0,"7,675,383","1,146,930,246.25","36,566"
10-May-2023,EQ,147.2,149.0,146.7,147.05,148.6,148.85,147.87,169.45,113.0,"4,728,624","699,220,713.30","27,358"
09-May-2023,EQ,147.35,148.8,146.5,146.65,146.65,147.05,147.6,169.45,113.0,"5,055,299","746,157,251.30","33,916"
08-May-2023,EQ,144.65,147.5,144.65,144.5,146.65,146.65,146.73,169.45,113.0,"7,129,440","1,046,136,168.60","49,946"
05-May-2023,EQ,145.7,146.0,143.75,145.45,144.25,144.5,144.88,169.45,113.0,"2,777,444","402,396,894.50","16,595"
