Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,960.30","1,979.80","1,934.00","1,960.50","1,940.00","1,942.70","1,950.31","2,654.80","1,297.80","422,277","823,569,054.40","27,297"
23-Jun-2023,EQ,"1,962.15","1,972.00","1,927.40","1,951.70","1,960.00","1,960.50","1,949.24","2,654.80","1,297.80","489,311","953,784,025.90","27,014"
22-Jun-2023,EQ,"1,994.95","1,994.95","1,946.85","1,985.35","1,954.00","1,951.70","1,966.25","2,654.80","1,297.80","264,561","520,194,038.30","26,022"
21-Jun-2023,EQ,"1,999.45","2,013.20","1,977.15","1,990.05","1,989.65","1,985.35","1,992.94","2,654.80","1,297.80","431,397","859,746,615.25","26,660"
20-Jun-2023,EQ,"1,973.00","2,012.85","1,973.00","1,970.10","1,990.55","1,990.05","1,995.71","2,654.80","1,297.80","430,834","859,820,234.80","29,444"
19-Jun-2023,EQ,"1,960.15","2,004.65","1,960.15","1,960.15","1,975.40","1,970.10","1,985.53","2,654.80","1,297.80","477,269","947,632,474.95","32,406"
16-Jun-2023,EQ,"1,975.00","1,996.00","1,955.10","1,970.05","1,962.50","1,960.15","1,970.18","2,654.80","1,297.80","339,650","669,171,050.40","36,904"
15-Jun-2023,EQ,"1,968.65","1,982.80","1,947.35","1,968.65","1,968.50","1,970.05","1,966.73","2,654.80","1,297.80","577,166","1,135,130,129.20","44,660"
14-Jun-2023,EQ,"2,017.00","2,024.05","1,964.30","2,006.95","1,969.50","1,968.65","1,984.83","2,654.80","1,297.80","701,708","1,392,772,920.80","48,365"
13-Jun-2023,EQ,"1,969.95","2,011.00","1,955.70","1,967.35","2,007.00","2,006.95","1,996.86","2,654.80","1,297.80","743,387","1,484,440,823.05","47,110"
12-Jun-2023,EQ,"1,996.45","2,019.00","1,961.00","1,987.85","1,964.10","1,967.35","1,993.73","2,654.80","1,297.80","733,895","1,463,192,076.00","47,552"
09-Jun-2023,EQ,"1,956.95","1,996.25","1,948.15","1,951.90","1,986.00","1,987.85","1,979.22","2,654.80","1,297.80","653,794","1,294,001,779.45","51,213"
08-Jun-2023,EQ,"1,923.00","1,957.75","1,918.00","1,923.30","1,954.00","1,951.90","1,941.82","2,654.80","1,297.80","920,008","1,786,485,596.95","46,587"
07-Jun-2023,EQ,"1,919.35","1,930.00","1,899.05","1,910.45","1,921.05","1,923.30","1,916.95","2,654.80","1,297.80","297,211","569,737,307.20","20,925"
06-Jun-2023,EQ,"1,889.95","1,914.90","1,876.00","1,884.85","1,914.90","1,910.45","1,897.31","2,654.80","1,297.80","685,189","1,300,015,847.40","41,726"
05-Jun-2023,EQ,"1,880.00","1,894.90","1,855.00","1,866.25","1,885.50","1,884.85","1,877.68","2,654.80","1,297.80","612,285","1,149,675,980.90","33,488"
02-Jun-2023,EQ,"1,820.00","1,880.00","1,818.00","1,809.10","1,862.35","1,866.25","1,858.22","2,654.80","1,297.80","853,520","1,586,028,272.15","58,210"
01-Jun-2023,EQ,"1,821.00","1,837.00","1,801.90","1,821.35","1,813.00","1,809.10","1,822.08","2,654.80","1,297.80","376,713","686,402,835.80","32,637"
31-May-2023,EQ,"1,790.00","1,825.50","1,787.20","1,789.90","1,813.00","1,821.35","1,812.63","2,654.80","1,297.80","443,608","804,097,066.25","34,719"
30-May-2023,EQ,"1,792.35","1,805.00","1,773.35","1,792.40","1,799.00","1,789.90","1,789.41","2,654.80","1,297.80","330,644","591,656,029.40","34,081"
29-May-2023,EQ,"1,790.00","1,817.00","1,770.95","1,776.35","1,788.45","1,792.40","1,795.13","2,654.80","1,297.80","499,586","896,819,420.95","32,523"
26-May-2023,EQ,"1,764.95","1,779.90","1,748.05","1,751.95","1,773.50","1,776.35","1,766.51","2,654.80","1,297.80","544,317","961,544,036.25","29,870"
25-May-2023,EQ,"1,713.80","1,757.55","1,706.00","1,714.35","1,752.00","1,751.95","1,737.13","2,654.80","1,297.80","653,551","1,135,305,356.20","35,612"
24-May-2023,EQ,"1,712.95","1,720.00","1,701.90","1,713.20","1,710.20","1,714.35","1,711.31","2,654.80","1,297.80","408,146","698,464,134.50","32,405"
23-May-2023,EQ,"1,688.80","1,722.00","1,678.05","1,677.45","1,712.00","1,713.20","1,709.27","2,654.80","1,297.80","685,664","1,171,988,180.35","42,533"
22-May-2023,EQ,"1,653.95","1,688.95","1,634.25","1,652.15","1,675.00","1,677.45","1,668.19","2,654.80","1,297.80","456,249","761,110,828.00","27,124"
19-May-2023,EQ,"1,690.00","1,698.80","1,645.15","1,684.20","1,650.00","1,652.15","1,657.30","2,654.80","1,297.80","546,011","904,905,922.40","31,232"
18-May-2023,EQ,"1,726.00","1,728.80","1,668.75","1,719.85","1,687.00","1,684.20","1,697.87","2,654.80","1,297.80","729,612","1,238,787,688.95","46,186"
17-May-2023,EQ,"1,692.00","1,725.40","1,662.20","1,686.50","1,720.00","1,719.85","1,695.67","2,654.80","1,297.80","1,209,502","2,050,918,477.35","66,123"
16-May-2023,EQ,"1,649.00","1,739.65","1,610.05","1,595.65","1,692.00","1,686.50","1,691.74","2,654.80","1,297.80","6,040,726","10,219,318,438.75","235,930"
15-May-2023,EQ,"1,581.00","1,600.00","1,551.15","1,573.50","1,599.95","1,595.65","1,579.51","2,654.80","1,297.80","933,148","1,473,919,564.30","49,375"
12-May-2023,EQ,"1,547.30","1,587.30","1,542.00","1,547.30","1,576.00","1,573.50","1,572.28","2,654.80","1,297.80","425,278","668,653,994.35","38,796"
11-May-2023,EQ,"1,545.00","1,569.90","1,540.10","1,539.15","1,550.00","1,547.30","1,551.80","2,654.80","1,297.80","291,682","452,631,166.80","18,701"
10-May-2023,EQ,"1,558.65","1,565.00","1,529.85","1,548.25","1,539.00","1,539.15","1,546.21","2,654.80","1,297.80","308,902","477,627,456.85","21,678"
09-May-2023,EQ,"1,555.00","1,565.00","1,540.20","1,543.60","1,546.00","1,548.25","1,554.51","2,654.80","1,297.80","521,655","810,915,984.20","28,617"
08-May-2023,EQ,"1,515.50","1,550.75","1,510.10","1,506.40","1,550.00","1,543.60","1,533.97","2,654.80","1,297.80","563,133","863,827,800.00","30,096"
05-May-2023,EQ,"1,491.00","1,524.15","1,488.10","1,490.05","1,504.00","1,506.40","1,512.89","2,654.80","1,297.80","571,178","864,132,156.60","43,030"
04-May-2023,EQ,"1,490.00","1,497.15","1,471.00","1,486.75","1,488.00","1,490.05","1,483.19","2,654.80","1,297.80","239,799","355,667,869.75","18,791"
03-May-2023,EQ,"1,483.45","1,502.30","1,470.00","1,483.50","1,489.00","1,486.75","1,489.44","2,654.80","1,297.80","550,274","819,598,056.70","31,783"
02-May-2023,EQ,"1,459.95","1,495.00","1,450.00","1,447.50","1,485.00","1,483.50","1,475.72","2,654.80","1,297.80","581,047","857,465,078.70","34,382"
28-Apr-2023,EQ,"1,407.25","1,450.95","1,400.00","1,396.65","1,449.00","1,447.50","1,435.28","2,654.80","1,297.80","367,467","527,419,604.05","20,626"
27-Apr-2023,EQ,"1,392.00","1,400.05","1,383.90","1,390.65","1,397.00","1,396.65","1,391.48","2,654.80","1,297.80","232,524","323,552,544.55","15,331"
26-Apr-2023,EQ,"1,390.30","1,400.30","1,383.55","1,390.35","1,392.50","1,390.65","1,392.00","2,654.80","1,297.80","197,615","275,080,801.90","14,254"
