Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"6,980.00","7,054.00","6,930.10","6,964.80","7,050.00","7,031.00","7,002.52","9,812.90","6,530.00","50,857","356,127,412.75","5,918"
23-Jun-2023,EQ,"7,074.00","7,089.75","6,902.05","7,074.90","6,965.05","6,964.80","6,959.91","9,812.90","6,530.00","93,247","648,990,757.90","10,506"
22-Jun-2023,EQ,"7,079.00","7,115.00","7,002.65","7,059.90","7,085.00","7,074.90","7,056.53","9,812.90","6,530.00","26,519","187,132,241.50","5,212"
21-Jun-2023,EQ,"7,145.00","7,170.00","7,044.00","7,111.10","7,063.50","7,059.90","7,110.40","9,812.90","6,530.00","46,158","328,201,988.45","8,165"
20-Jun-2023,EQ,"7,017.80","7,130.00","6,986.90","7,019.65","7,114.50","7,111.10","7,062.35","9,812.90","6,530.00","53,499","377,828,635.40","7,045"
19-Jun-2023,EQ,"7,067.00","7,100.00","6,953.55","7,063.25","7,026.05","7,019.65","7,011.48","9,812.90","6,530.00","53,672","376,320,276.60","5,545"
16-Jun-2023,EQ,"7,020.00","7,108.00","7,004.35","6,996.80","7,073.00","7,063.25","7,063.89","9,812.90","6,530.00","54,228","383,060,594.70","8,102"
15-Jun-2023,EQ,"7,020.00","7,048.00","6,936.50","7,004.30","7,018.00","6,996.80","6,981.19","9,812.90","6,530.00","84,577","590,447,714.40","11,311"
14-Jun-2023,EQ,"6,930.00","7,124.00","6,890.00","6,914.35","7,010.00","7,004.30","7,031.80","9,812.90","6,530.00","114,104","802,356,215.05","17,718"
13-Jun-2023,EQ,"6,695.00","6,939.95","6,695.00","6,679.05","6,930.00","6,914.35","6,884.56","9,812.90","6,530.00","96,789","666,349,745.95","16,178"
12-Jun-2023,EQ,"6,780.00","6,780.00","6,640.00","6,732.25","6,690.00","6,679.05","6,663.36","9,812.90","6,530.00","77,366","515,517,465.60","12,008"
09-Jun-2023,EQ,"6,818.00","6,860.80","6,680.00","6,805.80","6,736.75","6,732.25","6,745.80","9,812.90","6,530.00","49,097","331,198,653.65","9,603"
08-Jun-2023,EQ,"6,949.90","6,991.00","6,788.15","6,930.85","6,817.00","6,805.80","6,859.98","9,812.90","6,530.00","28,529","195,708,307.05","6,523"
07-Jun-2023,EQ,"6,755.00","6,957.45","6,755.00","6,754.30","6,948.80","6,930.85","6,901.53","9,812.90","6,530.00","47,958","330,983,548.30","8,825"
06-Jun-2023,EQ,"6,781.90","6,850.00","6,738.00","6,778.00","6,755.00","6,754.30","6,770.15","9,812.90","6,530.00","46,479","314,669,819.70","9,007"
05-Jun-2023,EQ,"6,759.00","6,832.45","6,754.45","6,758.55","6,782.25","6,778.00","6,784.22","9,812.90","6,530.00","15,566","105,603,168.85","4,063"
02-Jun-2023,EQ,"6,750.00","6,885.25","6,738.25","6,742.10","6,765.00","6,758.55","6,789.89","9,812.90","6,530.00","26,943","182,940,116.25","6,299"
01-Jun-2023,EQ,"6,733.90","6,800.00","6,705.50","6,733.90","6,751.00","6,742.10","6,745.00","9,812.90","6,530.00","27,550","185,824,775.00","7,754"
31-May-2023,EQ,"6,861.95","6,862.15","6,715.00","6,863.25","6,725.00","6,733.90","6,771.38","9,812.90","6,530.00","23,018","155,863,549.85","5,614"
30-May-2023,EQ,"6,909.00","6,959.95","6,841.00","6,864.85","6,853.80","6,863.25","6,903.17","9,812.90","6,530.00","49,761","343,508,645.45","8,523"
29-May-2023,EQ,"6,809.00","6,884.95","6,758.15","6,792.75","6,860.00","6,864.85","6,835.03","9,812.90","6,530.00","18,627","127,316,170.70","4,299"
26-May-2023,EQ,"6,630.20","6,830.00","6,623.35","6,635.90","6,795.15","6,792.75","6,762.60","9,812.90","6,530.00","50,547","341,829,270.80","9,244"
25-May-2023,EQ,"6,620.05","6,670.00","6,593.70","6,615.30","6,654.00","6,635.90","6,617.15","9,812.90","6,530.00","65,278","431,954,253.55","3,560"
24-May-2023,EQ,"6,648.60","6,669.00","6,605.00","6,648.60","6,605.00","6,615.30","6,636.63","9,812.90","6,530.00","11,525","76,487,191.50","3,221"
23-May-2023,EQ,"6,625.00","6,709.95","6,600.10","6,614.95","6,647.75","6,648.60","6,665.05","9,812.90","6,530.00","16,418","109,426,816.90","3,540"
22-May-2023,EQ,"6,648.95","6,650.00","6,565.00","6,615.15","6,650.00","6,614.95","6,597.00","9,812.90","6,530.00","14,643","96,599,900.95","4,199"
19-May-2023,EQ,"6,681.00","6,690.00","6,601.00","6,677.55","6,615.00","6,615.15","6,629.44","9,812.90","6,530.00","12,431","82,410,537.70","3,244"
18-May-2023,EQ,"6,726.20","6,767.00","6,650.00","6,724.25","6,659.85","6,677.55","6,689.32","9,812.90","6,530.00","34,896","233,430,644.55","7,761"
17-May-2023,EQ,"6,822.25","6,835.00","6,650.00","6,822.25","6,725.00","6,724.25","6,723.65","9,812.90","6,530.00","40,184","270,183,342.70","9,734"
16-May-2023,EQ,"6,915.00","6,922.75","6,789.00","6,878.05","6,835.00","6,822.25","6,838.20","9,812.90","6,530.00","32,155","219,882,360.85","6,464"
15-May-2023,EQ,"6,959.00","6,967.00","6,850.00","6,947.05","6,903.00","6,878.05","6,900.86","9,812.90","6,530.00","27,151","187,365,194.35","5,639"
