Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,699.1,725.3,696.6,699.15,721.7,721.35,716.77,725.30,397.2,"5,022,446","3,599,946,060.40","97,601"
23-Jun-2023,EQ,668.0,701.0,665.75,671.65,699.8,699.15,688.92,701.00,397.2,"4,074,717","2,807,155,159.80","66,299"
22-Jun-2023,EQ,682.05,685.5,669.05,682.0,670.95,671.65,678.57,692.00,397.2,"1,259,872","854,909,748.50","38,772"
21-Jun-2023,EQ,681.3,684.95,674.6,680.95,681.95,682.0,680.19,692.00,397.2,"1,159,396","788,607,975.60","54,906"
20-Jun-2023,EQ,676.9,683.3,674.0,678.05,680.4,680.95,679.99,692.00,397.2,"594,270","404,097,535.35","28,574"
19-Jun-2023,EQ,680.0,692.0,676.2,682.6,678.0,678.05,684.61,692.00,397.2,"2,184,061","1,495,233,205.40","54,436"
16-Jun-2023,EQ,689.85,689.85,676.1,685.4,681.5,682.6,680.95,690.00,397.2,"1,523,731","1,037,580,306.10","40,152"
15-Jun-2023,EQ,670.45,690.0,670.45,669.75,683.8,685.4,682.06,690.00,397.2,"2,612,876","1,782,142,423.30","51,051"
14-Jun-2023,EQ,682.0,683.4,668.0,681.6,669.1,669.75,673.29,683.50,397.2,"918,389","618,339,422.45","28,208"
13-Jun-2023,EQ,664.1,683.5,661.1,663.7,682.0,681.6,676.1,683.50,397.2,"1,194,564","807,642,483.60","28,957"
12-Jun-2023,EQ,670.5,674.5,661.9,669.4,664.6,663.7,665.89,674.90,397.2,"465,732","310,126,474.70","14,129"
09-Jun-2023,EQ,668.45,670.45,661.75,668.5,667.7,669.4,667.64,674.90,397.2,"999,923","667,592,898.10","18,515"
08-Jun-2023,EQ,674.0,674.9,665.65,672.0,669.75,668.5,669.91,674.90,397.2,"790,344","529,460,558.45","24,727"
07-Jun-2023,EQ,669.0,674.75,662.5,664.0,674.7,672.0,669.25,674.75,397.2,"1,398,313","935,827,673.40","33,534"
06-Jun-2023,EQ,662.0,665.75,653.05,658.9,664.05,664.0,658.78,665.75,397.2,"550,985","362,977,869.05","15,821"
05-Jun-2023,EQ,663.05,665.4,657.0,662.5,659.1,658.9,660.92,665.40,397.2,"1,148,661","759,178,461.60","23,733"
02-Jun-2023,EQ,658.55,663.7,652.35,658.7,661.3,662.5,659.33,663.70,397.2,"1,226,863","808,911,809.25","29,160"
01-Jun-2023,EQ,655.5,661.0,646.15,658.6,655.25,658.7,654.79,662.95,397.2,"1,657,715","1,085,457,302.75","38,822"
31-May-2023,EQ,649.5,662.95,647.15,650.75,657.35,658.6,657.94,662.95,397.2,"3,860,137","2,539,757,671.90","67,799"
30-May-2023,EQ,614.05,655.0,612.75,611.3,649.5,650.75,643.28,655.00,397.2,"9,346,787","6,012,607,669.70","138,435"
29-May-2023,EQ,621.05,621.05,584.65,614.85,610.75,611.3,600.88,648.20,397.2,"4,209,725","2,529,533,270.65","62,199"
26-May-2023,EQ,591.25,618.0,591.25,605.0,616.15,614.85,606.78,648.20,397.2,"1,570,786","953,126,399.35","30,295"
25-May-2023,EQ,604.6,608.3,594.0,603.7,606.7,605.0,602.54,648.20,397.2,"1,162,631","700,526,564.80","31,988"
24-May-2023,EQ,601.0,606.95,596.4,603.5,604.25,603.7,602.93,648.20,397.2,"612,181","369,101,126.45","16,326"
23-May-2023,EQ,607.0,614.5,601.8,602.75,602.9,603.5,607.67,648.20,397.2,"1,234,348","750,081,795.15","21,292"
22-May-2023,EQ,586.0,607.0,582.15,590.05,607.0,602.75,599.65,648.20,397.2,"1,617,463","969,904,611.50","34,135"
19-May-2023,EQ,598.0,606.55,581.25,599.8,589.15,590.05,589.86,648.20,397.2,"1,923,624","1,134,676,141.60","39,594"
18-May-2023,EQ,619.0,620.55,596.35,619.6,597.45,599.8,608.8,648.20,397.2,"1,171,793","713,382,953.60","31,552"
17-May-2023,EQ,641.4,644.45,617.4,641.45,618.75,619.6,630.91,648.20,397.2,"1,410,055","889,615,261.00","32,703"
16-May-2023,EQ,613.65,648.2,612.0,613.65,640.7,641.45,637.89,648.20,397.2,"4,776,013","3,046,588,627.15","97,359"
15-May-2023,EQ,605.2,615.1,602.6,609.2,613.0,613.65,611.92,623.55,397.2,"809,844","495,556,644.50","22,348"
12-May-2023,EQ,608.7,614.35,599.05,606.4,608.2,609.2,608.69,623.55,397.2,"905,934","551,436,951.55","34,713"
11-May-2023,EQ,618.8,621.65,599.25,618.8,607.45,606.4,606.92,623.55,397.2,"1,099,255","667,156,084.05","27,815"
10-May-2023,EQ,615.0,623.55,611.15,614.15,617.95,618.8,617.34,623.55,397.2,"743,829","459,193,113.20","29,670"
09-May-2023,EQ,617.5,621.9,612.0,618.95,614.4,614.15,615.58,623.25,397.2,"814,965","501,673,305.80","19,305"
08-May-2023,EQ,599.15,620.0,596.2,599.05,617.9,618.95,611.76,623.25,397.2,"1,063,230","650,446,319.45","20,618"
05-May-2023,EQ,613.0,614.65,598.1,612.5,598.6,599.05,603.0,653.00,397.2,"1,157,895","698,206,517.10","22,602"
04-May-2023,EQ,616.6,618.5,609.65,616.55,612.5,612.5,612.44,653.00,397.2,"1,025,268","627,915,937.80","27,060"
03-May-2023,EQ,616.0,622.0,612.2,617.3,616.0,616.55,618.36,653.00,397.2,"722,188","446,573,400.30","22,920"
02-May-2023,EQ,617.95,622.3,610.85,617.0,618.1,617.3,616.67,653.00,397.2,"1,046,718","645,477,296.75","38,503"
28-Apr-2023,EQ,618.0,623.25,606.1,617.45,615.0,617.0,615.61,666.60,397.2,"2,240,326","1,379,173,177.50","72,478"
27-Apr-2023,EQ,613.45,619.7,610.3,613.45,615.85,617.45,615.59,666.60,397.2,"1,860,574","1,145,350,044.65","44,480"
26-Apr-2023,EQ,600.0,615.75,598.65,600.5,613.0,613.45,610.2,666.60,397.2,"3,391,702","2,069,612,908.20","71,673"
25-Apr-2023,EQ,589.7,604.05,581.6,589.65,600.25,600.5,594.38,666.60,397.2,"2,052,267","1,219,826,966.75","45,710"
24-Apr-2023,EQ,590.05,591.15,583.3,588.1,589.65,589.65,587.43,666.60,397.2,"920,680","540,835,571.05","25,761"
21-Apr-2023,EQ,578.0,593.45,576.15,580.75,586.0,588.1,588.92,686.00,397.2,"2,408,719","1,418,534,472.65","49,189"
20-Apr-2023,EQ,591.3,594.6,578.25,587.35,580.4,580.75,585.61,686.00,397.2,"2,249,830","1,317,527,399.45","56,808"
19-Apr-2023,EQ,578.85,595.05,575.35,577.45,587.5,587.35,587.67,686.00,397.2,"3,208,261","1,885,391,925.55","63,449"
18-Apr-2023,EQ,559.35,579.0,557.95,558.55,577.1,577.45,573.1,686.00,397.2,"2,721,527","1,559,699,724.20","54,795"
17-Apr-2023,EQ,565.3,569.2,556.1,565.95,558.0,558.55,562.75,686.00,397.2,"1,419,600","798,878,454.70","34,852"
13-Apr-2023,EQ,561.0,575.0,559.05,561.6,565.3,565.95,566.13,709.95,397.2,"2,184,774","1,236,866,298.95","45,772"
12-Apr-2023,EQ,542.55,563.4,540.65,542.65,562.0,561.6,554.18,709.95,397.2,"3,076,765","1,705,088,043.45","56,152"
11-Apr-2023,EQ,537.4,548.3,536.45,540.75,543.0,542.65,541.96,709.95,397.2,"1,416,926","767,920,373.00","40,190"
10-Apr-2023,EQ,536.0,542.55,533.0,535.1,539.25,540.75,538.38,709.95,397.2,"917,956","494,209,998.80","19,052"
06-Apr-2023,EQ,526.0,536.8,525.3,521.5,535.15,535.1,531.06,714.70,397.2,"1,856,093","985,688,062.00","36,287"
05-Apr-2023,EQ,521.0,524.9,517.45,520.35,522.95,521.5,521.21,714.70,397.2,"1,500,752","782,212,009.35","28,594"
