Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"2,394.85","2,411.10","2,349.85","2,397.05","2,386.30","2,389.15","2,392.23","2,525.00","1,796.30","203,888","487,746,635.05","17,788"
23-Jun-2023,EQ,"2,434.50","2,455.40","2,385.75","2,462.90","2,397.95","2,397.05","2,421.46","2,525.00","1,796.30","361,412","875,145,665.70","32,038"
22-Jun-2023,EQ,"2,483.95","2,489.40","2,433.50","2,476.40","2,450.25","2,462.90","2,463.97","2,525.00","1,796.30","288,293","710,345,399.90","19,461"
21-Jun-2023,EQ,"2,453.45","2,525.00","2,453.45","2,453.45","2,470.00","2,476.40","2,498.87","2,525.00","1,796.30","674,493","1,685,467,498.00","49,038"
20-Jun-2023,EQ,"2,340.00","2,467.80","2,340.00","2,346.85","2,447.60","2,453.45","2,429.07","2,491.95","1,796.30","924,144","2,244,811,056.20","50,071"
19-Jun-2023,EQ,"2,376.00","2,400.00","2,337.00","2,369.00","2,340.05","2,346.85","2,373.56","2,491.95","1,796.30","189,575","449,967,402.40","14,547"
16-Jun-2023,EQ,"2,333.75","2,372.95","2,310.00","2,329.75","2,367.00","2,369.00","2,357.54","2,491.95","1,796.30","298,093","702,765,781.50","23,498"
15-Jun-2023,EQ,"2,325.75","2,344.90","2,318.00","2,322.95","2,331.00","2,329.75","2,332.91","2,491.95","1,796.30","111,923","261,106,618.00","10,333"
14-Jun-2023,EQ,"2,330.00","2,342.60","2,309.15","2,322.60","2,320.00","2,322.95","2,324.05","2,491.95","1,796.30","184,903","429,724,579.30","17,739"
13-Jun-2023,EQ,"2,305.00","2,328.00","2,288.10","2,299.65","2,316.35","2,322.60","2,318.53","2,491.95","1,796.30","263,139","610,095,644.05","20,785"
12-Jun-2023,EQ,"2,275.00","2,304.95","2,251.05","2,265.10","2,301.90","2,299.65","2,290.27","2,491.95","1,796.30","140,398","321,549,982.85","13,055"
09-Jun-2023,EQ,"2,276.00","2,284.90","2,248.25","2,276.15","2,258.00","2,265.10","2,269.68","2,491.95","1,796.30","125,145","284,039,435.30","12,500"
08-Jun-2023,EQ,"2,300.30","2,309.20","2,273.00","2,300.30","2,275.20","2,276.15","2,286.15","2,491.95","1,796.30","134,983","308,590,859.55","10,865"
07-Jun-2023,EQ,"2,305.00","2,318.20","2,288.00","2,297.35","2,295.00","2,300.30","2,302.71","2,491.95","1,796.30","193,743","446,134,446.70","15,273"
06-Jun-2023,EQ,"2,288.80","2,308.95","2,280.00","2,279.25","2,301.95","2,297.35","2,298.61","2,491.95","1,796.30","156,238","359,130,290.40","16,109"
05-Jun-2023,EQ,"2,285.00","2,290.00","2,260.40","2,286.10","2,280.95","2,279.25","2,277.38","2,491.95","1,796.30","195,366","444,923,582.40","19,232"
02-Jun-2023,EQ,"2,291.90","2,312.10","2,272.25","2,287.40","2,283.85","2,286.10","2,285.81","2,491.95","1,796.30","187,306","428,146,089.55","16,804"
01-Jun-2023,EQ,"2,280.95","2,309.80","2,280.00","2,273.80","2,286.20","2,287.40","2,291.31","2,491.95","1,796.30","210,324","481,918,280.95","21,699"
