Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,390.85,394.45,385.45,390.65,387.45,387.95,388.72,430.9,307.3,"997,875","387,896,525.65","16,396"
23-Jun-2023,EQ,407.6,411.7,388.65,407.0,390.5,390.65,398.95,430.9,307.3,"2,909,392","1,160,707,123.50","42,675"
22-Jun-2023,EQ,399.75,416.0,398.5,399.8,407.8,407.0,409.67,430.9,307.3,"6,433,524","2,635,599,704.15","77,444"
21-Jun-2023,EQ,399.0,402.8,395.4,397.85,399.05,399.8,399.61,430.9,307.3,"1,269,014","507,109,948.65","19,895"
20-Jun-2023,EQ,395.3,400.7,387.65,395.05,397.9,397.85,394.86,430.9,307.3,"1,131,888","446,934,537.25","18,754"
19-Jun-2023,EQ,399.0,403.65,393.8,395.9,395.4,395.05,399.0,430.9,307.3,"1,444,367","576,304,549.15","24,353"
16-Jun-2023,EQ,392.1,400.5,392.0,391.0,396.75,395.9,397.01,430.9,307.3,"1,574,199","624,976,358.70","19,759"
15-Jun-2023,EQ,391.4,393.5,386.25,390.25,390.5,391.0,390.26,430.9,307.3,"1,439,373","561,725,366.95","22,817"
14-Jun-2023,EQ,401.5,403.9,389.2,401.35,390.7,390.25,394.85,430.9,307.3,"1,974,161","779,487,893.75","31,386"
13-Jun-2023,EQ,407.6,409.8,400.05,403.55,401.2,401.35,403.44,430.9,307.3,"1,610,544","649,752,213.35","25,590"
12-Jun-2023,EQ,406.8,410.0,398.75,404.7,403.95,403.55,405.16,430.9,307.3,"3,234,336","1,310,438,222.00","33,976"
09-Jun-2023,EQ,400.3,412.4,400.0,395.55,404.55,404.7,406.77,430.9,307.3,"4,801,088","1,952,917,933.25","60,558"
08-Jun-2023,EQ,405.6,407.6,394.65,402.9,395.0,395.55,401.15,430.9,307.3,"1,064,836","427,154,154.90","19,406"
07-Jun-2023,EQ,392.9,406.0,391.1,392.15,403.4,402.9,400.61,430.9,307.3,"1,994,709","799,094,391.05","24,116"
06-Jun-2023,EQ,390.85,393.4,386.15,390.85,392.9,392.15,389.8,430.9,307.3,"512,944","199,944,738.10","10,183"
05-Jun-2023,EQ,394.45,395.7,389.45,392.05,390.5,390.85,391.98,430.9,307.3,"551,728","216,266,025.20","8,212"
02-Jun-2023,EQ,391.5,394.6,390.25,390.5,392.0,392.05,392.55,430.9,307.3,"372,534","146,236,491.05","7,179"
01-Jun-2023,EQ,391.45,396.45,389.1,392.7,390.9,390.5,392.44,430.9,307.3,"498,032","195,448,885.80","8,092"
31-May-2023,EQ,390.75,394.6,390.1,391.5,392.9,392.7,392.31,430.9,307.3,"384,052","150,666,218.55","6,731"
30-May-2023,EQ,394.0,395.05,390.1,393.55,392.25,391.5,392.2,430.9,307.3,"429,120","168,301,498.25","7,160"
