Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,236.6,239.5,233.5,235.75,237.7,236.55,237.05,314.8,182.15,"7,430,712","1,761,485,032.85","51,167"
23-Jun-2023,EQ,239.2,243.4,234.9,238.6,235.9,235.75,238.74,314.8,182.15,"9,582,241","2,287,623,276.95","62,805"
22-Jun-2023,EQ,241.6,242.5,237.3,241.6,238.5,238.6,239.6,314.8,182.15,"8,034,246","1,925,039,891.35","66,230"
21-Jun-2023,EQ,248.0,248.25,241.0,247.0,241.7,241.6,243.38,314.8,182.15,"7,788,940","1,895,695,104.00","72,880"
20-Jun-2023,EQ,249.85,250.8,245.15,249.8,247.0,247.0,247.18,314.8,182.15,"5,129,399","1,267,871,770.25","51,907"
19-Jun-2023,EQ,255.25,255.25,248.4,253.95,250.3,249.8,250.57,314.8,182.15,"5,044,638","1,264,032,008.25","41,649"
16-Jun-2023,EQ,248.0,254.4,246.1,246.95,253.55,253.95,251.1,324.4,182.15,"5,956,570","1,495,681,472.95","38,305"
15-Jun-2023,EQ,254.1,254.1,246.4,252.55,247.1,246.95,248.35,324.4,182.15,"7,586,522","1,884,142,282.40","62,832"
14-Jun-2023,EQ,262.0,262.1,252.0,261.65,252.8,252.55,253.98,324.4,182.15,"8,555,576","2,172,906,308.30","70,832"
13-Jun-2023,EQ,257.85,266.8,257.0,257.1,261.05,261.65,263.02,324.4,182.15,"6,647,196","1,748,352,921.60","43,105"
12-Jun-2023,EQ,257.05,259.4,255.2,256.55,257.25,257.1,257.23,324.4,182.15,"2,428,952","624,798,688.10","20,813"
09-Jun-2023,EQ,260.45,264.45,255.8,260.2,256.5,256.55,260.01,335.5,182.15,"3,902,967","1,014,808,927.00","35,885"
08-Jun-2023,EQ,265.5,266.85,259.5,264.7,260.45,260.2,262.23,335.5,182.15,"4,820,823","1,264,167,046.90","40,113"
07-Jun-2023,EQ,264.8,267.4,261.2,263.75,264.8,264.7,263.83,335.5,182.15,"4,198,993","1,107,831,095.90","36,636"
06-Jun-2023,EQ,263.2,264.8,262.3,263.5,263.85,263.75,263.52,335.5,182.15,"1,933,962","509,636,892.90","15,873"
05-Jun-2023,EQ,265.85,267.4,262.0,265.4,263.05,263.5,264.05,335.5,182.15,"3,345,549","883,396,895.05","25,953"
02-Jun-2023,EQ,268.55,270.75,264.35,268.35,265.2,265.4,266.24,335.5,182.15,"4,045,792","1,077,151,565.85","33,503"
01-Jun-2023,EQ,267.2,272.0,265.9,268.0,268.2,268.35,269.78,335.5,182.15,"5,367,508","1,448,027,861.75","47,094"
31-May-2023,EQ,267.0,269.3,265.05,267.7,266.5,268.0,267.9,335.5,182.15,"12,016,687","3,219,220,941.35","64,938"
30-May-2023,EQ,263.0,268.25,261.5,264.15,267.0,267.7,265.45,335.5,182.15,"5,246,130","1,392,594,819.55","37,244"
29-May-2023,EQ,261.5,265.9,260.7,260.9,264.0,264.15,264.16,335.5,182.15,"6,533,649","1,725,949,399.00","41,620"
26-May-2023,EQ,263.5,264.4,260.05,264.2,260.75,260.9,261.74,335.5,182.15,"4,264,270","1,116,143,210.15","35,950"
25-May-2023,EQ,261.5,264.85,257.0,261.1,263.75,264.2,261.83,335.5,182.15,"13,198,750","3,455,888,702.35","79,759"
24-May-2023,EQ,253.7,262.0,252.5,253.8,260.2,261.1,259.43,335.5,182.15,"17,792,110","4,615,802,669.90","125,125"
23-May-2023,EQ,242.45,255.55,241.55,242.35,253.4,253.8,251.45,335.5,182.15,"16,102,004","4,048,779,883.95","111,281"
22-May-2023,EQ,234.0,244.55,234.0,237.95,241.25,242.35,240.71,335.5,182.15,"12,099,282","2,912,413,521.70","86,966"
19-May-2023,EQ,245.4,246.05,236.15,244.0,238.4,237.95,240.25,349.55,182.15,"7,503,798","1,802,791,622.15","49,496"
18-May-2023,EQ,244.95,248.3,243.2,243.6,244.1,244.0,245.73,349.55,182.15,"7,280,219","1,788,996,243.25","59,134"
17-May-2023,EQ,245.0,245.55,241.1,244.3,244.0,243.6,243.48,349.55,182.15,"6,646,566","1,618,284,353.15","59,547"
16-May-2023,EQ,245.0,246.65,242.5,245.0,245.0,244.3,244.69,349.55,182.15,"6,185,472","1,513,544,548.15","52,430"
15-May-2023,EQ,237.0,245.7,236.7,236.65,243.85,245.0,243.2,349.55,182.15,"7,939,472","1,930,841,076.80","73,244"
12-May-2023,EQ,239.9,240.15,235.8,239.15,237.4,236.65,237.99,349.55,182.15,"5,370,583","1,278,127,556.90","53,657"
11-May-2023,EQ,237.5,241.3,235.05,236.2,238.5,239.15,239.32,349.55,182.15,"8,115,829","1,942,290,140.70","64,730"
10-May-2023,EQ,234.4,236.7,231.9,234.4,236.15,236.2,235.01,349.55,182.15,"4,132,066","971,086,791.00","35,040"
09-May-2023,EQ,234.85,237.45,232.5,234.85,233.85,234.4,234.66,349.55,182.15,"4,734,842","1,111,068,364.70","33,072"
08-May-2023,EQ,230.0,235.35,229.0,229.6,234.05,234.85,233.68,349.55,182.15,"4,266,039","996,869,492.55","29,760"
05-May-2023,EQ,233.0,236.35,229.0,233.4,229.0,229.6,232.02,349.55,182.15,"8,735,519","2,026,848,808.35","45,461"
04-May-2023,EQ,231.9,234.0,231.1,231.9,233.0,233.4,232.87,349.55,182.15,"3,728,857","868,327,365.95","34,606"
03-May-2023,EQ,230.95,234.8,229.6,231.9,231.65,231.9,232.44,349.55,182.15,"6,440,165","1,496,968,689.85","46,435"
02-May-2023,EQ,231.0,232.5,228.85,229.3,231.15,231.9,230.8,349.55,182.15,"7,517,293","1,735,015,772.75","37,664"
28-Apr-2023,EQ,227.0,230.6,226.65,226.85,229.0,229.3,229.14,349.55,182.15,"4,698,996","1,076,716,291.70","33,487"
27-Apr-2023,EQ,224.5,228.0,223.5,223.8,226.6,226.85,225.77,349.55,182.15,"6,220,194","1,404,333,226.80","40,619"
26-Apr-2023,EQ,221.2,224.5,221.2,223.4,224.1,223.8,223.59,349.55,182.15,"6,156,561","1,376,524,026.50","36,107"
25-Apr-2023,EQ,219.9,224.8,219.5,219.8,222.7,223.4,222.88,349.55,182.15,"5,115,842","1,140,236,656.15","34,121"
24-Apr-2023,EQ,220.85,224.55,219.3,220.5,219.9,219.8,222.1,349.55,182.15,"6,698,942","1,487,821,904.95","43,769"
