Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,191.95,192.5,188.9,192.2,190.6,190.75,190.79,198.55,95.6,"13,686,846","2,611,274,172.90","59,968"
23-Jun-2023,EQ,193.3,194.15,190.55,193.3,192.1,192.2,192.49,198.55,89.85,"14,090,074","2,712,161,212.75","61,667"
22-Jun-2023,EQ,198.4,198.55,192.25,198.1,193.55,193.3,194.45,198.55,89.85,"19,689,242","3,828,521,804.55","88,715"
21-Jun-2023,EQ,195.4,198.5,195.0,194.95,198.2,198.1,197.02,198.5,89.85,"19,593,213","3,860,347,633.90","83,995"
20-Jun-2023,EQ,195.0,196.8,193.5,193.75,195.4,194.95,194.88,197.2,89.85,"28,783,695","5,609,235,542.95","149,508"
19-Jun-2023,EQ,188.7,194.9,188.3,188.1,194.15,193.75,192.88,197.2,89.85,"33,267,447","6,416,633,735.15","143,558"
16-Jun-2023,EQ,183.75,188.5,183.5,183.4,187.95,188.1,187.11,197.2,89.85,"15,225,297","2,848,867,560.35","59,656"
15-Jun-2023,EQ,187.0,187.9,182.65,187.45,183.5,183.4,184.7,197.2,89.85,"14,951,075","2,761,530,091.90","73,613"
14-Jun-2023,EQ,188.3,188.4,186.4,187.25,187.5,187.45,187.34,197.2,89.85,"12,464,768","2,335,090,239.10","48,703"
13-Jun-2023,EQ,187.6,188.7,186.8,187.0,187.4,187.25,187.32,197.2,89.85,"7,274,187","1,362,634,317.50","36,806"
12-Jun-2023,EQ,184.9,187.4,184.7,184.85,187.1,187.0,186.48,197.2,89.85,"7,693,347","1,434,651,821.70","34,795"
09-Jun-2023,EQ,187.6,187.75,184.1,187.45,184.9,184.85,185.85,197.2,89.85,"10,197,155","1,895,095,578.70","49,488"
08-Jun-2023,EQ,187.45,189.15,186.1,187.4,187.6,187.45,187.67,197.2,89.85,"13,367,812","2,508,782,091.10","65,689"
