Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,624.90","1,645.00","1,617.35","1,625.50","1,640.80","1,643.30","1,636.35","2,004.90","1,381.05","360,561","590,002,251.10","9,439"
23-Jun-2023,EQ,"1,634.10","1,636.50","1,614.45","1,636.50","1,628.00","1,625.50","1,623.92","2,004.90","1,381.05","133,758","217,212,220.20","8,629"
22-Jun-2023,EQ,"1,655.00","1,655.00","1,631.05","1,650.05","1,637.00","1,636.50","1,645.58","2,004.90","1,381.05","486,616","800,763,485.15","15,873"
21-Jun-2023,EQ,"1,640.95","1,663.15","1,640.95","1,640.80","1,653.00","1,650.05","1,651.97","2,004.90","1,381.05","393,095","649,380,745.25","21,501"
20-Jun-2023,EQ,"1,616.55","1,643.30","1,616.55","1,626.20","1,642.95","1,640.80","1,636.54","2,004.90","1,381.05","278,138","455,183,073.55","15,473"
19-Jun-2023,EQ,"1,613.95","1,631.00","1,612.00","1,616.10","1,626.00","1,626.20","1,622.11","2,004.90","1,381.05","165,647","268,696,878.20","7,601"
16-Jun-2023,EQ,"1,617.95","1,634.15","1,605.40","1,614.60","1,613.95","1,616.10","1,621.44","2,004.90","1,381.05","313,460","508,256,457.55","13,283"
15-Jun-2023,EQ,"1,607.00","1,620.00","1,593.90","1,603.20","1,617.00","1,614.60","1,611.65","2,004.90","1,381.05","336,288","541,979,781.40","14,291"
14-Jun-2023,EQ,"1,607.00","1,615.95","1,593.65","1,599.40","1,600.05","1,603.20","1,606.50","2,004.90","1,381.05","537,832","864,026,890.25","21,834"
13-Jun-2023,EQ,"1,578.00","1,605.00","1,578.00","1,573.40","1,604.95","1,599.40","1,593.20","2,004.90","1,381.05","263,679","420,094,204.00","17,208"
12-Jun-2023,EQ,"1,560.80","1,579.00","1,560.80","1,575.10","1,578.00","1,573.40","1,574.13","2,004.90","1,381.05","173,327","272,839,766.60","8,343"
09-Jun-2023,EQ,"1,590.00","1,590.00","1,565.25","1,581.20","1,575.00","1,575.10","1,575.73","2,004.90","1,381.05","96,441","151,964,505.40","7,715"
08-Jun-2023,EQ,"1,592.30","1,597.05","1,567.10","1,592.30","1,581.85","1,581.20","1,580.54","2,004.90","1,381.05","152,266","240,662,497.15","8,271"
07-Jun-2023,EQ,"1,578.00","1,594.00","1,573.30","1,577.90","1,588.40","1,592.30","1,587.15","2,004.90","1,381.05","124,897","198,229,871.45","8,584"
06-Jun-2023,EQ,"1,577.05","1,583.45","1,562.85","1,576.70","1,579.00","1,577.90","1,571.52","2,004.90","1,381.05","93,132","146,358,735.95","7,332"
05-Jun-2023,EQ,"1,559.70","1,581.95","1,559.70","1,557.90","1,577.00","1,576.70","1,573.71","2,004.90","1,381.05","110,174","173,382,395.35","7,038"
02-Jun-2023,EQ,"1,580.00","1,583.75","1,555.50","1,577.85","1,559.70","1,557.90","1,566.73","2,004.90","1,381.05","260,202","407,667,006.90","14,754"
01-Jun-2023,EQ,"1,590.00","1,599.95","1,571.80","1,584.15","1,577.00","1,577.85","1,583.19","2,004.90","1,381.05","76,898","121,744,398.75","6,661"
31-May-2023,EQ,"1,576.25","1,587.20","1,571.40","1,576.25","1,581.00","1,584.15","1,582.05","2,004.90","1,381.05","239,862","379,474,579.60","10,069"
30-May-2023,EQ,"1,578.00","1,596.00","1,570.00","1,576.60","1,571.50","1,576.25","1,584.85","2,004.90","1,381.05","263,320","417,321,703.05","13,263"
29-May-2023,EQ,"1,586.50","1,589.40","1,569.30","1,581.90","1,578.50","1,576.60","1,575.82","2,004.90","1,381.05","91,619","144,375,286.40","7,024"
26-May-2023,EQ,"1,571.85","1,586.30","1,560.00","1,560.80","1,580.00","1,581.90","1,574.76","2,004.90","1,381.05","221,969","349,547,910.75","15,025"
25-May-2023,EQ,"1,535.00","1,572.20","1,535.00","1,535.00","1,564.20","1,560.80","1,559.06","2,004.90","1,381.05","526,969","821,578,127.70","19,872"
24-May-2023,EQ,"1,520.00","1,541.85","1,514.50","1,527.35","1,535.00","1,535.00","1,533.33","2,004.90","1,381.05","269,687","413,518,723.10","14,907"
23-May-2023,EQ,"1,530.00","1,534.30","1,511.15","1,531.00","1,527.00","1,527.35","1,522.87","2,004.90","1,381.05","232,055","353,389,058.60","15,433"
22-May-2023,EQ,"1,534.90","1,538.65","1,509.00","1,534.15","1,530.00","1,531.00","1,525.82","2,004.90","1,381.05","235,124","358,756,381.70","15,967"
19-May-2023,EQ,"1,553.00","1,596.40","1,518.45","1,525.55","1,531.00","1,534.15","1,556.33","2,004.90","1,381.05","1,293,277","2,012,760,957.10","54,988"
18-May-2023,EQ,"1,536.05","1,544.45","1,517.55","1,532.15","1,524.00","1,525.55","1,528.60","2,004.90","1,381.05","157,320","240,479,843.95","11,290"
17-May-2023,EQ,"1,543.20","1,551.50","1,521.20","1,543.20","1,532.15","1,532.15","1,532.81","2,004.90","1,381.05","177,822","272,566,659.75","12,968"
16-May-2023,EQ,"1,545.60","1,552.45","1,535.00","1,541.20","1,542.00","1,543.20","1,545.02","2,004.90","1,381.05","152,171","235,107,283.50","10,565"
15-May-2023,EQ,"1,524.45","1,549.90","1,519.00","1,524.45","1,541.95","1,541.20","1,538.29","2,004.90","1,381.05","276,771","425,752,699.70","15,733"
12-May-2023,EQ,"1,537.70","1,539.95","1,517.25","1,529.45","1,518.55","1,524.45","1,530.76","2,004.90","1,381.05","260,980","399,496,799.35","15,770"
