Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,121.0,122.55,120.0,120.05,121.75,121.4,121.16,341.6,87.0,"17,369,553","2,104,471,441.40","71,769"
23-Jun-2023,EQ,123.75,123.9,119.5,123.45,119.9,120.05,121.56,341.6,87.0,"12,413,343","1,508,905,436.40","81,427"
22-Jun-2023,EQ,123.55,127.35,122.8,122.8,123.65,123.45,124.85,341.6,87.0,"25,032,998","3,125,474,352.15","116,277"
21-Jun-2023,EQ,126.15,126.3,121.75,125.15,122.95,122.8,124.62,341.6,87.0,"14,141,162","1,762,331,689.25","60,092"
20-Jun-2023,EQ,125.0,126.75,123.9,124.85,125.2,125.15,125.03,341.6,87.0,"15,471,361","1,934,362,940.85","91,723"
19-Jun-2023,EQ,126.35,126.35,124.45,125.2,125.15,124.85,125.53,341.6,87.0,"10,053,869","1,262,023,602.90","82,001"
16-Jun-2023,EQ,122.3,127.25,121.65,121.95,125.0,125.2,124.96,341.6,87.0,"32,649,860","4,079,961,019.20","99,377"
15-Jun-2023,EQ,121.4,122.75,120.05,121.4,121.9,121.95,121.78,341.6,87.0,"13,948,239","1,698,626,977.25","51,440"
14-Jun-2023,EQ,122.35,123.15,121.1,122.1,121.15,121.4,121.93,341.6,87.0,"8,660,080","1,055,914,498.50","51,388"
13-Jun-2023,EQ,119.9,122.45,118.9,119.1,122.3,122.1,121.12,341.6,87.0,"16,552,079","2,004,784,113.40","57,139"
12-Jun-2023,EQ,120.95,123.9,118.75,120.35,119.45,119.1,121.27,341.6,87.0,"24,331,332","2,950,741,256.05","132,041"
09-Jun-2023,EQ,118.0,121.45,116.7,117.55,120.4,120.35,119.65,341.6,87.0,"19,873,573","2,377,891,629.65","89,830"
08-Jun-2023,EQ,118.5,118.7,116.4,118.05,117.75,117.55,117.49,341.6,87.0,"11,188,999","1,314,554,864.75","44,415"
07-Jun-2023,EQ,118.75,119.0,117.5,118.05,118.1,118.05,118.11,341.6,87.0,"11,262,532","1,330,247,306.45","62,771"
06-Jun-2023,EQ,116.25,118.5,115.9,115.65,118.0,118.05,117.37,341.6,87.0,"18,999,553","2,229,886,771.10","64,000"
05-Jun-2023,EQ,113.35,118.65,113.35,113.3,115.8,115.65,116.98,341.6,87.0,"35,214,281","4,119,490,049.35","131,975"
02-Jun-2023,EQ,113.4,113.5,112.0,112.9,113.05,113.3,112.77,341.6,87.0,"9,939,324","1,120,857,368.55","61,382"
01-Jun-2023,EQ,112.2,113.45,112.0,112.15,112.9,112.9,112.91,341.6,87.0,"9,185,292","1,037,111,757.70","67,563"
31-May-2023,EQ,110.55,112.45,110.2,111.25,112.2,112.15,111.64,341.6,87.0,"15,741,522","1,757,341,707.45","50,106"
30-May-2023,EQ,111.45,112.6,111.0,111.45,111.15,111.25,111.73,341.6,87.0,"7,803,617","871,903,020.05","39,508"
29-May-2023,EQ,111.0,111.8,110.2,110.7,111.7,111.45,111.12,341.6,87.0,"10,330,215","1,147,885,086.60","54,752"
26-May-2023,EQ,109.55,111.0,109.1,109.6,110.55,110.7,110.3,341.6,87.0,"7,958,341","877,793,475.95","38,341"
25-May-2023,EQ,108.0,110.75,108.0,108.8,109.6,109.6,109.79,341.6,87.0,"11,158,044","1,225,076,352.40","44,128"
