Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,676.95,682.45,671.3,675.65,675.65,677.0,678.3,710.3,527.15,"611,164","414,551,676.30","18,557"
23-Jun-2023,EQ,669.95,678.75,669.05,670.05,672.85,675.65,674.22,710.3,527.15,"798,558","538,407,618.95","24,619"
22-Jun-2023,EQ,682.1,689.0,668.5,683.5,671.0,670.05,675.81,710.3,527.15,"499,139","337,324,281.85","18,083"
21-Jun-2023,EQ,677.95,688.5,675.0,674.8,682.0,683.5,681.99,710.3,527.15,"751,340","512,407,795.15","27,065"
20-Jun-2023,EQ,672.5,680.5,667.0,675.6,677.95,674.8,671.88,710.3,527.15,"494,281","332,097,305.50","24,336"
19-Jun-2023,EQ,673.55,684.3,672.05,673.55,675.0,675.6,679.08,710.3,527.15,"545,584","370,497,232.20","18,775"
16-Jun-2023,EQ,675.15,680.0,671.4,676.75,676.0,673.55,674.44,710.3,527.15,"652,916","440,352,274.75","18,991"
15-Jun-2023,EQ,667.5,679.8,667.5,670.3,676.5,676.75,676.07,710.3,527.15,"747,743","505,528,006.05","23,593"
14-Jun-2023,EQ,671.0,674.5,665.55,669.15,670.5,670.3,669.78,710.3,527.15,"860,464","576,317,569.50","29,977"
13-Jun-2023,EQ,652.95,673.0,651.55,648.3,669.75,669.15,667.22,710.3,527.15,"2,083,611","1,390,222,312.50","45,295"
12-Jun-2023,EQ,648.2,652.7,639.25,647.7,649.0,648.3,646.07,710.3,527.15,"680,967","439,950,101.45","23,583"
09-Jun-2023,EQ,654.95,666.7,646.5,650.3,647.0,647.7,656.4,710.3,527.15,"1,453,155","953,849,938.10","35,884"
08-Jun-2023,EQ,655.0,657.45,647.6,652.55,650.5,650.3,651.24,710.3,527.15,"290,823","189,396,225.15","12,773"
07-Jun-2023,EQ,655.0,659.9,650.25,652.3,652.7,652.55,654.07,710.3,527.15,"425,571","278,353,505.85","15,094"
06-Jun-2023,EQ,651.0,654.75,647.1,650.1,654.0,652.3,649.72,710.3,527.15,"790,500","513,601,815.95","16,601"
05-Jun-2023,EQ,652.45,656.0,646.5,652.45,650.3,650.1,649.86,710.3,527.15,"509,474","331,085,186.45","15,793"
02-Jun-2023,EQ,655.0,656.0,646.0,650.5,652.0,652.45,650.1,710.3,527.15,"410,429","266,818,747.40","21,684"
01-Jun-2023,EQ,652.5,659.75,649.5,650.45,650.3,650.5,654.55,710.3,527.15,"632,165","413,782,487.00","25,391"
31-May-2023,EQ,648.0,654.7,643.3,648.85,652.5,650.45,650.57,710.3,527.15,"1,397,605","909,243,718.75","31,622"
30-May-2023,EQ,641.0,650.7,637.65,640.95,648.5,648.85,646.04,710.3,527.15,"819,842","529,649,339.45","28,159"
29-May-2023,EQ,650.0,652.6,638.25,647.1,641.0,640.95,644.32,710.3,527.15,"362,750","233,725,357.70","13,997"
26-May-2023,EQ,641.85,648.5,638.05,641.6,647.0,647.1,644.49,710.3,527.15,"842,708","543,115,783.55","22,569"
25-May-2023,EQ,633.0,643.5,630.2,634.5,640.25,641.6,638.31,710.3,527.15,"678,334","432,989,441.80","19,041"
24-May-2023,EQ,629.95,638.0,624.55,630.2,634.2,634.5,633.7,710.3,527.15,"616,312","390,557,603.45","15,226"
23-May-2023,EQ,626.5,633.4,624.1,626.2,630.0,630.2,629.64,710.3,527.15,"688,934","433,779,328.10","17,825"
22-May-2023,EQ,621.2,629.25,615.05,625.25,625.5,626.2,625.21,710.3,527.15,"426,200","266,465,675.40","14,026"
19-May-2023,EQ,625.0,629.75,617.0,622.75,624.7,625.25,624.23,710.3,527.15,"864,620","539,724,214.85","22,215"
18-May-2023,EQ,621.0,626.3,617.75,620.1,624.0,622.75,622.7,710.3,527.15,"645,528","401,973,151.00","16,354"
17-May-2023,EQ,613.0,624.5,610.5,612.1,620.95,620.1,617.34,710.3,527.15,"1,031,762","636,951,057.70","28,334"
16-May-2023,EQ,622.7,633.6,610.6,629.2,612.0,612.1,622.14,710.3,527.15,"2,424,663","1,508,480,943.00","63,446"
15-May-2023,EQ,633.5,637.0,625.8,633.65,628.05,629.2,630.9,710.3,527.15,"740,517","467,193,472.30","26,177"
12-May-2023,EQ,639.35,642.9,626.0,636.75,633.25,633.65,636.09,710.3,527.15,"942,349","599,417,258.90","28,897"
11-May-2023,EQ,628.4,639.0,626.0,628.25,638.0,636.75,633.61,710.3,527.15,"849,488","538,244,450.65","24,071"
10-May-2023,EQ,626.5,632.95,624.0,626.5,628.4,628.25,628.76,710.3,527.15,"695,917","437,565,993.15","20,581"
09-May-2023,EQ,620.0,632.95,617.35,619.75,625.5,626.5,627.91,710.3,527.15,"1,072,909","673,693,891.80","33,180"
08-May-2023,EQ,615.0,621.6,607.55,617.25,618.25,619.75,616.34,710.3,527.15,"595,177","366,828,600.60","20,520"
05-May-2023,EQ,620.0,625.0,615.4,620.55,615.5,617.25,620.06,716.85,527.15,"253,697","157,306,486.70","11,719"
04-May-2023,EQ,615.45,625.3,613.85,614.1,620.2,620.55,621.05,716.85,527.15,"595,650","369,927,487.10","16,262"
03-May-2023,EQ,618.0,625.0,612.05,614.9,613.95,614.1,620.28,716.85,527.15,"1,011,092","627,157,840.35","27,490"
02-May-2023,EQ,612.05,619.0,611.0,610.35,614.05,614.9,615.38,716.85,527.15,"633,368","389,759,937.85","27,273"
28-Apr-2023,EQ,601.5,611.9,595.65,602.6,609.95,610.35,604.46,736.85,527.15,"610,558","369,060,676.25","21,138"
27-Apr-2023,EQ,606.45,612.0,599.0,604.75,600.0,602.6,605.29,736.85,527.15,"756,165","457,701,530.55","25,915"
26-Apr-2023,EQ,595.0,606.8,594.1,594.05,606.0,604.75,601.59,736.85,527.15,"669,046","402,488,428.25","19,400"
25-Apr-2023,EQ,592.0,596.0,587.05,592.85,595.0,594.05,591.27,736.85,527.15,"353,219","208,848,615.75","13,167"
24-Apr-2023,EQ,588.0,596.1,588.0,584.6,592.5,592.85,592.35,736.85,527.15,"581,719","344,582,745.70","17,345"
21-Apr-2023,EQ,579.8,588.4,578.05,576.8,586.0,584.6,584.73,736.85,527.15,"696,120","407,041,467.65","18,531"
20-Apr-2023,EQ,576.15,579.55,573.8,575.65,578.5,576.8,576.55,736.85,527.15,"252,730","145,712,027.70","15,710"
19-Apr-2023,EQ,580.0,581.8,574.0,579.7,574.8,575.65,577.53,736.85,527.15,"248,417","143,468,837.90","11,593"
18-Apr-2023,EQ,580.8,583.45,576.55,580.75,579.9,579.7,580.09,736.85,527.15,"212,091","123,032,295.00","9,983"
17-Apr-2023,EQ,578.6,584.95,574.0,578.6,580.5,580.75,580.22,736.85,527.15,"318,728","184,932,580.55","14,560"
13-Apr-2023,EQ,582.6,585.35,578.0,583.9,578.0,578.6,581.31,743.0,527.15,"335,351","194,942,668.20","16,335"
12-Apr-2023,EQ,578.0,587.4,573.2,574.0,581.85,583.9,581.62,743.0,527.15,"823,531","478,983,171.95","25,123"
11-Apr-2023,EQ,595.0,595.0,570.15,595.25,574.0,574.0,577.12,743.0,527.15,"1,343,213","775,191,236.25","35,937"
10-Apr-2023,EQ,598.0,599.0,592.55,597.2,595.7,595.25,595.12,743.0,527.15,"332,389","197,811,700.90","11,331"
06-Apr-2023,EQ,592.0,600.6,591.0,592.0,597.4,597.2,598.09,743.0,527.15,"904,437","540,938,119.70","22,757"
05-Apr-2023,EQ,578.85,594.45,575.55,579.6,591.95,592.0,586.4,743.0,527.15,"479,115","280,955,107.40","18,653"
03-Apr-2023,EQ,579.0,586.0,567.85,581.7,578.35,579.6,577.13,743.0,527.15,"991,603","572,279,464.45","26,001"
31-Mar-2023,EQ,574.0,583.35,570.8,573.25,579.55,581.7,578.92,743.0,527.15,"454,992","263,406,022.90","21,555"
29-Mar-2023,EQ,574.0,582.0,569.65,574.0,573.7,573.25,576.64,743.0,527.15,"867,598","500,295,690.15","27,595"
28-Mar-2023,EQ,573.5,575.75,565.2,576.8,574.55,574.0,571.83,743.0,527.15,"432,586","247,367,593.25","16,337"
27-Mar-2023,EQ,576.4,580.55,570.3,573.7,577.55,576.8,576.36,743.0,527.15,"378,127","217,936,202.70","11,520"
24-Mar-2023,EQ,575.1,577.85,568.1,575.95,575.0,573.7,573.1,743.0,527.15,"507,905","291,082,632.40","20,551"
23-Mar-2023,EQ,592.9,592.9,573.85,594.25,576.8,575.95,579.22,743.0,527.15,"919,483","532,584,914.75","34,615"
22-Mar-2023,EQ,592.9,601.75,591.05,594.7,592.1,594.25,595.44,743.0,527.15,"414,423","246,762,922.30","19,603"
21-Mar-2023,EQ,596.9,598.7,591.0,596.3,595.0,594.7,594.62,743.0,527.15,"514,862","306,148,648.60","14,826"
20-Mar-2023,EQ,592.5,600.0,586.85,593.45,596.05,596.3,593.82,743.0,527.15,"663,282","393,868,843.95","21,634"
17-Mar-2023,EQ,605.7,608.9,590.85,603.7,592.0,593.45,597.59,743.0,527.15,"904,634","540,603,152.90","30,112"
16-Mar-2023,EQ,598.0,605.0,590.25,591.15,604.65,603.7,599.7,743.0,527.15,"1,481,680","888,566,405.95","34,584"
15-Mar-2023,EQ,583.0,592.0,582.45,581.6,591.1,591.15,588.94,743.0,527.15,"924,989","544,764,288.70","36,995"
14-Mar-2023,EQ,582.75,584.0,570.15,580.05,581.0,581.6,579.31,743.0,527.15,"565,905","327,835,254.15","29,573"
13-Mar-2023,EQ,585.1,589.55,575.45,589.1,583.0,580.05,581.98,743.0,527.15,"853,527","496,735,155.20","21,189"
10-Mar-2023,EQ,589.95,591.0,580.1,590.1,589.9,589.1,586.31,743.0,527.15,"537,767","315,300,583.70","23,636"
09-Mar-2023,EQ,587.45,593.05,583.65,587.45,589.95,590.1,588.69,743.0,527.15,"850,225","500,519,174.15","25,940"
08-Mar-2023,EQ,585.0,589.0,578.9,586.3,586.0,587.45,584.86,743.0,527.15,"421,990","246,805,286.70","18,404"
06-Mar-2023,EQ,583.95,589.0,579.75,580.75,589.0,586.3,584.97,743.0,527.15,"574,922","336,312,574.25","21,421"
03-Mar-2023,EQ,583.5,588.85,576.6,582.75,582.2,580.75,581.64,743.0,527.15,"847,355","492,856,328.05","29,317"
02-Mar-2023,EQ,580.0,584.3,576.45,580.7,583.0,582.75,580.98,743.0,527.15,"904,532","525,511,271.50","17,258"
01-Mar-2023,EQ,583.0,585.4,576.0,579.6,581.55,580.7,581.04,743.0,527.15,"1,102,700","640,718,147.85","26,102"
28-Feb-2023,EQ,553.0,582.95,550.55,556.95,582.0,579.6,572.62,743.0,527.15,"1,174,180","672,362,822.80","31,656"
27-Feb-2023,EQ,556.25,559.15,549.55,558.05,557.5,556.95,554.45,743.0,527.15,"345,098","191,340,809.00","15,042"
24-Feb-2023,EQ,561.0,565.0,557.4,560.65,558.35,558.05,560.92,743.0,527.15,"821,838","460,983,656.75","15,022"
23-Feb-2023,EQ,567.0,568.4,552.55,566.55,561.5,560.65,559.16,743.0,527.15,"710,381","397,218,321.70","24,203"
22-Feb-2023,EQ,567.0,569.95,560.0,570.6,567.0,566.55,563.44,743.0,527.15,"886,640","499,571,907.70","16,845"
21-Feb-2023,EQ,575.0,575.0,564.05,570.4,571.0,570.6,569.51,743.0,527.15,"627,140","357,161,540.05","14,636"
20-Feb-2023,EQ,572.1,573.0,563.65,568.95,570.0,570.4,568.71,743.0,527.15,"546,220","310,638,792.20","14,959"
17-Feb-2023,EQ,562.75,569.85,560.7,562.3,568.5,568.95,566.65,743.0,527.15,"590,723","334,734,424.25","18,672"
16-Feb-2023,EQ,560.0,563.6,555.15,558.65,563.45,562.3,561.28,743.0,527.15,"400,849","224,989,642.70","17,947"
15-Feb-2023,EQ,554.2,559.7,551.25,554.2,558.2,558.65,556.8,743.0,527.15,"345,677","192,472,907.70","19,463"
14-Feb-2023,EQ,561.6,561.6,553.1,558.65,556.1,554.2,555.42,743.0,527.15,"462,132","256,676,046.70","21,765"
13-Feb-2023,EQ,571.6,573.35,558.0,571.6,560.65,558.65,563.99,743.0,527.15,"507,300","286,111,100.95","13,573"
10-Feb-2023,EQ,570.0,572.55,564.0,568.55,571.4,571.6,569.15,743.0,527.15,"439,177","249,959,549.85","13,684"
09-Feb-2023,EQ,563.0,571.25,561.8,563.25,568.8,568.55,568.23,743.0,527.15,"521,088","296,096,416.95","17,941"
08-Feb-2023,EQ,563.0,565.0,554.7,562.45,563.5,563.25,559.86,743.0,527.15,"468,699","262,406,254.50","19,590"
07-Feb-2023,EQ,565.0,569.0,553.05,563.65,562.95,562.45,559.97,743.0,527.15,"572,284","320,463,532.00","21,934"
06-Feb-2023,EQ,559.0,565.4,552.25,558.3,563.0,563.65,560.35,743.0,527.15,"594,738","333,258,931.50","22,845"
03-Feb-2023,EQ,530.0,560.85,527.15,540.6,558.85,558.3,550.04,748.8,527.15,"2,209,596","1,215,373,202.90","63,821"
02-Feb-2023,EQ,544.2,553.25,536.55,549.75,540.5,540.6,545.32,748.8,534.05,"733,659","400,077,338.80","30,165"
01-Feb-2023,EQ,552.75,562.85,544.0,549.15,550.0,549.75,555.68,748.8,534.05,"536,757","298,263,471.45","22,448"
31-Jan-2023,EQ,555.75,559.95,547.3,554.1,552.75,549.15,552.71,748.8,534.05,"555,410","306,981,925.15","25,502"
30-Jan-2023,EQ,542.2,557.65,539.2,539.5,555.7,554.1,550.56,748.8,534.05,"612,638","337,296,614.50","30,310"
27-Jan-2023,EQ,549.9,552.15,534.05,548.75,541.45,539.5,541.4,749.1,534.05,"616,557","333,806,552.15","36,285"
25-Jan-2023,EQ,562.0,564.0,546.5,562.0,550.05,548.75,552.74,749.1,543.6,"880,591","486,733,804.00","36,201"
24-Jan-2023,EQ,564.7,568.7,559.85,564.65,562.5,562.0,564.54,749.1,543.6,"437,301","246,874,396.50","15,646"
23-Jan-2023,EQ,558.95,565.0,554.05,557.15,564.0,564.65,560.36,749.1,543.6,"299,042","167,570,478.00","12,083"
20-Jan-2023,EQ,564.25,565.5,553.25,563.65,557.45,557.15,557.36,780.9,543.6,"842,518","469,588,369.20","32,796"
19-Jan-2023,EQ,574.9,576.1,561.45,574.8,563.0,563.65,568.02,780.9,543.6,"593,767","337,271,225.85","26,115"
18-Jan-2023,EQ,569.7,575.65,565.5,567.7,574.9,574.8,571.71,780.9,543.6,"380,235","217,385,438.75","20,579"
17-Jan-2023,EQ,560.95,569.85,560.0,560.0,569.8,567.7,563.63,780.9,543.6,"695,586","392,052,089.90","18,377"
16-Jan-2023,EQ,565.65,565.65,558.05,562.15,560.0,560.0,560.44,780.9,543.6,"349,229","195,720,884.10","15,984"
13-Jan-2023,EQ,564.75,564.75,556.5,561.95,564.0,562.15,560.15,799.45,543.6,"507,504","284,279,447.70","26,585"
12-Jan-2023,EQ,562.55,565.9,556.15,561.3,561.8,561.95,561.88,799.45,543.6,"593,139","333,275,343.15","24,008"
11-Jan-2023,EQ,565.5,569.55,558.05,566.85,562.5,561.3,561.97,799.45,543.6,"836,201","469,920,401.90","31,379"
10-Jan-2023,EQ,570.5,571.95,565.3,568.65,568.0,566.85,567.7,799.45,543.6,"420,985","238,995,257.60","17,366"
09-Jan-2023,EQ,571.35,574.95,565.2,568.4,570.7,568.65,569.4,799.45,543.6,"441,110","251,169,851.30","20,648"
06-Jan-2023,EQ,573.0,574.45,564.5,573.0,569.0,568.4,569.05,799.45,543.6,"433,455","246,658,788.45","20,619"
05-Jan-2023,EQ,577.05,582.55,571.55,573.65,574.9,573.0,575.35,799.45,543.6,"396,000","227,837,934.50","17,390"
04-Jan-2023,EQ,581.65,582.7,572.05,579.05,574.75,573.65,576.47,799.45,543.6,"398,497","229,721,385.90","17,140"
03-Jan-2023,EQ,577.3,584.15,577.3,577.3,579.75,579.05,580.92,799.45,543.6,"333,768","193,892,326.80","16,435"
02-Jan-2023,EQ,584.4,586.0,573.05,581.35,578.2,577.3,576.43,799.45,543.6,"484,786","279,446,105.15","19,355"
30-Dec-2022,EQ,585.95,588.0,580.05,584.15,582.45,581.35,583.91,799.45,543.6,"323,551","188,924,148.40","15,785"
29-Dec-2022,EQ,589.25,590.4,581.5,591.05,584.95,584.15,584.49,799.45,543.6,"492,663","287,956,879.85","20,188"
28-Dec-2022,EQ,589.95,599.9,583.6,590.95,592.0,591.05,593.3,799.45,543.6,"820,562","486,837,235.50","25,257"
27-Dec-2022,EQ,586.8,594.7,586.05,585.4,592.5,590.95,590.47,799.45,543.6,"488,127","288,224,967.70","13,248"
26-Dec-2022,EQ,573.0,587.4,569.1,575.55,587.0,585.4,580.71,799.45,543.6,"462,317","268,471,889.90","17,267"
23-Dec-2022,EQ,585.0,589.0,573.0,592.25,575.2,575.55,579.13,799.45,543.6,"657,845","380,979,348.05","30,498"
22-Dec-2022,EQ,594.5,596.4,587.25,590.35,592.0,592.25,591.06,799.45,543.6,"497,030","293,776,896.80","15,966"
21-Dec-2022,EQ,593.0,599.0,585.6,591.85,590.0,590.35,593.71,799.45,543.6,"403,872","239,781,560.70","16,382"
20-Dec-2022,EQ,589.95,593.0,583.7,592.1,592.45,591.85,588.12,799.45,543.6,"466,254","274,211,088.45","22,468"
19-Dec-2022,EQ,597.85,599.45,590.0,594.85,592.6,592.1,593.36,799.45,543.6,"396,138","235,051,172.55","16,710"
16-Dec-2022,EQ,605.0,605.0,589.35,605.45,597.0,594.85,595.33,799.45,543.6,"1,038,990","618,539,458.70","40,098"
15-Dec-2022,EQ,608.0,611.35,603.2,608.45,606.7,605.45,606.87,799.45,543.6,"444,727","269,892,210.75","19,828"
14-Dec-2022,EQ,612.85,616.0,607.1,611.3,609.5,608.45,611.81,799.45,543.6,"409,731","250,677,564.65","17,883"
13-Dec-2022,EQ,623.0,623.45,608.0,622.4,611.5,611.3,612.64,799.45,543.6,"825,001","505,428,606.90","28,526"
12-Dec-2022,EQ,615.15,623.55,602.75,615.15,623.0,622.4,617.24,799.45,543.6,"1,166,892","720,249,328.20","29,359"
09-Dec-2022,EQ,625.0,626.15,609.45,619.3,615.0,615.15,618.42,799.45,543.6,"436,859","270,161,050.65","15,428"
08-Dec-2022,EQ,623.2,630.0,616.7,621.35,620.0,619.3,622.16,799.45,543.6,"631,854","393,113,446.95","26,256"
07-Dec-2022,EQ,622.9,627.6,617.4,618.5,619.4,621.35,622.76,799.45,543.6,"699,570","435,667,595.15","20,120"
06-Dec-2022,EQ,622.0,623.7,615.0,622.2,619.75,618.5,618.65,799.45,543.6,"356,837","220,757,262.85","17,718"
05-Dec-2022,EQ,617.05,628.0,613.8,616.4,622.0,622.2,623.15,799.45,543.6,"852,853","531,457,651.00","26,191"
02-Dec-2022,EQ,620.4,620.4,614.0,620.45,616.2,616.4,616.18,799.45,543.6,"550,726","339,347,476.50","19,948"
01-Dec-2022,EQ,623.0,624.8,618.5,622.4,620.7,620.45,620.82,799.45,543.6,"510,536","316,949,587.70","14,339"
30-Nov-2022,EQ,611.0,623.75,611.0,612.2,622.0,622.4,620.55,799.45,543.6,"1,182,037","733,518,746.65","25,255"
29-Nov-2022,EQ,621.2,622.0,611.1,619.4,612.25,612.2,616.47,799.45,543.6,"550,358","339,281,450.65","17,295"
28-Nov-2022,EQ,622.0,627.0,617.0,616.7,617.0,619.4,622.63,799.45,543.6,"843,757","525,351,252.70","23,347"
25-Nov-2022,EQ,614.85,617.65,608.0,614.85,616.95,616.7,613.76,799.45,543.6,"484,792","297,546,837.25","11,606"
24-Nov-2022,EQ,618.05,621.9,613.4,613.95,615.5,614.85,617.6,799.45,543.6,"711,079","439,161,217.35","18,947"
23-Nov-2022,EQ,611.0,614.7,605.7,609.65,613.75,613.95,611.59,799.45,543.6,"554,841","339,333,618.05","22,316"
22-Nov-2022,EQ,605.15,611.0,602.3,605.1,610.0,609.65,607.41,799.45,543.6,"471,072","286,133,564.60","18,863"
21-Nov-2022,EQ,606.6,607.65,600.15,603.55,604.0,605.1,604.6,799.45,543.6,"506,871","306,456,268.75","20,289"
18-Nov-2022,EQ,613.0,613.35,600.0,609.8,603.5,603.55,604.68,813.2,543.6,"760,035","459,577,711.25","22,569"
17-Nov-2022,EQ,609.0,613.7,604.25,608.55,605.95,609.8,609.01,813.2,543.6,"536,093","326,487,319.35","21,119"
16-Nov-2022,EQ,605.0,611.5,602.25,609.3,607.95,608.55,607.34,813.2,543.6,"585,044","355,322,985.55","18,881"
15-Nov-2022,EQ,605.0,610.25,596.45,601.4,609.4,609.3,604.32,813.2,543.6,"568,357","343,468,954.85","19,631"
14-Nov-2022,EQ,602.0,607.8,597.6,598.1,600.0,601.4,603.85,813.2,543.6,"750,772","453,353,429.65","26,980"
11-Nov-2022,EQ,590.0,602.35,583.25,583.15,597.6,598.1,592.87,813.2,543.6,"1,139,923","675,827,596.50","29,872"
10-Nov-2022,EQ,588.7,589.0,576.25,588.7,583.75,583.15,581.88,813.2,543.6,"1,122,060","652,901,057.55","25,039"
09-Nov-2022,EQ,615.2,617.45,578.0,614.45,587.25,588.7,590.66,813.2,543.6,"2,228,310","1,316,171,091.45","58,396"
07-Nov-2022,EQ,607.3,616.0,603.05,604.25,610.75,614.45,611.16,813.2,543.6,"892,095","545,210,739.45","27,981"
04-Nov-2022,EQ,609.0,610.5,599.45,606.7,604.95,604.25,604.42,813.2,543.6,"508,475","307,330,524.85","23,038"
03-Nov-2022,EQ,592.6,608.0,591.0,595.6,606.5,606.7,601.04,813.2,543.6,"1,108,299","666,134,550.65","27,608"
02-Nov-2022,EQ,598.5,598.9,591.75,598.5,595.8,595.6,595.14,813.2,543.6,"475,378","282,914,398.05","17,354"
01-Nov-2022,EQ,589.7,599.5,586.35,585.8,599.2,598.5,594.07,813.2,543.6,"690,092","409,961,591.55","25,198"
31-Oct-2022,EQ,580.0,587.0,576.45,574.85,586.3,585.8,582.12,813.2,543.6,"472,921","275,299,122.90","19,484"
28-Oct-2022,EQ,578.0,580.9,569.45,573.95,574.35,574.85,574.62,813.2,543.6,"727,498","418,031,745.75","23,199"
27-Oct-2022,EQ,588.95,588.95,569.8,583.35,576.5,573.95,576.12,813.2,543.6,"1,388,263","799,807,698.05","38,027"
25-Oct-2022,EQ,593.0,594.9,582.0,590.0,583.9,583.35,585.76,813.2,543.6,"754,247","441,807,439.25","22,960"
24-Oct-2022,EQ,596.95,596.95,587.55,585.35,590.5,590.0,591.5,813.2,543.6,"281,306","166,393,607.70","15,846"
21-Oct-2022,EQ,615.0,616.4,583.35,618.85,585.55,585.35,594.19,848.0,543.6,"2,762,223","1,641,273,405.40","90,532"
20-Oct-2022,EQ,615.0,622.9,608.1,618.75,619.3,618.85,617.14,848.0,543.6,"622,425","384,123,428.95","17,300"
19-Oct-2022,EQ,623.0,627.3,616.25,619.4,620.0,618.75,621.82,848.0,543.6,"329,541","204,913,645.25","13,361"
18-Oct-2022,EQ,614.9,624.0,612.9,613.75,620.0,619.4,619.02,848.0,543.6,"481,126","297,827,148.25","17,417"
17-Oct-2022,EQ,612.0,615.0,603.5,612.4,612.05,613.75,609.85,848.0,543.6,"571,176","348,329,854.50","25,563"
14-Oct-2022,EQ,622.0,624.65,611.0,615.2,612.95,612.4,616.91,856.95,543.6,"373,551","230,448,505.65","15,686"
13-Oct-2022,EQ,625.0,631.75,614.0,625.7,616.4,615.2,620.26,856.95,543.6,"523,981","325,006,557.45","18,181"
12-Oct-2022,EQ,620.45,628.7,610.55,617.65,625.95,625.7,619.86,856.95,543.6,"906,362","561,816,901.85","28,774"
11-Oct-2022,EQ,627.75,635.9,615.65,622.75,616.25,617.65,628.47,856.95,543.6,"1,344,168","844,775,968.50","35,274"
10-Oct-2022,EQ,621.0,624.7,614.7,625.9,622.0,622.75,620.44,856.95,543.6,"586,345","363,791,622.90","19,771"
07-Oct-2022,EQ,614.7,627.4,606.35,615.45,626.6,625.9,616.28,856.95,543.6,"1,344,755","828,746,169.25","34,900"
06-Oct-2022,EQ,619.0,624.4,614.3,615.15,615.1,615.45,618.5,856.95,543.6,"528,536","326,901,933.15","21,253"
04-Oct-2022,EQ,614.7,618.75,609.35,605.45,616.0,615.15,614.88,856.95,543.6,"678,639","417,279,564.10","21,825"
03-Oct-2022,EQ,615.0,621.0,604.0,617.0,605.0,605.45,612.05,856.95,543.6,"984,379","602,490,086.30","27,745"
30-Sep-2022,EQ,620.0,621.9,606.35,620.3,618.0,617.0,613.77,856.95,543.6,"1,158,573","711,098,711.60","30,760"
29-Sep-2022,EQ,634.7,634.7,612.45,628.7,619.4,620.3,622.29,856.95,543.6,"1,073,403","667,962,813.80","38,228"
28-Sep-2022,EQ,626.9,635.5,622.2,628.5,627.5,628.7,629.96,856.95,543.6,"950,888","599,025,315.80","22,814"
27-Sep-2022,EQ,633.0,640.55,626.35,626.75,628.15,628.5,632.02,856.95,543.6,"835,023","527,750,182.50","26,182"
26-Sep-2022,EQ,632.5,636.3,622.3,633.7,626.3,626.75,629.97,856.95,543.6,"929,591","585,613,657.65","24,389"
23-Sep-2022,EQ,637.0,640.9,630.1,635.3,632.5,633.7,634.93,856.95,543.6,"535,879","340,247,743.90","16,319"
22-Sep-2022,EQ,622.0,637.9,620.2,623.0,637.45,635.3,630.93,856.95,543.6,"1,084,771","684,417,242.15","29,887"
21-Sep-2022,EQ,640.0,642.5,621.9,633.9,623.65,623.0,631.02,856.95,543.6,"831,391","524,624,273.95","28,398"
20-Sep-2022,EQ,637.6,640.95,630.05,631.6,634.0,633.9,635.46,856.95,543.6,"904,376","574,694,877.75","37,404"
19-Sep-2022,EQ,642.4,644.95,622.25,639.0,634.0,631.6,630.91,856.95,543.6,"719,595","454,003,136.30","30,121"
16-Sep-2022,EQ,658.15,666.0,636.3,654.85,640.9,639.0,649.94,856.95,543.6,"1,395,984","907,310,890.85","48,361"
15-Sep-2022,EQ,663.0,664.5,651.1,657.85,654.85,654.85,655.8,856.95,543.6,"774,714","508,058,546.60","22,316"
