Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,807.15,818.9,799.8,807.0,818.0,815.3,809.89,919.45,630.0,"767,301","621,429,939.75","23,988"
23-Jun-2023,EQ,816.8,818.7,801.65,814.95,804.4,807.0,808.36,919.45,615.0,"522,363","422,258,081.15","24,507"
22-Jun-2023,EQ,817.45,827.65,811.3,813.8,815.7,814.95,818.83,919.45,615.0,"794,796","650,804,228.40","19,425"
21-Jun-2023,EQ,821.9,824.0,809.55,817.6,815.0,813.8,814.69,919.45,615.0,"1,120,347","912,732,796.95","33,570"
20-Jun-2023,EQ,827.0,828.8,812.15,825.55,819.5,817.6,817.31,919.45,615.0,"1,690,477","1,381,642,584.60","30,374"
19-Jun-2023,EQ,837.95,845.7,822.95,837.85,827.0,825.55,832.47,919.45,615.0,"1,579,210","1,314,639,170.80","30,553"
16-Jun-2023,EQ,824.4,841.7,824.35,822.85,839.0,837.85,836.19,919.45,615.0,"1,044,724","873,592,532.75","27,577"
15-Jun-2023,EQ,828.15,832.0,820.25,828.0,822.0,822.85,826.1,919.45,615.0,"506,666","418,555,424.45","18,245"
14-Jun-2023,EQ,830.75,831.9,822.15,829.6,829.0,828.0,825.9,919.45,615.0,"346,936","286,533,462.05","11,662"
13-Jun-2023,EQ,827.4,831.85,822.6,824.95,828.7,829.6,828.01,919.45,615.0,"725,398","600,636,547.00","22,064"
12-Jun-2023,EQ,817.55,826.0,814.3,815.6,825.4,824.95,823.18,919.45,615.0,"931,494","766,785,648.50","25,141"
09-Jun-2023,EQ,820.0,821.65,812.0,818.0,815.55,815.6,815.93,919.45,615.0,"577,794","471,437,933.85","17,300"
08-Jun-2023,EQ,812.0,830.0,810.5,808.45,818.5,818.0,821.96,919.45,615.0,"1,857,339","1,526,666,786.75","40,721"
07-Jun-2023,EQ,803.0,810.4,799.05,802.5,810.35,808.45,805.96,919.45,615.0,"992,533","799,944,764.10","30,278"
06-Jun-2023,EQ,799.1,804.05,796.45,798.35,802.5,802.5,800.65,919.45,615.0,"730,992","585,269,438.30","14,577"
05-Jun-2023,EQ,798.2,804.55,792.4,788.95,799.5,798.35,798.74,919.45,615.0,"1,708,483","1,364,633,288.25","31,328"
02-Jun-2023,EQ,799.1,801.7,785.6,797.05,789.8,788.95,790.27,919.45,615.0,"1,249,805","987,686,584.60","20,765"
01-Jun-2023,EQ,791.45,799.4,786.25,791.3,796.35,797.05,795.34,919.45,615.0,"1,065,254","847,244,006.50","24,410"
31-May-2023,EQ,782.1,793.9,776.85,782.05,791.5,791.3,790.19,919.45,615.0,"1,354,337","1,070,182,954.60","27,798"
30-May-2023,EQ,791.55,793.5,780.15,787.2,782.05,782.05,787.74,919.45,615.0,"1,542,396","1,215,001,440.75","31,588"
29-May-2023,EQ,774.0,789.0,766.3,767.45,785.2,787.2,781.67,919.45,615.0,"1,359,781","1,062,904,108.15","29,680"
26-May-2023,EQ,758.2,768.6,756.0,757.45,767.65,767.45,763.89,919.45,615.0,"924,717","706,382,701.65","22,489"
25-May-2023,EQ,762.5,765.0,754.05,762.15,756.8,757.45,758.4,919.45,615.0,"860,993","652,975,740.00","19,704"
24-May-2023,EQ,768.8,768.9,760.3,768.8,761.7,762.15,763.33,919.45,615.0,"950,395","725,461,723.35","17,154"
23-May-2023,EQ,762.0,772.95,756.2,760.35,766.0,768.8,767.76,919.45,615.0,"739,813","568,001,064.25","18,366"
22-May-2023,EQ,758.1,763.5,756.05,757.3,761.3,760.35,759.82,919.45,615.0,"439,329","333,811,976.15","10,351"
19-May-2023,EQ,768.0,768.0,752.85,765.45,757.3,757.3,757.81,919.45,615.0,"1,096,316","830,798,833.20","22,613"
18-May-2023,EQ,780.0,784.0,762.35,776.85,764.0,765.45,773.33,919.45,615.0,"796,524","615,979,748.65","22,705"
17-May-2023,EQ,769.3,778.9,763.35,769.3,776.9,776.85,771.66,919.45,615.0,"699,753","539,968,468.15","17,239"
