Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,85.1,85.1,83.3,84.65,84.0,83.8,83.92,91.55,44.4,"12,716,576","1,067,204,422.75","27,935"
23-Jun-2023,EQ,85.5,85.5,83.35,85.75,84.7,84.65,84.41,91.55,41.4,"17,269,470","1,457,718,766.25","43,196"
22-Jun-2023,EQ,86.9,87.2,85.1,86.9,85.15,85.75,86.24,91.55,41.4,"14,017,753","1,208,918,144.65","37,726"
21-Jun-2023,EQ,88.4,88.4,86.45,87.95,86.85,86.9,87.39,91.55,41.4,"12,787,420","1,117,528,701.20","33,188"
20-Jun-2023,EQ,86.65,88.4,85.95,87.35,88.1,87.95,87.32,91.55,41.4,"20,356,316","1,777,580,622.65","52,899"
19-Jun-2023,EQ,87.9,90.15,87.1,86.75,87.5,87.35,88.6,91.55,41.4,"48,262,241","4,275,983,077.15","92,791"
16-Jun-2023,EQ,86.0,87.35,85.2,84.55,87.0,86.75,86.46,91.55,41.4,"34,525,441","2,985,114,075.05","71,599"
15-Jun-2023,EQ,84.15,85.6,83.75,83.85,84.35,84.55,84.55,91.55,41.4,"13,288,056","1,123,496,024.20","28,601"
14-Jun-2023,EQ,85.1,85.3,83.35,85.1,83.65,83.85,84.01,91.55,41.4,"12,406,707","1,042,347,963.95","33,775"
13-Jun-2023,EQ,86.3,86.75,84.8,85.8,84.85,85.1,85.78,91.55,41.4,"15,766,317","1,352,372,506.95","47,810"
12-Jun-2023,EQ,86.2,86.9,85.2,85.8,85.85,85.8,85.93,91.55,41.4,"13,270,970","1,140,371,675.70","45,367"
09-Jun-2023,EQ,84.4,86.6,83.05,84.3,85.75,85.8,85.16,91.55,41.4,"27,565,304","2,347,412,736.95","63,633"
08-Jun-2023,EQ,84.2,85.9,84.1,84.2,84.6,84.3,84.79,91.55,41.4,"17,859,626","1,514,381,833.40","39,204"
07-Jun-2023,EQ,84.0,84.95,83.85,83.85,83.95,84.2,84.33,91.55,41.4,"14,636,223","1,234,296,910.95","40,686"
06-Jun-2023,EQ,84.05,84.5,82.2,85.6,83.5,83.85,83.29,91.55,41.4,"33,451,773","2,786,338,740.10","75,832"
05-Jun-2023,EQ,83.5,86.0,83.35,83.2,85.65,85.6,85.05,91.55,41.4,"27,799,817","2,364,487,662.45","76,311"
02-Jun-2023,EQ,82.45,83.9,82.0,82.0,83.05,83.2,83.17,91.55,41.4,"18,339,998","1,525,401,436.55","49,267"
01-Jun-2023,EQ,82.0,83.3,81.8,81.9,82.1,82.0,82.55,91.55,41.4,"11,738,032","968,931,102.30","33,502"
31-May-2023,EQ,82.15,82.45,80.85,82.05,81.95,81.9,81.64,91.55,41.4,"14,009,026","1,143,702,449.75","34,744"
30-May-2023,EQ,82.95,83.9,81.55,83.0,82.1,82.05,82.59,91.55,41.4,"21,708,061","1,792,792,065.20","50,454"
29-May-2023,EQ,79.1,83.6,77.25,78.95,82.95,83.0,81.52,91.55,41.4,"69,936,887","5,701,440,755.90","126,512"
26-May-2023,EQ,82.1,82.2,78.4,81.9,79.1,78.95,79.3,91.55,41.4,"34,064,193","2,701,372,123.35","75,365"
25-May-2023,EQ,80.05,82.2,79.9,80.0,81.75,81.9,81.17,91.55,41.4,"15,727,153","1,276,592,632.65","33,389"
24-May-2023,EQ,80.2,81.0,79.85,80.45,79.9,80.0,80.3,91.55,41.4,"7,944,636","637,977,458.75","20,356"
23-May-2023,EQ,79.5,81.2,79.2,79.3,80.35,80.45,80.22,91.55,41.4,"13,196,912","1,058,681,003.50","27,196"
22-May-2023,EQ,80.35,80.5,79.15,80.05,79.25,79.3,79.81,91.55,41.4,"16,522,857","1,318,631,266.75","31,094"
19-May-2023,EQ,81.85,81.85,79.5,81.65,80.1,80.05,80.58,91.55,41.4,"14,458,238","1,165,097,863.00","32,525"
18-May-2023,EQ,82.95,83.6,81.5,82.25,81.65,81.65,82.59,91.55,41.4,"15,242,495","1,258,859,997.00","29,575"
17-May-2023,EQ,82.0,83.2,80.2,81.6,82.25,82.25,81.87,91.55,41.4,"23,479,447","1,922,227,899.90","45,895"
16-May-2023,EQ,80.6,82.45,80.55,80.45,81.9,81.6,81.8,91.55,41.4,"17,397,846","1,423,095,017.85","34,679"
15-May-2023,EQ,80.95,81.3,80.15,80.95,80.15,80.45,80.63,91.55,41.4,"6,660,341","537,022,295.50","19,313"
12-May-2023,EQ,81.05,81.9,80.0,81.05,80.8,80.95,81.17,91.55,41.4,"14,913,713","1,210,478,339.15","32,428"
11-May-2023,EQ,80.75,81.9,80.75,80.6,80.8,81.05,81.3,91.55,41.4,"10,982,435","892,871,572.15","27,409"
10-May-2023,EQ,79.2,80.95,78.2,79.4,80.65,80.6,79.57,91.55,41.4,"15,936,655","1,268,058,599.75","37,088"
09-May-2023,EQ,81.6,82.0,78.8,81.6,78.9,79.4,80.68,91.55,41.4,"20,842,146","1,681,560,229.25","46,230"
08-May-2023,EQ,81.4,82.4,79.65,80.75,81.5,81.6,80.87,91.55,41.4,"31,172,930","2,520,824,362.10","59,854"
05-May-2023,EQ,85.55,85.65,79.6,86.05,80.9,80.75,80.97,91.55,41.4,"64,424,735","5,216,711,541.45","126,972"
04-May-2023,EQ,87.0,87.9,84.8,86.95,85.95,86.05,86.32,91.55,41.4,"24,553,286","2,119,486,462.10","59,429"
03-May-2023,EQ,81.5,87.95,80.8,81.6,86.85,86.95,86.22,91.55,41.4,"89,592,598","7,724,620,371.05","183,296"
02-May-2023,EQ,78.4,82.4,78.15,78.4,81.65,81.6,81.0,91.55,41.4,"35,606,484","2,884,298,122.00","70,714"
28-Apr-2023,EQ,77.8,78.65,77.55,77.3,78.55,78.4,78.19,91.55,41.4,"14,254,949","1,114,611,887.65","32,441"
27-Apr-2023,EQ,77.45,77.7,76.85,77.5,77.6,77.3,77.25,91.55,41.4,"8,190,609","632,684,657.40","21,504"
26-Apr-2023,EQ,77.15,78.25,76.6,77.1,77.4,77.5,77.58,91.55,41.4,"15,774,821","1,223,735,536.80","32,692"
25-Apr-2023,EQ,76.95,77.85,76.35,76.55,77.05,77.1,77.03,91.55,41.4,"15,881,484","1,223,316,135.20","40,527"
24-Apr-2023,EQ,75.25,76.9,75.0,75.25,76.55,76.55,76.14,91.55,41.4,"10,625,904","809,012,660.30","35,076"
21-Apr-2023,EQ,76.0,76.45,74.65,76.25,75.2,75.25,75.29,91.55,41.4,"9,544,452","718,618,274.50","29,543"
20-Apr-2023,EQ,75.55,76.65,75.25,75.4,76.2,76.25,76.0,91.55,41.4,"10,833,263","823,293,015.45","40,318"
19-Apr-2023,EQ,75.55,76.95,75.0,75.45,75.45,75.4,75.89,91.55,41.4,"19,669,027","1,492,637,649.55","52,967"
18-Apr-2023,EQ,73.1,75.7,73.0,72.65,75.4,75.45,74.61,91.55,41.4,"36,556,170","2,727,631,704.20","93,029"
17-Apr-2023,EQ,71.8,73.0,71.0,71.8,72.65,72.65,72.21,91.55,41.4,"10,021,225","723,642,118.25","40,070"
13-Apr-2023,EQ,72.1,72.4,71.5,71.65,71.8,71.8,71.88,91.55,41.4,"13,653,616","981,395,511.10","37,716"
