Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,237.95,240.9,236.1,236.9,239.7,239.95,239.43,341.65,191.55,"2,646,456","633,642,776.05","21,328"
23-Jun-2023,EQ,239.3,239.3,234.8,238.95,236.75,236.9,236.89,341.65,191.55,"1,917,570","454,262,160.85","18,860"
22-Jun-2023,EQ,245.5,245.9,238.5,245.1,239.25,238.95,241.17,341.65,191.55,"2,270,480","547,567,457.85","27,562"
21-Jun-2023,EQ,245.0,246.65,244.25,245.0,245.35,245.1,245.35,341.65,191.55,"1,728,130","423,996,051.15","23,682"
20-Jun-2023,EQ,245.85,246.25,244.4,244.85,245.1,245.0,245.2,341.65,191.55,"1,272,664","312,055,475.65","18,416"
19-Jun-2023,EQ,245.5,247.4,243.45,244.9,245.0,244.85,245.09,341.65,191.55,"2,326,163","570,121,257.50","26,352"
16-Jun-2023,EQ,244.0,247.95,243.5,243.5,244.5,244.9,245.63,341.65,191.55,"3,714,937","912,511,840.60","33,155"
15-Jun-2023,EQ,239.0,244.75,239.0,239.35,243.5,243.5,242.48,341.65,191.55,"3,481,429","844,179,203.35","30,782"
14-Jun-2023,EQ,239.9,240.5,238.3,239.15,239.55,239.35,239.0,341.65,191.55,"1,976,055","472,270,903.05","20,141"
13-Jun-2023,EQ,238.9,240.45,237.65,239.1,239.0,239.15,238.94,341.65,191.55,"3,405,151","813,624,808.85","36,845"
12-Jun-2023,EQ,241.5,242.15,238.65,241.1,238.95,239.1,240.04,341.65,191.55,"3,072,631","737,543,104.50","29,938"
09-Jun-2023,EQ,244.0,244.5,240.1,241.55,240.85,241.1,242.49,344.0,191.55,"2,166,494","525,359,777.55","30,645"
08-Jun-2023,EQ,243.0,244.55,240.9,243.7,241.6,241.55,242.74,344.0,191.55,"1,798,133","436,471,703.30","18,697"
07-Jun-2023,EQ,244.45,247.15,242.95,243.35,243.9,243.7,244.57,344.0,191.55,"2,294,336","561,129,209.70","23,988"
06-Jun-2023,EQ,242.0,244.0,239.85,241.4,243.8,243.35,241.41,344.0,191.55,"2,307,032","556,938,204.30","26,963"
05-Jun-2023,EQ,242.7,244.4,240.5,240.25,241.0,241.4,242.19,344.0,191.55,"2,965,611","718,232,073.15","29,518"
02-Jun-2023,EQ,242.0,242.0,234.0,245.3,240.2,240.25,238.59,344.0,191.55,"7,195,827","1,716,829,567.30","57,895"
01-Jun-2023,EQ,247.0,247.95,245.0,245.2,245.1,245.3,246.47,344.0,191.55,"2,522,264","621,661,063.55","22,731"
31-May-2023,EQ,240.55,246.4,240.55,241.65,245.25,245.2,244.46,344.0,191.55,"2,814,189","687,966,844.65","26,385"
30-May-2023,EQ,242.25,242.95,239.05,242.05,241.7,241.65,240.92,344.0,191.55,"1,529,554","368,505,110.10","15,514"
29-May-2023,EQ,240.3,244.4,238.5,239.45,242.25,242.05,241.68,344.0,191.55,"2,492,152","602,292,092.40","22,549"
26-May-2023,EQ,240.5,241.8,236.7,239.85,239.4,239.45,239.25,344.0,191.55,"3,430,449","820,722,345.70","45,836"
25-May-2023,EQ,243.45,249.2,238.85,243.0,240.0,239.85,243.35,344.0,191.55,"6,697,848","1,629,892,130.85","52,844"
24-May-2023,EQ,260.0,260.6,242.5,242.15,242.95,243.0,249.41,344.0,191.55,"17,725,181","4,420,822,076.65","146,917"
23-May-2023,EQ,240.5,244.4,240.05,240.45,242.9,242.15,242.44,344.0,191.55,"2,133,409","517,225,352.10","20,115"
22-May-2023,EQ,241.5,243.5,239.4,241.75,240.25,240.45,241.12,344.0,191.55,"1,895,656","457,072,335.40","16,191"
19-May-2023,EQ,245.0,246.65,240.55,245.05,241.4,241.75,242.46,347.1,191.55,"2,389,591","579,372,901.80","18,142"
18-May-2023,EQ,246.5,248.5,244.4,245.45,245.2,245.05,246.26,347.1,191.55,"1,911,242","470,658,779.00","17,185"
17-May-2023,EQ,243.05,247.85,243.05,246.25,245.3,245.45,245.88,347.1,191.55,"1,990,771","489,490,590.10","29,439"
16-May-2023,EQ,248.05,249.5,245.6,247.95,245.8,246.25,247.76,347.1,191.55,"1,319,381","326,893,289.10","20,706"
15-May-2023,EQ,245.1,249.55,243.05,245.1,247.45,247.95,246.76,347.1,191.55,"2,300,820","567,755,907.45","32,950"
12-May-2023,EQ,246.8,247.25,243.85,246.1,245.35,245.1,245.56,349.9,191.55,"1,502,958","369,062,621.05","29,012"
11-May-2023,EQ,247.45,247.9,240.55,246.55,246.3,246.1,245.52,349.9,191.55,"2,268,718","557,015,130.95","19,589"
10-May-2023,EQ,247.7,249.2,243.85,246.25,246.35,246.55,246.38,349.9,191.55,"2,318,845","571,328,503.75","21,697"
09-May-2023,EQ,244.9,247.45,244.35,244.3,247.1,246.25,245.9,349.9,191.55,"3,022,793","743,307,835.75","19,747"
08-May-2023,EQ,243.0,245.0,241.8,242.85,243.95,244.3,243.72,349.9,191.55,"1,822,973","444,297,301.85","15,369"
05-May-2023,EQ,241.95,245.5,239.75,241.5,242.35,242.85,242.75,377.55,191.55,"5,343,250","1,297,079,044.70","45,071"
04-May-2023,EQ,239.2,242.25,238.1,238.25,241.15,241.5,240.5,377.55,191.55,"3,603,842","866,727,500.65","22,335"
03-May-2023,EQ,239.35,240.15,237.25,238.9,238.45,238.25,238.64,377.55,191.55,"3,025,688","722,050,664.90","23,183"
02-May-2023,EQ,233.95,239.9,232.55,232.55,239.0,238.9,238.02,377.55,191.55,"5,099,831","1,213,865,709.95","42,417"
28-Apr-2023,EQ,233.8,234.0,229.4,232.95,232.0,232.55,231.5,388.0,191.55,"3,853,989","892,198,819.45","40,704"
27-Apr-2023,EQ,231.0,233.4,229.7,230.8,232.55,232.95,231.87,388.0,191.55,"2,489,889","577,319,184.20","21,163"
26-Apr-2023,EQ,231.75,234.15,229.6,230.9,230.2,230.8,231.12,388.0,191.55,"3,597,575","831,476,950.20","31,075"
25-Apr-2023,EQ,230.7,233.9,226.1,225.65,230.1,230.9,230.12,388.0,191.55,"8,767,164","2,017,466,560.80","54,802"
24-Apr-2023,EQ,228.85,229.9,225.2,228.85,225.55,225.65,227.42,388.0,191.55,"2,793,727","635,358,161.60","26,992"
21-Apr-2023,EQ,229.5,230.95,227.2,229.5,228.4,228.85,228.82,388.0,191.55,"2,460,397","562,981,755.65","16,403"
20-Apr-2023,EQ,229.1,230.8,223.6,229.4,229.15,229.5,227.65,388.0,191.55,"6,045,806","1,376,331,714.70","40,915"
19-Apr-2023,EQ,232.6,233.2,226.8,232.1,228.35,229.4,229.54,388.0,191.55,"4,306,899","988,626,556.80","40,031"
18-Apr-2023,EQ,223.95,234.3,222.45,223.95,232.0,232.1,231.09,388.0,191.55,"12,504,374","2,889,691,910.50","77,789"
17-Apr-2023,EQ,224.15,224.65,222.25,224.1,223.9,223.95,223.71,388.0,191.55,"3,100,051","693,515,082.25","47,096"
13-Apr-2023,EQ,224.45,224.8,220.35,223.65,224.0,224.1,223.21,388.0,191.55,"3,557,030","793,958,929.65","30,898"
