Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"18,617.05","18,798.70","18,530.00","18,616.95","18,630.00","18,588.40","18,607.76","19,850.40","14,326.30","10,300","191,659,878.60","4,276"
23-Jun-2023,EQ,"18,879.30","18,959.70","18,490.05","18,879.30","18,647.15","18,616.95","18,654.64","19,850.40","13,165.00","30,239","564,097,691.30","10,951"
22-Jun-2023,EQ,"19,315.00","19,329.85","18,752.05","19,201.70","18,860.00","18,879.30","18,992.69","19,850.40","13,165.00","18,492","351,212,860.60","6,697"
21-Jun-2023,EQ,"19,100.05","19,449.90","19,070.15","19,058.65","19,230.10","19,201.70","19,342.05","19,850.40","13,165.00","40,492","783,198,267.60","10,299"
20-Jun-2023,EQ,"18,999.00","19,149.55","18,806.25","18,943.70","19,045.00","19,058.65","18,968.83","19,850.40","13,165.00","18,548","351,833,833.85","5,638"
19-Jun-2023,EQ,"18,997.00","19,165.20","18,913.60","18,995.65","18,969.65","18,943.70","19,016.84","19,850.40","13,165.00","7,450","141,675,438.40","3,425"
16-Jun-2023,EQ,"19,149.90","19,198.00","18,880.05","19,024.35","19,000.00","18,995.65","18,988.19","19,850.40","13,165.00","23,506","446,336,406.30","7,043"
15-Jun-2023,EQ,"19,073.00","19,283.00","18,987.45","19,072.30","19,016.00","19,024.35","19,111.70","19,850.40","13,165.00","9,818","187,638,643.40","3,667"
14-Jun-2023,EQ,"19,060.10","19,348.00","19,023.50","19,060.10","19,030.10","19,072.30","19,123.90","19,850.40","13,165.00","9,755","186,553,641.80","3,368"
13-Jun-2023,EQ,"18,990.00","19,284.80","18,970.00","18,994.80","19,060.00","19,060.10","19,126.10","19,850.40","13,165.00","27,247","521,128,742.40","7,159"
12-Jun-2023,EQ,"18,774.90","19,038.95","18,738.95","18,758.40","18,989.90","18,994.80","18,881.97","19,850.40","13,165.00","23,105","436,267,834.05","5,818"
09-Jun-2023,EQ,"18,801.00","18,943.95","18,720.00","18,766.90","18,738.90","18,758.40","18,792.25","19,850.40","13,165.00","6,743","126,716,152.50","2,144"
08-Jun-2023,EQ,"18,973.60","19,061.20","18,728.40","18,973.60","18,789.85","18,766.90","18,844.12","19,850.40","13,165.00","10,888","205,174,731.85","3,866"
07-Jun-2023,EQ,"18,900.00","19,123.40","18,881.20","18,879.55","18,975.00","18,973.60","19,004.22","19,850.40","13,165.00","13,222","251,273,849.05","4,225"
06-Jun-2023,EQ,"18,935.00","18,940.10","18,813.05","18,872.65","18,883.00","18,879.55","18,864.48","19,850.40","13,165.00","8,268","155,971,520.70","2,949"
05-Jun-2023,EQ,"18,752.20","18,970.00","18,732.50","18,751.00","18,862.00","18,872.65","18,877.55","19,850.40","13,165.00","20,032","378,155,176.45","6,422"
02-Jun-2023,EQ,"18,640.00","18,787.35","18,605.00","18,602.00","18,750.00","18,751.00","18,721.84","19,850.40","13,165.00","13,726","256,975,962.25","4,144"
01-Jun-2023,EQ,"18,599.95","18,719.05","18,484.45","18,568.40","18,625.00","18,602.00","18,600.32","19,850.40","13,165.00","43,911","816,758,719.10","8,065"
31-May-2023,EQ,"18,540.90","18,677.95","18,440.00","18,540.90","18,500.00","18,568.40","18,571.59","19,850.40","13,165.00","14,053","260,986,515.90","4,704"
30-May-2023,EQ,"18,300.00","18,624.95","18,290.00","18,296.00","18,567.85","18,540.90","18,501.80","19,850.40","13,165.00","23,849","441,249,310.55","7,233"
29-May-2023,EQ,"19,000.00","19,000.00","18,245.70","18,941.70","18,329.00","18,296.00","18,436.06","19,850.40","13,165.00","62,648","1,154,982,080.35","19,716"
26-May-2023,EQ,"18,781.15","18,988.50","18,772.00","18,781.15","18,897.50","18,941.70","18,925.68","19,850.40","13,165.00","11,558","218,743,035.25","4,587"
25-May-2023,EQ,"18,830.95","18,861.05","18,680.35","18,751.25","18,775.00","18,781.15","18,754.28","19,850.40","13,165.00","10,507","197,051,243.50","3,459"
24-May-2023,EQ,"18,854.55","18,909.95","18,690.00","18,854.55","18,700.00","18,751.25","18,833.14","19,850.40","13,165.00","12,145","228,728,533.80","3,476"
23-May-2023,EQ,"18,835.00","19,034.55","18,792.75","18,830.20","18,822.05","18,854.55","18,944.16","19,850.40","13,165.00","17,174","325,347,064.90","7,380"
22-May-2023,EQ,"18,885.05","18,940.00","18,741.05","18,884.20","18,800.05","18,830.20","18,822.82","19,850.40","13,165.00","10,716","201,705,327.50","4,425"
19-May-2023,EQ,"19,160.00","19,160.00","18,716.10","19,014.55","18,842.00","18,884.20","18,893.92","19,850.40","13,075.40","25,164","475,446,568.40","8,186"
18-May-2023,EQ,"19,249.95","19,318.85","18,970.70","19,135.65","19,109.95","19,014.55","19,143.18","19,850.40","13,075.40","13,824","264,635,338.55","4,139"
17-May-2023,EQ,"19,100.00","19,219.95","18,945.10","19,007.70","19,116.00","19,135.65","19,088.60","19,850.40","13,075.40","13,967","266,610,494.95","4,802"
16-May-2023,EQ,"19,150.00","19,299.00","18,864.10","19,229.05","19,029.45","19,007.70","19,023.79","19,850.40","13,075.40","41,812","795,422,640.70","13,258"
15-May-2023,EQ,"19,105.75","19,339.85","18,930.05","18,978.30","19,186.10","19,229.05","19,157.69","19,850.40","13,075.40","25,309","484,862,083.70","8,243"
12-May-2023,EQ,"19,530.00","19,639.95","18,791.05","19,473.90","18,998.95","18,978.30","19,044.92","19,850.40","12,932.45","59,933","1,141,419,048.20","18,383"
11-May-2023,EQ,"19,200.00","19,671.25","19,050.00","19,354.75","19,530.00","19,473.90","19,425.33","19,850.40","12,932.45","61,928","1,202,971,899.15","17,275"
10-May-2023,EQ,"19,358.35","19,455.95","18,973.00","19,226.35","19,334.00","19,354.75","19,271.03","19,850.40","12,932.45","43,422","836,786,814.70","14,097"
09-May-2023,EQ,"19,353.65","19,437.50","19,030.05","19,311.65","19,182.15","19,226.35","19,203.31","19,850.40","12,932.45","22,253","427,331,318.30","8,474"
08-May-2023,EQ,"19,329.95","19,538.60","19,270.05","19,324.85","19,353.65","19,311.65","19,407.36","19,850.40","12,932.45","18,577","360,530,518.75","6,800"
05-May-2023,EQ,"19,229.95","19,400.00","19,225.05","19,193.25","19,294.85","19,324.85","19,327.08","19,850.40","12,932.45","10,241","197,928,617.45","4,339"
04-May-2023,EQ,"19,314.95","19,470.75","19,080.00","19,317.60","19,185.20","19,193.25","19,253.89","19,850.40","12,932.45","27,882","536,836,913.70","7,797"
03-May-2023,EQ,"19,745.00","19,747.90","19,275.55","19,798.30","19,310.00","19,317.60","19,408.35","19,850.40","12,932.45","22,537","437,406,082.50","8,768"
02-May-2023,EQ,"19,371.85","19,850.40","19,362.00","19,371.85","19,805.35","19,798.30","19,698.87","19,850.40","12,932.45","29,017","571,602,218.70","9,064"
28-Apr-2023,EQ,"19,180.00","19,424.95","19,159.20","19,117.80","19,370.00","19,371.85","19,292.12","19,654.95","12,932.45","24,308","468,952,764.70","7,290"
27-Apr-2023,EQ,"18,961.10","19,180.00","18,895.35","18,961.10","19,084.40","19,117.80","19,058.20","19,654.95","12,932.45","14,870","283,395,397.50","3,952"
26-Apr-2023,EQ,"18,680.15","19,037.75","18,680.15","18,776.35","18,950.25","18,961.10","18,902.23","19,654.95","12,932.45","17,670","334,002,368.95","4,760"
25-Apr-2023,EQ,"18,799.00","18,875.00","18,670.90","18,732.15","18,770.00","18,776.35","18,769.91","19,654.95","12,932.45","13,444","252,342,732.15","5,350"
