Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,361.85,362.85,355.65,359.6,358.0,358.3,357.87,380.45,288.05,"2,640,640","944,999,456.25","43,934"
23-Jun-2023,EQ,370.2,371.0,358.3,373.4,360.5,359.6,362.45,380.45,288.05,"5,467,448","1,981,699,995.10","67,354"
22-Jun-2023,EQ,371.4,378.7,371.15,372.8,373.7,373.4,375.17,380.45,288.05,"2,012,064","754,865,980.15","30,713"
21-Jun-2023,EQ,372.45,374.75,371.35,372.45,372.5,372.8,373.09,380.45,288.05,"1,340,149","499,991,192.40","23,013"
20-Jun-2023,EQ,375.0,375.05,371.5,374.75,372.0,372.45,372.63,380.45,288.05,"1,207,938","450,108,946.30","21,718"
19-Jun-2023,EQ,377.0,378.7,374.15,376.8,375.55,374.75,376.17,380.45,288.05,"1,517,385","570,798,404.85","32,248"
16-Jun-2023,EQ,377.0,378.7,374.4,378.9,376.0,376.8,376.21,380.45,288.05,"2,139,294","804,814,269.95","36,804"
15-Jun-2023,EQ,375.1,380.45,373.0,373.55,378.95,378.9,378.44,380.45,288.05,"6,105,440","2,310,541,466.75","62,008"
14-Jun-2023,EQ,373.5,378.5,370.9,373.6,373.2,373.55,375.47,378.5,288.05,"3,357,184","1,260,513,957.95","59,087"
13-Jun-2023,EQ,374.5,376.9,372.4,371.65,373.3,373.6,374.57,376.9,288.05,"3,987,317","1,493,537,300.10","51,491"
12-Jun-2023,EQ,360.5,372.5,360.2,359.45,371.4,371.65,367.92,374.9,288.05,"4,717,149","1,735,545,105.10","55,166"
09-Jun-2023,EQ,361.1,364.0,358.8,361.1,360.25,359.45,361.41,374.9,288.05,"1,542,985","557,650,224.55","25,542"
08-Jun-2023,EQ,367.6,367.6,360.3,368.1,362.0,361.1,362.46,374.9,288.05,"3,582,191","1,298,405,437.15","51,931"
07-Jun-2023,EQ,357.0,369.5,356.75,356.15,367.9,368.1,365.64,374.9,288.05,"6,415,428","2,345,727,301.45","68,625"
06-Jun-2023,EQ,357.05,359.0,354.6,356.8,356.75,356.15,356.69,374.9,288.05,"2,106,537","751,388,003.95","30,707"
05-Jun-2023,EQ,360.1,362.0,355.0,360.05,357.0,356.8,356.71,374.9,288.05,"2,929,068","1,044,828,754.45","30,904"
02-Jun-2023,EQ,364.6,366.8,359.1,364.55,359.8,360.05,362.85,374.9,288.05,"3,466,237","1,257,716,239.00","46,335"
01-Jun-2023,EQ,365.3,368.9,364.1,363.5,364.5,364.55,366.23,374.9,288.05,"1,768,641","647,731,990.90","33,810"
31-May-2023,EQ,360.4,366.45,360.2,360.4,364.6,363.5,363.67,374.9,288.05,"11,607,240","4,221,202,480.80","61,028"
30-May-2023,EQ,363.0,364.0,360.0,361.7,360.2,360.4,361.46,374.9,288.05,"1,361,344","492,073,361.65","33,824"
29-May-2023,EQ,364.3,367.3,361.0,364.3,362.5,361.7,363.12,374.9,288.05,"1,170,519","425,043,552.40","25,907"
26-May-2023,EQ,365.0,367.0,363.1,363.3,364.05,364.3,364.44,374.9,288.05,"1,092,796","398,256,155.45","20,938"
25-May-2023,EQ,363.0,364.2,360.35,363.3,364.0,363.3,362.23,374.9,288.05,"1,676,285","607,201,997.20","23,700"
24-May-2023,EQ,366.55,369.1,361.85,366.6,364.0,363.3,365.7,374.9,288.05,"1,875,480","685,865,288.45","27,653"
23-May-2023,EQ,367.0,371.0,365.0,361.6,366.2,366.6,368.17,374.9,288.05,"5,971,589","2,198,566,504.25","73,959"
22-May-2023,EQ,361.95,362.75,358.55,360.3,362.1,361.6,360.94,374.9,288.05,"1,603,444","578,746,575.90","30,470"
19-May-2023,EQ,360.1,362.5,357.6,360.7,360.95,360.3,359.84,374.9,288.05,"1,157,763","416,607,880.35","21,350"
