Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"4,978.95","5,022.00","4,952.30","4,970.80","5,008.30","5,009.20","4,986.66","5,085.25","3,360.00","179,192","893,568,903.80","20,626"
23-Jun-2023,EQ,"4,972.05","4,986.95","4,945.30","4,987.05","4,979.80","4,970.80","4,965.79","5,085.25","3,270.95","191,942","953,143,785.30","21,880"
22-Jun-2023,EQ,"5,065.00","5,071.90","4,975.00","5,069.55","4,989.00","4,987.05","5,019.82","5,085.25","3,270.95","145,196","728,858,095.65","21,392"
21-Jun-2023,EQ,"5,070.60","5,085.25","5,045.65","5,056.45","5,077.00","5,069.55","5,069.98","5,085.25","3,270.95","272,200","1,380,049,688.10","31,555"
20-Jun-2023,EQ,"5,021.05","5,062.50","5,008.05","5,021.05","5,062.35","5,056.45","5,034.47","5,064.40","3,270.95","251,372","1,265,524,757.20","23,083"
19-Jun-2023,EQ,"5,050.00","5,064.40","5,002.30","5,044.70","5,014.70","5,021.05","5,039.63","5,064.40","3,270.95","197,576","995,710,419.95","21,548"
16-Jun-2023,EQ,"4,975.45","5,058.60","4,970.00","4,975.45","5,040.00","5,044.70","5,026.94","5,058.60","3,270.95","407,485","2,048,402,790.85","35,631"
15-Jun-2023,EQ,"4,950.00","5,019.90","4,914.30","4,941.65","4,973.00","4,975.45","4,980.98","5,019.90","3,270.95","452,909","2,255,932,841.80","34,299"
14-Jun-2023,EQ,"4,947.00","4,977.00","4,922.00","4,940.10","4,937.00","4,941.65","4,951.03","4,980.00","3,270.95","234,174","1,159,403,485.15","22,555"
13-Jun-2023,EQ,"4,904.95","4,951.65","4,892.30","4,900.25","4,931.00","4,940.10","4,935.51","4,980.00","3,270.95","326,814","1,612,995,370.35","25,219"
12-Jun-2023,EQ,"4,899.00","4,910.00","4,865.00","4,878.75","4,902.00","4,900.25","4,891.19","4,980.00","3,270.95","233,763","1,143,379,689.80","23,440"
09-Jun-2023,EQ,"4,886.30","4,980.00","4,836.10","4,875.05","4,894.95","4,878.75","4,914.24","4,980.00","3,270.95","820,375","4,031,521,226.55","73,833"
08-Jun-2023,EQ,"4,901.90","4,914.75","4,856.50","4,893.15","4,880.00","4,875.05","4,880.44","4,914.75","3,270.95","381,452","1,861,652,591.70","34,208"
07-Jun-2023,EQ,"4,715.00","4,907.95","4,715.00","4,705.40","4,901.45","4,893.15","4,856.69","4,907.95","3,270.95","1,390,193","6,751,738,313.10","88,156"
06-Jun-2023,EQ,"4,682.60","4,717.70","4,673.05","4,682.60","4,705.00","4,705.40","4,697.09","4,718.70","3,270.95","185,910","873,236,770.60","18,141"
05-Jun-2023,EQ,"4,659.90","4,712.50","4,657.05","4,654.15","4,674.00","4,682.60","4,694.98","4,718.70","3,270.95","349,558","1,641,167,914.40","28,361"
02-Jun-2023,EQ,"4,637.00","4,718.70","4,635.35","4,635.25","4,660.00","4,654.15","4,671.64","4,718.70","3,270.95","359,550","1,679,687,479.75","38,110"
01-Jun-2023,EQ,"4,655.00","4,655.00","4,587.55","4,657.05","4,625.00","4,635.25","4,618.13","4,705.45","3,270.95","188,427","870,180,734.45","31,898"
31-May-2023,EQ,"4,571.00","4,683.30","4,565.25","4,573.25","4,626.00","4,657.05","4,644.91","4,705.45","3,270.95","1,536,463","7,136,724,884.55","70,276"
30-May-2023,EQ,"4,583.00","4,623.50","4,563.00","4,575.25","4,571.10","4,573.25","4,592.55","4,705.45","3,270.95","199,772","917,463,327.35","24,645"
29-May-2023,EQ,"4,611.45","4,625.10","4,566.00","4,596.20","4,574.95","4,575.25","4,589.14","4,705.45","3,270.95","194,968","894,735,954.30","20,611"
26-May-2023,EQ,"4,582.00","4,624.20","4,563.15","4,563.30","4,600.00","4,596.20","4,598.32","4,705.45","3,270.95","231,911","1,066,400,003.45","25,077"
25-May-2023,EQ,"4,580.00","4,705.45","4,533.25","4,519.80","4,568.95","4,563.30","4,602.18","4,705.45","3,270.95","861,989","3,967,028,482.80","65,356"
24-May-2023,EQ,"4,538.20","4,569.90","4,501.35","4,521.65","4,514.80","4,519.80","4,539.63","4,700.00","3,270.95","302,733","1,374,296,063.45","27,575"
23-May-2023,EQ,"4,487.00","4,581.55","4,486.00","4,498.95","4,527.00","4,521.65","4,533.88","4,700.00","3,270.95","297,514","1,348,892,358.95","33,047"
22-May-2023,EQ,"4,500.00","4,540.25","4,485.00","4,499.85","4,500.00","4,498.95","4,508.44","4,700.00","3,270.95","172,174","776,236,612.90","17,835"
19-May-2023,EQ,"4,588.00","4,593.10","4,484.15","4,564.35","4,494.00","4,499.85","4,508.93","4,700.00","3,253.40","367,664","1,657,769,853.10","36,724"
18-May-2023,EQ,"4,650.00","4,655.50","4,558.00","4,631.90","4,569.00","4,564.35","4,601.12","4,700.00","3,253.40","155,214","714,158,428.95","25,099"
17-May-2023,EQ,"4,610.00","4,639.20","4,583.65","4,606.90","4,627.00","4,631.90","4,620.54","4,700.00","3,253.40","268,353","1,239,936,361.55","33,480"
16-May-2023,EQ,"4,632.00","4,660.20","4,565.00","4,630.85","4,596.00","4,606.90","4,637.45","4,700.00","3,253.40","263,119","1,220,202,139.55","28,012"
15-May-2023,EQ,"4,647.85","4,679.00","4,621.45","4,616.50","4,625.55","4,630.85","4,651.66","4,700.00","3,253.40","276,965","1,288,346,127.85","39,718"
12-May-2023,EQ,"4,634.00","4,675.00","4,601.85","4,635.15","4,605.50","4,616.50","4,648.99","4,700.00","3,156.90","311,033","1,445,989,973.15","43,156"
11-May-2023,EQ,"4,610.20","4,652.00","4,605.00","4,604.95","4,631.05","4,635.15","4,628.92","4,700.00","3,156.90","282,060","1,305,634,243.30","30,854"
