Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,342.65,342.65,335.05,343.7,340.0,340.15,338.57,378.0,250.25,"1,283,233","434,469,279.80","17,728"
23-Jun-2023,EQ,349.0,350.0,339.8,344.2,340.1,343.7,345.55,378.0,250.25,"5,871,422","2,028,887,298.20","63,101"
22-Jun-2023,EQ,339.55,346.0,335.1,339.55,345.3,344.2,341.06,378.0,250.25,"2,659,471","907,034,489.95","23,407"
21-Jun-2023,EQ,338.05,342.3,338.0,337.3,340.0,339.55,340.01,378.0,250.25,"981,946","333,874,387.10","14,528"
20-Jun-2023,EQ,335.0,339.0,333.0,335.35,337.8,337.3,336.32,378.0,250.25,"1,024,639","344,602,327.70","13,312"
19-Jun-2023,EQ,340.0,341.0,334.15,339.7,335.4,335.35,336.18,378.0,250.25,"1,315,878","442,368,173.80","20,594"
16-Jun-2023,EQ,336.5,345.9,336.5,334.95,339.2,339.7,341.37,378.0,250.25,"3,232,641","1,103,517,396.30","31,320"
15-Jun-2023,EQ,337.45,340.2,334.2,338.25,334.75,334.95,336.73,378.0,250.25,"1,135,497","382,359,034.20","17,487"
14-Jun-2023,EQ,337.0,339.95,333.5,335.9,337.5,338.25,337.04,378.0,250.25,"1,179,052","397,387,674.25","15,456"
13-Jun-2023,EQ,339.45,342.5,335.0,337.7,336.5,335.9,337.75,378.0,250.25,"1,540,537","520,317,824.00","19,856"
12-Jun-2023,EQ,328.5,340.95,328.5,328.5,337.25,337.7,337.67,378.0,250.25,"3,123,973","1,054,877,623.55","43,067"
09-Jun-2023,EQ,335.95,337.3,327.1,333.7,328.2,328.5,331.72,381.4,250.25,"1,069,100","354,639,037.40","17,286"
08-Jun-2023,EQ,340.0,340.6,332.1,340.45,333.45,333.7,336.28,381.4,250.25,"1,493,151","502,109,802.90","19,169"
07-Jun-2023,EQ,343.95,346.65,339.7,343.55,340.6,340.45,342.59,381.4,250.25,"1,279,098","438,212,167.00","16,082"
06-Jun-2023,EQ,346.0,346.0,332.2,346.45,343.15,343.55,339.89,381.4,250.25,"4,504,948","1,531,196,839.40","52,278"
05-Jun-2023,EQ,351.3,354.0,344.75,347.8,346.15,346.45,349.16,381.4,250.25,"1,932,526","674,761,695.85","29,960"
02-Jun-2023,EQ,345.95,355.45,345.5,343.85,347.6,347.8,350.93,390.5,250.25,"4,103,271","1,439,979,371.75","55,438"
01-Jun-2023,EQ,344.0,350.35,342.05,343.5,343.0,343.85,346.57,390.5,250.25,"2,102,679","728,732,013.25","28,432"
31-May-2023,EQ,336.7,345.0,334.0,336.7,344.5,343.5,341.75,390.5,250.25,"3,074,082","1,050,569,701.85","36,670"
30-May-2023,EQ,339.6,341.0,336.0,339.55,336.05,336.7,337.82,390.5,250.25,"2,186,123","738,514,126.65","14,686"
29-May-2023,EQ,342.85,343.4,336.5,339.5,339.0,339.55,339.37,390.5,250.25,"3,389,349","1,150,259,302.55","22,027"
