Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,296.4,297.5,291.65,296.4,293.7,293.75,293.53,341.7,178.45,"5,601,930","1,644,321,884.85","57,416"
23-Jun-2023,EQ,301.2,301.7,294.6,300.9,296.35,296.4,297.23,341.7,171.75,"4,739,916","1,408,848,781.80","44,755"
22-Jun-2023,EQ,306.0,307.0,299.2,306.65,301.5,300.9,302.99,341.7,171.75,"4,184,430","1,267,820,439.60","31,412"
21-Jun-2023,EQ,306.4,309.45,304.5,306.4,306.5,306.65,307.09,341.7,171.75,"5,573,827","1,711,661,826.60","44,098"
20-Jun-2023,EQ,305.0,306.9,302.45,305.0,306.35,306.4,305.16,341.7,171.75,"4,708,574","1,436,890,273.35","29,350"
19-Jun-2023,EQ,303.95,307.2,302.2,303.75,304.8,305.0,305.13,341.7,171.75,"4,902,552","1,495,911,453.00","30,706"
16-Jun-2023,EQ,298.4,305.0,297.6,296.8,303.45,303.75,303.08,341.7,171.75,"5,511,476","1,670,417,243.60","37,770"
15-Jun-2023,EQ,304.5,305.35,295.95,304.45,296.9,296.8,300.26,341.7,171.75,"5,959,180","1,789,294,084.10","44,930"
14-Jun-2023,EQ,304.5,307.15,303.0,314.9,304.5,304.45,305.05,341.7,171.75,"6,079,409","1,854,549,958.50","45,911"
13-Jun-2023,EQ,316.0,316.4,313.25,314.9,315.0,314.9,314.74,341.7,171.75,"3,615,916","1,138,072,888.80","24,496"
12-Jun-2023,EQ,313.0,315.4,310.15,311.0,315.05,314.9,313.51,341.7,171.75,"3,776,249","1,183,896,022.85","26,126"
09-Jun-2023,EQ,313.25,313.25,310.0,312.3,311.1,311.0,311.27,341.7,171.75,"3,720,275","1,157,994,813.50","23,826"
08-Jun-2023,EQ,316.4,316.55,311.0,315.0,312.3,312.3,313.77,341.7,171.75,"3,707,334","1,163,261,100.55","24,159"
07-Jun-2023,EQ,312.9,316.5,312.6,311.75,315.35,315.0,315.14,341.7,171.75,"4,175,476","1,315,843,235.15","24,367"
06-Jun-2023,EQ,312.9,313.4,308.9,312.0,311.9,311.75,311.47,341.7,171.75,"3,370,325","1,049,742,471.85","21,266"
05-Jun-2023,EQ,315.45,315.85,311.55,313.75,312.3,312.0,313.44,341.7,171.75,"4,397,874","1,378,455,962.50","28,053"
02-Jun-2023,EQ,310.3,315.45,309.8,309.4,313.3,313.75,313.39,341.7,171.75,"6,380,170","1,999,472,145.20","37,702"
01-Jun-2023,EQ,309.0,311.5,308.7,309.7,309.8,309.4,309.84,341.7,171.75,"4,686,805","1,452,162,890.10","28,857"
31-May-2023,EQ,307.4,311.65,304.6,307.7,309.0,309.7,308.65,341.7,171.75,"5,536,730","1,708,927,212.05","31,612"
30-May-2023,EQ,307.15,308.95,305.25,307.1,307.5,307.7,307.17,341.7,171.75,"3,248,773","997,913,122.55","28,412"
29-May-2023,EQ,309.0,310.5,305.85,306.7,307.0,307.1,308.43,341.7,171.75,"5,505,440","1,698,044,710.10","34,354"
26-May-2023,EQ,300.9,307.75,300.15,299.65,306.45,306.7,305.74,341.7,171.75,"6,474,729","1,979,605,976.05","41,587"
25-May-2023,EQ,299.0,300.3,296.15,299.6,299.6,299.65,298.67,341.7,171.75,"4,169,967","1,245,445,233.05","35,916"
24-May-2023,EQ,300.9,303.2,298.15,302.05,298.95,299.6,301.16,341.7,171.75,"3,290,843","991,074,132.65","23,562"
23-May-2023,EQ,301.95,304.5,301.15,300.95,301.75,302.05,302.96,341.7,171.75,"3,133,104","949,207,064.00","24,204"
22-May-2023,EQ,298.8,301.65,296.85,297.8,300.6,300.95,299.7,341.7,171.75,"3,436,842","1,030,025,684.15","25,448"
19-May-2023,EQ,297.0,298.9,291.35,295.15,298.3,297.8,295.61,341.7,171.75,"6,343,566","1,875,223,528.05","48,582"
18-May-2023,EQ,305.0,305.5,294.0,302.7,294.35,295.15,299.48,341.7,171.75,"8,179,149","2,449,454,520.00","59,458"
17-May-2023,EQ,305.9,308.0,299.55,305.15,302.45,302.7,303.35,341.7,171.75,"8,109,780","2,460,086,887.65","49,888"
16-May-2023,EQ,305.0,310.95,304.35,303.4,305.3,305.15,307.71,341.7,171.75,"10,887,626","3,350,215,956.25","60,600"
15-May-2023,EQ,298.8,304.45,295.6,297.0,303.8,303.4,300.48,341.7,171.75,"7,166,978","2,153,536,892.60","38,739"
12-May-2023,EQ,301.0,302.3,296.0,301.1,297.55,297.0,298.82,341.7,171.75,"6,951,857","2,077,364,888.85","41,790"
11-May-2023,EQ,302.0,305.6,300.0,300.8,300.55,301.1,302.73,341.7,171.75,"7,286,043","2,205,695,849.70","49,669"
10-May-2023,EQ,299.8,302.7,293.0,302.85,299.65,300.8,298.05,341.7,171.75,"14,590,135","4,348,643,071.40","95,518"
09-May-2023,EQ,316.5,316.7,301.35,313.2,302.3,302.85,307.08,341.7,171.75,"23,603,069","7,247,930,479.10","134,031"
08-May-2023,EQ,318.2,320.7,302.35,318.55,314.2,313.2,312.62,341.7,171.75,"27,862,996","8,710,624,907.50","154,648"
05-May-2023,EQ,321.95,326.85,316.75,323.85,319.4,318.55,322.19,341.7,171.75,"6,603,718","2,127,632,368.35","42,686"
04-May-2023,EQ,320.5,324.45,317.0,319.5,323.15,323.85,321.29,341.7,171.75,"5,935,785","1,907,128,176.10","33,248"
03-May-2023,EQ,316.5,320.4,316.0,320.0,319.4,319.5,318.74,341.7,171.75,"3,572,917","1,138,842,774.65","25,550"
02-May-2023,EQ,318.7,321.55,317.5,317.45,319.8,320.0,319.69,341.7,171.75,"5,931,824","1,896,355,133.40","35,730"
