Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,739.9,748.0,733.05,736.6,744.55,742.4,738.62,765.75,421.0,"447,265","330,357,000.15","16,000"
23-Jun-2023,EQ,733.0,738.5,720.55,733.25,733.5,736.6,732.0,765.75,406.65,"452,389","331,150,106.75","20,750"
22-Jun-2023,EQ,745.65,755.5,730.25,744.2,731.95,733.25,740.73,765.75,406.65,"662,262","490,557,773.75","21,133"
21-Jun-2023,EQ,757.2,757.2,742.3,751.2,745.2,744.2,748.1,765.75,406.65,"338,545","253,266,319.75","12,155"
20-Jun-2023,EQ,748.45,758.7,746.0,745.2,752.0,751.2,751.4,765.75,406.65,"1,081,401","812,568,291.90","29,653"
19-Jun-2023,EQ,755.0,765.75,743.1,749.65,746.0,745.2,754.35,765.75,406.65,"772,856","583,004,854.85","23,196"
16-Jun-2023,EQ,740.25,758.5,738.55,733.1,748.45,749.65,752.87,758.65,406.65,"939,196","707,096,879.35","25,405"
15-Jun-2023,EQ,750.0,758.5,730.0,748.85,735.0,733.1,744.78,758.65,406.65,"636,878","474,336,803.90","17,170"
14-Jun-2023,EQ,748.95,754.45,741.15,746.3,747.3,748.85,747.0,758.65,406.65,"494,588","369,457,080.35","17,936"
13-Jun-2023,EQ,750.95,754.45,740.8,744.3,743.0,746.3,747.55,758.65,406.65,"529,028","395,476,613.30","15,219"
12-Jun-2023,EQ,741.95,758.65,735.05,741.8,746.85,744.3,746.76,758.65,406.65,"723,202","540,057,551.70","20,042"
09-Jun-2023,EQ,740.0,746.95,732.7,741.25,741.5,741.8,740.11,752.8,406.65,"488,172","361,301,065.20","15,264"
08-Jun-2023,EQ,749.95,752.25,739.05,749.45,739.8,741.25,744.86,752.8,406.65,"464,175","345,744,939.35","13,876"
07-Jun-2023,EQ,723.3,752.8,721.0,717.95,747.0,749.45,745.93,752.8,406.65,"2,141,726","1,597,568,118.55","45,555"
06-Jun-2023,EQ,713.8,719.9,707.05,713.85,716.1,717.95,714.98,732.55,406.65,"429,223","306,887,190.20","12,217"
05-Jun-2023,EQ,728.95,731.5,712.0,725.9,713.8,713.85,718.52,732.55,406.65,"496,947","357,064,888.30","18,779"
02-Jun-2023,EQ,728.0,729.05,715.3,728.1,725.5,725.9,722.38,732.55,406.65,"720,903","520,768,114.50","18,982"
01-Jun-2023,EQ,711.85,732.55,705.0,707.2,725.7,728.1,722.17,732.55,406.65,"1,398,058","1,009,634,717.45","40,413"
31-May-2023,EQ,688.95,710.1,685.9,690.3,708.0,707.2,702.28,710.1,406.65,"1,383,366","971,504,279.30","25,984"
30-May-2023,EQ,691.5,695.0,684.35,690.15,690.0,690.3,690.69,698.55,406.65,"342,247","236,385,261.20","18,068"
29-May-2023,EQ,678.15,694.35,677.45,676.8,690.0,690.15,689.03,698.55,406.65,"483,110","332,878,856.90","19,770"
26-May-2023,EQ,673.0,685.0,673.0,677.25,675.1,676.8,679.47,698.55,406.65,"321,713","218,593,065.80","12,399"
25-May-2023,EQ,680.1,683.2,673.0,679.3,678.5,677.25,676.61,698.55,406.65,"249,670","168,928,729.75","8,520"
24-May-2023,EQ,672.8,684.7,669.6,676.95,680.0,679.3,678.65,698.55,406.65,"398,758","270,617,677.60","13,758"
23-May-2023,EQ,673.95,686.55,671.05,670.1,676.25,676.95,678.96,698.55,406.65,"452,425","307,179,628.05","16,017"
22-May-2023,EQ,668.8,674.35,655.45,666.35,667.55,670.1,667.5,698.55,406.65,"500,401","334,018,680.60","17,157"
19-May-2023,EQ,678.95,678.95,651.0,675.45,666.95,666.35,661.15,698.55,406.65,"901,489","596,019,551.10","29,910"
18-May-2023,EQ,677.45,698.55,671.5,670.55,673.95,675.45,687.2,698.55,406.65,"2,562,867","1,761,201,920.60","53,920"
17-May-2023,EQ,659.0,673.45,649.6,658.5,672.0,670.55,661.08,678.05,406.65,"650,229","429,855,993.65","19,769"
16-May-2023,EQ,663.45,672.45,653.65,658.95,660.75,658.5,663.39,678.05,406.65,"719,609","477,384,912.35","19,941"
15-May-2023,EQ,645.05,661.55,640.45,643.65,659.0,658.95,653.42,678.05,406.65,"786,620","513,993,860.20","24,838"
12-May-2023,EQ,643.95,649.4,640.3,643.95,643.1,643.65,645.33,678.05,406.65,"357,957","230,999,758.25","16,659"
11-May-2023,EQ,649.8,654.95,642.1,646.45,642.5,643.95,648.5,678.05,406.65,"337,114","218,617,420.95","13,482"
10-May-2023,EQ,645.85,652.5,641.85,645.85,645.05,646.45,647.48,678.05,406.65,"375,429","243,084,590.85","14,343"
09-May-2023,EQ,659.0,659.2,642.65,657.0,647.0,645.85,649.43,678.05,406.65,"535,583","347,821,340.30","18,445"
08-May-2023,EQ,642.2,658.95,639.5,643.75,657.35,657.0,653.02,678.05,406.65,"618,516","403,901,630.35","23,849"
05-May-2023,EQ,637.95,649.55,635.6,637.4,641.55,643.75,644.43,678.05,406.65,"687,273","442,901,665.85","22,927"
04-May-2023,EQ,634.0,640.0,631.55,633.55,635.3,637.4,637.21,678.05,406.65,"378,592","241,244,233.95","12,375"
03-May-2023,EQ,623.1,639.8,623.1,627.3,633.25,633.55,633.94,678.05,406.65,"616,261","390,671,581.45","20,451"
02-May-2023,EQ,619.75,632.5,617.1,616.7,626.3,627.3,625.34,678.05,406.65,"1,067,045","667,269,990.90","22,083"
28-Apr-2023,EQ,598.35,625.0,596.7,593.2,616.0,616.7,614.74,678.05,406.65,"1,601,617","984,582,028.90","39,121"
27-Apr-2023,EQ,578.0,598.0,576.05,585.15,591.8,593.2,589.72,678.05,406.65,"1,275,144","751,976,494.25","31,003"
26-Apr-2023,EQ,582.5,592.15,578.2,584.15,582.75,585.15,586.73,678.05,406.65,"724,986","425,374,378.45","25,022"
25-Apr-2023,EQ,580.0,587.5,576.6,577.1,583.0,584.15,584.06,678.05,406.65,"550,626","321,596,064.25","18,474"
24-Apr-2023,EQ,562.9,579.5,560.85,562.0,578.0,577.1,574.87,678.05,406.65,"703,195","404,243,185.75","17,187"
21-Apr-2023,EQ,566.35,566.35,552.1,563.35,561.5,562.0,558.09,678.05,406.65,"451,968","252,237,379.05","12,950"
20-Apr-2023,EQ,564.0,570.05,561.1,564.55,564.65,563.35,565.47,678.05,406.65,"259,117","146,522,320.55","9,127"
19-Apr-2023,EQ,561.5,574.85,561.5,562.45,565.0,564.55,568.53,678.05,406.65,"412,979","234,790,739.20","14,861"
18-Apr-2023,EQ,570.25,571.0,550.8,570.4,563.65,562.45,561.22,678.05,406.65,"590,385","331,336,485.30","19,287"
17-Apr-2023,EQ,570.0,574.95,564.05,566.75,570.0,570.4,569.23,678.05,406.65,"308,969","175,875,886.75","13,431"
13-Apr-2023,EQ,570.0,572.0,558.1,569.6,567.9,566.75,564.93,678.05,406.65,"407,594","230,263,643.70","11,803"
12-Apr-2023,EQ,574.95,575.35,565.2,574.95,568.2,569.6,568.86,678.05,406.65,"303,075","172,406,902.80","10,122"
11-Apr-2023,EQ,585.0,590.95,572.65,582.15,574.45,574.95,579.18,678.05,406.65,"1,127,721","653,149,901.75","21,866"
10-Apr-2023,EQ,572.95,583.6,568.05,567.15,581.2,582.15,576.49,678.05,406.65,"765,353","441,217,305.25","21,642"
06-Apr-2023,EQ,544.35,569.3,538.6,544.2,569.3,567.15,560.66,685.0,406.65,"881,334","494,126,610.20","26,184"
05-Apr-2023,EQ,546.05,546.85,539.45,545.4,542.7,544.2,542.77,685.0,406.65,"234,421","127,237,050.60","7,758"
03-Apr-2023,EQ,532.85,547.8,530.2,529.2,545.05,545.4,542.72,685.0,406.65,"634,976","344,616,746.55","17,240"
31-Mar-2023,EQ,520.0,532.5,519.0,515.4,530.0,529.2,528.25,685.0,406.65,"404,383","213,616,397.95","11,963"
29-Mar-2023,EQ,520.75,523.35,512.0,518.85,516.8,515.4,516.9,685.0,406.65,"846,192","437,398,871.20","19,753"
