Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,267.5,273.85,266.2,267.9,273.4,272.6,269.96,366.8,248.4,"992,098","267,829,492.90","11,641"
23-Jun-2023,EQ,273.9,273.95,267.05,273.45,267.9,267.9,269.97,366.8,248.4,"1,260,380","340,263,170.00","16,748"
22-Jun-2023,EQ,279.0,280.9,272.7,279.05,273.75,273.45,278.1,366.8,248.4,"2,074,168","576,827,886.65","18,772"
21-Jun-2023,EQ,280.0,280.75,278.1,279.0,279.0,279.05,279.46,366.8,248.4,"604,367","168,893,953.20","8,794"
20-Jun-2023,EQ,279.0,280.3,277.2,278.35,279.0,279.0,279.15,366.8,248.4,"663,370","185,178,770.30","11,467"
19-Jun-2023,EQ,278.5,280.35,276.1,278.3,278.45,278.35,278.75,366.8,248.4,"629,128","175,372,573.40","9,458"
16-Jun-2023,EQ,278.0,280.0,277.25,277.05,278.45,278.3,278.7,366.8,248.4,"703,493","196,063,567.20","12,291"
15-Jun-2023,EQ,280.0,280.1,276.2,278.9,276.8,277.05,278.3,366.8,248.4,"922,683","256,780,218.50","10,655"
14-Jun-2023,EQ,280.95,283.3,278.05,279.95,279.0,278.9,280.86,366.8,248.4,"4,960,960","1,393,353,054.55","35,279"
13-Jun-2023,EQ,279.05,281.15,276.55,278.45,279.8,279.95,279.43,366.8,248.4,"751,553","210,005,437.10","14,609"
12-Jun-2023,EQ,275.0,279.65,273.55,274.45,278.4,278.45,277.55,366.8,248.4,"660,358","183,281,393.85","9,835"
09-Jun-2023,EQ,279.95,279.95,273.6,278.95,274.4,274.45,275.88,366.8,248.4,"997,710","275,249,757.95","14,830"
08-Jun-2023,EQ,281.9,282.2,278.05,280.9,278.95,278.95,280.33,366.8,248.4,"697,774","195,606,228.30","9,463"
07-Jun-2023,EQ,279.3,282.0,278.8,279.05,280.85,280.9,280.97,366.8,248.4,"1,125,697","316,292,680.70","10,691"
06-Jun-2023,EQ,283.35,284.0,278.5,281.55,279.0,279.05,280.4,366.8,248.4,"1,333,368","373,875,728.65","13,977"
05-Jun-2023,EQ,280.9,284.6,280.7,280.75,282.3,281.55,282.04,366.8,248.4,"955,051","269,362,093.20","13,448"
02-Jun-2023,EQ,281.05,282.3,280.0,280.2,280.75,280.75,280.93,370.8,248.4,"432,218","121,423,412.70","7,983"
01-Jun-2023,EQ,282.0,282.75,279.5,280.2,280.3,280.2,280.93,370.8,248.4,"532,210","149,515,002.50","11,999"
31-May-2023,EQ,279.05,281.8,277.5,280.05,280.1,280.2,280.05,370.8,248.4,"891,793","249,747,583.70","11,020"
30-May-2023,EQ,286.5,286.9,278.5,285.8,280.3,280.05,280.77,370.8,248.4,"2,025,736","568,772,701.75","21,543"
29-May-2023,EQ,280.0,293.45,278.15,286.6,285.8,285.8,287.25,370.8,248.4,"4,074,740","1,170,480,764.25","36,285"
26-May-2023,EQ,284.95,287.65,282.2,285.0,286.15,286.6,284.62,419.9,248.4,"1,173,473","333,999,752.40","14,143"
25-May-2023,EQ,287.55,288.7,283.6,289.1,285.0,285.0,285.7,419.9,248.4,"1,274,271","364,053,948.55","16,558"
24-May-2023,EQ,291.0,293.85,287.6,291.4,288.9,289.1,290.72,419.9,248.4,"906,199","263,446,525.90","10,309"
23-May-2023,EQ,293.8,295.3,290.2,292.65,291.5,291.4,292.42,419.9,248.4,"948,825","277,455,405.05","12,503"
22-May-2023,EQ,291.0,293.8,286.25,290.6,292.0,292.65,290.77,419.9,248.4,"795,393","231,273,245.45","12,682"
19-May-2023,EQ,295.0,296.2,287.05,294.85,290.25,290.6,291.68,419.9,248.4,"2,398,522","699,597,115.45","29,453"
