Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,090.00","1,090.00","1,068.05","1,090.15","1,081.15","1,077.60","1,076.02","1,155.00",612.1,"1,188,620","1,278,982,463.10","59,553"
23-Jun-2023,EQ,"1,100.25","1,106.05","1,077.35","1,100.20","1,090.00","1,090.15","1,089.46","1,155.00",611.25,"976,315","1,063,653,538.95","44,482"
22-Jun-2023,EQ,"1,135.00","1,135.00","1,095.00","1,134.35","1,100.00","1,100.20","1,108.78","1,155.00",611.25,"824,251","913,913,578.35","33,471"
21-Jun-2023,EQ,"1,126.90","1,155.00","1,125.10","1,121.90","1,133.00","1,134.35","1,140.33","1,155.00",611.25,"1,068,007","1,217,878,253.15","41,015"
20-Jun-2023,EQ,"1,132.25","1,136.35","1,117.05","1,132.25","1,123.90","1,121.90","1,122.79","1,149.90",611.25,"1,192,136","1,338,522,905.80","54,549"
19-Jun-2023,EQ,"1,128.45","1,149.90","1,127.55","1,126.65","1,132.95","1,132.25","1,139.23","1,149.90",611.25,"1,000,080","1,139,317,255.30","38,360"
16-Jun-2023,EQ,"1,112.90","1,131.00","1,112.00","1,112.90","1,129.70","1,126.65","1,123.57","1,131.00",600.0,"1,238,110","1,391,097,107.90","37,270"
15-Jun-2023,EQ,"1,103.60","1,123.55","1,096.60","1,099.30","1,115.80","1,112.90","1,115.31","1,123.55",600.0,"1,371,182","1,529,299,146.80","43,691"
14-Jun-2023,EQ,"1,103.00","1,103.00","1,084.15","1,101.80","1,096.30","1,099.30","1,097.39","1,104.40",600.0,"2,229,661","2,446,812,605.55","48,551"
13-Jun-2023,EQ,"1,080.25","1,104.40","1,075.60","1,073.10","1,102.00","1,101.80","1,093.21","1,104.40",600.0,"1,729,173","1,890,346,777.05","59,828"
12-Jun-2023,EQ,"1,067.50","1,076.00","1,054.30","1,065.70","1,074.70","1,073.10","1,066.39","1,081.75",600.0,"492,042","524,710,160.55","28,899"
09-Jun-2023,EQ,"1,060.95","1,071.00","1,056.00","1,061.60","1,062.90","1,065.70","1,065.76","1,081.75",600.0,"399,906","426,205,020.60","19,001"
08-Jun-2023,EQ,"1,073.20","1,081.75","1,058.70","1,073.20","1,065.00","1,061.60","1,068.94","1,081.75",600.0,"746,564","798,033,326.70","38,437"
07-Jun-2023,EQ,"1,061.00","1,077.00","1,055.80","1,057.25","1,073.45","1,073.20","1,070.71","1,077.00",600.0,"1,250,088","1,338,483,200.35","35,482"
06-Jun-2023,EQ,"1,048.55","1,061.00","1,044.75","1,048.55","1,056.00","1,057.25","1,052.46","1,069.80",600.0,"734,902","773,456,125.85","38,493"
05-Jun-2023,EQ,"1,041.15","1,057.00","1,036.55","1,039.30","1,050.00","1,048.55","1,043.54","1,069.80",600.0,"1,064,602","1,110,955,419.65","57,714"
02-Jun-2023,EQ,"1,045.90","1,049.65","1,036.30","1,043.90","1,041.25","1,039.30","1,039.94","1,069.80",600.0,"1,447,106","1,504,907,953.85","70,745"
01-Jun-2023,EQ,"1,051.00","1,051.00","1,038.00","1,050.90","1,041.50","1,043.90","1,043.78","1,069.80",600.0,"847,659","884,767,579.95","52,008"
31-May-2023,EQ,"1,046.50","1,057.80","1,036.65","1,046.30","1,055.00","1,050.90","1,047.85","1,069.80",600.0,"2,135,788","2,237,985,168.85","65,470"
30-May-2023,EQ,"1,058.00","1,058.00","1,036.75","1,055.40","1,045.00","1,046.30","1,043.94","1,069.80",600.0,"1,051,231","1,097,423,742.25","66,735"
29-May-2023,EQ,"1,056.00","1,061.80","1,051.00","1,049.70","1,055.55","1,055.40","1,055.84","1,069.80",600.0,"758,768","801,140,415.40","41,170"
26-May-2023,EQ,"1,060.05","1,063.40","1,041.60","1,059.45","1,051.85","1,049.70","1,049.12","1,069.80",600.0,"1,013,930","1,063,733,865.35","28,834"
25-May-2023,EQ,"1,052.20","1,064.00","1,047.95","1,052.20","1,060.00","1,059.45","1,057.93","1,069.80",600.0,"1,180,607","1,249,002,017.20","26,741"
24-May-2023,EQ,"1,060.00","1,067.45","1,050.00","1,060.65","1,051.40","1,052.20","1,057.37","1,069.80",600.0,"1,530,243","1,618,030,444.55","36,183"
23-May-2023,EQ,"1,055.00","1,069.80","1,051.10","1,053.70","1,060.90","1,060.65","1,059.48","1,069.80",600.0,"2,106,878","2,232,204,872.95","64,551"
22-May-2023,EQ,"1,040.95","1,056.50","1,034.35","1,043.40","1,054.00","1,053.70","1,047.76","1,056.50",600.0,"975,036","1,021,603,525.90","37,454"
19-May-2023,EQ,"1,043.00","1,049.15","1,025.90","1,042.30","1,041.00","1,043.40","1,035.41","1,049.95",600.0,"1,114,239","1,153,690,258.60","36,310"
18-May-2023,EQ,"1,011.60","1,049.95","1,011.10","1,011.60","1,043.95","1,042.30","1,039.49","1,049.95",600.0,"3,347,392","3,479,589,781.85","81,560"
17-May-2023,EQ,"1,019.75","1,024.00","1,007.20","1,020.40","1,011.00","1,011.60","1,013.17","1,024.90",600.0,"1,389,487","1,407,781,892.60","47,136"
16-May-2023,EQ,"1,003.50","1,024.90","1,003.15","1,003.50","1,020.00","1,020.40","1,018.38","1,024.90",600.0,"2,314,978","2,357,515,796.85","67,603"
15-May-2023,EQ,"1,005.05","1,015.00",998.85,"1,005.05","1,003.35","1,003.50","1,006.86","1,021.00",600.0,"1,414,453","1,424,157,174.25","56,590"
12-May-2023,EQ,"1,000.50","1,021.00",993.45,998.85,"1,006.95","1,005.05","1,007.54","1,021.00",600.0,"2,231,644","2,248,475,845.40","68,742"
11-May-2023,EQ,"1,003.10","1,005.95",985.10,989.60,"1,001.00",998.85,992.16,"1,007.95",600.0,"1,466,977","1,455,468,725.10","59,671"
10-May-2023,EQ,986.95,994.80,976.05,983.55,988.70,989.60,985.10,"1,007.95",600.0,"1,990,297","1,960,643,203.40","77,071"
09-May-2023,EQ,999.95,"1,007.95",978.55,"1,001.90",982.60,983.55,990.41,"1,007.95",600.0,"2,050,600","2,030,934,660.35","69,667"
08-May-2023,EQ,990.00,"1,004.95",978.50,991.85,"1,001.00","1,001.90",997.14,"1,004.95",600.0,"3,345,621","3,336,056,920.10","114,078"
05-May-2023,EQ,950.00,999.00,947.05,950.20,990.50,991.85,983.21,999.00,600.0,"6,761,930","6,648,416,824.55","152,709"
04-May-2023,EQ,920.05,970.00,920.05,886.60,950.40,950.20,953.03,970.00,600.0,"12,337,614","11,758,066,353.45","235,952"
03-May-2023,EQ,875.15,888.00,871.25,874.70,885.50,886.60,884.36,894.90,600.0,"1,796,299","1,588,576,726.95","40,740"
02-May-2023,EQ,874.75,894.90,871.15,871.10,875.40,874.70,883.84,894.90,600.0,"2,287,265","2,021,573,420.70","52,429"
28-Apr-2023,EQ,860.95,873.95,855.90,854.40,873.95,871.10,866.54,873.95,600.0,"1,499,674","1,299,525,010.90","37,162"
27-Apr-2023,EQ,838.45,857.00,832.55,838.30,853.95,854.40,842.86,857.00,600.0,"1,635,790","1,378,741,512.15","26,393"
26-Apr-2023,EQ,840.00,845.00,835.00,838.55,836.00,838.30,838.77,851.90,600.0,"458,067","384,213,915.90","23,841"
25-Apr-2023,EQ,841.95,845.95,836.00,840.35,840.85,838.55,840.57,851.90,600.0,"839,455","705,621,273.65","27,517"
24-Apr-2023,EQ,839.95,851.40,838.00,837.35,841.95,840.35,844.09,851.90,600.0,"1,881,240","1,587,934,478.55","41,435"
21-Apr-2023,EQ,839.95,844.80,823.15,843.30,838.45,837.35,832.13,851.90,600.0,"990,268","824,029,875.10","25,867"
20-Apr-2023,EQ,846.90,850.70,838.75,846.90,842.25,843.30,844.87,851.90,600.0,"554,220","468,241,658.50","13,022"
19-Apr-2023,EQ,840.00,851.15,838.20,839.60,845.60,846.90,845.91,851.90,600.0,"1,267,087","1,071,838,779.85","31,580"
18-Apr-2023,EQ,833.35,851.90,833.15,836.45,839.80,839.60,843.27,851.90,600.0,"1,240,081","1,045,729,273.95","35,925"
17-Apr-2023,EQ,821.00,839.90,819.30,820.95,836.40,836.45,833.35,847.80,600.0,"2,526,926","2,105,810,926.40","52,280"
13-Apr-2023,EQ,821.00,826.30,815.35,820.25,820.85,820.95,820.62,847.80,600.0,"2,265,370","1,859,004,736.90","84,917"
12-Apr-2023,EQ,835.85,839.50,818.85,840.85,819.80,820.25,823.04,847.80,600.0,"1,745,975","1,436,999,363.90","52,048"
11-Apr-2023,EQ,835.55,842.30,821.60,829.20,837.50,840.85,831.38,847.80,600.0,"2,938,742","2,443,206,322.10","59,808"
10-Apr-2023,EQ,847.80,847.80,827.10,841.40,829.10,829.20,837.79,847.80,600.0,"2,850,243","2,387,911,407.25","61,437"
06-Apr-2023,EQ,795.00,847.05,795.00,782.65,839.90,841.40,831.54,847.05,600.0,"12,172,829","10,122,151,859.85","214,686"
05-Apr-2023,EQ,778.95,791.60,775.35,778.60,779.85,782.65,784.51,817.75,600.0,"2,070,273","1,624,152,983.05","49,240"
03-Apr-2023,EQ,764.00,780.80,764.00,761.30,778.65,778.60,772.52,817.75,600.0,"1,271,784","982,474,351.55","39,753"
31-Mar-2023,EQ,748.50,764.10,748.50,747.85,760.00,761.30,758.02,817.75,600.0,"1,255,439","951,645,808.05","34,772"
29-Mar-2023,EQ,732.15,751.50,730.70,732.15,750.10,747.85,745.12,817.75,600.0,"1,143,861","852,316,007.60","34,831"
28-Mar-2023,EQ,717.85,737.00,717.85,715.85,735.95,732.15,728.08,817.75,600.0,"1,411,125","1,027,412,418.05","53,752"
27-Mar-2023,EQ,727.65,729.95,709.90,727.65,715.95,715.85,716.20,817.75,600.0,"1,826,050","1,307,824,704.00","44,642"
24-Mar-2023,EQ,741.50,744.65,722.75,746.70,727.00,727.65,734.20,817.75,600.0,"1,218,088","894,325,561.65","32,974"
23-Mar-2023,EQ,748.80,752.00,740.60,747.10,745.30,746.70,746.05,817.75,600.0,"836,254","623,884,965.70","19,419"
22-Mar-2023,EQ,756.00,761.15,744.85,754.60,749.95,747.10,754.97,817.75,600.0,"1,344,801","1,015,283,902.50","30,403"
21-Mar-2023,EQ,749.70,758.15,742.20,745.95,753.00,754.60,754.21,817.75,600.0,"1,896,931","1,430,687,100.05","51,382"
20-Mar-2023,EQ,757.00,768.00,742.85,763.70,746.00,745.95,748.66,817.75,600.0,"1,266,819","948,412,966.55","35,684"
17-Mar-2023,EQ,753.40,766.05,748.00,746.65,762.40,763.70,761.66,817.75,600.0,"1,183,335","901,294,476.70","37,438"
16-Mar-2023,EQ,747.00,753.80,739.90,746.00,746.95,746.65,746.65,817.75,600.0,"848,375","633,437,191.60","38,188"
15-Mar-2023,EQ,746.65,759.95,742.15,744.20,744.75,746.00,753.29,817.75,600.0,"893,300","672,915,664.10","36,517"
14-Mar-2023,EQ,738.95,748.90,731.35,739.80,742.40,744.20,743.48,817.75,600.0,"955,817","710,626,897.95","34,168"
13-Mar-2023,EQ,748.00,753.00,737.80,752.75,740.95,739.80,745.38,817.75,600.0,"1,506,345","1,122,803,555.55","37,892"
10-Mar-2023,EQ,761.00,762.00,749.55,766.65,751.70,752.75,755.73,817.75,595.1,"554,915","419,363,591.90","33,347"
09-Mar-2023,EQ,764.55,775.50,762.05,766.60,765.00,766.65,768.66,817.75,595.1,"1,135,186","872,569,981.15","44,959"
08-Mar-2023,EQ,769.20,772.00,756.10,769.30,764.55,766.60,762.11,817.75,595.1,"736,004","560,916,609.90","32,207"
06-Mar-2023,EQ,755.00,775.90,753.00,750.20,767.20,769.30,769.21,817.75,595.1,"1,511,840","1,162,921,548.50","51,976"
03-Mar-2023,EQ,756.45,760.20,749.30,750.00,751.40,750.20,752.33,817.75,595.1,"533,836","401,623,237.00","17,028"
02-Mar-2023,EQ,770.65,771.40,747.95,766.75,752.00,750.00,756.20,817.75,595.1,"658,126","497,672,122.25","22,212"
01-Mar-2023,EQ,760.05,771.90,757.60,756.50,766.20,766.75,767.05,817.75,595.1,"779,296","597,760,125.05","45,437"
28-Feb-2023,EQ,763.00,770.00,751.40,762.15,757.15,756.50,759.26,817.75,595.1,"845,969","642,308,941.35","27,159"
27-Feb-2023,EQ,760.00,768.10,750.00,762.85,761.70,762.15,758.28,817.75,595.1,"592,151","449,015,532.10","16,893"
24-Feb-2023,EQ,752.05,764.90,750.30,751.50,760.75,762.85,759.54,817.75,595.1,"843,827","640,924,536.10","20,327"
23-Feb-2023,EQ,766.40,767.70,749.00,765.40,751.40,751.50,754.29,817.75,595.1,"602,318","454,320,216.50","24,953"
22-Feb-2023,EQ,772.90,774.05,762.60,773.40,764.50,765.40,767.96,817.75,595.1,"675,975","519,123,019.00","22,410"
21-Feb-2023,EQ,771.00,776.90,768.10,770.10,773.05,773.40,771.65,817.75,595.1,"439,159","338,878,990.25","24,683"
20-Feb-2023,EQ,779.35,782.40,768.65,779.35,770.05,770.10,773.58,817.75,595.1,"564,503","436,685,590.90","24,819"
17-Feb-2023,EQ,778.25,786.75,774.05,782.25,780.00,779.35,780.09,817.75,595.1,"519,505","405,260,351.10","19,132"
16-Feb-2023,EQ,783.00,787.70,777.05,782.65,782.65,782.25,782.91,817.75,595.1,"565,034","442,372,960.65","17,882"
15-Feb-2023,EQ,775.00,784.95,772.00,776.15,782.80,782.65,779.96,817.75,595.1,"657,492","512,814,347.75","26,022"
14-Feb-2023,EQ,772.00,778.75,765.65,771.20,774.55,776.15,773.08,817.75,595.1,"469,562","363,009,353.55","16,680"
13-Feb-2023,EQ,776.00,780.85,768.05,777.55,775.00,771.20,774.67,817.75,595.1,"770,758","597,079,517.85","18,441"
10-Feb-2023,EQ,794.00,797.75,775.00,796.10,775.35,777.55,782.21,817.75,595.1,"856,228","669,750,593.25","17,816"
09-Feb-2023,EQ,796.00,803.10,791.00,796.05,795.70,796.10,796.35,817.75,595.1,"742,433","591,239,068.90","19,140"
08-Feb-2023,EQ,782.45,800.40,778.55,781.40,794.45,796.05,795.15,817.75,595.1,"1,183,130","940,770,047.15","33,357"
07-Feb-2023,EQ,781.10,788.50,770.80,781.10,778.00,781.40,781.24,817.75,595.1,"1,090,651","852,059,552.35","41,821"
06-Feb-2023,EQ,777.55,784.00,764.55,781.15,784.00,781.10,773.79,817.75,595.1,"1,370,110","1,060,172,203.00","37,992"
03-Feb-2023,EQ,776.00,785.00,764.05,775.00,781.05,781.15,774.43,817.75,595.1,"1,264,712","979,428,961.60","31,998"
02-Feb-2023,EQ,747.00,780.00,741.80,749.80,774.70,775.00,767.76,817.75,595.1,"3,157,794","2,424,435,691.80","67,574"
01-Feb-2023,EQ,731.10,774.30,731.10,706.95,752.00,749.80,756.13,817.75,595.1,"10,431,675","7,887,748,402.45","183,325"
31-Jan-2023,EQ,715.00,715.05,701.10,710.75,709.00,706.95,706.02,817.75,595.1,"2,021,320","1,427,100,694.55","57,603"
30-Jan-2023,EQ,712.40,716.10,696.75,709.90,715.00,710.75,702.97,817.75,595.1,"2,312,104","1,625,339,176.15","45,399"
27-Jan-2023,EQ,718.30,720.95,696.05,718.40,710.00,709.90,707.04,817.75,595.1,"1,807,271","1,277,810,449.55","47,023"
25-Jan-2023,EQ,724.05,726.80,713.15,725.50,718.05,718.40,718.12,817.75,595.1,"478,845","343,867,784.95","15,049"
24-Jan-2023,EQ,711.00,729.05,711.00,712.80,726.80,725.50,722.78,817.75,595.1,"1,287,543","930,604,449.90","41,879"
23-Jan-2023,EQ,706.70,717.80,706.70,706.25,713.00,712.80,712.70,817.75,595.1,"1,252,665","892,770,671.55","23,328"
20-Jan-2023,EQ,705.85,711.35,701.25,701.25,706.75,706.25,706.92,817.75,587.0,"964,737","681,991,481.50","27,940"
19-Jan-2023,EQ,690.95,703.80,689.15,692.10,700.10,701.25,699.23,817.75,587.0,"1,278,954","894,286,544.60","30,715"
18-Jan-2023,EQ,683.30,694.90,680.05,681.40,693.00,692.10,688.88,817.75,587.0,"856,393","589,948,710.35","18,564"
17-Jan-2023,EQ,693.30,695.00,675.30,691.30,682.20,681.40,682.77,817.75,587.0,"1,746,787","1,192,655,027.95","35,977"
16-Jan-2023,EQ,712.00,717.90,688.30,711.70,693.80,691.30,698.03,817.75,587.0,"2,386,105","1,665,574,053.45","35,968"
13-Jan-2023,EQ,687.00,714.95,685.10,685.60,711.00,711.70,705.77,817.75,551.4,"3,136,135","2,213,376,562.15","75,312"
12-Jan-2023,EQ,669.85,687.95,668.00,665.95,687.00,685.60,682.67,817.75,551.4,"3,395,939","2,318,316,554.55","85,371"
11-Jan-2023,EQ,672.00,673.15,658.95,669.00,668.00,665.95,665.33,817.75,551.4,"1,779,331","1,183,839,044.45","31,047"
10-Jan-2023,EQ,681.80,682.90,663.35,679.20,672.20,669.00,671.74,817.75,551.4,"1,673,245","1,123,989,017.60","38,578"
09-Jan-2023,EQ,667.00,685.95,658.45,667.90,678.00,679.20,672.40,817.75,551.4,"3,902,568","2,624,085,471.75","50,893"
06-Jan-2023,EQ,683.45,693.85,658.00,683.25,667.00,667.90,670.07,817.75,519.35,"4,278,558","2,866,914,924.70","84,399"
05-Jan-2023,EQ,720.95,721.30,680.00,718.50,687.60,683.25,689.17,817.75,519.35,"3,139,861","2,163,912,776.65","87,515"
04-Jan-2023,EQ,728.50,737.75,715.65,728.50,719.05,718.50,722.54,817.75,519.35,"1,002,261","724,168,902.55","42,645"
