Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"4,445.00","4,624.70","4,444.95","4,499.45","4,615.35","4,606.70","4,576.61","4,678.80","3,210.05","252,705","1,156,531,365.40","25,239"
23-Jun-2023,EQ,"4,532.00","4,532.00","4,460.00","4,534.70","4,485.00","4,499.45","4,503.86","4,678.80","3,210.05","173,418","781,049,698.95","21,681"
22-Jun-2023,EQ,"4,584.85","4,586.00","4,480.00","4,604.85","4,537.00","4,534.70","4,535.47","4,678.80","3,210.05","279,644","1,268,317,823.85","27,802"
21-Jun-2023,EQ,"4,600.00","4,678.80","4,580.25","4,559.25","4,605.00","4,604.85","4,630.91","4,678.80","3,210.05","304,147","1,408,476,609.50","26,975"
20-Jun-2023,EQ,"4,550.00","4,580.00","4,392.25","4,562.90","4,579.95","4,559.25","4,527.21","4,651.20","3,210.05","257,086","1,163,882,386.45","22,452"
19-Jun-2023,EQ,"4,583.00","4,623.95","4,555.30","4,594.25","4,560.00","4,562.90","4,584.82","4,651.20","3,210.05","136,407","625,402,167.50","15,501"
16-Jun-2023,EQ,"4,617.35","4,628.90","4,559.30","4,582.95","4,579.95","4,594.25","4,601.31","4,651.20","3,210.05","214,384","986,447,033.40","21,914"
15-Jun-2023,EQ,"4,639.00","4,639.00","4,551.00","4,619.60","4,583.00","4,582.95","4,584.78","4,651.20","3,210.05","158,905","728,543,823.75","13,276"
14-Jun-2023,EQ,"4,568.00","4,651.20","4,505.00","4,567.90","4,625.00","4,619.60","4,587.96","4,651.20","3,210.05","398,730","1,829,356,297.30","34,042"
13-Jun-2023,EQ,"4,536.95","4,578.00","4,500.00","4,506.30","4,567.95","4,567.90","4,554.79","4,649.50","3,210.05","262,813","1,197,057,137.65","26,990"
12-Jun-2023,EQ,"4,426.95","4,565.00","4,380.05","4,408.00","4,501.95","4,506.30","4,508.64","4,649.50","3,210.05","484,807","2,185,822,363.10","51,034"
09-Jun-2023,EQ,"4,390.05","4,434.40","4,336.35","4,385.55","4,414.80","4,408.00","4,401.11","4,649.50","3,210.05","209,549","922,247,524.25","22,001"
08-Jun-2023,EQ,"4,465.00","4,465.00","4,375.25","4,452.05","4,377.00","4,385.55","4,413.60","4,649.50","3,210.05","128,873","568,793,293.30","21,636"
07-Jun-2023,EQ,"4,450.00","4,469.95","4,416.15","4,415.50","4,450.00","4,452.05","4,442.40","4,649.50","3,210.05","127,994","568,600,706.45","17,721"
06-Jun-2023,EQ,"4,562.00","4,562.00","4,383.05","4,592.45","4,416.00","4,415.50","4,448.72","4,649.50","3,210.05","372,997","1,659,360,094.65","35,236"
05-Jun-2023,EQ,"4,634.00","4,634.00","4,562.00","4,590.80","4,595.00","4,592.45","4,592.08","4,649.50","3,210.05","146,482","672,656,998.50","16,214"
02-Jun-2023,EQ,"4,571.05","4,649.50","4,560.00","4,562.15","4,586.20","4,590.80","4,611.56","4,649.50","3,210.05","302,898","1,396,831,871.45","32,776"
01-Jun-2023,EQ,"4,566.00","4,590.90","4,528.55","4,555.10","4,560.05","4,562.15","4,559.80","4,605.50","3,210.05","220,301","1,004,529,080.20","27,155"
31-May-2023,EQ,"4,417.00","4,605.50","4,409.00","4,400.15","4,565.00","4,555.10","4,520.63","4,605.50","3,210.05","706,949","3,195,852,535.75","43,154"
30-May-2023,EQ,"4,415.00","4,468.80","4,388.30","4,420.15","4,409.00","4,400.15","4,418.69","4,512.00","3,210.05","270,720","1,196,227,987.05","19,757"
29-May-2023,EQ,"4,510.00","4,510.00","4,405.00","4,459.95","4,420.15","4,420.15","4,450.81","4,512.00","3,210.05","214,720","955,678,674.70","16,675"
26-May-2023,EQ,"4,319.80","4,507.15","4,305.00","4,297.25","4,449.10","4,459.95","4,420.17","4,512.00","3,210.05","634,129","2,802,958,918.20","47,950"
25-May-2023,EQ,"4,250.00","4,319.00","4,211.60","4,255.40","4,305.00","4,297.25","4,265.31","4,512.00","3,210.05","280,375","1,195,885,492.50","19,649"
24-May-2023,EQ,"4,284.00","4,303.50","4,233.15","4,304.50","4,253.00","4,255.40","4,270.27","4,512.00","3,210.05","158,567","677,123,117.45","16,028"
23-May-2023,EQ,"4,380.40","4,420.00","4,290.00","4,370.95","4,295.00","4,304.50","4,355.73","4,512.00","3,210.05","276,091","1,202,577,271.35","29,152"
22-May-2023,EQ,"4,278.15","4,385.00","4,266.15","4,278.15","4,350.00","4,370.95","4,323.90","4,512.00","3,210.05","358,673","1,550,867,598.90","45,561"
19-May-2023,EQ,"4,228.00","4,303.45","4,206.05","4,206.15","4,278.00","4,278.15","4,268.03","4,512.00","3,210.05","343,809","1,467,387,766.10","25,465"
18-May-2023,EQ,"4,240.00","4,255.00","4,175.50","4,214.00","4,199.00","4,206.15","4,229.60","4,512.00","3,210.05","204,276","864,005,393.85","19,687"
17-May-2023,EQ,"4,227.00","4,234.05","4,130.75","4,204.00","4,218.00","4,214.00","4,184.45","4,512.00","3,210.05","333,219","1,394,337,517.10","24,515"
