Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,631.00","1,670.00","1,625.00","1,631.40","1,669.90","1,667.45","1,660.10","1,714.45","1,434.60","374,707","622,049,575.45","33,322"
23-Jun-2023,EQ,"1,640.00","1,643.85","1,625.60","1,637.15","1,631.00","1,631.40","1,633.67","1,714.45","1,434.60","174,330","284,796,964.20","14,372"
22-Jun-2023,EQ,"1,649.90","1,649.90","1,626.25","1,652.40","1,637.20","1,637.15","1,636.05","1,714.45","1,434.60","145,060","237,325,294.00","9,229"
21-Jun-2023,EQ,"1,650.00","1,684.00","1,643.50","1,644.30","1,650.00","1,652.40","1,660.77","1,714.45","1,434.60","534,788","888,159,492.70","27,724"
20-Jun-2023,EQ,"1,651.05","1,659.90","1,638.50","1,649.45","1,646.80","1,644.30","1,646.04","1,714.45","1,434.60","289,186","476,010,981.25","11,362"
19-Jun-2023,EQ,"1,659.65","1,679.00","1,646.65","1,659.70","1,651.00","1,649.45","1,662.25","1,714.45","1,434.60","231,067","384,092,128.25","14,892"
16-Jun-2023,EQ,"1,645.60","1,667.00","1,640.15","1,645.60","1,662.00","1,659.70","1,658.87","1,714.45","1,434.60","376,833","625,116,680.00","19,835"
15-Jun-2023,EQ,"1,649.85","1,662.00","1,640.15","1,646.90","1,648.50","1,645.60","1,650.76","1,714.45","1,434.60","166,696","275,175,853.65","15,395"
14-Jun-2023,EQ,"1,648.95","1,662.00","1,637.50","1,647.85","1,652.70","1,646.90","1,647.04","1,714.45","1,434.60","294,476","485,014,056.15","23,209"
13-Jun-2023,EQ,"1,627.00","1,668.00","1,625.00","1,626.30","1,650.00","1,647.85","1,653.32","1,714.45","1,434.60","601,080","993,775,755.95","32,017"
12-Jun-2023,EQ,"1,599.10","1,629.55","1,594.00","1,596.55","1,627.30","1,626.30","1,618.16","1,714.45","1,434.60","328,864","532,154,626.30","16,072"
09-Jun-2023,EQ,"1,630.00","1,632.65","1,593.35","1,621.30","1,599.00","1,596.55","1,604.23","1,714.45","1,434.60","312,959","502,057,637.70","16,277"
08-Jun-2023,EQ,"1,636.70","1,638.80","1,611.50","1,636.70","1,622.00","1,621.30","1,621.57","1,714.45","1,434.60","377,866","612,734,962.70","16,431"
07-Jun-2023,EQ,"1,630.00","1,642.00","1,625.10","1,619.80","1,637.50","1,636.70","1,635.84","1,714.45","1,434.60","497,676","814,116,429.45","26,444"
06-Jun-2023,EQ,"1,606.10","1,625.00","1,600.35","1,607.50","1,625.00","1,619.80","1,611.64","1,714.45","1,434.60","295,706","476,572,740.90","17,028"
05-Jun-2023,EQ,"1,610.05","1,624.00","1,600.35","1,609.55","1,605.00","1,607.50","1,607.48","1,714.45","1,434.60","277,500","446,074,472.15","14,758"
02-Jun-2023,EQ,"1,612.00","1,619.75","1,603.85","1,610.90","1,610.50","1,609.55","1,609.50","1,714.45","1,434.60","213,634","343,844,045.00","18,451"
01-Jun-2023,EQ,"1,601.95","1,625.00","1,600.95","1,591.45","1,608.00","1,610.90","1,614.34","1,714.45","1,434.60","216,289","349,163,392.60","16,426"
31-May-2023,EQ,"1,590.85","1,629.00","1,569.00","1,590.85","1,624.00","1,591.45","1,589.44","1,714.45","1,434.60","2,804,300","4,457,263,829.45","45,368"
30-May-2023,EQ,"1,605.00","1,609.60","1,588.50","1,605.90","1,590.00","1,590.85","1,596.39","1,714.45","1,434.60","171,987","274,558,712.60","15,609"
29-May-2023,EQ,"1,604.00","1,613.50","1,600.50","1,600.50","1,605.75","1,605.90","1,607.05","1,714.45","1,434.60","182,418","293,154,678.05","15,574"
26-May-2023,EQ,"1,581.20","1,603.00","1,577.25","1,581.20","1,598.55","1,600.50","1,590.96","1,714.45","1,434.60","189,388","301,308,219.70","11,145"
25-May-2023,EQ,"1,594.00","1,598.75","1,568.00","1,594.00","1,582.20","1,581.20","1,577.14","1,714.45","1,434.60","360,381","568,369,904.05","19,314"
24-May-2023,EQ,"1,585.95","1,606.45","1,585.95","1,585.50","1,596.60","1,594.00","1,598.06","1,714.45","1,434.60","300,659","480,471,811.40","18,722"
23-May-2023,EQ,"1,615.00","1,618.50","1,582.10","1,612.15","1,587.20","1,585.50","1,595.39","1,714.45","1,434.60","220,030","351,032,662.55","16,189"
22-May-2023,EQ,"1,608.75","1,618.95","1,594.10","1,608.75","1,611.00","1,612.15","1,606.61","1,714.45","1,434.60","177,278","284,815,749.60","14,843"
19-May-2023,EQ,"1,619.80","1,622.25","1,602.10","1,635.60","1,610.65","1,608.75","1,610.85","1,714.45","1,434.60","257,186","414,289,091.15","17,927"
18-May-2023,EQ,"1,665.00","1,687.00","1,631.05","1,663.40","1,635.00","1,635.60","1,649.98","1,714.45","1,434.60","388,799","641,509,245.15","20,494"
17-May-2023,EQ,"1,656.00","1,681.00","1,640.70","1,660.95","1,665.00","1,663.40","1,662.77","1,714.45","1,434.60","349,926","581,846,997.30","25,895"
16-May-2023,EQ,"1,681.50","1,698.95","1,657.05","1,673.65","1,662.05","1,660.95","1,676.65","1,714.45","1,434.60","465,682","780,785,974.00","18,674"
15-May-2023,EQ,"1,611.15","1,714.45","1,598.05","1,627.70","1,673.10","1,673.65","1,683.90","1,714.45","1,434.60","1,494,783","2,517,062,819.75","63,399"
12-May-2023,EQ,"1,626.95","1,644.95","1,616.65","1,626.15","1,621.00","1,627.70","1,631.88","1,695.95","1,434.60","363,165","592,641,808.15","25,836"
11-May-2023,EQ,"1,608.85","1,629.00","1,604.55","1,604.55","1,628.80","1,626.15","1,619.58","1,695.95","1,434.60","264,887","429,005,215.70","17,336"
10-May-2023,EQ,"1,584.00","1,607.00","1,582.75","1,582.05","1,607.00","1,604.55","1,596.70","1,695.95","1,434.60","306,721","489,742,398.55","19,845"
09-May-2023,EQ,"1,574.80","1,590.95","1,571.75","1,573.10","1,584.00","1,582.05","1,581.71","1,695.95","1,434.60","192,071","303,800,201.40","15,099"
08-May-2023,EQ,"1,564.00","1,584.80","1,564.00","1,567.45","1,575.20","1,573.10","1,574.64","1,695.95","1,434.60","149,354","235,179,380.30","17,059"
05-May-2023,EQ,"1,587.00","1,600.00","1,560.00","1,584.45","1,566.00","1,567.45","1,586.85","1,695.95","1,434.60","418,409","663,951,444.35","19,568"
04-May-2023,EQ,"1,581.70","1,586.65","1,570.25","1,584.55","1,582.35","1,584.45","1,581.26","1,695.95","1,434.60","123,754","195,687,603.25","10,864"
03-May-2023,EQ,"1,580.00","1,590.80","1,573.10","1,575.35","1,584.85","1,584.55","1,583.06","1,695.95","1,434.60","91,876","145,445,126.15","6,710"
02-May-2023,EQ,"1,588.40","1,595.00","1,572.00","1,595.10","1,572.60","1,575.35","1,580.19","1,695.95","1,434.60","144,210","227,879,861.60","18,871"
28-Apr-2023,EQ,"1,579.20","1,598.00","1,560.20","1,579.30","1,590.00","1,595.10","1,583.35","1,695.95","1,434.60","205,265","325,006,040.90","15,927"
27-Apr-2023,EQ,"1,574.00","1,585.00","1,565.55","1,574.60","1,584.90","1,579.30","1,575.72","1,695.95","1,434.60","256,708","404,500,461.40","17,198"
26-Apr-2023,EQ,"1,568.05","1,580.95","1,561.25","1,567.15","1,573.00","1,574.60","1,569.89","1,695.95","1,434.60","265,975","417,550,817.50","17,474"
25-Apr-2023,EQ,"1,570.10","1,580.00","1,563.00","1,570.10","1,573.65","1,567.15","1,570.38","1,695.95","1,434.60","284,672","447,044,502.10","13,929"
24-Apr-2023,EQ,"1,544.70","1,576.40","1,540.00","1,539.95","1,572.75","1,570.10","1,560.26","1,695.95","1,434.60","143,250","223,506,593.75","12,661"
21-Apr-2023,EQ,"1,533.30","1,544.70","1,527.00","1,536.65","1,536.15","1,539.95","1,539.54","1,695.95","1,434.60","60,549","93,217,867.15","6,079"
20-Apr-2023,EQ,"1,528.50","1,539.75","1,520.05","1,528.95","1,531.75","1,536.65","1,528.90","1,695.95","1,434.60","125,079","191,233,253.80","17,281"
19-Apr-2023,EQ,"1,540.00","1,558.20","1,526.45","1,551.45","1,526.50","1,528.95","1,533.97","1,695.95","1,434.60","253,684","389,144,219.30","24,440"
18-Apr-2023,EQ,"1,550.10","1,573.00","1,547.00","1,559.20","1,547.70","1,551.45","1,556.63","1,695.95","1,434.60","85,701","133,405,061.75","6,656"
17-Apr-2023,EQ,"1,552.70","1,568.70","1,545.65","1,549.40","1,554.10","1,559.20","1,557.88","1,695.95","1,434.60","310,831","484,238,154.05","21,101"
13-Apr-2023,EQ,"1,556.80","1,563.75","1,542.25","1,556.65","1,548.00","1,549.40","1,552.93","1,695.95","1,434.60","185,104","287,452,874.30","12,711"
12-Apr-2023,EQ,"1,539.20","1,564.30","1,535.05","1,537.15","1,559.00","1,556.65","1,554.42","1,695.95","1,434.60","408,414","634,847,198.30","15,923"
11-Apr-2023,EQ,"1,538.00","1,545.30","1,524.00","1,536.85","1,535.80","1,537.15","1,535.70","1,695.95","1,434.60","319,263","490,291,745.95","25,168"
10-Apr-2023,EQ,"1,538.60","1,547.40","1,526.50","1,538.60","1,536.95","1,536.85","1,538.99","1,695.95","1,434.60","172,372","265,279,003.20","11,107"
06-Apr-2023,EQ,"1,540.00","1,544.65","1,525.05","1,541.15","1,536.05","1,538.60","1,538.22","1,695.95","1,434.60","509,985","784,471,332.85","32,578"
05-Apr-2023,EQ,"1,518.00","1,544.00","1,508.20","1,524.50","1,540.00","1,541.15","1,533.75","1,695.95","1,434.60","241,672","370,665,231.55","25,022"
03-Apr-2023,EQ,"1,509.75","1,527.90","1,497.05","1,507.35","1,522.20","1,524.50","1,517.22","1,695.95","1,434.60","171,813","260,677,878.60","14,093"
31-Mar-2023,EQ,"1,505.55","1,509.95","1,493.10","1,495.45","1,508.95","1,507.35","1,503.09","1,695.95","1,434.60","181,517","272,836,974.85","12,563"
29-Mar-2023,EQ,"1,496.95","1,513.35","1,490.10","1,497.95","1,501.00","1,495.45","1,499.25","1,695.95","1,434.60","257,945","386,724,775.40","23,415"
28-Mar-2023,EQ,"1,500.10","1,506.05","1,493.50","1,500.45","1,497.35","1,497.95","1,499.38","1,695.95","1,434.60","152,380","228,474,765.75","13,950"
27-Mar-2023,EQ,"1,504.95","1,511.95","1,490.10","1,500.95","1,499.80","1,500.45","1,502.89","1,695.95","1,434.60","190,364","286,096,131.05","15,508"
24-Mar-2023,EQ,"1,525.00","1,528.90","1,496.55","1,520.90","1,499.85","1,500.95","1,511.73","1,695.95","1,434.60","234,341","354,260,121.00","20,386"
23-Mar-2023,EQ,"1,503.10","1,522.90","1,498.50","1,504.50","1,521.00","1,520.90","1,511.47","1,695.95","1,434.60","305,431","461,650,313.45","15,803"
22-Mar-2023,EQ,"1,499.50","1,507.45","1,496.10","1,495.90","1,501.00","1,504.50","1,503.28","1,695.95","1,434.60","114,909","172,740,326.05","16,352"
21-Mar-2023,EQ,"1,501.45","1,502.90","1,489.40","1,497.30","1,492.00","1,495.90","1,496.98","1,695.95","1,434.60","257,004","384,729,608.95","16,463"
20-Mar-2023,EQ,"1,481.00","1,510.00","1,481.00","1,487.85","1,496.00","1,497.30","1,496.31","1,695.95","1,434.60","328,497","491,533,881.45","14,984"
17-Mar-2023,EQ,"1,494.70","1,501.60","1,482.35","1,500.15","1,489.00","1,487.85","1,490.23","1,695.95","1,434.60","476,167","709,597,034.75","19,160"
16-Mar-2023,EQ,"1,500.00","1,507.95","1,486.55","1,498.50","1,502.95","1,500.15","1,499.18","1,695.95","1,434.60","313,224","469,579,049.75","25,838"
15-Mar-2023,EQ,"1,500.40","1,502.80","1,478.55","1,500.45","1,500.00","1,498.50","1,491.89","1,695.95","1,434.60","276,294","412,199,768.90","19,633"
14-Mar-2023,EQ,"1,502.05","1,507.50","1,487.95","1,502.05","1,500.50","1,500.45","1,497.28","1,695.95","1,434.60","225,291","337,323,045.80","18,439"
13-Mar-2023,EQ,"1,496.10","1,509.80","1,483.50","1,497.10","1,503.00","1,502.05","1,499.14","1,695.95","1,434.60","213,854","320,596,563.35","15,798"
10-Mar-2023,EQ,"1,480.90","1,501.20","1,478.10","1,488.85","1,500.00","1,497.10","1,490.33","1,695.95","1,388.00","89,786","133,811,002.90","11,330"
09-Mar-2023,EQ,"1,502.05","1,504.35","1,485.25","1,501.85","1,487.50","1,488.85","1,498.50","1,695.95","1,388.00","397,299","595,353,347.60","9,648"
08-Mar-2023,EQ,"1,500.00","1,508.60","1,488.40","1,508.60","1,501.00","1,501.85","1,497.78","1,695.95","1,388.00","323,768","484,933,610.60","21,438"
06-Mar-2023,EQ,"1,505.00","1,513.25","1,493.35","1,500.90","1,510.00","1,508.60","1,506.46","1,695.95","1,388.00","335,452","505,345,920.80","12,152"
03-Mar-2023,EQ,"1,500.00","1,508.50","1,478.20","1,497.65","1,505.00","1,500.90","1,496.48","1,695.95","1,388.00","415,588","621,920,028.40","19,019"
02-Mar-2023,EQ,"1,476.50","1,499.90","1,476.50","1,482.50","1,497.00","1,497.65","1,494.49","1,695.95","1,388.00","304,127","454,516,200.45","18,316"
01-Mar-2023,EQ,"1,479.00","1,486.90","1,472.25","1,473.50","1,484.00","1,482.50","1,480.76","1,695.95","1,388.00","254,165","376,356,486.85","15,291"
28-Feb-2023,EQ,"1,460.00","1,482.00","1,454.05","1,459.70","1,478.00","1,473.50","1,471.37","1,695.95","1,388.00","885,560","1,302,989,633.70","23,536"
27-Feb-2023,EQ,"1,460.00","1,466.25","1,446.10","1,464.55","1,460.00","1,459.70","1,455.16","1,695.95","1,388.00","224,285","326,370,718.70","9,464"
24-Feb-2023,EQ,"1,454.05","1,467.70","1,454.05","1,454.05","1,463.75","1,464.55","1,461.06","1,695.95","1,388.00","321,998","470,457,220.70","10,765"
