Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,642.7,650.9,632.45,642.4,649.05,649.8,645.47,828.75,555.0,"685,285","442,332,617.70","36,650"
23-Jun-2023,EQ,642.45,649.8,633.05,642.45,639.2,642.4,642.7,828.75,555.0,"653,943","420,286,681.35","33,635"
22-Jun-2023,EQ,654.0,654.0,640.0,653.15,642.0,642.45,646.7,828.75,555.0,"1,073,821","694,441,634.85","23,909"
21-Jun-2023,EQ,638.0,654.2,637.45,636.35,653.0,653.15,649.4,828.75,555.0,"1,522,352","988,617,714.40","48,033"
20-Jun-2023,EQ,651.95,653.95,629.2,660.95,637.5,636.35,635.84,828.75,555.0,"2,796,342","1,778,029,396.50","57,373"
19-Jun-2023,EQ,671.8,671.8,659.0,668.3,659.9,660.95,662.93,828.75,555.0,"1,260,021","835,306,846.60","22,826"
16-Jun-2023,EQ,665.0,670.0,658.05,659.45,669.0,668.3,665.14,828.75,555.0,"1,114,808","741,505,968.75","29,317"
15-Jun-2023,EQ,659.75,669.4,655.0,662.3,660.0,659.45,663.51,828.75,555.0,"1,467,295","973,563,178.90","30,940"
14-Jun-2023,EQ,655.0,665.55,651.3,651.05,662.5,662.3,658.95,828.75,555.0,"1,913,846","1,261,125,423.55","58,662"
13-Jun-2023,EQ,662.0,666.15,646.05,663.4,653.5,651.05,652.44,828.75,555.0,"3,992,107","2,604,613,205.25","32,466"
12-Jun-2023,EQ,665.0,671.15,651.7,673.45,663.0,663.4,661.63,828.75,555.0,"1,405,896","930,181,292.95","32,754"
09-Jun-2023,EQ,674.0,683.3,665.95,674.15,678.2,673.45,675.77,828.75,555.0,"682,120","460,959,057.00","23,002"
08-Jun-2023,EQ,674.0,688.0,669.4,672.6,675.25,674.15,679.25,828.75,555.0,"948,257","644,104,321.20","31,675"
07-Jun-2023,EQ,672.7,676.1,665.6,670.3,673.6,672.6,672.93,828.75,555.0,"331,455","223,047,509.10","19,353"
06-Jun-2023,EQ,672.2,674.8,664.6,671.5,669.9,670.3,669.03,828.75,555.0,"273,405","182,916,648.85","14,149"
05-Jun-2023,EQ,672.5,680.0,664.1,667.05,670.55,671.5,668.41,828.75,555.0,"1,604,415","1,072,404,731.85","28,222"
02-Jun-2023,EQ,659.5,668.0,659.5,659.45,667.0,667.05,666.48,828.75,555.0,"894,538","596,192,620.85","16,956"
01-Jun-2023,EQ,671.5,674.85,658.0,670.95,659.4,659.45,666.95,828.75,555.0,"377,426","251,725,101.00","9,176"
31-May-2023,EQ,667.1,677.65,667.1,670.45,671.5,670.95,671.53,828.75,555.0,"882,663","592,732,789.35","26,113"
30-May-2023,EQ,675.9,675.9,663.1,673.7,670.7,670.45,668.69,828.75,555.0,"753,031","503,541,610.65","23,511"
29-May-2023,EQ,672.75,678.5,667.0,672.75,673.95,673.7,674.91,828.75,555.0,"845,659","570,741,688.65","17,009"
26-May-2023,EQ,668.0,674.9,664.15,668.45,671.05,672.75,670.26,828.75,555.0,"421,631","282,603,203.30","13,942"
25-May-2023,EQ,660.95,670.0,659.8,661.7,667.95,668.45,665.86,828.75,555.0,"769,540","512,402,198.70","17,313"
24-May-2023,EQ,660.95,667.65,656.25,661.2,666.0,661.7,664.29,828.75,555.0,"1,290,952","857,571,057.30","25,436"
23-May-2023,EQ,648.3,663.55,641.4,644.9,662.0,661.2,654.92,828.75,555.0,"1,255,607","822,324,169.85","30,954"
