Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,928.05,939.50,913.55,928.25,935.05,936.40,930.22,"1,094.00",838.0,"583,323","542,618,372.95","20,892"
23-Jun-2023,EQ,953.00,957.25,916.00,950.35,929.40,928.25,929.35,"1,094.00",838.0,"759,784","706,102,238.05","36,694"
22-Jun-2023,EQ,948.00,968.85,946.00,942.25,951.95,950.35,959.08,"1,094.00",838.0,"2,225,708","2,134,640,829.15","56,442"
21-Jun-2023,EQ,948.00,948.00,936.00,944.50,944.45,942.25,940.42,"1,094.00",838.0,"330,585","310,887,612.25","25,658"
20-Jun-2023,EQ,942.00,946.95,932.00,940.30,943.00,944.50,941.63,"1,094.00",838.0,"300,459","282,922,592.75","24,378"
19-Jun-2023,EQ,938.00,948.75,931.60,936.55,941.50,940.30,938.86,"1,094.00",838.0,"409,707","384,657,737.05","19,297"
16-Jun-2023,EQ,940.95,944.30,931.10,939.65,936.70,936.55,938.33,"1,094.00",838.0,"465,272","436,579,950.85","23,601"
15-Jun-2023,EQ,946.60,950.00,935.00,946.25,938.95,939.65,941.22,"1,094.00",838.0,"269,672","253,821,113.60","23,798"
14-Jun-2023,EQ,937.00,955.90,934.65,936.30,946.60,946.25,948.33,"1,094.00",838.0,"450,746","427,457,356.75","31,562"
13-Jun-2023,EQ,936.00,951.50,931.35,933.80,935.95,936.30,938.57,"1,094.00",838.0,"426,509","400,306,913.50","24,894"
12-Jun-2023,EQ,935.00,936.70,921.00,931.75,932.15,933.80,926.42,"1,094.00",838.0,"856,019","793,032,038.50","29,109"
09-Jun-2023,EQ,959.00,959.00,929.00,959.35,932.90,931.75,938.86,"1,094.00",838.0,"645,957","606,464,105.55","32,464"
08-Jun-2023,EQ,972.00,972.00,949.00,965.75,951.50,959.35,959.10,"1,094.00",838.0,"1,423,245","1,365,027,273.20","23,380"
07-Jun-2023,EQ,957.00,973.70,955.70,955.65,967.00,965.75,967.27,"1,094.00",838.0,"375,230","362,949,460.25","26,979"
06-Jun-2023,EQ,960.35,966.75,946.55,960.30,955.00,955.65,953.97,"1,094.00",838.0,"448,092","427,467,385.40","43,133"
05-Jun-2023,EQ,960.00,968.00,946.85,953.05,958.00,960.30,957.64,"1,094.00",838.0,"276,457","264,745,352.40","17,978"
