Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,288.8,292.0,285.7,289.3,288.15,288.2,288.9,429.0,251.0,"1,626,081","469,780,995.25","24,969"
23-Jun-2023,EQ,286.2,291.0,281.45,286.3,288.0,289.3,287.02,429.0,251.0,"2,283,562","655,416,921.45","32,433"
22-Jun-2023,EQ,291.8,294.75,285.6,293.7,285.75,286.3,289.1,429.0,251.0,"1,358,028","392,599,396.65","27,770"
21-Jun-2023,EQ,294.0,296.65,290.35,292.85,293.25,293.7,293.3,429.0,251.0,"2,496,057","732,092,764.70","35,029"
20-Jun-2023,EQ,289.75,295.35,288.65,290.6,292.6,292.85,292.67,429.0,251.0,"1,705,380","499,106,626.00","26,568"
19-Jun-2023,EQ,294.25,295.4,289.6,292.5,290.0,290.6,291.85,429.0,251.0,"2,172,789","634,133,638.20","25,973"
16-Jun-2023,EQ,294.8,297.75,291.9,293.1,292.75,292.5,293.93,429.0,251.0,"1,817,646","534,263,562.15","31,643"
15-Jun-2023,EQ,287.7,296.45,285.75,287.75,292.0,293.1,292.47,429.0,251.0,"4,375,955","1,279,819,647.25","59,211"
14-Jun-2023,EQ,289.7,289.7,284.6,286.9,287.1,287.75,287.24,429.0,251.0,"2,818,553","809,606,954.85","36,541"
13-Jun-2023,EQ,277.35,288.25,277.0,277.35,287.6,286.9,284.33,429.0,251.0,"4,044,521","1,149,977,050.80","54,391"
12-Jun-2023,EQ,276.95,278.85,273.6,275.25,277.3,277.35,276.16,429.0,251.0,"2,567,424","709,028,084.95","26,628"
09-Jun-2023,EQ,282.1,282.5,274.6,281.05,274.95,275.25,277.74,429.0,251.0,"1,308,343","363,372,950.00","26,780"
08-Jun-2023,EQ,282.4,285.95,280.05,281.5,281.2,281.05,282.86,429.0,251.0,"2,452,501","693,704,047.35","39,950"
07-Jun-2023,EQ,279.95,283.55,278.05,278.2,281.5,281.5,281.85,429.0,251.0,"1,925,011","542,556,092.55","29,649"
06-Jun-2023,EQ,281.85,282.55,276.0,279.6,277.5,278.2,279.47,429.0,251.0,"2,697,889","753,969,354.15","33,598"
05-Jun-2023,EQ,274.15,283.0,272.5,272.75,280.15,279.6,278.88,429.0,251.0,"3,452,827","962,908,375.30","42,913"
02-Jun-2023,EQ,274.45,275.6,272.0,273.9,272.9,272.75,273.49,429.0,251.0,"1,389,463","380,001,463.15","24,325"
01-Jun-2023,EQ,275.1,277.25,273.3,274.8,273.75,273.9,274.64,429.0,251.0,"1,127,524","309,667,090.35","15,346"
31-May-2023,EQ,274.7,276.65,274.0,274.65,274.45,274.8,274.99,429.0,251.0,"2,521,649","693,430,221.55","31,331"
30-May-2023,EQ,275.7,276.85,273.35,275.45,275.5,274.65,274.96,429.0,251.0,"2,002,695","550,654,432.05","18,490"
29-May-2023,EQ,273.5,275.95,271.15,271.85,275.5,275.45,273.45,429.0,251.0,"2,667,398","729,393,969.50","36,485"
26-May-2023,EQ,275.0,275.15,269.75,275.05,271.95,271.85,272.38,429.0,251.0,"2,080,274","566,633,825.50","25,314"
25-May-2023,EQ,278.45,278.7,273.75,276.2,275.25,275.05,275.95,429.0,251.0,"5,528,092","1,525,458,277.75","46,652"
24-May-2023,EQ,266.05,278.3,266.0,266.1,276.2,276.2,272.35,429.0,251.0,"13,658,556","3,719,859,922.70","115,302"
23-May-2023,EQ,260.7,266.7,260.25,259.65,265.8,266.1,264.43,429.0,251.0,"9,950,214","2,631,091,336.05","77,211"
22-May-2023,EQ,256.2,271.0,256.2,254.5,259.95,259.65,264.33,429.0,251.0,"18,219,881","4,815,991,097.45","123,106"
19-May-2023,EQ,254.55,255.6,252.1,253.85,254.55,254.5,253.86,429.0,251.0,"1,778,400","451,471,306.35","21,856"
18-May-2023,EQ,254.7,256.0,253.3,253.95,254.2,253.85,254.69,429.0,251.0,"1,278,307","325,575,608.95","21,324"
17-May-2023,EQ,255.3,257.4,253.3,254.55,254.0,253.95,254.44,429.0,251.0,"1,845,664","469,619,303.00","22,132"
16-May-2023,EQ,255.75,257.55,254.1,254.4,255.15,254.55,255.29,429.0,251.0,"2,159,363","551,259,872.35","34,514"
15-May-2023,EQ,254.5,257.0,253.4,255.0,254.75,254.4,254.53,429.0,251.0,"1,981,128","504,248,491.15","40,729"
12-May-2023,EQ,257.25,257.5,254.05,256.85,254.65,255.0,255.18,429.0,251.0,"2,304,171","587,989,701.80","23,568"
11-May-2023,EQ,258.45,258.8,256.2,256.85,256.95,256.85,257.21,429.0,251.0,"1,910,799","491,473,964.80","17,506"
10-May-2023,EQ,257.0,258.0,253.95,255.95,256.9,256.85,255.61,429.0,251.0,"1,974,282","504,653,258.25","25,198"
09-May-2023,EQ,258.75,261.55,255.4,257.4,256.4,255.95,257.97,429.0,251.0,"3,715,109","958,372,702.15","31,423"
08-May-2023,EQ,257.55,259.5,254.5,255.85,257.3,257.4,257.19,429.0,251.0,"2,597,672","668,106,160.90","33,327"
05-May-2023,EQ,257.0,259.0,255.0,256.9,255.85,255.85,256.99,429.0,251.0,"3,546,449","911,407,427.15","23,958"
04-May-2023,EQ,258.45,260.3,255.6,257.45,257.0,256.9,257.32,429.0,251.0,"3,582,286","921,807,464.45","34,437"
03-May-2023,EQ,258.7,262.25,256.85,258.65,258.0,257.45,259.78,429.0,251.0,"6,896,040","1,791,456,073.00","55,611"
