Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,121.0,122.75,119.65,119.9,122.3,122.15,121.45,205.0,119.5,"4,828,475","586,421,570.05","15,585"
23-Jun-2023,EQ,124.25,124.25,119.5,123.95,119.9,119.9,121.32,205.0,119.5,"5,279,965","640,565,243.25","38,590"
22-Jun-2023,EQ,125.1,125.85,123.2,125.0,124.0,123.95,124.45,205.0,120.35,"2,534,039","315,365,310.60","11,527"
21-Jun-2023,EQ,124.9,125.55,124.0,124.5,125.0,125.0,124.78,205.0,120.35,"2,976,275","371,384,884.05","17,143"
20-Jun-2023,EQ,124.4,124.95,123.75,124.35,124.6,124.5,124.34,205.0,120.35,"1,988,950","247,298,750.05","15,396"
19-Jun-2023,EQ,125.4,125.5,123.6,124.65,124.25,124.35,124.36,205.0,120.35,"2,935,717","365,080,635.90","14,412"
16-Jun-2023,EQ,124.3,125.7,123.85,124.1,124.6,124.65,124.98,205.0,120.35,"1,980,587","247,530,214.10","13,662"
15-Jun-2023,EQ,125.15,125.85,123.85,125.0,124.0,124.1,124.56,205.0,120.35,"1,932,231","240,683,508.95","13,193"
14-Jun-2023,EQ,125.1,125.65,124.1,124.4,124.95,125.0,124.93,205.0,120.35,"2,619,390","327,252,955.95","25,811"
13-Jun-2023,EQ,125.25,125.25,124.2,124.45,124.25,124.4,124.61,205.0,120.35,"1,825,350","227,465,156.00","10,377"
12-Jun-2023,EQ,125.35,125.35,124.0,124.5,124.5,124.45,124.45,205.0,120.35,"1,449,698","180,420,149.85","13,562"
09-Jun-2023,EQ,125.55,126.75,124.35,125.5,124.6,124.5,125.04,205.0,120.35,"2,927,877","366,105,016.65","16,345"
08-Jun-2023,EQ,125.75,126.85,125.05,125.75,125.5,125.5,125.93,205.0,120.35,"2,835,601","357,076,190.75","21,159"
07-Jun-2023,EQ,125.95,126.25,124.8,125.3,125.75,125.75,125.61,205.0,120.35,"2,760,684","346,763,169.75","19,391"
06-Jun-2023,EQ,125.3,126.45,124.55,125.35,125.35,125.3,125.42,205.0,120.35,"2,378,880","298,359,438.30","22,421"
05-Jun-2023,EQ,123.9,126.2,123.8,123.45,125.3,125.35,125.06,205.0,120.35,"5,637,309","705,019,805.15","47,598"
02-Jun-2023,EQ,124.45,125.05,123.15,123.5,123.5,123.45,124.05,205.0,120.35,"5,699,009","706,982,236.40","40,972"
01-Jun-2023,EQ,124.5,125.0,122.3,125.15,123.5,123.5,123.16,205.0,120.35,"15,647,347","1,927,203,388.55","38,065"
31-May-2023,EQ,125.55,125.8,124.55,124.8,125.0,125.15,125.11,205.0,120.35,"2,385,148","298,413,146.55","30,091"
30-May-2023,EQ,127.0,127.3,124.45,125.65,124.85,124.8,125.51,205.0,120.35,"7,264,152","911,710,585.65","31,743"
29-May-2023,EQ,134.5,134.5,125.3,139.4,125.6,125.65,126.75,205.0,120.35,"23,948,387","3,035,367,530.50","105,053"
26-May-2023,EQ,138.45,140.5,137.45,137.45,139.45,139.4,139.04,205.0,120.35,"2,157,130","299,920,502.80","12,019"
25-May-2023,EQ,140.0,140.0,136.15,140.0,137.8,137.45,137.71,205.0,120.35,"1,985,045","273,350,788.35","15,517"
24-May-2023,EQ,140.9,141.2,139.7,141.4,139.75,140.0,140.31,205.0,120.35,"1,104,587","154,984,772.30","6,851"
23-May-2023,EQ,140.85,142.35,139.5,140.65,140.85,141.4,140.89,205.0,120.35,"1,899,874","267,678,359.80","14,960"
22-May-2023,EQ,140.7,141.15,138.05,140.45,140.9,140.65,139.43,205.0,120.35,"2,338,113","326,000,781.20","11,161"
19-May-2023,EQ,139.1,141.2,138.05,139.05,140.8,140.45,139.6,205.0,118.4,"1,896,784","264,783,968.85","9,329"
