Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,858.75","1,877.90","1,840.00","1,846.70","1,873.45","1,870.85","1,856.46","1,908.00",989.0,"392,942","729,482,497.80","24,423"
23-Jun-2023,EQ,"1,853.65","1,855.50","1,807.10","1,844.40","1,850.00","1,846.70","1,833.45","1,908.00",950.85,"648,800","1,189,541,269.65","42,138"
22-Jun-2023,EQ,"1,855.10","1,862.00","1,824.10","1,857.80","1,845.00","1,844.40","1,841.74","1,908.00",950.85,"283,690","522,482,106.25","21,993"
21-Jun-2023,EQ,"1,907.00","1,908.00","1,851.20","1,899.50","1,855.10","1,857.80","1,867.94","1,908.00",950.85,"605,777","1,131,556,691.30","57,279"
20-Jun-2023,EQ,"1,885.10","1,904.00","1,876.85","1,876.15","1,903.85","1,899.50","1,888.89","1,904.00",950.85,"643,545","1,215,587,080.50","48,024"
19-Jun-2023,EQ,"1,847.65","1,892.75","1,846.00","1,843.30","1,878.90","1,876.15","1,875.50","1,892.75",950.85,"720,228","1,350,789,832.15","53,683"
16-Jun-2023,EQ,"1,839.85","1,863.25","1,828.00","1,830.25","1,845.00","1,843.30","1,842.30","1,867.00",950.85,"589,884","1,086,741,290.45","37,942"
15-Jun-2023,EQ,"1,855.00","1,855.00","1,827.50","1,855.35","1,832.00","1,830.25","1,839.17","1,867.00",950.85,"581,128","1,068,791,242.80","34,562"
14-Jun-2023,EQ,"1,860.00","1,867.00","1,839.55","1,843.20","1,857.35","1,855.35","1,855.16","1,867.00",950.85,"690,383","1,280,770,070.30","51,303"
13-Jun-2023,EQ,"1,795.90","1,848.00","1,786.00","1,789.70","1,847.00","1,843.20","1,824.73","1,848.00",950.85,"1,192,944","2,176,804,619.55","66,894"
12-Jun-2023,EQ,"1,785.00","1,796.00","1,771.20","1,782.80","1,790.00","1,789.70","1,781.04","1,814.40",950.85,"436,279","777,032,079.30","27,228"
09-Jun-2023,EQ,"1,778.20","1,787.90","1,766.55","1,766.75","1,780.00","1,782.80","1,778.42","1,814.40",950.85,"460,201","818,428,626.70","30,697"
08-Jun-2023,EQ,"1,794.50","1,797.95","1,758.00","1,799.50","1,766.50","1,766.75","1,772.30","1,814.40",950.85,"570,269","1,010,688,993.65","39,576"
07-Jun-2023,EQ,"1,811.05","1,814.00","1,790.15","1,807.25","1,799.00","1,799.50","1,799.74","1,814.40",950.85,"373,808","672,755,788.25","26,070"
06-Jun-2023,EQ,"1,776.30","1,814.40","1,770.80","1,773.80","1,813.00","1,807.25","1,794.33","1,814.40",950.85,"906,087","1,625,815,000.95","44,154"
05-Jun-2023,EQ,"1,755.00","1,788.25","1,754.95","1,753.25","1,779.00","1,773.80","1,776.32","1,788.25",950.85,"754,132","1,339,582,935.85","45,796"
02-Jun-2023,EQ,"1,751.10","1,762.95","1,738.50","1,750.70","1,753.00","1,753.25","1,751.70","1,774.00",950.85,"566,594","992,502,083.60","35,040"
01-Jun-2023,EQ,"1,760.00","1,771.80","1,745.00","1,759.90","1,751.00","1,750.70","1,758.09","1,774.00",950.85,"330,554","581,144,847.35","24,183"
31-May-2023,EQ,"1,755.00","1,768.00","1,735.70","1,755.35","1,756.50","1,759.90","1,756.17","1,774.00",950.85,"660,502","1,159,952,692.25","30,170"
30-May-2023,EQ,"1,740.00","1,774.00","1,733.00","1,744.05","1,757.90","1,755.35","1,753.59","1,774.00",950.85,"559,849","981,745,877.35","32,606"
29-May-2023,EQ,"1,755.80","1,755.80","1,730.00","1,735.05","1,742.40","1,744.05","1,741.92","1,755.80",950.85,"582,128","1,014,020,668.85","39,967"
26-May-2023,EQ,"1,650.00","1,740.00","1,648.95","1,650.15","1,734.10","1,735.05","1,713.24","1,740.00",950.85,"2,506,445","4,294,135,049.55","100,059"
25-May-2023,EQ,"1,575.00","1,662.35","1,565.00","1,595.30","1,649.00","1,650.15","1,622.42","1,714.90",950.85,"2,501,705","4,058,805,699.25","88,574"
24-May-2023,EQ,"1,684.70","1,714.90","1,556.00","1,684.70","1,591.95","1,595.30","1,648.30","1,714.90",950.85,"2,437,287","4,017,388,929.25","87,101"
23-May-2023,EQ,"1,669.50","1,705.00","1,669.45","1,666.55","1,684.00","1,684.70","1,686.78","1,706.95",950.85,"643,307","1,085,116,605.80","29,152"
22-May-2023,EQ,"1,643.80","1,670.95","1,623.00","1,639.70","1,667.05","1,666.55","1,658.63","1,706.95",950.85,"370,747","614,930,720.55","22,859"
19-May-2023,EQ,"1,645.05","1,646.25","1,613.05","1,644.05","1,637.10","1,639.70","1,630.32","1,706.95",950.85,"348,650","568,411,841.40","29,014"
18-May-2023,EQ,"1,654.95","1,680.00","1,640.00","1,647.45","1,642.75","1,644.05","1,662.48","1,706.95",950.85,"594,239","987,909,966.75","39,738"
17-May-2023,EQ,"1,654.90","1,657.85","1,629.95","1,649.20","1,647.95","1,647.45","1,642.59","1,706.95",950.85,"406,198","667,217,011.35","25,324"
16-May-2023,EQ,"1,658.00","1,666.00","1,633.55","1,649.05","1,645.25","1,649.20","1,644.26","1,706.95",950.85,"483,520","795,033,952.55","23,631"
15-May-2023,EQ,"1,643.75","1,656.00","1,626.60","1,638.05","1,653.00","1,649.05","1,642.49","1,706.95",950.85,"273,516","449,247,308.50","18,083"
12-May-2023,EQ,"1,628.00","1,644.00","1,620.90","1,627.80","1,635.15","1,638.05","1,634.48","1,706.95",947.1,"326,962","534,412,868.15","27,655"
11-May-2023,EQ,"1,640.90","1,649.30","1,618.25","1,640.35","1,628.00","1,627.80","1,628.52","1,706.95",947.1,"394,578","642,577,573.15","29,337"
10-May-2023,EQ,"1,625.00","1,655.55","1,620.00","1,622.15","1,639.80","1,640.35","1,641.60","1,706.95",947.1,"670,896","1,101,341,510.50","34,007"
09-May-2023,EQ,"1,629.05","1,634.00","1,608.10","1,618.00","1,615.00","1,622.15","1,622.43","1,706.95",947.1,"519,553","842,937,754.00","28,985"
08-May-2023,EQ,"1,600.00","1,628.50","1,597.25","1,595.90","1,620.00","1,618.00","1,613.19","1,706.95",947.1,"769,059","1,240,639,046.50","34,948"
05-May-2023,EQ,"1,606.80","1,614.15","1,588.05","1,607.00","1,598.15","1,595.90","1,599.61","1,706.95",947.1,"434,617","695,219,505.00","22,053"
04-May-2023,EQ,"1,589.00","1,612.95","1,580.30","1,582.90","1,602.35","1,607.00","1,599.70","1,706.95",947.1,"747,747","1,196,171,519.25","26,557"
03-May-2023,EQ,"1,612.95","1,619.90","1,580.00","1,600.20","1,581.20","1,582.90","1,594.40","1,706.95",947.1,"1,042,002","1,661,367,406.60","43,625"
02-May-2023,EQ,"1,576.10","1,605.50","1,569.15","1,575.65","1,605.00","1,600.20","1,593.00","1,706.95",947.1,"367,587","585,565,551.25","21,197"
28-Apr-2023,EQ,"1,579.00","1,584.85","1,562.65","1,566.40","1,573.95","1,575.65","1,574.75","1,706.95",947.1,"420,097","661,548,221.85","28,769"
27-Apr-2023,EQ,"1,570.00","1,590.00","1,563.90","1,565.50","1,568.00","1,566.40","1,577.11","1,706.95",947.1,"701,384","1,106,157,652.75","25,413"
26-Apr-2023,EQ,"1,553.85","1,567.10","1,546.00","1,553.85","1,559.00","1,565.50","1,557.33","1,706.95",947.1,"256,650","399,687,692.10","18,042"
25-Apr-2023,EQ,"1,554.40","1,569.50","1,545.00","1,554.40","1,550.00","1,553.85","1,558.74","1,706.95",947.1,"453,954","707,595,958.95","28,827"
24-Apr-2023,EQ,"1,544.50","1,557.65","1,536.80","1,544.50","1,550.00","1,554.40","1,551.07","1,706.95",947.1,"282,687","438,466,943.25","21,966"
21-Apr-2023,EQ,"1,560.00","1,565.50","1,539.50","1,559.90","1,546.00","1,544.50","1,547.79","1,706.95",947.1,"355,147","549,691,325.85","22,513"
20-Apr-2023,EQ,"1,504.00","1,564.00","1,504.00","1,501.05","1,560.00","1,559.90","1,546.71","1,706.95",947.1,"1,233,088","1,907,229,338.65","58,423"
19-Apr-2023,EQ,"1,490.00","1,509.95","1,487.65","1,490.00","1,504.00","1,501.05","1,497.64","1,706.95",947.1,"510,197","764,091,868.10","34,780"
18-Apr-2023,EQ,"1,501.00","1,506.45","1,481.00","1,498.65","1,493.00","1,490.00","1,487.76","1,706.95",947.1,"1,235,433","1,838,023,814.10","31,212"
17-Apr-2023,EQ,"1,522.00","1,540.00","1,493.00","1,548.70","1,498.95","1,498.65","1,505.47","1,706.95",947.1,"1,045,243","1,573,580,859.55","60,736"
13-Apr-2023,EQ,"1,559.00","1,569.80","1,532.55","1,559.50","1,541.30","1,548.70","1,547.20","1,706.95",947.1,"647,095","1,001,183,697.60","35,901"
12-Apr-2023,EQ,"1,580.00","1,603.20","1,556.55","1,577.40","1,559.00","1,559.50","1,571.48","1,706.95",947.1,"941,159","1,479,013,723.40","45,773"
11-Apr-2023,EQ,"1,589.20","1,593.60","1,555.85","1,579.20","1,577.25","1,577.40","1,569.96","1,706.95",947.1,"831,554","1,305,502,564.80","51,260"
10-Apr-2023,EQ,"1,593.10","1,595.90","1,567.80","1,578.05","1,587.00","1,579.20","1,579.82","1,706.95",947.1,"578,155","913,381,628.30","45,645"
06-Apr-2023,EQ,"1,576.55","1,585.15","1,552.55","1,568.55","1,585.15","1,578.05","1,570.57","1,706.95",947.1,"746,042","1,171,711,692.90","40,255"
05-Apr-2023,EQ,"1,602.00","1,605.20","1,560.00","1,605.25","1,575.00","1,568.55","1,571.35","1,706.95",947.1,"824,057","1,294,883,996.20","59,738"
03-Apr-2023,EQ,"1,635.05","1,640.45","1,594.55","1,629.60","1,607.40","1,605.25","1,610.63","1,706.95",947.1,"444,453","715,849,819.00","35,169"
31-Mar-2023,EQ,"1,645.00","1,657.80","1,626.25","1,639.85","1,627.30","1,629.60","1,636.42","1,706.95",947.1,"559,036","914,818,852.85","48,774"
29-Mar-2023,EQ,"1,612.25","1,647.00","1,609.55","1,612.25","1,635.00","1,639.85","1,628.69","1,706.95",947.1,"493,564","803,861,990.70","28,988"
28-Mar-2023,EQ,"1,592.55","1,615.75","1,580.25","1,585.55","1,600.00","1,612.25","1,604.44","1,706.95",947.1,"300,231","481,701,136.05","19,568"
27-Mar-2023,EQ,"1,619.00","1,625.00","1,580.95","1,622.15","1,587.75","1,585.55","1,599.14","1,706.95",947.1,"560,710","896,652,800.00","62,018"
24-Mar-2023,EQ,"1,638.65","1,640.95","1,614.70","1,630.50","1,616.50","1,622.15","1,625.96","1,706.95",947.1,"371,397","603,874,916.15","40,335"
23-Mar-2023,EQ,"1,610.00","1,654.00","1,608.00","1,612.60","1,626.55","1,630.50","1,634.93","1,706.95",947.1,"713,358","1,166,287,537.00","50,764"
22-Mar-2023,EQ,"1,638.50","1,645.15","1,608.00","1,635.25","1,610.00","1,612.60","1,618.42","1,706.95",947.1,"368,954","597,121,896.35","18,478"
21-Mar-2023,EQ,"1,654.20","1,662.15","1,613.60","1,652.80","1,635.55","1,635.25","1,629.83","1,706.95",947.1,"688,444","1,122,046,828.60","35,057"
20-Mar-2023,EQ,"1,650.00","1,671.90","1,624.05","1,679.15","1,654.95","1,652.80","1,645.37","1,706.95",947.1,"488,496","803,756,650.20","32,546"
17-Mar-2023,EQ,"1,665.90","1,696.45","1,662.15","1,657.70","1,672.80","1,679.15","1,682.07","1,706.95",947.1,"756,814","1,273,011,103.30","41,664"
16-Mar-2023,EQ,"1,697.95","1,699.90","1,634.50","1,697.60","1,665.00","1,657.70","1,652.31","1,706.95",947.1,"655,835","1,083,639,627.80","40,897"
15-Mar-2023,EQ,"1,706.95","1,706.95","1,680.45","1,682.85","1,700.00","1,697.60","1,696.01","1,706.95",947.1,"1,146,198","1,943,967,865.55","47,772"
14-Mar-2023,EQ,"1,676.95","1,695.00","1,657.05","1,668.10","1,695.00","1,682.85","1,677.68","1,696.95",947.1,"895,074","1,501,643,945.35","43,689"
13-Mar-2023,EQ,"1,685.00","1,696.95","1,650.00","1,680.95","1,675.00","1,668.10","1,672.99","1,696.95",947.1,"639,231","1,069,428,411.80","35,600"
10-Mar-2023,EQ,"1,673.95","1,687.90","1,643.95","1,685.10","1,683.00","1,680.95","1,665.85","1,694.00",909.15,"681,029","1,134,492,138.00","34,884"
09-Mar-2023,EQ,"1,675.05","1,694.00","1,662.50","1,669.00","1,680.00","1,685.10","1,678.52","1,694.00",909.15,"799,916","1,342,674,110.15","48,613"
08-Mar-2023,EQ,"1,629.35","1,677.95","1,626.05","1,629.35","1,670.00","1,669.00","1,655.99","1,677.95",909.15,"1,339,514","2,218,218,634.05","74,391"
06-Mar-2023,EQ,"1,607.45","1,642.00","1,602.00","1,599.75","1,634.90","1,629.35","1,621.93","1,666.45",909.15,"737,814","1,196,686,306.15","47,838"
03-Mar-2023,EQ,"1,600.00","1,607.45","1,581.05","1,595.95","1,603.00","1,599.75","1,595.20","1,666.45",909.15,"431,101","687,691,674.65","27,095"
02-Mar-2023,EQ,"1,610.40","1,610.40","1,588.00","1,602.50","1,592.65","1,595.95","1,598.32","1,666.45",909.15,"466,385","745,432,710.35","29,834"
