Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,560.15,570.0,560.15,563.35,568.85,569.55,567.28,610.75,492.05,"825,926","468,527,962.60","27,483"
23-Jun-2023,EQ,560.0,565.75,556.0,562.65,564.0,563.35,560.98,610.75,484.6,"1,536,193","861,771,334.50","36,054"
22-Jun-2023,EQ,567.1,569.05,560.05,567.1,562.0,562.65,564.11,610.75,484.6,"1,815,315","1,024,033,935.10","39,773"
21-Jun-2023,EQ,572.0,575.5,564.8,572.1,566.75,567.1,569.16,610.75,484.6,"1,632,121","928,934,438.70","29,376"
20-Jun-2023,EQ,567.35,572.9,563.1,569.15,572.5,572.1,569.06,610.75,484.6,"1,068,183","607,861,574.90","21,491"
19-Jun-2023,EQ,571.1,573.0,566.65,570.9,568.0,569.15,570.39,610.75,484.6,"1,114,637","635,772,751.50","33,127"
16-Jun-2023,EQ,573.0,573.0,565.25,569.05,571.6,570.9,570.66,610.75,482.25,"2,022,971","1,154,423,404.55","31,544"
15-Jun-2023,EQ,562.35,570.5,561.55,562.35,570.0,569.05,567.69,610.75,482.25,"2,246,105","1,275,089,400.85","54,132"
14-Jun-2023,EQ,561.0,563.5,557.75,560.45,563.0,562.35,561.33,610.75,482.25,"1,577,846","885,691,735.10","23,789"
13-Jun-2023,EQ,553.6,562.9,551.3,553.6,561.0,560.45,558.77,610.75,482.25,"2,644,392","1,477,608,230.35","50,904"
12-Jun-2023,EQ,549.0,555.7,546.65,549.95,553.65,553.6,552.77,610.75,482.25,"1,007,065","556,677,186.60","37,984"
09-Jun-2023,EQ,555.65,556.5,546.6,552.1,550.0,549.95,550.78,610.75,482.25,"2,146,305","1,182,138,779.30","44,083"
08-Jun-2023,EQ,559.0,560.0,551.3,556.5,552.0,552.1,554.31,610.75,482.25,"1,650,679","914,994,058.65","19,113"
07-Jun-2023,EQ,548.95,558.2,546.2,547.5,557.0,556.5,554.53,610.75,482.25,"2,718,117","1,507,268,101.35","31,850"
06-Jun-2023,EQ,553.55,554.35,541.55,552.25,549.05,547.5,546.19,610.75,482.25,"2,685,928","1,467,039,114.45","29,335"
05-Jun-2023,EQ,558.55,563.0,551.55,557.2,553.5,552.25,555.87,610.75,482.25,"1,570,130","872,794,249.90","51,495"
02-Jun-2023,EQ,557.5,560.0,555.85,556.9,558.5,557.2,557.47,610.75,482.25,"1,166,828","650,469,200.45","28,099"
01-Jun-2023,EQ,555.45,563.9,553.25,555.4,556.95,556.9,559.01,610.75,482.25,"1,385,234","774,357,720.05","37,369"
31-May-2023,EQ,548.5,558.0,546.05,549.9,554.1,555.4,553.95,610.75,482.25,"4,905,059","2,717,156,173.80","40,229"
30-May-2023,EQ,550.0,552.9,546.7,548.35,550.9,549.9,549.96,610.75,482.25,"2,023,557","1,112,869,848.65","43,756"
29-May-2023,EQ,545.95,550.0,542.4,542.1,547.75,548.35,547.68,610.75,482.25,"2,215,580","1,213,438,434.40","44,940"
26-May-2023,EQ,529.55,543.7,528.5,530.15,543.0,542.1,536.51,610.75,482.25,"2,184,804","1,172,159,920.75","33,705"
25-May-2023,EQ,526.7,533.55,525.55,526.7,531.25,530.15,531.17,610.75,482.25,"2,297,300","1,220,248,479.25","48,239"
24-May-2023,EQ,526.8,528.5,522.25,525.75,528.4,526.7,526.05,610.75,482.25,"2,304,274","1,212,174,576.25","59,040"
23-May-2023,EQ,523.0,526.5,520.0,522.25,526.25,525.75,523.97,610.75,482.25,"1,500,934","786,448,446.50","24,258"
22-May-2023,EQ,518.9,525.2,515.4,519.1,524.95,522.25,520.28,610.75,482.25,"1,305,271","679,112,274.65","29,388"
19-May-2023,EQ,525.85,525.9,517.0,523.45,519.0,519.1,519.46,610.75,482.25,"1,402,249","728,411,699.75","51,016"
18-May-2023,EQ,527.45,527.45,522.0,523.95,522.0,523.45,524.59,610.75,482.25,"1,579,098","828,373,845.95","62,306"
17-May-2023,EQ,530.0,530.4,519.6,530.75,523.6,523.95,525.12,610.75,482.25,"2,511,945","1,319,067,850.55","79,704"
16-May-2023,EQ,535.0,535.85,530.0,533.05,530.8,530.75,533.16,610.75,482.25,"1,530,503","815,999,123.25","44,366"
15-May-2023,EQ,518.0,533.95,513.65,518.35,533.2,533.05,527.97,610.75,482.25,"3,666,778","1,935,950,478.60","68,879"
12-May-2023,EQ,520.9,522.4,517.15,520.2,518.4,518.35,519.95,610.75,482.25,"1,542,764","802,160,579.25","30,746"
11-May-2023,EQ,514.6,521.0,512.45,514.3,520.0,520.2,518.29,610.75,482.25,"1,959,951","1,015,819,418.15","62,055"
