Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"2,164.90","2,199.00","2,153.00","2,167.40","2,197.00","2,197.15","2,178.56","2,288.80","1,267.25","140,490","306,065,279.25","9,903"
23-Jun-2023,EQ,"2,193.85","2,198.55","2,162.95","2,200.40","2,168.00","2,167.40","2,177.60","2,288.80","1,212.50","104,348","227,228,068.00","8,861"
22-Jun-2023,EQ,"2,253.00","2,267.75","2,182.85","2,258.20","2,200.00","2,200.40","2,221.53","2,288.80","1,212.50","255,136","566,791,055.90","23,149"
21-Jun-2023,EQ,"2,250.00","2,270.00","2,240.50","2,240.50","2,262.70","2,258.20","2,254.55","2,288.80","1,212.50","211,185","476,126,401.80","8,883"
20-Jun-2023,EQ,"2,235.00","2,250.00","2,222.50","2,242.40","2,249.85","2,240.50","2,237.71","2,288.80","1,212.50","136,626","305,728,910.25","7,961"
19-Jun-2023,EQ,"2,254.00","2,280.70","2,225.00","2,254.85","2,245.10","2,242.40","2,253.52","2,288.80","1,212.50","154,384","347,907,535.60","12,169"
16-Jun-2023,EQ,"2,260.00","2,288.80","2,243.50","2,254.55","2,255.50","2,254.85","2,263.58","2,288.80","1,212.50","335,027","758,360,974.25","23,858"
15-Jun-2023,EQ,"2,197.00","2,266.20","2,197.00","2,196.60","2,257.00","2,254.55","2,241.05","2,266.20","1,212.50","797,524","1,787,292,748.55","30,153"
14-Jun-2023,EQ,"2,177.00","2,213.00","2,152.60","2,157.30","2,195.50","2,196.60","2,183.41","2,213.00","1,212.50","395,868","864,343,712.65","24,088"
13-Jun-2023,EQ,"2,114.10","2,168.90","2,109.00","2,102.15","2,163.90","2,157.30","2,144.20","2,183.00","1,212.50","389,129","834,371,084.95","25,622"
12-Jun-2023,EQ,"2,096.15","2,114.90","2,077.10","2,095.75","2,112.80","2,102.15","2,097.36","2,183.00","1,212.50","373,046","782,411,073.65","13,829"
09-Jun-2023,EQ,"2,127.65","2,155.40","2,083.10","2,128.20","2,096.10","2,095.75","2,120.52","2,183.00","1,212.50","295,966","627,602,914.35","16,942"
08-Jun-2023,EQ,"2,175.00","2,183.00","2,108.00","2,167.25","2,130.70","2,128.20","2,139.70","2,183.00","1,212.50","195,558","418,435,262.35","15,112"
07-Jun-2023,EQ,"2,170.00","2,174.00","2,138.80","2,159.95","2,168.00","2,167.25","2,161.28","2,174.00","1,212.50","132,041","285,376,940.80","12,524"
06-Jun-2023,EQ,"2,141.00","2,170.00","2,133.05","2,139.65","2,165.30","2,159.95","2,157.83","2,170.00","1,212.50","304,144","656,289,729.75","16,344"
05-Jun-2023,EQ,"2,150.00","2,158.30","2,133.35","2,139.30","2,143.90","2,139.65","2,146.28","2,168.65","1,212.50","149,803","321,519,033.85","12,554"
02-Jun-2023,EQ,"2,135.50","2,150.00","2,124.05","2,134.50","2,134.50","2,139.30","2,136.12","2,168.65","1,212.50","66,591","142,246,586.00","6,657"
01-Jun-2023,EQ,"2,130.00","2,168.65","2,126.00","2,129.95","2,130.00","2,134.50","2,149.25","2,168.65","1,212.50","211,118","453,744,366.15","24,428"
31-May-2023,EQ,"2,140.00","2,151.00","2,107.15","2,128.05","2,135.00","2,129.95","2,130.68","2,160.00","1,212.50","249,154","530,867,519.10","16,447"
30-May-2023,EQ,"2,104.10","2,160.00","2,100.25","2,093.05","2,131.10","2,128.05","2,134.16","2,160.00","1,212.50","433,037","924,168,724.60","28,564"
29-May-2023,EQ,"2,092.00","2,107.85","2,066.60","2,068.70","2,100.00","2,093.05","2,091.16","2,128.80","1,212.50","205,286","429,285,406.00","16,585"
26-May-2023,EQ,"2,042.60","2,073.75","2,032.00","2,041.15","2,068.00","2,068.70","2,061.67","2,128.80","1,212.50","141,477","291,678,810.65","14,000"
25-May-2023,EQ,"2,049.20","2,054.55","2,017.55","2,049.20","2,048.90","2,041.15","2,038.67","2,128.80","1,212.50","153,205","312,334,628.90","9,194"
24-May-2023,EQ,"2,063.00","2,070.00","2,042.10","2,074.10","2,042.10","2,049.20","2,056.15","2,128.80","1,212.50","169,120","347,736,106.65","8,400"
23-May-2023,EQ,"2,075.00","2,097.00","2,063.40","2,077.70","2,073.00","2,074.10","2,080.97","2,128.80","1,212.50","133,706","278,238,760.50","14,185"
22-May-2023,EQ,"2,068.50","2,080.00","2,052.70","2,057.65","2,077.25","2,077.70","2,069.79","2,128.80","1,212.50","142,115","294,148,035.20","12,400"
19-May-2023,EQ,"2,062.60","2,081.35","2,030.35","2,062.60","2,055.05","2,057.65","2,054.05","2,128.80","1,212.50","124,074","254,854,206.15","11,015"
