Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"2,184.05","2,242.00","2,175.65","2,211.70","2,227.10","2,232.65","2,207.70","2,356.60","1,681.15","426,322","941,191,711.60","26,267"
23-Jun-2023,EQ,"2,268.00","2,282.10","2,196.05","2,268.00","2,207.00","2,211.70","2,229.28","2,356.60","1,681.15","760,629","1,695,652,580.55","57,878"
22-Jun-2023,EQ,"2,257.90","2,278.00","2,228.65","2,260.25","2,266.20","2,268.00","2,262.28","2,356.60","1,681.15","658,243","1,489,127,064.30","26,477"
21-Jun-2023,EQ,"2,248.95","2,264.00","2,242.10","2,243.90","2,259.85","2,260.25","2,254.66","2,356.60","1,681.15","494,853","1,115,723,522.10","34,241"
20-Jun-2023,EQ,"2,178.75","2,252.45","2,176.10","2,174.45","2,241.00","2,243.90","2,229.46","2,356.60","1,681.15","1,163,364","2,593,668,060.45","53,997"
19-Jun-2023,EQ,"2,179.45","2,214.00","2,161.15","2,163.10","2,172.90","2,174.45","2,185.45","2,356.60","1,681.15","466,638","1,019,816,311.80","25,526"
16-Jun-2023,EQ,"2,153.00","2,178.00","2,145.25","2,136.55","2,163.75","2,163.10","2,164.37","2,356.60","1,681.15","644,214","1,394,320,106.80","31,088"
15-Jun-2023,EQ,"2,127.00","2,179.80","2,112.55","2,114.60","2,136.90","2,136.55","2,141.08","2,356.60","1,681.15","788,922","1,689,143,206.55","37,681"
14-Jun-2023,EQ,"2,069.25","2,140.55","2,061.30","2,069.25","2,113.00","2,114.60","2,115.03","2,356.60","1,681.15","805,221","1,703,070,346.20","42,936"
13-Jun-2023,EQ,"2,045.10","2,073.35","2,029.30","2,027.95","2,067.00","2,069.25","2,056.57","2,356.60","1,681.15","503,123","1,034,707,671.40","24,740"
12-Jun-2023,EQ,"2,026.00","2,044.85","2,002.10","2,019.90","2,031.00","2,027.95","2,023.68","2,356.60","1,681.15","280,214","567,064,251.45","21,510"
09-Jun-2023,EQ,"2,084.05","2,098.00","2,011.30","2,086.10","2,020.00","2,019.90","2,050.65","2,356.60","1,681.15","569,619","1,168,091,337.05","36,186"
08-Jun-2023,EQ,"2,130.00","2,135.00","2,070.00","2,126.40","2,087.00","2,086.10","2,088.45","2,356.60","1,681.15","550,208","1,149,079,336.90","32,335"
07-Jun-2023,EQ,"2,135.00","2,148.95","2,120.00","2,130.35","2,121.90","2,126.40","2,132.15","2,356.60","1,681.15","335,351","715,017,820.70","19,371"
06-Jun-2023,EQ,"2,120.00","2,136.00","2,112.00","2,111.75","2,132.00","2,130.35","2,126.08","2,356.60","1,681.15","494,351","1,051,028,556.95","27,651"
05-Jun-2023,EQ,"2,095.00","2,125.00","2,095.00","2,086.65","2,119.90","2,111.75","2,111.09","2,356.60","1,681.15","638,001","1,346,878,453.70","36,265"
02-Jun-2023,EQ,"2,084.95","2,093.00","2,070.00","2,075.80","2,086.50","2,086.65","2,082.86","2,356.60","1,681.15","174,525","363,510,797.00","11,268"
01-Jun-2023,EQ,"2,081.95","2,093.35","2,069.95","2,073.80","2,072.00","2,075.80","2,082.39","2,356.60","1,681.15","205,129","427,158,039.60","14,003"
31-May-2023,EQ,"2,075.00","2,094.00","2,068.00","2,073.00","2,087.00","2,073.80","2,076.79","2,356.60","1,681.15","281,283","584,167,115.90","17,691"
30-May-2023,EQ,"2,079.50","2,089.50","2,068.00","2,082.50","2,070.70","2,073.00","2,076.23","2,356.60","1,681.15","180,598","374,962,803.90","12,615"
29-May-2023,EQ,"2,075.20","2,096.75","2,065.00","2,074.55","2,082.00","2,082.50","2,083.24","2,356.60","1,681.15","474,055","987,572,644.95","27,714"
26-May-2023,EQ,"2,080.15","2,088.45","2,058.00","2,078.95","2,068.00","2,074.55","2,071.50","2,356.60","1,681.15","365,356","756,834,952.50","23,500"
25-May-2023,EQ,"2,127.90","2,127.90","2,057.05","2,135.10","2,080.00","2,078.95","2,083.89","2,356.60","1,681.15","1,158,889","2,415,000,334.85","61,972"
24-May-2023,EQ,"1,948.00","2,160.00","1,932.80","1,950.05","2,132.00","2,135.10","2,099.89","2,356.60","1,681.15","3,981,657","8,361,044,735.70","167,446"
23-May-2023,EQ,"1,948.50","1,968.00","1,935.60","1,944.95","1,948.25","1,950.05","1,954.07","2,356.60","1,681.15","187,633","366,648,703.85","12,634"
22-May-2023,EQ,"1,940.95","1,955.00","1,918.85","1,941.10","1,940.00","1,944.95","1,940.46","2,356.60","1,681.15","179,201","347,731,776.25","13,704"
19-May-2023,EQ,"1,972.00","1,984.70","1,934.00","1,966.50","1,937.00","1,941.10","1,951.06","2,356.60","1,681.15","220,849","430,890,166.45","15,328"
18-May-2023,EQ,"1,984.95","2,006.15","1,960.45","1,972.90","1,970.00","1,966.50","1,988.34","2,356.60","1,681.15","618,375","1,229,537,189.35","30,379"
17-May-2023,EQ,"1,929.00","1,979.45","1,928.95","1,929.20","1,971.00","1,972.90","1,956.68","2,356.60","1,681.15","388,694","760,548,743.20","22,992"
16-May-2023,EQ,"1,930.00","1,958.85","1,923.45","1,932.05","1,931.00","1,929.20","1,942.92","2,356.60","1,681.15","196,317","381,429,113.75","14,671"
15-May-2023,EQ,"1,943.95","1,943.95","1,909.00","1,933.50","1,931.00","1,932.05","1,925.22","2,356.60","1,681.15","242,187","466,263,662.65","16,650"
12-May-2023,EQ,"1,888.00","1,953.80","1,863.65","1,926.75","1,929.15","1,933.50","1,918.93","2,356.60","1,681.15","992,774","1,905,064,089.35","50,701"
11-May-2023,EQ,"1,964.95","1,969.00","1,922.10","1,958.55","1,927.90","1,926.75","1,940.49","2,356.60","1,681.15","356,881","692,523,357.35","23,402"
10-May-2023,EQ,"1,963.50","1,970.00","1,945.65","1,948.55","1,952.00","1,958.55","1,958.50","2,356.60","1,681.15","309,010","605,196,627.70","18,902"
09-May-2023,EQ,"1,937.45","1,969.00","1,935.10","1,936.45","1,948.00","1,948.55","1,958.04","2,356.60","1,681.15","433,066","847,960,997.70","25,845"
08-May-2023,EQ,"1,919.95","1,941.00","1,917.00","1,914.70","1,936.60","1,936.45","1,930.67","2,356.60","1,681.15","199,584","385,330,264.50","13,118"
05-May-2023,EQ,"1,935.85","1,947.95","1,911.00","1,935.80","1,915.00","1,914.70","1,927.50","2,369.00","1,681.15","191,545","369,203,025.00","14,114"
04-May-2023,EQ,"1,957.90","1,957.90","1,921.95","1,952.20","1,934.70","1,935.80","1,935.96","2,369.00","1,681.15","322,921","625,161,343.05","19,369"
03-May-2023,EQ,"1,893.75","1,958.80","1,885.20","1,895.25","1,952.00","1,952.20","1,932.46","2,369.00","1,681.15","812,215","1,569,575,725.40","36,941"
02-May-2023,EQ,"1,899.75","1,911.50","1,882.65","1,888.20","1,893.75","1,895.25","1,896.85","2,369.00","1,681.15","384,075","728,533,343.75","24,567"
28-Apr-2023,EQ,"1,864.95","1,893.95","1,864.95","1,861.05","1,883.00","1,888.20","1,880.48","2,369.00","1,681.15","238,650","448,776,587.35","14,916"
27-Apr-2023,EQ,"1,858.10","1,870.25","1,858.10","1,858.05","1,862.90","1,861.05","1,863.02","2,369.00","1,681.15","129,999","242,191,164.15","8,261"
26-Apr-2023,EQ,"1,853.95","1,871.35","1,850.55","1,854.60","1,858.00","1,858.05","1,861.31","2,369.00","1,681.15","175,226","326,150,442.20","12,883"
25-Apr-2023,EQ,"1,842.50","1,868.95","1,839.45","1,839.80","1,854.85","1,854.60","1,858.01","2,369.00","1,681.15","268,315","498,531,674.85","18,096"
