Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,237.95,241.4,235.45,238.15,241.35,240.45,238.89,254.75,165.1,"1,507,201","360,054,534.40","14,585"
23-Jun-2023,EQ,241.0,242.0,231.0,239.75,238.0,238.15,237.06,254.75,165.1,"4,156,188","985,277,361.50","31,775"
22-Jun-2023,EQ,244.1,246.5,236.7,243.05,241.5,239.75,241.72,254.75,165.1,"1,898,477","458,906,998.05","14,204"
21-Jun-2023,EQ,245.25,247.1,241.55,245.35,244.15,243.05,243.98,254.75,165.1,"1,112,312","271,378,875.30","9,855"
20-Jun-2023,EQ,247.7,248.5,244.6,248.7,244.75,245.35,245.82,254.75,165.1,"896,135","220,285,317.10","11,078"
19-Jun-2023,EQ,248.35,250.75,242.7,248.3,247.0,248.7,247.21,254.75,165.1,"2,007,047","496,163,440.80","15,645"
16-Jun-2023,EQ,242.25,249.6,241.0,241.0,247.3,248.3,246.9,254.75,162.1,"2,244,335","554,115,565.35","16,215"
15-Jun-2023,EQ,243.65,245.75,240.1,243.3,241.7,241.0,242.61,254.75,162.1,"1,282,565","311,163,640.10","12,494"
14-Jun-2023,EQ,247.1,248.2,240.8,247.6,243.1,243.3,243.47,254.75,162.1,"1,793,462","436,650,434.70","16,133"
13-Jun-2023,EQ,250.5,250.95,246.0,250.1,247.5,247.6,248.18,254.75,162.1,"2,318,792","575,476,680.30","14,404"
12-Jun-2023,EQ,246.45,254.75,246.0,245.4,250.5,250.1,250.47,254.75,162.1,"9,923,841","2,485,658,874.60","80,297"
09-Jun-2023,EQ,235.95,248.7,234.3,235.35,244.4,245.4,242.05,248.7,162.1,"3,249,616","786,567,239.25","30,125"
08-Jun-2023,EQ,240.5,241.5,234.1,240.35,234.95,235.35,236.73,248.05,162.1,"1,337,836","316,705,853.65","16,049"
07-Jun-2023,EQ,237.0,241.65,236.5,236.5,240.2,240.35,239.4,248.05,162.1,"1,371,838","328,422,547.90","12,814"
06-Jun-2023,EQ,238.05,238.6,233.8,238.1,236.35,236.5,236.1,248.05,162.1,"1,517,827","358,360,381.90","15,768"
05-Jun-2023,EQ,243.15,245.55,236.15,241.9,236.45,238.1,240.75,248.05,162.1,"1,486,675","357,919,623.70","14,372"
02-Jun-2023,EQ,243.05,248.05,240.05,242.05,242.65,241.9,243.77,248.05,162.1,"3,033,525","739,491,998.25","24,910"
01-Jun-2023,EQ,243.0,244.9,241.15,242.6,242.4,242.05,243.03,244.9,162.1,"1,358,763","330,224,186.25","13,051"
31-May-2023,EQ,239.9,243.0,236.1,241.05,242.3,242.6,239.7,244.8,162.1,"2,344,769","562,048,659.90","20,880"
30-May-2023,EQ,241.0,244.0,239.65,240.5,241.0,241.05,242.09,244.8,162.1,"3,172,859","768,120,640.80","26,584"
29-May-2023,EQ,237.8,242.0,233.95,236.0,240.5,240.5,238.78,244.8,162.1,"4,434,804","1,058,924,941.05","31,133"
26-May-2023,EQ,237.5,244.8,235.05,236.8,235.7,236.0,239.01,244.8,162.1,"5,142,918","1,229,189,025.45","33,485"
25-May-2023,EQ,233.65,240.45,232.8,233.65,238.85,236.8,237.54,241.8,162.1,"6,513,837","1,547,325,804.90","36,009"
24-May-2023,EQ,234.05,236.45,232.15,235.85,234.15,233.65,234.38,241.8,162.1,"3,120,872","731,462,793.35","22,515"
23-May-2023,EQ,224.5,237.5,220.55,222.2,234.5,235.85,231.63,241.8,162.1,"11,988,143","2,776,842,081.90","73,615"
22-May-2023,EQ,219.3,223.7,217.0,219.3,223.05,222.2,220.56,241.8,162.1,"1,280,846","282,503,418.80","8,977"
19-May-2023,EQ,222.05,222.7,217.0,222.05,219.1,219.3,219.03,245.6,162.1,"1,450,043","317,606,228.35","9,819"
18-May-2023,EQ,227.0,227.5,219.45,226.2,222.0,222.05,223.42,245.6,162.1,"1,678,665","375,044,209.45","11,038"
17-May-2023,EQ,227.8,229.75,221.7,227.0,227.1,226.2,225.87,245.6,162.1,"2,096,869","473,623,721.20","14,734"
16-May-2023,EQ,224.95,230.45,223.05,223.95,225.9,227.0,226.98,245.6,162.1,"3,963,511","899,621,929.70","25,048"
15-May-2023,EQ,219.0,225.0,217.0,217.7,224.6,223.95,221.31,245.6,162.1,"4,619,171","1,022,256,894.05","27,955"
12-May-2023,EQ,211.05,220.0,210.7,210.6,219.0,217.7,216.7,254.8,162.1,"7,242,556","1,569,490,752.20","50,958"
11-May-2023,EQ,205.1,212.1,205.1,205.1,211.25,210.6,209.34,254.8,162.1,"2,540,781","531,885,214.85","18,392"
10-May-2023,EQ,206.55,208.45,204.0,206.95,205.0,205.1,205.4,254.8,162.1,"806,583","165,674,504.35","8,406"
09-May-2023,EQ,213.0,214.0,206.0,212.75,207.2,206.95,211.32,254.8,162.1,"4,440,868","938,453,838.15","26,180"
08-May-2023,EQ,211.2,214.0,210.0,211.2,212.5,212.75,212.72,254.8,162.1,"1,176,042","250,167,295.80","9,571"
05-May-2023,EQ,211.75,214.55,208.8,213.65,210.4,211.2,211.69,270.7,162.1,"1,990,729","421,420,937.00","14,095"
04-May-2023,EQ,211.45,214.1,211.0,211.75,213.0,213.65,213.01,270.7,162.1,"1,331,714","283,674,182.05","12,646"
03-May-2023,EQ,208.4,214.0,207.15,209.3,211.5,211.75,211.74,270.7,162.1,"2,749,449","582,168,413.55","23,809"
02-May-2023,EQ,205.0,210.35,204.7,204.7,209.5,209.3,208.67,270.7,162.1,"2,999,652","625,937,094.65","23,122"
28-Apr-2023,EQ,199.4,205.25,199.0,197.9,205.0,204.7,202.44,283.95,162.1,"3,678,875","744,733,811.45","19,853"
27-Apr-2023,EQ,199.75,201.0,196.9,199.8,198.2,197.9,198.07,283.95,162.1,"1,235,502","244,717,263.90","11,422"
26-Apr-2023,EQ,198.35,201.2,198.2,198.7,199.75,199.8,199.75,283.95,162.1,"1,620,540","323,708,195.45","11,354"
25-Apr-2023,EQ,197.15,202.4,197.15,196.9,198.9,198.7,200.06,283.95,162.1,"3,287,191","657,630,737.70","20,341"
24-Apr-2023,EQ,195.0,199.75,194.9,194.75,197.15,196.9,197.93,283.95,162.1,"3,218,964","637,132,633.85","22,687"
21-Apr-2023,EQ,193.0,195.9,192.55,193.4,195.0,194.75,194.45,311.4,162.1,"1,652,573","321,344,184.00","13,656"
20-Apr-2023,EQ,190.7,196.95,190.0,190.55,194.0,193.4,193.56,311.4,162.1,"4,280,522","828,548,556.05","31,547"
19-Apr-2023,EQ,193.45,193.55,190.05,193.3,190.5,190.55,191.74,311.4,162.1,"1,316,088","252,349,674.70","10,109"
18-Apr-2023,EQ,191.8,193.7,191.55,191.35,193.05,193.3,192.72,311.4,162.1,"1,902,576","366,669,572.10","9,997"
17-Apr-2023,EQ,190.25,192.9,190.05,190.25,191.75,191.35,191.61,311.4,162.1,"1,499,538","287,319,409.70","10,985"
13-Apr-2023,EQ,189.25,191.25,188.5,190.6,190.8,190.25,189.91,332.7,162.1,"1,630,025","309,552,510.45","9,696"
12-Apr-2023,EQ,187.3,192.5,187.3,189.0,190.4,190.6,190.45,332.7,162.1,"7,470,672","1,422,818,108.00","38,071"
11-Apr-2023,EQ,193.65,196.05,187.25,194.85,189.0,189.0,190.61,332.7,162.1,"5,630,610","1,073,242,092.00","41,714"
10-Apr-2023,EQ,192.05,195.4,190.95,191.4,194.1,194.85,193.97,332.7,162.1,"3,427,505","664,840,551.40","19,704"
06-Apr-2023,EQ,190.95,192.5,189.0,190.65,191.75,191.4,191.11,339.7,162.1,"1,621,739","309,932,044.50","10,897"
05-Apr-2023,EQ,188.15,192.0,186.55,187.75,190.55,190.65,189.68,339.7,162.1,"2,013,986","382,018,943.05","13,737"
03-Apr-2023,EQ,182.0,188.4,181.9,180.7,187.95,187.75,185.3,339.7,162.1,"2,678,945","496,406,252.30","20,438"
