Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"4,326.95","4,511.00","4,316.25","4,326.20","4,446.00","4,432.05","4,435.13","4,730.00","2,553.00","804,774","3,569,275,160.60","49,375"
23-Jun-2023,EQ,"4,450.00","4,474.95","4,298.00","4,446.90","4,330.00","4,326.20","4,365.81","4,730.00","2,553.00","662,654","2,893,021,693.75","51,925"
22-Jun-2023,EQ,"4,600.00","4,628.60","4,440.00","4,587.10","4,445.00","4,446.90","4,520.04","4,730.00","2,553.00","810,390","3,662,993,874.50","58,045"
21-Jun-2023,EQ,"4,580.00","4,634.40","4,551.65","4,538.55","4,590.00","4,587.10","4,594.07","4,730.00","2,553.00","501,241","2,302,734,268.50","38,817"
20-Jun-2023,EQ,"4,682.00","4,730.00","4,482.55","4,655.15","4,540.05","4,538.55","4,600.41","4,730.00","2,553.00","1,027,893","4,728,727,767.60","70,136"
19-Jun-2023,EQ,"4,560.00","4,723.90","4,538.70","4,546.60","4,650.00","4,655.15","4,651.00","4,723.90","2,553.00","1,026,103","4,772,402,159.70","75,018"
16-Jun-2023,EQ,"4,584.95","4,607.35","4,461.10","4,577.00","4,535.00","4,546.60","4,533.43","4,670.00","2,553.00","989,858","4,487,453,599.95","74,376"
15-Jun-2023,EQ,"4,373.50","4,650.00","4,335.10","4,373.10","4,583.25","4,577.00","4,488.65","4,670.00","2,553.00","1,116,649","5,012,246,885.65","79,816"
14-Jun-2023,EQ,"4,340.00","4,420.70","4,321.05","4,315.90","4,374.00","4,373.10","4,370.71","4,670.00","2,553.00","845,916","3,697,252,676.80","67,673"
13-Jun-2023,EQ,"4,207.85","4,385.00","4,189.00","4,185.05","4,325.25","4,315.90","4,315.08","4,670.00","2,553.00","1,654,501","7,139,306,578.05","115,650"
12-Jun-2023,EQ,"4,040.00","4,200.00","3,965.00","4,074.40","4,192.90","4,185.05","4,120.48","4,670.00","2,553.00","979,767","4,037,114,620.35","74,373"
09-Jun-2023,EQ,"4,080.00","4,132.00","4,056.25","4,067.40","4,060.00","4,074.40","4,085.83","4,670.00","2,553.00","604,080","2,468,170,943.95","49,437"
