Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,477.1,478.0,469.7,477.7,476.55,477.15,474.19,508.75,308.1,"2,333,475","1,106,519,270.70","42,713"
23-Jun-2023,EQ,481.0,481.6,473.0,481.25,476.9,477.7,477.69,508.75,294.7,"2,583,485","1,234,092,919.85","51,074"
22-Jun-2023,EQ,483.05,484.8,478.55,482.85,480.0,481.25,481.26,508.75,294.7,"3,256,065","1,567,007,383.90","47,135"
21-Jun-2023,EQ,489.3,494.35,480.35,489.2,483.0,482.85,486.76,508.75,294.7,"3,758,306","1,829,378,109.05","49,686"
20-Jun-2023,EQ,484.4,491.7,481.5,485.35,488.9,489.2,487.86,508.75,294.7,"3,849,887","1,878,211,770.70","54,175"
19-Jun-2023,EQ,497.0,499.4,482.75,496.0,485.7,485.35,490.21,508.75,294.7,"3,074,442","1,507,128,559.10","53,915"
16-Jun-2023,EQ,492.8,497.75,490.15,490.35,496.0,496.0,494.92,508.75,294.7,"4,360,893","2,158,271,880.05","56,160"
15-Jun-2023,EQ,503.0,508.75,488.5,503.7,489.75,490.35,499.37,508.75,294.7,"6,420,824","3,206,357,372.65","93,244"
14-Jun-2023,EQ,505.0,507.0,499.6,503.6,502.5,503.7,503.51,507.0,294.7,"6,893,041","3,470,687,167.60","77,037"
13-Jun-2023,EQ,492.35,504.75,488.65,490.6,504.3,503.6,498.29,504.75,294.7,"5,849,124","2,914,573,285.30","61,637"
12-Jun-2023,EQ,487.05,492.25,485.65,485.2,490.05,490.6,489.83,498.65,294.7,"1,696,800","831,149,434.15","27,280"
09-Jun-2023,EQ,485.0,490.5,483.65,484.75,485.35,485.2,487.33,498.65,294.7,"2,611,565","1,272,694,385.60","34,718"
08-Jun-2023,EQ,496.0,497.8,480.9,495.7,485.2,484.75,487.4,498.65,294.7,"4,923,194","2,399,551,249.55","67,107"
