Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"2,167.20","2,211.95","2,151.00","2,155.90","2,209.00","2,200.55","2,193.43","2,358.35","1,306.70","381,288","836,328,592.60","26,275"
23-Jun-2023,EQ,"2,152.50","2,160.05","2,117.20","2,162.05","2,153.90","2,155.90","2,145.75","2,358.35","1,306.70","188,859","405,244,952.60","16,231"
22-Jun-2023,EQ,"2,183.00","2,188.60","2,140.00","2,176.10","2,159.95","2,162.05","2,156.20","2,358.35","1,306.70","276,907","597,067,926.25","16,205"
21-Jun-2023,EQ,"2,169.00","2,214.60","2,161.25","2,162.80","2,172.50","2,176.10","2,189.78","2,358.35","1,306.70","446,684","978,138,017.10","23,831"
20-Jun-2023,EQ,"2,192.90","2,193.35","2,136.30","2,192.90","2,170.00","2,162.80","2,158.26","2,358.35","1,306.70","431,215","930,673,545.00","24,610"
19-Jun-2023,EQ,"2,184.80","2,212.45","2,180.05","2,179.40","2,186.90","2,192.90","2,198.85","2,358.35","1,306.70","327,806","720,797,292.05","23,720"
16-Jun-2023,EQ,"2,154.00","2,190.00","2,135.00","2,152.30","2,176.00","2,179.40","2,174.52","2,358.35","1,306.70","187,048","406,739,085.80","14,907"
15-Jun-2023,EQ,"2,195.00","2,195.00","2,146.15","2,184.80","2,147.70","2,152.30","2,169.77","2,358.35","1,306.70","97,859","212,331,280.15","11,802"
14-Jun-2023,EQ,"2,187.95","2,196.00","2,166.00","2,186.85","2,181.90","2,184.80","2,186.08","2,358.35","1,306.70","170,641","373,034,741.15","11,772"
13-Jun-2023,EQ,"2,170.05","2,191.20","2,157.00","2,158.35","2,181.00","2,186.85","2,174.14","2,358.35","1,306.70","190,904","415,051,928.35","18,587"
12-Jun-2023,EQ,"2,136.10","2,162.45","2,111.85","2,135.70","2,159.75","2,158.35","2,137.68","2,358.35","1,306.70","131,605","281,329,301.55","14,088"
09-Jun-2023,EQ,"2,179.90","2,183.95","2,130.30","2,169.70","2,135.00","2,135.70","2,149.12","2,358.35","1,306.70","150,576","323,605,863.65","21,108"
08-Jun-2023,EQ,"2,229.95","2,232.00","2,155.55","2,229.85","2,170.75","2,169.70","2,180.08","2,358.35","1,306.70","243,210","530,216,150.40","24,398"
07-Jun-2023,EQ,"2,202.95","2,239.00","2,195.75","2,197.30","2,225.85","2,229.85","2,225.24","2,358.35","1,306.70","331,983","738,743,331.15","23,072"
06-Jun-2023,EQ,"2,197.00","2,210.00","2,164.00","2,195.65","2,193.00","2,197.30","2,190.93","2,358.35","1,306.70","108,091","236,819,576.75","8,788"
05-Jun-2023,EQ,"2,184.95","2,215.00","2,177.00","2,183.40","2,200.00","2,195.65","2,201.18","2,358.35","1,306.70","128,269","282,343,106.50","9,115"
02-Jun-2023,EQ,"2,196.00","2,214.00","2,174.15","2,196.55","2,185.10","2,183.40","2,192.96","2,358.35","1,306.70","206,876","453,670,959.65","15,539"
01-Jun-2023,EQ,"2,200.05","2,228.00","2,175.50","2,176.30","2,185.00","2,196.55","2,194.43","2,358.35","1,306.70","328,990","721,946,296.70","20,048"
31-May-2023,EQ,"2,115.95","2,191.00","2,098.00","2,104.80","2,191.00","2,176.30","2,149.20","2,358.35","1,306.70","535,402","1,150,685,728.55","33,243"
30-May-2023,EQ,"2,099.90","2,116.45","2,080.05","2,091.85","2,109.70","2,104.80","2,099.80","2,358.35","1,306.70","145,898","306,356,204.60","10,438"
29-May-2023,EQ,"2,098.95","2,100.00","2,076.80","2,074.70","2,092.05","2,091.85","2,089.28","2,358.35","1,306.70","125,883","263,005,349.85","8,222"
26-May-2023,EQ,"2,054.55","2,078.80","2,040.00","2,047.60","2,078.80","2,074.70","2,064.65","2,358.35","1,306.70","143,984","297,276,786.95","11,203"
25-May-2023,EQ,"2,050.00","2,064.70","2,033.05","2,050.65","2,054.60","2,047.60","2,047.85","2,358.35","1,306.70","187,248","383,456,385.00","11,290"
24-May-2023,EQ,"2,055.25","2,062.95","2,040.35","2,060.75","2,050.30","2,050.65","2,049.29","2,358.35","1,306.70","123,714","253,525,351.05","6,402"
23-May-2023,EQ,"2,076.00","2,097.80","2,055.70","2,070.25","2,062.30","2,060.75","2,067.34","2,358.35","1,306.70","116,692","241,241,728.10","9,063"
22-May-2023,EQ,"2,060.00","2,076.10","2,032.10","2,058.15","2,073.00","2,070.25","2,062.72","2,358.35","1,306.70","117,570","242,513,817.15","8,899"
19-May-2023,EQ,"2,094.00","2,094.35","2,037.55","2,084.05","2,054.90","2,058.15","2,060.32","2,358.35","1,306.70","115,496","237,958,988.10","9,980"
18-May-2023,EQ,"2,125.00","2,136.30","2,075.05","2,116.30","2,081.40","2,084.05","2,109.90","2,358.35","1,306.70","189,723","400,296,191.75","15,984"
17-May-2023,EQ,"2,062.70","2,136.00","2,062.00","2,068.40","2,112.95","2,116.30","2,116.98","2,358.35","1,306.70","758,471","1,605,670,781.00","44,434"
16-May-2023,EQ,"2,086.05","2,097.95","2,062.15","2,080.40","2,062.15","2,068.40","2,079.19","2,358.35","1,306.70","110,084","228,885,099.95","9,492"
15-May-2023,EQ,"2,055.00","2,088.80","2,038.60","2,062.60","2,077.80","2,080.40","2,066.13","2,358.35","1,306.70","134,768","278,447,629.90","9,861"
12-May-2023,EQ,"2,065.00","2,084.40","2,055.65","2,069.70","2,061.50","2,062.60","2,064.63","2,358.35","1,306.70","125,151","258,390,258.30","8,244"
11-May-2023,EQ,"2,050.85","2,074.00","2,027.05","2,047.55","2,065.50","2,069.70","2,055.78","2,358.35","1,306.70","468,823","963,798,106.65","20,750"
10-May-2023,EQ,"2,082.60","2,094.70","2,034.00","2,079.65","2,037.95","2,047.55","2,065.05","2,358.35","1,306.70","411,661","850,099,875.90","31,783"
09-May-2023,EQ,"2,096.95","2,104.95","2,072.15","2,090.90","2,073.00","2,079.65","2,086.14","2,358.35","1,306.70","161,246","336,380,941.10","16,793"
08-May-2023,EQ,"2,074.00","2,100.95","2,052.00","2,067.40","2,087.90","2,090.90","2,082.61","2,358.35","1,306.70","228,065","474,970,713.50","16,014"
