Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,234.95,235.5,230.0,232.5,232.75,232.55,232.35,235.7,136.8,"4,839,246","1,124,396,437.70","34,697"
23-Jun-2023,EQ,229.75,235.65,224.2,229.6,232.55,232.5,231.48,235.7,130.25,"7,886,904","1,825,645,331.70","61,172"
22-Jun-2023,EQ,230.75,235.7,228.1,230.3,229.85,229.6,231.63,235.7,130.25,"9,572,127","2,217,169,768.70","84,943"
21-Jun-2023,EQ,223.0,231.0,222.4,220.35,231.0,230.3,227.87,231.0,130.25,"13,046,366","2,972,823,659.75","112,358"
20-Jun-2023,EQ,213.2,221.95,213.0,213.1,220.9,220.35,218.91,221.95,130.25,"6,610,978","1,447,232,876.85","58,953"
19-Jun-2023,EQ,217.1,218.4,212.3,215.0,213.25,213.1,214.95,218.4,130.25,"3,961,466","851,498,959.70","39,304"
16-Jun-2023,EQ,209.4,217.0,206.15,207.35,215.5,215.0,213.21,217.0,130.25,"7,594,969","1,619,323,499.00","50,940"
15-Jun-2023,EQ,211.45,212.0,206.2,210.2,207.5,207.35,208.7,214.5,130.25,"2,112,022","440,783,462.50","19,122"
14-Jun-2023,EQ,208.15,211.0,206.45,206.4,210.0,210.2,208.79,214.5,130.25,"2,412,025","503,608,010.05","19,573"
13-Jun-2023,EQ,206.4,207.8,204.95,205.55,206.0,206.4,206.13,214.5,130.25,"1,736,495","357,942,206.90","18,398"
12-Jun-2023,EQ,205.7,207.0,203.85,205.7,205.65,205.55,205.39,214.5,130.25,"2,078,411","426,877,210.70","28,980"
09-Jun-2023,EQ,210.0,210.45,204.9,209.5,205.45,205.7,206.71,214.5,130.25,"4,610,250","952,994,211.35","25,255"
08-Jun-2023,EQ,212.45,214.2,208.8,211.65,210.0,209.5,211.29,214.5,130.25,"1,724,965","364,465,435.00","19,081"
07-Jun-2023,EQ,212.1,213.05,211.25,211.95,211.8,211.65,212.02,214.5,130.25,"1,226,098","259,961,995.05","11,818"
06-Jun-2023,EQ,212.0,212.6,209.6,211.55,212.0,211.95,211.0,214.5,130.25,"1,738,539","366,837,321.05","16,621"
05-Jun-2023,EQ,212.75,213.85,210.45,211.75,211.55,211.55,211.73,214.5,130.25,"1,142,529","241,906,521.55","15,428"
02-Jun-2023,EQ,211.95,213.0,210.0,211.4,211.3,211.75,211.62,214.5,130.25,"1,439,067","304,535,456.70","15,796"
