Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,122.15,122.3,121.0,122.15,121.5,121.3,121.4,143.4,89.3,"5,930,251","719,928,905.15","39,410"
23-Jun-2023,EQ,123.75,123.75,121.75,123.8,122.0,122.15,122.78,143.4,84.0,"6,602,216","810,600,254.50","48,558"
22-Jun-2023,EQ,123.7,124.4,123.1,123.45,123.9,123.8,123.76,143.4,84.0,"7,522,638","930,988,303.20","49,223"
21-Jun-2023,EQ,123.7,124.65,123.1,123.4,123.5,123.45,123.66,143.4,84.0,"6,402,879","791,755,975.50","40,110"
20-Jun-2023,EQ,123.1,123.65,122.8,123.1,123.45,123.4,123.23,143.4,84.0,"4,066,067","501,067,103.70","29,783"
19-Jun-2023,EQ,123.95,124.0,122.65,123.75,123.25,123.1,123.24,143.4,84.0,"8,471,676","1,044,055,167.10","60,236"
16-Jun-2023,EQ,122.7,124.35,122.1,122.05,123.75,123.75,123.67,143.4,84.0,"7,806,010","965,360,381.35","47,473"
15-Jun-2023,EQ,124.65,124.7,121.75,124.4,122.05,122.05,122.86,143.4,84.0,"16,997,484","2,088,246,695.55","91,447"
14-Jun-2023,EQ,124.8,125.2,123.5,124.55,124.4,124.4,124.13,143.4,84.0,"15,051,657","1,868,325,839.90","46,940"
13-Jun-2023,EQ,125.5,126.0,124.4,125.2,124.75,124.55,124.9,143.4,84.0,"14,180,212","1,771,130,527.65","48,421"
12-Jun-2023,EQ,125.0,125.8,124.6,125.1,125.2,125.2,125.19,143.4,84.0,"3,558,036","445,431,543.65","28,059"
09-Jun-2023,EQ,126.25,126.3,124.85,126.1,125.0,125.1,125.4,143.4,84.0,"6,445,849","808,281,143.00","36,420"
08-Jun-2023,EQ,126.25,127.6,125.9,126.2,126.35,126.1,126.76,143.4,84.0,"9,170,509","1,162,433,038.15","47,362"
07-Jun-2023,EQ,126.5,127.5,125.95,126.15,126.25,126.2,126.53,143.4,84.0,"5,556,188","703,047,519.90","30,831"
06-Jun-2023,EQ,127.5,127.5,125.7,127.3,126.0,126.15,126.34,143.4,84.0,"6,668,953","842,547,733.80","34,058"
05-Jun-2023,EQ,126.95,128.1,126.65,126.15,127.3,127.3,127.43,143.4,84.0,"10,321,926","1,315,326,944.55","42,464"
02-Jun-2023,EQ,125.95,126.95,125.8,125.5,126.25,126.15,126.32,143.4,84.0,"10,542,134","1,331,729,900.75","41,931"
01-Jun-2023,EQ,125.25,125.95,124.8,125.25,125.8,125.5,125.36,143.4,84.0,"10,982,556","1,376,758,051.25","42,052"
31-May-2023,EQ,125.25,126.1,124.5,125.3,125.15,125.25,125.21,143.4,84.0,"9,003,220","1,127,268,096.80","43,196"
30-May-2023,EQ,125.95,126.0,124.85,125.5,125.3,125.3,125.33,143.4,84.0,"8,917,811","1,117,707,097.25","42,555"
29-May-2023,EQ,126.1,126.4,125.2,125.25,125.7,125.5,125.82,143.4,84.0,"8,267,792","1,040,223,399.45","50,464"
26-May-2023,EQ,123.5,125.4,123.4,123.25,125.25,125.25,124.51,143.4,82.5,"8,746,928","1,089,064,048.25","41,544"
25-May-2023,EQ,123.55,123.9,122.3,123.8,123.55,123.25,123.1,143.4,82.5,"15,655,834","1,927,269,343.50","76,767"
24-May-2023,EQ,125.55,126.2,123.4,125.65,123.4,123.8,124.49,143.4,82.5,"12,562,198","1,563,913,454.70","64,295"
23-May-2023,EQ,126.5,126.95,125.45,126.2,125.55,125.65,126.33,143.4,82.5,"6,772,781","855,615,440.40","37,988"
22-May-2023,EQ,126.0,126.6,125.0,126.15,126.0,126.2,125.95,143.4,82.5,"15,934,321","2,007,007,386.40","50,893"
19-May-2023,EQ,127.2,127.6,124.5,126.75,126.2,126.15,125.78,143.4,82.5,"9,669,660","1,216,294,299.95","48,734"
