Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,104.5,105.2,103.7,105.05,104.8,104.8,104.74,148.8,83.0,"9,225,360","966,236,351.85","29,820"
23-Jun-2023,EQ,104.35,105.4,103.3,104.45,105.1,105.05,104.7,148.8,83.0,"7,880,417","825,072,089.30","24,952"
22-Jun-2023,EQ,106.7,107.0,104.0,106.7,104.2,104.45,105.47,148.8,83.0,"16,244,574","1,713,373,609.85","52,115"
21-Jun-2023,EQ,108.25,108.4,106.5,108.25,106.7,106.7,107.11,148.8,83.0,"13,138,208","1,407,236,109.20","45,789"
20-Jun-2023,EQ,107.9,108.7,106.75,108.0,108.4,108.25,107.82,148.8,83.0,"11,218,628","1,209,559,470.35","32,658"
19-Jun-2023,EQ,107.85,108.4,106.7,107.5,108.0,108.0,107.84,148.8,83.0,"4,126,281","444,987,714.45","21,131"
16-Jun-2023,EQ,107.2,108.0,106.25,107.15,107.5,107.5,107.24,151.9,83.0,"8,119,111","870,677,475.95","31,646"
15-Jun-2023,EQ,107.2,107.45,106.15,107.2,107.0,107.15,106.98,151.9,83.0,"5,385,018","576,092,872.35","24,727"
14-Jun-2023,EQ,107.55,108.0,107.0,107.05,107.1,107.2,107.4,151.9,83.0,"6,930,665","744,336,169.75","30,037"
13-Jun-2023,EQ,105.95,107.15,105.3,105.2,107.15,107.05,106.54,151.9,83.0,"11,662,296","1,242,515,043.40","38,267"
12-Jun-2023,EQ,105.0,105.95,104.55,104.9,105.45,105.2,105.34,151.9,83.0,"7,078,498","745,620,590.95","37,965"
09-Jun-2023,EQ,104.8,106.0,104.25,104.75,104.8,104.9,105.08,155.2,83.0,"5,451,500","572,825,016.95","20,414"
08-Jun-2023,EQ,105.95,106.0,104.6,105.6,104.9,104.75,105.16,155.2,83.0,"7,433,762","781,729,089.15","26,780"
07-Jun-2023,EQ,105.0,106.0,104.5,104.7,105.9,105.6,105.16,155.2,83.0,"8,674,853","912,251,002.00","33,525"
06-Jun-2023,EQ,104.8,105.2,104.3,104.45,104.85,104.7,104.67,155.2,83.0,"5,394,343","564,642,598.35","23,908"
05-Jun-2023,EQ,105.0,105.2,104.1,104.6,104.5,104.45,104.45,155.2,83.0,"5,284,220","551,937,139.35","26,694"
02-Jun-2023,EQ,105.8,106.15,104.4,105.35,104.75,104.6,104.72,155.2,83.0,"9,624,201","1,007,847,259.15","34,811"
01-Jun-2023,EQ,104.45,105.85,103.5,104.8,105.45,105.35,105.32,155.2,83.0,"9,465,271","996,884,773.20","41,161"
31-May-2023,EQ,105.9,105.95,104.5,105.95,104.75,104.8,105.07,155.2,83.0,"10,176,487","1,069,224,521.20","44,098"
30-May-2023,EQ,106.3,106.55,105.2,106.25,105.75,105.95,105.78,155.2,83.0,"7,204,247","762,078,214.85","25,461"
29-May-2023,EQ,106.9,106.9,105.6,106.35,106.3,106.25,106.26,155.2,83.0,"8,058,796","856,298,497.70","31,431"
26-May-2023,EQ,108.0,109.0,106.1,107.8,106.4,106.35,106.87,156.0,83.0,"6,943,806","742,115,754.35","29,103"
25-May-2023,EQ,107.75,108.2,107.3,107.7,108.1,107.8,107.68,156.0,83.0,"4,719,281","508,176,612.85","27,325"
24-May-2023,EQ,107.35,108.2,106.8,107.5,107.65,107.7,107.67,156.0,83.0,"6,366,074","685,450,870.95","35,244"
23-May-2023,EQ,106.8,108.5,106.0,106.35,107.45,107.5,107.49,156.0,83.0,"8,713,781","936,633,373.30","47,411"
22-May-2023,EQ,105.0,106.9,104.2,104.85,106.3,106.35,106.06,156.0,83.0,"11,338,813","1,202,584,994.05","44,148"
19-May-2023,EQ,104.8,105.7,102.95,106.2,105.0,104.85,104.21,157.15,83.0,"15,968,522","1,664,083,087.45","58,156"
18-May-2023,EQ,110.65,110.85,104.8,110.0,106.0,106.2,107.25,157.15,83.0,"24,715,468","2,650,624,501.05","67,854"
17-May-2023,EQ,112.35,112.5,109.65,111.7,110.2,110.0,110.52,157.15,83.0,"5,634,267","622,686,598.60","31,235"
