Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,630.0,646.75,628.0,633.0,645.5,645.4,640.18,682.25,360.45,"806,947","516,594,314.20","18,333"
23-Jun-2023,EQ,627.8,638.5,622.05,627.7,630.75,633.0,628.82,682.25,348.5,"971,554","610,933,253.05","24,629"
22-Jun-2023,EQ,638.8,638.8,621.8,643.05,628.6,627.7,628.69,682.25,348.5,"1,388,351","872,840,762.15","26,445"
21-Jun-2023,EQ,643.75,648.05,637.45,643.85,642.05,643.05,642.45,682.25,348.5,"453,135","291,115,536.95","11,078"
20-Jun-2023,EQ,640.4,649.8,638.55,640.4,643.85,643.85,643.14,682.25,348.5,"485,694","312,368,296.80","10,580"
19-Jun-2023,EQ,642.4,654.5,638.9,642.45,642.5,640.4,646.4,682.25,348.5,"741,200","479,109,059.85","19,777"
16-Jun-2023,EQ,642.45,648.95,636.5,642.45,643.05,642.45,642.74,682.25,348.5,"798,919","513,495,574.35","22,722"
15-Jun-2023,EQ,635.0,644.0,634.35,637.45,643.0,642.45,639.0,682.25,348.5,"696,604","445,129,021.45","13,810"
14-Jun-2023,EQ,649.0,650.0,635.85,649.0,637.8,637.45,642.57,682.25,348.5,"666,369","428,185,843.45","14,894"
13-Jun-2023,EQ,638.55,652.85,634.95,638.55,649.5,649.0,645.18,682.25,348.5,"690,845","445,721,810.05","18,706"
12-Jun-2023,EQ,647.0,647.0,633.35,636.05,637.7,638.55,638.97,682.25,348.5,"656,015","419,175,027.65","17,177"
09-Jun-2023,EQ,645.1,659.0,633.85,648.4,635.9,636.05,643.96,682.25,348.5,"1,140,652","734,528,578.65","24,828"
08-Jun-2023,EQ,664.95,682.25,645.05,663.05,647.85,648.4,669.62,682.25,348.5,"4,425,552","2,963,424,489.95","65,993"
07-Jun-2023,EQ,635.5,664.35,635.5,631.5,663.8,663.05,655.88,664.35,348.5,"3,859,103","2,531,092,118.85","55,850"
06-Jun-2023,EQ,614.2,633.5,614.2,618.05,632.3,631.5,625.84,633.5,348.5,"661,070","413,724,618.20","15,577"
05-Jun-2023,EQ,609.8,621.0,608.75,614.15,616.7,618.05,617.49,629.85,348.5,"764,068","471,801,726.35","11,978"
02-Jun-2023,EQ,613.85,615.35,608.5,609.6,614.0,614.15,612.02,629.85,348.5,"770,385","471,494,273.35","13,489"
01-Jun-2023,EQ,597.65,612.6,596.0,597.75,609.6,609.6,607.03,629.85,348.5,"988,742","600,193,898.65","18,345"
31-May-2023,EQ,593.95,601.8,591.75,595.45,596.2,597.75,596.77,629.85,348.5,"637,663","380,536,674.65","18,238"
30-May-2023,EQ,597.45,600.7,590.1,594.5,595.2,595.45,595.82,629.85,348.5,"695,866","414,611,956.20","16,632"
29-May-2023,EQ,591.4,598.0,589.35,591.4,593.0,594.5,594.52,629.85,348.5,"848,123","504,226,277.20","14,778"
26-May-2023,EQ,606.2,609.7,587.0,607.4,591.05,591.4,592.54,629.85,348.5,"1,103,389","653,802,430.75","23,906"
25-May-2023,EQ,606.1,613.4,603.45,608.55,606.2,607.4,608.46,629.85,348.5,"1,557,737","947,822,934.05","22,960"
24-May-2023,EQ,606.0,613.6,606.0,609.0,607.2,608.55,609.84,629.85,348.5,"1,540,050","939,191,008.70","13,975"
23-May-2023,EQ,608.0,625.8,606.25,606.0,607.0,609.0,612.79,629.85,348.5,"2,993,267","1,834,254,575.10","35,666"
22-May-2023,EQ,588.0,611.05,581.0,624.3,605.0,606.0,599.45,629.85,348.5,"5,062,006","3,034,407,109.15","52,862"
19-May-2023,EQ,605.0,629.85,602.0,604.1,626.0,624.3,612.71,629.85,348.5,"3,771,939","2,311,110,855.95","32,839"
18-May-2023,EQ,608.1,612.9,599.4,608.85,602.0,604.1,608.52,620.5,348.5,"1,043,069","634,731,609.15","15,969"
17-May-2023,EQ,609.0,613.15,607.85,607.85,609.0,608.85,609.38,620.5,348.5,"1,702,948","1,037,735,775.35","17,884"
16-May-2023,EQ,608.0,620.5,607.0,607.95,608.95,607.85,612.83,620.5,348.5,"1,026,523","629,084,702.30","26,273"
15-May-2023,EQ,616.0,618.75,605.15,612.95,606.5,607.95,611.68,618.75,348.5,"1,340,692","820,074,180.80","23,183"
12-May-2023,EQ,581.05,615.35,581.05,580.15,615.0,612.95,607.41,615.35,348.5,"6,123,142","3,719,250,263.55","85,378"
11-May-2023,EQ,573.95,583.15,564.25,569.95,580.0,580.15,576.27,583.15,348.5,"1,730,567","997,274,164.75","31,482"
10-May-2023,EQ,561.1,574.95,561.1,559.2,570.0,569.95,568.48,574.95,348.5,"2,205,960","1,254,033,149.65","33,480"
