Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,42.25,42.85,41.75,42.4,42.4,42.35,42.46,47.35,33.25,"11,545,975","490,208,749.50","9,991"
23-Jun-2023,EQ,42.45,42.75,41.85,42.4,42.2,42.4,42.4,47.35,32.3,"8,102,957","343,584,941.65","7,404"
22-Jun-2023,EQ,43.7,43.7,41.85,43.35,42.4,42.4,42.48,47.35,32.3,"10,836,618","460,298,319.65","12,103"
21-Jun-2023,EQ,43.2,43.6,42.65,43.1,43.5,43.35,43.14,47.35,32.3,"7,654,601","330,252,736.00","7,109"
20-Jun-2023,EQ,42.55,43.2,42.2,42.55,43.2,43.1,42.9,47.35,32.3,"3,018,101","129,461,741.60","6,145"
19-Jun-2023,EQ,43.2,43.35,42.5,43.1,42.55,42.55,42.89,47.35,32.3,"7,784,184","333,832,541.55","11,371"
16-Jun-2023,EQ,43.5,43.5,43.0,43.25,43.05,43.1,43.22,47.35,32.3,"4,730,158","204,452,577.50","6,802"
15-Jun-2023,EQ,43.45,43.7,43.15,43.2,43.2,43.25,43.4,47.35,32.3,"7,642,550","331,724,415.70","12,106"
14-Jun-2023,EQ,42.25,43.3,42.05,42.05,43.2,43.2,42.8,47.35,32.3,"9,470,785","405,329,574.50","13,886"
13-Jun-2023,EQ,42.5,42.55,41.95,42.35,42.1,42.05,42.16,47.35,32.3,"4,959,560","209,087,372.20","7,607"
12-Jun-2023,EQ,42.5,42.6,42.1,42.35,42.35,42.35,42.37,47.35,32.3,"5,306,624","224,854,629.80","8,216"
09-Jun-2023,EQ,42.15,42.6,41.85,42.1,42.25,42.35,42.33,47.35,32.3,"9,354,290","395,994,258.70","9,051"
08-Jun-2023,EQ,42.45,42.75,42.0,42.2,42.05,42.1,42.35,47.35,32.3,"7,149,697","302,788,144.15","8,369"
07-Jun-2023,EQ,42.15,42.65,41.75,41.65,42.25,42.2,42.27,47.35,32.3,"12,417,151","524,913,525.75","13,279"
06-Jun-2023,EQ,41.5,42.1,41.35,41.55,41.8,41.65,41.71,47.35,32.3,"7,807,290","325,668,982.05","9,191"
05-Jun-2023,EQ,41.5,42.0,41.1,41.3,41.45,41.55,41.7,47.35,32.3,"8,170,749","340,754,920.10","9,760"
02-Jun-2023,EQ,41.1,41.5,40.85,40.8,41.25,41.3,41.2,47.35,32.3,"7,492,897","308,700,982.85","9,556"
01-Jun-2023,EQ,40.8,41.2,40.65,40.5,40.75,40.8,40.9,47.35,32.3,"6,279,111","256,845,633.00","10,689"
31-May-2023,EQ,40.95,41.25,40.3,40.85,40.65,40.5,40.72,47.35,32.3,"14,188,091","577,766,421.90","15,423"
30-May-2023,EQ,40.75,41.55,40.4,40.55,40.9,40.85,40.93,47.35,32.3,"19,190,583","785,532,250.05","22,537"
29-May-2023,EQ,44.3,44.3,40.0,45.0,40.6,40.55,40.95,47.35,32.3,"45,153,505","1,849,105,193.90","50,915"
26-May-2023,EQ,45.2,45.65,44.5,44.95,45.05,45.0,45.04,47.35,32.3,"12,924,791","582,078,719.15","12,542"
25-May-2023,EQ,44.6,45.5,44.6,44.9,45.4,44.95,44.89,47.35,32.3,"4,923,087","220,973,966.45","8,293"
24-May-2023,EQ,45.05,45.3,44.65,45.3,44.85,44.9,44.98,47.35,32.3,"4,547,387","204,527,172.45","6,903"
23-May-2023,EQ,45.45,45.65,44.95,45.35,45.4,45.3,45.34,47.35,32.3,"6,388,824","289,691,460.05","8,919"
22-May-2023,EQ,45.0,45.5,44.7,45.15,45.35,45.35,45.25,47.35,32.3,"8,466,292","383,120,117.80","8,607"
19-May-2023,EQ,45.05,45.25,44.45,45.0,45.1,45.15,45.0,47.35,32.3,"6,689,415","301,017,107.70","8,310"
18-May-2023,EQ,45.65,45.85,44.9,45.6,45.0,45.0,45.24,47.35,32.3,"4,768,281","215,730,764.60","10,036"
17-May-2023,EQ,45.4,45.7,45.05,45.4,45.5,45.6,45.44,47.35,32.3,"4,715,032","214,231,955.20","6,483"
16-May-2023,EQ,46.1,46.3,45.3,46.05,45.35,45.4,45.58,47.35,32.3,"4,916,050","224,091,305.00","9,181"
15-May-2023,EQ,46.1,46.55,45.6,46.1,45.85,46.05,46.12,47.35,32.3,"18,043,618","832,226,802.45","12,221"
12-May-2023,EQ,46.85,46.85,46.0,46.5,46.1,46.1,46.43,47.35,31.75,"8,533,066","396,150,806.60","12,046"
11-May-2023,EQ,46.9,47.35,46.45,46.75,46.45,46.5,46.93,47.35,31.75,"8,537,192","400,623,758.85","12,320"
10-May-2023,EQ,45.8,46.85,45.7,45.8,46.75,46.75,46.34,46.95,31.75,"11,099,648","514,370,624.60","12,719"
09-May-2023,EQ,46.65,46.9,45.7,46.55,45.85,45.8,46.14,46.95,31.75,"12,432,885","573,642,485.15","12,998"
08-May-2023,EQ,46.95,46.95,45.9,45.6,46.5,46.55,46.22,46.95,31.75,"6,608,306","305,468,405.80","9,130"
05-May-2023,EQ,46.25,46.8,45.45,46.45,45.65,45.6,46.01,46.9,31.75,"6,882,807","316,676,690.15","10,330"
04-May-2023,EQ,46.2,46.9,46.0,46.25,46.35,46.45,46.44,46.9,31.75,"8,160,122","378,946,474.70","12,744"
03-May-2023,EQ,45.65,46.9,45.5,45.8,46.3,46.25,46.39,46.9,31.75,"13,862,360","643,143,654.45","15,143"
02-May-2023,EQ,45.65,46.15,45.4,45.65,45.8,45.8,45.84,46.15,31.75,"10,257,295","470,145,266.25","23,236"
28-Apr-2023,EQ,45.45,45.7,45.25,45.1,45.6,45.65,45.48,46.15,31.75,"9,432,892","429,027,979.35","11,203"
27-Apr-2023,EQ,44.8,46.15,44.7,44.8,45.15,45.1,45.58,46.15,31.75,"19,626,606","894,537,022.25","19,709"
26-Apr-2023,EQ,44.85,45.15,44.65,44.8,44.7,44.8,44.87,45.4,31.75,"8,563,719","384,279,306.40","11,073"
25-Apr-2023,EQ,44.6,45.4,44.2,44.6,44.8,44.8,44.79,45.4,31.75,"13,527,189","605,883,535.30","11,257"
24-Apr-2023,EQ,44.7,44.75,44.1,44.45,44.5,44.6,44.47,45.1,31.75,"9,107,250","404,964,841.70","9,489"
