Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,576.0,580.0,570.7,574.75,578.1,578.6,577.36,798.5,484.45,"485,572","280,349,042.50","13,834"
23-Jun-2023,EQ,589.5,589.7,572.0,587.65,573.0,574.75,578.93,798.5,484.45,"1,055,287","610,942,385.70","19,967"
22-Jun-2023,EQ,602.95,613.5,584.4,600.0,587.0,587.65,599.97,798.5,484.45,"2,624,359","1,574,531,503.25","49,563"
21-Jun-2023,EQ,590.4,603.0,589.2,588.45,599.5,600.0,596.53,798.5,484.45,"1,042,470","621,859,555.85","24,756"
20-Jun-2023,EQ,588.5,594.6,584.6,588.45,588.0,588.45,589.79,798.5,484.45,"458,969","270,693,554.35","10,969"
19-Jun-2023,EQ,592.9,595.7,586.0,589.7,588.3,588.45,590.26,798.5,484.45,"446,203","263,377,730.75","11,062"
16-Jun-2023,EQ,587.15,597.0,584.9,585.9,591.0,589.7,592.43,798.5,484.45,"807,941","478,649,182.75","14,911"
15-Jun-2023,EQ,598.0,598.0,584.0,594.05,585.9,585.9,589.21,798.5,484.45,"869,340","512,224,727.55","16,460"
14-Jun-2023,EQ,582.5,604.75,577.75,579.75,593.7,594.05,596.28,798.5,484.45,"2,654,183","1,582,642,749.85","51,710"
13-Jun-2023,EQ,580.7,582.5,574.55,579.0,579.45,579.75,578.1,798.5,484.45,"622,805","360,041,479.35","13,673"
12-Jun-2023,EQ,566.4,583.7,562.7,565.6,579.5,579.0,575.69,798.5,484.45,"985,352","567,254,306.25","20,540"
09-Jun-2023,EQ,580.0,580.5,564.0,577.7,565.1,565.6,570.59,798.5,484.45,"758,831","432,980,086.40","18,721"
08-Jun-2023,EQ,587.0,589.1,576.65,585.75,577.4,577.7,581.42,798.5,484.45,"653,618","380,025,390.20","15,469"
07-Jun-2023,EQ,587.0,591.55,584.0,584.6,586.0,585.75,586.88,798.5,484.45,"635,893","373,191,031.15","12,662"
06-Jun-2023,EQ,582.0,587.0,576.65,582.95,585.05,584.6,582.14,798.5,484.45,"546,990","318,423,884.05","13,138"
05-Jun-2023,EQ,588.95,589.6,582.3,585.35,583.5,582.95,584.84,798.5,484.45,"461,700","270,022,616.75","15,549"
02-Jun-2023,EQ,587.0,587.65,581.3,583.1,584.5,585.35,584.65,798.5,484.45,"475,039","277,730,694.55","12,251"
01-Jun-2023,EQ,589.5,594.95,582.25,588.45,582.3,583.1,589.1,798.5,484.45,"827,791","487,651,191.50","15,393"
31-May-2023,EQ,595.45,597.45,585.5,595.5,589.0,588.45,589.43,798.5,484.45,"775,336","457,002,933.90","22,016"
