Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,037.30","1,043.00","1,029.55","1,035.95","1,030.50","1,032.30","1,033.40","1,085.15",749.0,"758,366","783,693,062.60","40,411"
23-Jun-2023,EQ,"1,041.95","1,044.45","1,031.60","1,040.90","1,033.50","1,035.95","1,035.85","1,085.15",717.55,"611,409","633,325,738.10","25,461"
22-Jun-2023,EQ,"1,065.90","1,065.90","1,038.25","1,063.60","1,041.60","1,040.90","1,046.87","1,085.15",717.55,"570,936","597,694,158.70","19,348"
21-Jun-2023,EQ,"1,071.90","1,076.60","1,054.10","1,071.90","1,065.05","1,063.60","1,063.76","1,085.15",717.55,"1,129,047","1,201,038,263.55","36,337"
20-Jun-2023,EQ,"1,060.10","1,074.60","1,057.15","1,066.75","1,073.60","1,071.90","1,065.14","1,085.15",717.55,"715,271","761,863,156.60","30,126"
19-Jun-2023,EQ,"1,071.45","1,083.30","1,064.30","1,070.00","1,065.45","1,066.75","1,073.77","1,085.15",717.55,"1,017,828","1,092,915,106.50","30,961"
16-Jun-2023,EQ,"1,082.00","1,082.00","1,048.30","1,077.70","1,069.35","1,070.00","1,062.22","1,085.15",708.5,"1,629,502","1,730,886,981.40","68,557"
15-Jun-2023,EQ,"1,068.00","1,085.15","1,062.20","1,069.50","1,080.00","1,077.70","1,075.10","1,085.15",708.5,"1,241,860","1,335,122,944.25","50,081"
14-Jun-2023,EQ,"1,057.60","1,073.30","1,048.15","1,055.45","1,070.65","1,069.50","1,065.97","1,074.90",708.5,"922,595","983,458,991.55","38,875"
13-Jun-2023,EQ,"1,045.00","1,067.00","1,044.10","1,044.10","1,055.00","1,055.45","1,058.90","1,074.90",708.5,"952,216","1,008,300,691.00","47,366"
12-Jun-2023,EQ,"1,036.05","1,049.80","1,028.00","1,035.35","1,045.40","1,044.10","1,041.44","1,074.90",708.5,"546,812","569,473,671.55","27,843"
