Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,505.95","1,538.70","1,490.00","1,499.45","1,535.15","1,535.65","1,515.49","1,589.00","1,005.00","583,006","883,539,758.30","31,954"
23-Jun-2023,EQ,"1,498.90","1,519.65","1,478.70","1,497.80","1,496.45","1,499.45","1,497.00","1,589.00","1,005.00","485,432","726,689,454.30","24,393"
22-Jun-2023,EQ,"1,535.20","1,538.25","1,492.00","1,529.85","1,494.00","1,497.80","1,513.66","1,589.00","1,005.00","406,165","614,797,664.20","21,071"
21-Jun-2023,EQ,"1,530.60","1,559.00","1,508.40","1,526.80","1,528.00","1,529.85","1,537.71","1,589.00","1,005.00","1,082,814","1,665,056,053.00","48,372"
20-Jun-2023,EQ,"1,523.25","1,555.30","1,517.25","1,521.65","1,527.00","1,526.80","1,535.86","1,589.00","1,005.00","1,159,153","1,780,294,836.30","55,995"
19-Jun-2023,EQ,"1,529.55","1,557.70","1,513.90","1,536.55","1,523.00","1,521.65","1,537.51","1,589.00","1,005.00","797,109","1,225,562,530.05","33,336"
16-Jun-2023,EQ,"1,579.95","1,580.00","1,525.00","1,569.65","1,533.00","1,536.55","1,546.79","1,589.00","1,005.00","1,392,650","2,154,141,586.45","49,112"
15-Jun-2023,EQ,"1,511.50","1,589.00","1,495.00","1,506.55","1,569.00","1,569.65","1,561.98","1,589.00","1,005.00","3,120,677","4,874,421,091.65","132,839"
14-Jun-2023,EQ,"1,479.95","1,512.00","1,468.90","1,474.45","1,501.00","1,506.55","1,496.00","1,529.95","1,005.00","1,369,369","2,048,574,547.00","61,381"
13-Jun-2023,EQ,"1,446.45","1,487.00","1,445.05","1,434.90","1,471.95","1,474.45","1,470.38","1,529.95","1,005.00","1,364,626","2,006,514,634.80","65,822"
12-Jun-2023,EQ,"1,435.90","1,443.85","1,431.00","1,429.90","1,438.00","1,434.90","1,436.83","1,529.95","1,005.00","283,256","406,989,585.40","20,372"
09-Jun-2023,EQ,"1,430.00","1,449.95","1,423.55","1,424.70","1,427.65","1,429.90","1,437.48","1,529.95","1,005.00","365,871","525,932,226.55","21,829"
08-Jun-2023,EQ,"1,450.00","1,451.25","1,405.10","1,446.45","1,430.00","1,424.70","1,428.12","1,529.95","1,005.00","526,252","751,552,298.15","30,356"
07-Jun-2023,EQ,"1,425.00","1,450.00","1,421.70","1,421.40","1,445.70","1,446.45","1,439.22","1,529.95","1,005.00","419,560","603,840,858.80","25,124"
06-Jun-2023,EQ,"1,414.00","1,427.00","1,410.45","1,414.10","1,422.55","1,421.40","1,419.36","1,529.95","1,005.00","231,667","328,818,552.80","13,913"
05-Jun-2023,EQ,"1,427.00","1,436.95","1,410.65","1,427.45","1,417.65","1,414.10","1,421.75","1,529.95","1,005.00","328,750","467,398,866.75","17,453"
02-Jun-2023,EQ,"1,407.00","1,442.70","1,405.50","1,402.70","1,427.00","1,427.45","1,431.47","1,529.95","1,005.00","1,059,866","1,517,162,451.50","40,227"
01-Jun-2023,EQ,"1,395.00","1,423.00","1,393.35","1,390.30","1,400.85","1,402.70","1,411.62","1,529.95","1,005.00","690,024","974,049,179.10","32,195"
31-May-2023,EQ,"1,384.20","1,395.00","1,364.00","1,385.95","1,395.00","1,390.30","1,382.79","1,529.95","1,005.00","890,001","1,230,685,610.90","40,307"
30-May-2023,EQ,"1,381.00","1,392.60","1,376.00","1,374.90","1,386.00","1,385.95","1,386.13","1,529.95","1,005.00","365,144","506,138,188.35","16,976"
29-May-2023,EQ,"1,382.00","1,388.60","1,360.50","1,372.10","1,373.70","1,374.90","1,373.98","1,529.95","1,005.00","434,395","596,847,884.60","20,155"
26-May-2023,EQ,"1,369.70","1,379.50","1,360.00","1,365.60","1,370.50","1,372.10","1,369.57","1,529.95","1,005.00","329,463","451,222,007.85","15,778"
25-May-2023,EQ,"1,338.95","1,369.90","1,333.10","1,337.90","1,363.00","1,365.60","1,357.34","1,529.95","1,005.00","579,244","786,232,937.35","25,967"
24-May-2023,EQ,"1,346.00","1,349.95","1,331.20","1,345.25","1,335.00","1,337.90","1,340.79","1,529.95","1,005.00","186,321","249,817,989.95","10,757"
23-May-2023,EQ,"1,345.70","1,357.45","1,327.15","1,342.40","1,341.10","1,345.25","1,345.13","1,529.95","1,005.00","388,328","522,350,263.40","23,830"
22-May-2023,EQ,"1,322.15","1,345.65","1,316.25","1,322.20","1,344.00","1,342.40","1,334.32","1,529.95","1,005.00","477,073","636,566,563.70","19,314"
19-May-2023,EQ,"1,314.00","1,324.80","1,286.30","1,309.15","1,320.00","1,322.20","1,310.95","1,529.95","1,005.00","845,759","1,108,744,519.80","31,134"
18-May-2023,EQ,"1,391.00","1,397.65","1,301.40","1,383.80","1,306.00","1,309.15","1,328.97","1,529.95","1,005.00","1,336,663","1,776,389,559.00","58,451"
17-May-2023,EQ,"1,389.95","1,401.45","1,370.00","1,389.70","1,385.00","1,383.80","1,384.32","1,529.95","1,005.00","745,519","1,032,035,893.95","26,324"
16-May-2023,EQ,"1,395.90","1,424.00","1,385.30","1,388.50","1,390.10","1,389.70","1,405.85","1,529.95","1,005.00","1,157,296","1,626,983,170.05","39,672"
15-May-2023,EQ,"1,338.00","1,415.00","1,337.80","1,338.30","1,390.00","1,388.50","1,392.93","1,529.95","1,005.00","2,478,303","3,452,093,837.50","86,169"
12-May-2023,EQ,"1,336.00","1,358.90","1,331.35","1,339.45","1,336.00","1,338.30","1,344.33","1,529.95","1,005.00","427,205","574,302,854.80","28,225"
11-May-2023,EQ,"1,341.00","1,346.50","1,328.50","1,336.95","1,333.00","1,339.45","1,336.69","1,529.95","1,005.00","364,062","486,637,450.50","22,984"
10-May-2023,EQ,"1,334.00","1,340.05","1,313.60","1,325.50","1,335.00","1,336.95","1,326.85","1,529.95","1,005.00","510,711","677,635,910.10","23,232"
09-May-2023,EQ,"1,348.00","1,358.00","1,315.95","1,341.35","1,324.15","1,325.50","1,333.41","1,529.95","1,005.00","502,075","669,474,223.00","26,010"
08-May-2023,EQ,"1,325.00","1,360.00","1,321.05","1,324.20","1,341.95","1,341.35","1,347.36","1,529.95","1,005.00","697,928","940,363,162.25","35,884"
05-May-2023,EQ,"1,345.95","1,348.35","1,316.00","1,326.05","1,320.00","1,324.20","1,333.53","1,668.55","1,005.00","594,732","793,094,826.75","31,559"
04-May-2023,EQ,"1,340.00","1,340.00","1,300.30","1,328.55","1,321.95","1,326.05","1,316.95","1,668.55","1,005.00","767,255","1,010,438,123.25","30,428"
03-May-2023,EQ,"1,328.75","1,352.00","1,276.75","1,328.75","1,323.05","1,328.55","1,331.50","1,668.55","1,005.00","2,173,786","2,894,395,477.25","89,697"
02-May-2023,EQ,"1,320.00","1,334.80","1,308.65","1,315.25","1,323.70","1,328.75","1,325.84","1,668.55","1,005.00","805,825","1,068,392,642.60","38,845"
