Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,287.95,292.25,283.3,287.0,291.7,291.25,288.93,381.0,256.75,"1,081,556","312,489,945.30","18,369"
23-Jun-2023,EQ,287.95,290.65,281.35,287.95,286.95,287.0,285.97,381.0,226.95,"1,132,378","323,823,689.20","18,376"
22-Jun-2023,EQ,291.05,294.5,286.7,290.95,287.9,287.95,290.56,381.0,226.95,"985,128","286,242,806.95","15,693"
21-Jun-2023,EQ,294.0,294.75,287.3,293.25,291.05,290.95,290.35,381.0,226.95,"1,720,989","499,686,146.30","17,120"
20-Jun-2023,EQ,295.2,295.2,291.0,294.75,293.5,293.25,293.29,381.0,226.95,"947,694","277,947,428.05","15,604"
19-Jun-2023,EQ,295.0,297.4,292.65,292.05,295.0,294.75,294.83,381.0,226.95,"1,629,998","480,564,471.20","27,620"
16-Jun-2023,EQ,288.05,295.85,287.1,287.1,291.55,292.05,293.03,381.0,226.95,"2,037,737","597,109,665.75","27,306"
15-Jun-2023,EQ,288.45,289.0,285.0,287.1,287.0,287.1,286.94,381.0,226.95,"1,160,874","333,103,224.40","21,607"
14-Jun-2023,EQ,286.8,289.0,285.55,285.35,287.0,287.1,287.56,381.0,226.95,"1,244,112","357,757,316.20","21,137"
13-Jun-2023,EQ,280.85,286.45,279.95,279.45,286.0,285.35,284.29,381.0,226.95,"1,509,258","429,062,755.55","19,306"
12-Jun-2023,EQ,277.3,280.9,275.25,277.3,279.65,279.45,278.76,381.0,226.95,"518,027","144,403,583.60","9,092"
09-Jun-2023,EQ,280.95,281.2,276.2,279.85,276.8,277.3,278.62,381.0,226.95,"517,594","144,214,410.15","6,896"
08-Jun-2023,EQ,283.0,284.55,279.05,283.8,280.0,279.85,281.21,381.0,226.95,"792,292","222,800,494.90","12,862"
07-Jun-2023,EQ,282.35,285.25,281.7,282.3,284.0,283.8,283.93,381.0,226.95,"797,592","226,457,392.50","12,117"
06-Jun-2023,EQ,285.0,285.0,280.05,284.75,282.35,282.3,281.71,381.0,226.95,"783,520","220,722,788.10","17,390"
05-Jun-2023,EQ,288.25,288.4,284.0,286.95,284.85,284.75,285.75,381.0,226.95,"606,860","173,408,789.90","11,410"
02-Jun-2023,EQ,289.25,291.0,283.35,288.05,287.0,286.95,286.08,381.0,226.95,"1,373,742","393,000,721.75","18,203"
01-Jun-2023,EQ,281.65,288.8,281.55,281.95,287.8,288.05,286.81,381.0,226.95,"1,224,324","351,148,632.70","13,408"
31-May-2023,EQ,281.4,284.4,279.85,281.95,282.0,281.95,282.36,381.0,226.95,"785,679","221,840,657.80","9,992"
30-May-2023,EQ,282.8,284.75,280.55,281.35,281.6,281.95,282.84,381.0,226.95,"904,908","255,942,411.60","12,297"
29-May-2023,EQ,278.0,282.35,276.85,276.85,281.75,281.35,280.14,381.0,226.95,"738,499","206,885,069.10","10,118"
26-May-2023,EQ,273.05,277.85,272.35,273.05,277.4,276.85,274.76,381.0,226.95,"810,097","222,580,117.05","12,078"
25-May-2023,EQ,279.85,280.0,272.35,278.9,273.0,273.05,274.5,381.0,226.95,"1,659,369","455,493,714.20","17,094"
24-May-2023,EQ,275.85,280.4,275.0,275.85,279.9,278.9,278.92,381.0,226.95,"919,244","256,397,951.20","12,652"
23-May-2023,EQ,277.7,278.4,274.0,276.25,276.35,275.85,275.85,381.0,226.95,"1,127,426","311,000,443.60","15,736"
22-May-2023,EQ,273.0,281.85,273.0,276.3,276.45,276.25,277.21,381.0,226.95,"1,351,751","374,724,421.15","18,903"
19-May-2023,EQ,280.0,280.0,274.15,277.75,276.3,276.3,277.11,381.0,226.95,"1,272,913","352,739,073.10","18,236"
18-May-2023,EQ,287.4,289.85,276.2,285.95,278.3,277.75,282.56,381.0,226.95,"2,273,957","642,522,253.55","28,767"
17-May-2023,EQ,288.1,298.2,280.1,288.15,286.05,285.95,290.28,381.0,226.95,"4,555,413","1,322,336,995.20","54,034"
16-May-2023,EQ,294.0,302.45,284.0,292.8,284.85,288.15,295.01,381.0,226.95,"3,737,374","1,102,550,222.90","46,365"
15-May-2023,EQ,297.0,297.7,290.5,296.1,293.0,292.8,292.7,381.0,226.95,"866,140","253,522,454.20","13,577"
12-May-2023,EQ,298.5,300.4,295.6,298.85,296.0,296.1,297.94,381.0,226.95,"418,971","124,827,932.55","6,494"
11-May-2023,EQ,300.75,302.45,297.0,300.75,299.35,298.85,299.75,381.0,226.95,"559,968","167,850,768.15","9,927"
10-May-2023,EQ,299.65,301.85,296.0,299.6,299.0,300.75,299.36,381.0,226.95,"635,528","190,254,429.05","11,125"
09-May-2023,EQ,307.45,308.85,298.75,306.45,301.0,299.6,302.74,381.0,226.95,"1,051,952","318,468,961.60","15,055"
08-May-2023,EQ,297.05,308.5,295.1,296.65,307.0,306.45,300.96,381.0,226.95,"1,635,272","492,149,142.20","22,642"
