Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,462.05,467.25,459.25,461.95,464.8,466.2,463.28,539.1,415.05,"564,948","261,727,057.00","15,112"
23-Jun-2023,EQ,469.8,469.9,460.75,468.8,462.0,461.95,463.18,539.1,403.55,"897,119","415,529,179.55","19,512"
22-Jun-2023,EQ,472.95,476.6,468.0,472.8,469.0,468.8,471.52,539.1,403.55,"720,267","339,623,335.55","14,573"
21-Jun-2023,EQ,477.5,480.6,472.0,476.45,472.6,472.8,475.6,539.1,403.55,"1,249,372","594,197,179.65","18,715"
20-Jun-2023,EQ,472.5,477.3,471.0,473.35,476.15,476.45,474.4,539.1,403.55,"967,035","458,764,796.90","15,368"
19-Jun-2023,EQ,478.95,479.5,469.55,478.6,472.4,473.35,473.71,539.1,403.55,"1,292,765","612,394,477.05","24,854"
16-Jun-2023,EQ,484.9,486.65,476.3,485.4,478.65,478.6,479.62,539.1,403.55,"822,598","394,538,545.80","16,225"
15-Jun-2023,EQ,486.0,486.8,481.5,484.95,484.8,485.4,484.39,539.1,403.55,"1,058,246","512,602,076.90","12,823"
14-Jun-2023,EQ,486.0,486.8,481.05,485.95,485.05,484.95,484.11,539.1,403.55,"598,386","289,683,421.85","12,140"
13-Jun-2023,EQ,485.0,488.9,482.7,484.3,485.8,485.95,485.46,539.1,403.55,"827,670","401,798,056.15","11,660"
12-Jun-2023,EQ,479.5,486.7,478.1,479.5,485.0,484.3,484.58,539.1,403.55,"1,039,880","503,910,092.90","17,851"
09-Jun-2023,EQ,478.9,484.7,475.35,479.0,479.8,479.5,480.48,559.8,403.55,"705,259","338,859,362.55","14,400"
08-Jun-2023,EQ,484.5,485.65,474.9,483.75,477.2,479.0,479.21,559.8,403.55,"1,013,214","485,537,686.85","23,812"
07-Jun-2023,EQ,480.4,484.8,477.55,479.1,483.4,483.75,482.41,559.8,403.55,"776,523","374,603,582.65","14,072"
06-Jun-2023,EQ,476.8,479.8,471.25,475.3,479.15,479.1,476.1,559.8,403.55,"705,664","335,968,746.10","12,684"
05-Jun-2023,EQ,479.0,479.9,472.7,475.0,476.0,475.3,475.72,559.8,403.55,"923,028","439,099,890.40","15,247"
02-Jun-2023,EQ,490.0,492.2,473.1,488.25,476.1,475.0,478.85,577.95,403.55,"3,389,105","1,622,858,877.45","48,900"
01-Jun-2023,EQ,488.5,499.8,483.0,506.6,488.4,488.25,491.58,577.95,403.55,"3,060,387","1,504,431,793.20","53,422"
31-May-2023,EQ,502.4,508.4,500.1,503.1,508.0,506.6,505.85,577.95,403.55,"903,085","456,825,708.60","16,222"
30-May-2023,EQ,497.6,504.8,496.0,496.9,502.5,503.1,501.3,577.95,403.55,"908,927","455,643,448.65","18,160"
29-May-2023,EQ,500.0,502.9,495.6,498.25,497.0,496.9,498.77,577.95,403.55,"967,925","482,773,969.80","12,826"
26-May-2023,EQ,490.5,500.9,489.55,488.75,497.1,498.25,494.92,577.95,403.55,"1,577,642","780,812,595.00","22,632"
25-May-2023,EQ,489.05,490.3,482.95,487.2,488.75,488.75,487.71,577.95,403.55,"813,424","396,712,061.90","13,801"
24-May-2023,EQ,486.9,491.15,482.6,486.05,487.6,487.2,488.64,577.95,403.55,"902,147","440,821,381.05","13,814"
23-May-2023,EQ,485.45,488.85,479.05,482.95,486.0,486.05,485.21,577.95,403.55,"717,556","348,166,590.60","14,929"
22-May-2023,EQ,478.0,485.75,473.5,478.95,482.85,482.95,480.48,577.95,403.55,"488,188","234,564,043.95","10,832"
19-May-2023,EQ,487.0,488.7,474.0,487.0,478.5,478.95,478.63,583.75,403.55,"1,020,749","488,556,407.00","23,360"
18-May-2023,EQ,493.25,497.45,481.8,491.5,486.05,487.0,490.16,583.75,403.55,"977,594","479,178,465.30","21,133"
17-May-2023,EQ,487.9,496.0,485.0,486.45,490.5,491.5,492.49,583.75,403.55,"1,318,488","649,342,479.75","23,995"
16-May-2023,EQ,482.0,491.55,479.95,482.6,486.3,486.45,487.27,583.75,403.55,"1,693,351","825,114,296.75","30,266"
15-May-2023,EQ,477.7,483.95,466.1,476.65,481.15,482.6,476.74,583.75,403.55,"1,271,233","606,043,063.80","24,978"
12-May-2023,EQ,490.0,492.55,475.75,488.25,476.55,476.65,484.18,583.75,403.55,"1,095,738","530,532,658.95","21,261"
11-May-2023,EQ,475.0,493.0,468.0,462.85,488.5,488.25,485.31,583.75,403.55,"9,944,326","4,826,045,346.10","119,944"
10-May-2023,EQ,468.95,470.45,455.1,466.5,463.25,462.85,460.75,583.75,403.55,"1,966,807","906,198,656.30","44,059"
09-May-2023,EQ,461.9,475.0,460.85,459.35,466.0,466.5,469.81,583.75,403.55,"1,550,156","728,272,148.00","29,345"
08-May-2023,EQ,462.0,462.75,456.5,460.7,459.8,459.35,459.13,583.75,403.55,"977,590","448,840,512.85","21,291"
05-May-2023,EQ,473.25,475.5,457.25,473.25,458.55,460.7,466.71,583.75,403.55,"688,010","321,100,827.75","16,986"
04-May-2023,EQ,475.0,475.0,469.05,472.15,473.0,473.25,471.06,583.75,403.55,"888,057","418,328,908.15","16,273"
03-May-2023,EQ,470.0,477.6,467.1,469.95,472.25,472.15,474.05,583.75,403.55,"1,473,634","698,573,777.10","25,400"
02-May-2023,EQ,468.9,472.1,464.5,467.75,469.75,469.95,468.47,583.75,403.55,"744,818","348,923,652.40","19,104"
28-Apr-2023,EQ,457.0,468.5,456.95,454.5,467.1,467.75,464.43,583.75,403.55,"1,640,261","761,786,956.40","37,265"
27-Apr-2023,EQ,462.35,464.0,453.2,463.4,455.95,454.5,456.65,583.75,403.55,"1,836,212","838,498,609.85","39,839"
26-Apr-2023,EQ,463.0,464.8,456.25,458.75,462.5,463.4,460.48,583.75,403.55,"2,396,756","1,103,656,361.70","41,195"
25-Apr-2023,EQ,464.8,465.3,458.0,463.5,458.5,458.75,461.22,583.75,403.55,"776,250","358,020,766.75","16,400"
24-Apr-2023,EQ,469.1,469.65,462.35,466.6,463.0,463.5,464.71,583.75,403.55,"429,140","199,424,394.35","7,414"
21-Apr-2023,EQ,460.05,467.3,458.2,461.4,466.0,466.6,463.87,583.75,403.55,"648,347","300,748,935.75","15,331"
20-Apr-2023,EQ,465.0,466.65,459.45,464.8,461.3,461.4,462.14,583.75,403.55,"827,975","382,644,424.65","16,196"
19-Apr-2023,EQ,471.3,471.3,463.05,469.15,464.2,464.8,466.73,583.75,403.55,"605,655","282,678,181.40","11,723"
18-Apr-2023,EQ,471.9,477.65,467.45,469.9,468.6,469.15,472.69,583.75,403.55,"900,867","425,833,298.30","16,204"
17-Apr-2023,EQ,464.8,470.75,460.8,462.95,470.0,469.9,468.06,583.75,403.55,"601,842","281,698,716.65","14,190"
13-Apr-2023,EQ,466.8,467.0,461.25,465.05,463.25,462.95,463.73,583.75,403.55,"916,402","424,967,447.55","17,550"
12-Apr-2023,EQ,462.1,470.6,462.0,461.2,465.0,465.05,466.81,583.75,403.55,"1,121,255","523,415,705.55","18,549"
11-Apr-2023,EQ,461.6,464.7,458.2,458.6,461.6,461.2,460.85,583.75,403.55,"1,240,210","571,553,797.35","14,390"
10-Apr-2023,EQ,469.95,472.0,453.85,466.35,458.95,458.6,464.02,583.75,403.55,"1,202,495","557,983,148.15","23,579"
06-Apr-2023,EQ,464.65,470.8,458.5,462.25,465.25,466.35,465.9,583.75,403.55,"621,749","289,673,344.10","14,841"
05-Apr-2023,EQ,461.9,466.55,458.0,461.2,462.65,462.25,462.85,583.75,403.55,"1,445,770","669,179,262.65","19,228"
03-Apr-2023,EQ,462.95,465.0,452.0,459.6,461.1,461.2,456.79,583.75,403.55,"1,103,401","504,017,655.20","25,282"
31-Mar-2023,EQ,472.0,472.95,451.75,469.65,460.85,459.6,462.3,583.75,403.55,"970,080","448,466,491.50","37,541"
29-Mar-2023,EQ,472.4,475.4,467.1,470.35,471.5,469.65,471.23,583.75,403.55,"524,679","247,242,364.95","14,593"
28-Mar-2023,EQ,481.9,482.8,467.2,479.6,470.0,470.35,471.86,583.75,403.55,"400,568","189,011,982.80","13,606"
27-Mar-2023,EQ,481.0,487.4,476.25,482.4,476.25,479.6,481.03,583.75,403.55,"329,426","158,463,810.15","9,187"
24-Mar-2023,EQ,493.75,494.65,480.6,491.25,482.0,482.4,488.32,583.75,403.55,"311,464","152,094,180.50","9,715"
23-Mar-2023,EQ,495.35,506.65,489.3,495.3,492.4,491.25,496.15,583.75,403.55,"531,491","263,698,700.30","15,797"
22-Mar-2023,EQ,504.8,504.8,494.45,501.15,495.25,495.3,498.19,583.75,403.55,"252,212","125,650,151.25","9,009"
21-Mar-2023,EQ,499.4,510.0,495.0,495.2,502.9,501.15,503.88,583.75,403.55,"1,378,566","694,626,715.25","33,993"
20-Mar-2023,EQ,507.8,507.8,494.2,502.2,495.0,495.2,498.24,583.75,403.55,"470,868","234,607,453.45","16,392"
17-Mar-2023,EQ,499.2,507.8,498.0,496.8,503.0,502.2,503.16,583.75,403.55,"619,544","311,732,231.05","17,366"
16-Mar-2023,EQ,491.6,498.95,484.05,491.65,495.1,496.8,492.96,583.75,403.55,"441,404","217,593,062.15","14,954"
15-Mar-2023,EQ,502.8,504.6,488.35,500.3,490.0,491.65,494.67,583.75,403.55,"655,736","324,371,464.40","18,212"
14-Mar-2023,EQ,507.6,511.45,498.0,507.6,499.0,500.3,503.95,583.75,403.55,"747,379","376,644,677.60","24,277"
13-Mar-2023,EQ,511.5,513.0,505.05,510.2,507.0,507.6,509.09,583.75,403.55,"449,389","228,779,321.70","14,373"
10-Mar-2023,EQ,508.6,514.0,501.15,514.0,511.0,510.2,508.71,583.75,403.55,"603,399","306,953,835.10","21,787"
09-Mar-2023,EQ,507.5,516.4,506.0,507.2,512.9,514.0,512.62,583.75,403.55,"735,030","376,792,209.25","18,951"
08-Mar-2023,EQ,512.5,513.2,505.0,512.65,507.45,507.2,508.04,583.75,403.55,"828,522","420,925,194.40","32,906"
06-Mar-2023,EQ,510.85,526.0,508.3,509.35,512.0,512.65,517.49,583.75,403.55,"2,145,359","1,110,197,977.95","42,907"
03-Mar-2023,EQ,513.0,513.7,505.45,511.2,508.25,509.35,509.5,594.5,403.55,"680,634","346,782,589.15","22,749"
02-Mar-2023,EQ,513.8,518.0,510.0,511.2,511.3,511.2,513.43,594.5,403.55,"663,679","340,754,960.15","12,765"
01-Mar-2023,EQ,506.25,513.1,506.25,504.9,513.0,511.2,510.22,594.5,403.55,"1,153,664","588,624,135.90","18,907"
