Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"3,643.00","3,720.00","3,580.10","3,640.55","3,710.00","3,701.05","3,669.04","3,950.00","1,720.10","2,753,674","10,103,339,577.20","138,224"
23-Jun-2023,EQ,"3,779.80","3,860.00","3,621.00","3,760.45","3,638.00","3,640.55","3,730.70","3,950.00","1,700.00","4,286,484","15,991,599,485.90","237,440"
22-Jun-2023,EQ,"3,822.00","3,828.95","3,746.45","3,820.35","3,770.20","3,760.45","3,776.23","3,950.00","1,700.00","1,832,198","6,918,791,922.55","90,385"
21-Jun-2023,EQ,"3,879.30","3,890.35","3,760.00","3,848.70","3,815.00","3,820.35","3,828.70","3,950.00","1,700.00","1,655,049","6,336,681,581.20","100,515"
20-Jun-2023,EQ,"3,899.00","3,899.00","3,800.00","3,893.40","3,862.00","3,848.70","3,833.12","3,950.00","1,700.00","1,946,931","7,462,827,554.35","102,880"
19-Jun-2023,EQ,"3,899.00","3,950.00","3,865.00","3,844.70","3,891.00","3,893.40","3,903.43","3,950.00","1,700.00","2,554,646","9,971,869,438.35","138,670"
16-Jun-2023,EQ,"3,723.00","3,886.00","3,718.35","3,707.60","3,841.45","3,844.70","3,820.03","3,886.00","1,700.00","3,119,677","11,917,247,551.20","159,114"
15-Jun-2023,EQ,"3,730.20","3,747.20","3,688.15","3,715.60","3,714.00","3,707.60","3,713.27","3,800.00","1,700.00","1,060,937","3,939,548,494.25","63,605"
14-Jun-2023,EQ,"3,653.00","3,739.00","3,645.10","3,639.20","3,723.00","3,715.60","3,709.60","3,800.00","1,700.00","1,912,934","7,096,221,172.30","110,638"
13-Jun-2023,EQ,"3,699.00","3,699.00","3,628.05","3,686.05","3,649.80","3,639.20","3,655.07","3,800.00","1,700.00","1,617,927","5,913,630,602.25","93,196"
12-Jun-2023,EQ,"3,755.00","3,800.00","3,647.10","3,732.90","3,683.00","3,686.05","3,720.57","3,800.00","1,700.00","3,944,449","14,675,588,364.95","206,924"
09-Jun-2023,EQ,"3,609.00","3,785.00","3,530.25","3,527.40","3,743.45","3,732.90","3,666.92","3,785.00","1,700.00","5,892,337","21,606,741,172.25","274,978"
08-Jun-2023,EQ,"3,518.05","3,547.55","3,477.00","3,488.05","3,536.00","3,527.40","3,515.30","3,547.55","1,700.00","1,655,383","5,819,163,801.95","92,774"
07-Jun-2023,EQ,"3,470.00","3,525.00","3,457.20","3,413.10","3,496.00","3,488.05","3,491.47","3,525.00","1,700.00","2,953,913","10,313,507,804.50","150,246"
06-Jun-2023,EQ,"3,292.00","3,440.00","3,289.00","3,283.50","3,418.45","3,413.10","3,369.84","3,440.00","1,700.00","2,317,423","7,809,334,903.80","136,506"
05-Jun-2023,EQ,"3,183.75","3,326.00","3,175.30","3,167.95","3,289.00","3,283.50","3,276.53","3,326.00","1,700.00","2,392,484","7,839,054,107.45","121,305"
02-Jun-2023,EQ,"3,094.00","3,174.90","3,084.10","3,080.75","3,162.00","3,167.95","3,136.50","3,185.00","1,700.00","1,346,060","4,221,911,955.95","74,734"
01-Jun-2023,EQ,"3,080.00","3,098.00","3,060.50","3,117.05","3,072.30","3,080.75","3,078.07","3,185.00","1,700.00","1,085,016","3,339,758,956.35","56,618"
31-May-2023,EQ,"3,138.00","3,185.00","3,033.00","3,102.15","3,125.00","3,117.05","3,111.58","3,185.00","1,700.00","11,754,368","36,574,659,970.50","174,922"
30-May-2023,EQ,"3,028.45","3,116.15","3,015.00","3,013.70","3,108.95","3,102.15","3,081.11","3,168.80","1,700.00","2,196,743","6,768,407,877.45","90,756"
29-May-2023,EQ,"3,042.00","3,053.80","2,998.05","3,020.20","3,020.00","3,013.70","3,020.75","3,168.80","1,700.00","1,008,328","3,045,903,799.70","39,287"
26-May-2023,EQ,"3,029.80","3,069.90","2,995.55","3,014.70","3,026.00","3,020.20","3,025.30","3,168.80","1,700.00","1,202,859","3,639,012,755.85","67,731"
25-May-2023,EQ,"3,012.45","3,030.90","2,979.70","3,001.25","3,024.95","3,014.70","3,008.07","3,168.80","1,700.00","967,771","2,911,122,215.45","56,932"
24-May-2023,EQ,"3,046.40","3,069.90","2,997.00","3,046.40","2,999.35","3,001.25","3,028.69","3,168.80","1,700.00","1,040,981","3,152,804,060.05","65,707"
23-May-2023,EQ,"3,104.00","3,128.55","3,042.00","3,099.30","3,054.00","3,046.40","3,075.10","3,168.80","1,700.00","748,943","2,303,075,512.70","44,068"
22-May-2023,EQ,"3,084.90","3,107.00","3,048.60","3,073.30","3,094.00","3,099.30","3,087.48","3,168.80","1,700.00","595,277","1,837,905,829.70","32,625"
19-May-2023,EQ,"3,110.00","3,110.00","3,045.00","3,093.90","3,071.90","3,073.30","3,073.15","3,168.80","1,521.85","607,639","1,867,364,369.70","36,289"
18-May-2023,EQ,"3,145.00","3,149.60","3,067.00","3,133.90","3,094.00","3,093.90","3,099.73","3,168.80","1,521.85","893,471","2,769,515,609.15","53,082"
17-May-2023,EQ,"3,109.80","3,168.80","3,101.70","3,096.75","3,125.05","3,133.90","3,131.57","3,168.80","1,521.85","1,291,072","4,043,077,955.40","74,577"
16-May-2023,EQ,"3,038.70","3,123.10","3,033.05","3,024.35","3,100.00","3,096.75","3,089.25","3,123.10","1,521.85","1,533,333","4,736,854,137.20","88,622"
