Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,279.95","1,295.25","1,276.00","1,284.95","1,290.25","1,290.40","1,284.92","1,405.55","1,024.50","1,013,995","1,302,899,764.35","30,438"
23-Jun-2023,EQ,"1,322.45","1,326.85","1,278.20","1,325.40","1,284.30","1,284.95","1,294.06","1,405.55","1,024.50","1,287,346","1,665,899,088.00","46,621"
22-Jun-2023,EQ,"1,341.00","1,348.40","1,321.20","1,339.40","1,324.15","1,325.40","1,333.09","1,405.55","1,024.50","377,770","503,602,774.05","22,956"
21-Jun-2023,EQ,"1,350.00","1,363.20","1,335.00","1,346.80","1,338.00","1,339.40","1,348.33","1,405.55","1,024.50","717,308","967,165,655.40","36,357"
20-Jun-2023,EQ,"1,336.00","1,349.90","1,327.95","1,336.95","1,348.00","1,346.80","1,340.08","1,405.55","1,024.50","594,117","796,165,986.55","21,144"
19-Jun-2023,EQ,"1,354.00","1,356.85","1,332.90","1,350.85","1,335.90","1,336.95","1,339.67","1,405.55","1,024.50","573,868","768,793,520.25","21,557"
16-Jun-2023,EQ,"1,358.00","1,369.00","1,348.65","1,355.30","1,355.55","1,350.85","1,354.48","1,405.55","1,024.50","844,325","1,143,620,388.35","24,855"
15-Jun-2023,EQ,"1,361.70","1,373.70","1,353.25","1,360.95","1,355.00","1,355.30","1,361.13","1,405.55","1,024.50","414,903","564,735,824.40","17,166"
14-Jun-2023,EQ,"1,353.80","1,366.55","1,345.00","1,350.30","1,363.00","1,360.95","1,355.78","1,405.55","1,024.50","643,835","872,895,831.10","28,442"
13-Jun-2023,EQ,"1,342.10","1,360.00","1,329.00","1,346.55","1,354.00","1,350.30","1,344.78","1,405.55","1,024.50","1,257,080","1,690,494,139.30","38,413"
12-Jun-2023,EQ,"1,346.50","1,360.55","1,336.15","1,345.85","1,347.00","1,346.55","1,350.73","1,405.55","1,024.50","596,601","805,844,052.45","36,249"
09-Jun-2023,EQ,"1,356.00","1,364.80","1,343.40","1,355.45","1,344.00","1,345.85","1,351.04","1,405.55","1,024.50","659,862","891,498,352.80","31,246"
08-Jun-2023,EQ,"1,345.00","1,367.05","1,341.00","1,345.85","1,356.00","1,355.45","1,355.72","1,405.55","1,024.50","810,757","1,099,161,832.05","31,759"
07-Jun-2023,EQ,"1,336.30","1,357.00","1,336.30","1,334.60","1,347.00","1,345.85","1,348.63","1,405.55","1,024.50","785,794","1,059,745,484.65","30,360"
06-Jun-2023,EQ,"1,349.90","1,352.90","1,321.90","1,347.20","1,334.05","1,334.60","1,336.19","1,405.55","1,024.50","796,420","1,064,170,168.35","32,533"
05-Jun-2023,EQ,"1,331.00","1,353.85","1,327.00","1,331.45","1,346.00","1,347.20","1,340.20","1,405.55","1,024.50","953,995","1,278,543,926.70","40,098"
02-Jun-2023,EQ,"1,334.00","1,342.35","1,326.25","1,331.90","1,330.00","1,331.45","1,335.64","1,405.55","1,024.50","944,335","1,261,287,666.05","30,689"
01-Jun-2023,EQ,"1,310.90","1,359.90","1,310.40","1,307.95","1,331.00","1,331.90","1,340.82","1,405.55","1,024.50","1,247,361","1,672,489,455.00","51,731"
31-May-2023,EQ,"1,283.50","1,318.25","1,280.05","1,288.35","1,310.00","1,307.95","1,307.97","1,405.55","1,024.50","2,068,480","2,705,509,914.10","57,476"
30-May-2023,EQ,"1,297.60","1,302.00","1,285.55","1,297.60","1,288.00","1,288.35","1,290.26","1,405.55","1,024.50","408,031","526,465,235.75","18,683"
29-May-2023,EQ,"1,294.55","1,300.00","1,284.00","1,289.15","1,299.90","1,297.60","1,294.62","1,405.55","1,024.50","319,481","413,607,532.60","15,670"
26-May-2023,EQ,"1,278.40","1,292.40","1,275.00","1,278.40","1,289.65","1,289.15","1,287.71","1,405.55","1,024.50","390,311","502,607,309.25","22,581"
25-May-2023,EQ,"1,274.00","1,283.00","1,267.00","1,273.35","1,282.00","1,278.40","1,276.49","1,405.55","1,024.50","434,611","554,778,301.45","25,923"
24-May-2023,EQ,"1,249.00","1,275.95","1,242.25","1,249.75","1,273.80","1,273.35","1,266.88","1,405.55","1,024.50","561,655","711,549,212.05","19,668"
23-May-2023,EQ,"1,264.50","1,265.00","1,246.55","1,263.75","1,249.25","1,249.75","1,251.64","1,405.55","1,024.50","520,570","651,564,100.95","33,975"
22-May-2023,EQ,"1,259.55","1,277.40","1,257.00","1,259.55","1,263.00","1,263.75","1,265.93","1,405.55","1,024.50","444,646","562,889,183.00","15,709"
19-May-2023,EQ,"1,265.00","1,266.50","1,251.90","1,264.40","1,259.95","1,259.55","1,259.88","1,405.55","1,024.50","314,141","395,778,963.50","11,191"
18-May-2023,EQ,"1,274.25","1,276.75","1,261.05","1,269.20","1,263.00","1,264.40","1,267.55","1,405.55","1,024.50","261,779","331,817,786.15","16,149"
