Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"2,720.00","2,728.70","2,703.20","2,723.15","2,723.95","2,720.30","2,716.83","2,867.00","2,133.10","4,168,966","11,326,385,719.15","126,679"
23-Jun-2023,EQ,"2,701.15","2,742.70","2,700.55","2,715.90","2,725.50","2,723.15","2,727.86","2,867.00","2,062.10","3,089,041","8,426,464,755.35","150,667"
22-Jun-2023,EQ,"2,714.20","2,738.95","2,708.55","2,702.00","2,717.40","2,715.90","2,719.81","2,867.00","2,062.10","6,037,525","16,420,927,587.60","178,797"
21-Jun-2023,EQ,"2,670.10","2,704.90","2,665.00","2,658.55","2,703.00","2,702.00","2,689.57","2,867.00","2,062.10","4,486,501","12,066,768,028.80","151,303"
20-Jun-2023,EQ,"2,653.95","2,663.00","2,631.40","2,654.80","2,657.90","2,658.55","2,649.28","2,867.00","2,062.10","5,495,069","14,557,973,658.00","213,400"
19-Jun-2023,EQ,"2,664.05","2,669.00","2,647.15","2,650.45","2,655.45","2,654.80","2,660.03","2,867.00","2,062.10","5,187,085","13,797,810,036.50","126,625"
16-Jun-2023,EQ,"2,630.00","2,664.00","2,626.05","2,620.15","2,650.95","2,650.45","2,640.16","2,867.00","2,026.00","11,656,470","30,774,979,210.80","141,657"
15-Jun-2023,EQ,"2,647.75","2,652.15","2,618.00","2,645.85","2,619.65","2,620.15","2,633.76","2,867.00","2,026.00","3,498,981","9,215,486,227.55","133,342"
14-Jun-2023,EQ,"2,651.00","2,656.00","2,640.80","2,645.90","2,646.00","2,645.85","2,650.16","2,867.00","2,026.00","4,681,618","12,407,044,031.95","104,610"
13-Jun-2023,EQ,"2,636.75","2,654.80","2,634.90","2,640.80","2,653.00","2,645.90","2,644.89","2,867.00","2,026.00","5,516,136","14,589,584,622.50","204,702"
12-Jun-2023,EQ,"2,660.00","2,664.00","2,638.80","2,652.90","2,642.75","2,640.80","2,644.79","2,867.00","2,026.00","3,275,459","8,662,895,016.30","120,137"
09-Jun-2023,EQ,"2,664.00","2,667.90","2,646.85","2,653.80","2,652.35","2,652.90","2,659.01","2,867.00","2,026.00","4,348,281","11,562,120,240.15","105,203"
08-Jun-2023,EQ,"2,636.10","2,678.00","2,636.10","2,648.55","2,655.00","2,653.80","2,663.12","2,867.00","2,026.00","2,072,748","5,519,984,592.25","67,668"
07-Jun-2023,EQ,"2,642.75","2,655.00","2,631.60","2,635.35","2,654.00","2,648.55","2,642.27","2,867.00","2,026.00","2,694,134","7,118,630,354.70","111,118"
06-Jun-2023,EQ,"2,645.95","2,649.00","2,624.85","2,644.80","2,641.60","2,635.35","2,634.68","2,867.00","2,026.00","4,846,536","12,769,047,387.90","93,140"
05-Jun-2023,EQ,"2,658.00","2,661.90","2,642.00","2,645.90","2,644.00","2,644.80","2,653.04","2,867.00","2,026.00","4,714,971","12,508,983,160.75","92,945"
02-Jun-2023,EQ,"2,651.50","2,655.00","2,634.55","2,646.70","2,641.85","2,645.90","2,644.61","2,867.00","2,026.00","4,065,864","10,752,611,434.00","149,323"
01-Jun-2023,EQ,"2,670.00","2,670.00","2,638.80","2,640.40","2,645.15","2,646.70","2,657.69","2,867.00","2,026.00","3,666,667","9,744,871,692.55","133,117"
31-May-2023,EQ,"2,678.00","2,685.40","2,637.10","2,693.35","2,644.70","2,640.40","2,643.97","2,867.00","2,026.00","17,183,308","45,432,117,867.75","212,195"
30-May-2023,EQ,"2,685.20","2,702.90","2,672.60","2,690.55","2,701.00","2,693.35","2,684.80","2,867.00","2,026.00","4,054,695","10,886,037,470.05","131,169"
29-May-2023,EQ,"2,682.00","2,700.00","2,674.60","2,650.60","2,690.00","2,690.55","2,692.38","2,867.00","2,026.00","3,030,616","8,159,581,763.30","154,903"
26-May-2023,EQ,"2,643.60","2,657.95","2,631.05","2,647.40","2,651.70","2,650.60","2,643.96","2,867.00","2,026.00","6,244,230","16,509,479,574.30","160,840"
25-May-2023,EQ,"2,664.80","2,669.95","2,633.60","2,671.75","2,652.10","2,647.40","2,644.76","2,867.00","2,026.00","4,693,122","12,412,183,856.40","157,468"
24-May-2023,EQ,"2,687.05","2,704.65","2,665.00","2,705.85","2,673.00","2,671.75","2,685.73","2,867.00","2,026.00","2,687,610","7,218,198,634.45","98,510"
23-May-2023,EQ,"2,717.00","2,718.65","2,698.35","2,704.75","2,700.50","2,705.85","2,707.72","2,867.00","2,026.00","4,402,201","11,919,945,403.95","158,713"
22-May-2023,EQ,"2,709.50","2,720.95","2,693.10","2,710.95","2,701.00","2,704.75","2,705.58","2,867.00","2,026.00","1,933,631","5,231,595,080.00","103,394"
19-May-2023,EQ,"2,731.70","2,731.70","2,693.60","2,716.00","2,711.00","2,710.95","2,707.46","2,867.00","2,026.00","2,303,627","6,236,988,189.35","91,126"
18-May-2023,EQ,"2,715.40","2,732.35","2,707.10","2,706.15","2,716.00","2,716.00","2,716.60","2,867.00","2,026.00","2,144,878","5,826,785,925.50","130,582"
