Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"2,000.00","2,019.95","1,995.10","2,016.10","2,007.00","2,006.50","2,003.39","2,314.65","1,589.50","541,577","1,084,988,032.95","28,370"
23-Jun-2023,EQ,"2,025.00","2,025.95","1,995.00","2,017.95","2,010.00","2,016.10","2,011.23","2,314.65","1,589.50","1,661,129","3,340,905,251.90","79,989"
22-Jun-2023,EQ,"2,060.00","2,063.80","2,000.70","2,048.50","2,015.00","2,017.95","2,020.15","2,314.65","1,589.50","1,477,183","2,984,132,972.40","87,076"
21-Jun-2023,EQ,"2,121.15","2,125.50","2,037.45","2,104.90","2,051.00","2,048.50","2,072.02","2,314.65","1,589.50","2,133,954","4,421,600,608.75","109,311"
20-Jun-2023,EQ,"2,035.00","2,127.70","1,986.10","1,892.45","2,108.05","2,104.90","2,043.38","2,314.65","1,589.50","6,587,756","13,461,279,181.80","211,410"
19-Jun-2023,EQ,"1,937.60","1,937.60","1,885.55","1,918.20","1,894.00","1,892.45","1,905.05","2,314.65","1,589.50","737,309","1,404,607,636.30","32,474"
16-Jun-2023,EQ,"1,924.95","1,954.45","1,901.05","1,909.80","1,913.90","1,918.20","1,929.98","2,314.65","1,589.50","725,334","1,399,881,237.75","42,892"
15-Jun-2023,EQ,"1,941.10","1,965.80","1,901.30","1,933.85","1,912.00","1,909.80","1,929.21","2,314.65","1,589.50","568,422","1,096,604,666.40","31,966"
14-Jun-2023,EQ,"1,988.90","1,988.90","1,903.05","1,976.20","1,934.50","1,933.85","1,923.91","2,314.65","1,589.50","1,061,838","2,042,879,645.95","49,391"
13-Jun-2023,EQ,"1,961.00","1,977.80","1,954.25","1,944.90","1,975.45","1,976.20","1,971.12","2,314.65","1,589.50","264,995","522,337,489.55","24,449"
12-Jun-2023,EQ,"1,932.55","1,950.30","1,917.55","1,934.25","1,950.00","1,944.90","1,936.58","2,314.65","1,589.50","242,339","469,307,872.45","17,529"
09-Jun-2023,EQ,"1,944.95","1,944.95","1,906.75","1,993.65","1,941.50","1,934.25","1,931.67","2,314.65","1,589.50","464,888","898,011,204.40","19,977"
08-Jun-2023,EQ,"2,000.00","2,010.00","1,985.10","1,995.40","1,991.45","1,993.65","1,996.44","2,314.65","1,589.50","519,294","1,036,739,510.00","23,280"
07-Jun-2023,EQ,"1,980.00","1,999.45","1,970.00","1,971.90","1,992.00","1,995.40","1,982.71","2,314.65","1,589.50","325,116","644,611,212.65","19,626"
06-Jun-2023,EQ,"1,967.00","1,976.60","1,958.00","1,963.10","1,974.00","1,971.90","1,967.65","2,314.65","1,589.50","160,999","316,789,585.25","13,981"
05-Jun-2023,EQ,"1,974.75","1,977.90","1,953.00","1,964.90","1,964.00","1,963.10","1,961.00","2,314.65","1,589.50","500,466","981,415,672.80","16,264"
02-Jun-2023,EQ,"1,954.95","1,968.00","1,930.05","1,950.00","1,965.00","1,964.90","1,951.25","2,314.65","1,589.50","322,020","628,342,902.05","18,392"
01-Jun-2023,EQ,"1,960.00","1,982.70","1,945.05","1,963.05","1,947.00","1,950.00","1,964.29","2,314.65","1,589.50","273,417","537,069,829.75","15,645"
31-May-2023,EQ,"1,960.00","1,970.00","1,936.15","1,951.10","1,955.30","1,963.05","1,956.05","2,314.65","1,589.50","463,685","906,993,124.70","26,398"
30-May-2023,EQ,"1,882.80","1,958.00","1,879.95","1,873.75","1,953.20","1,951.10","1,927.42","2,314.65","1,589.50","1,393,880","2,686,593,470.15","67,157"
29-May-2023,EQ,"1,850.05","1,892.00","1,850.05","1,855.75","1,878.00","1,873.75","1,873.88","2,314.65","1,589.50","697,864","1,307,716,273.65","36,296"
26-May-2023,EQ,"1,767.95","1,860.00","1,765.05","1,764.05","1,853.70","1,855.75","1,827.79","2,314.65","1,589.50","1,438,022","2,628,395,295.05","59,817"
25-May-2023,EQ,"1,742.00","1,772.10","1,740.00","1,741.95","1,765.00","1,764.05","1,759.65","2,314.65","1,589.50","236,988","417,016,334.75","14,127"
24-May-2023,EQ,"1,766.50","1,766.55","1,740.00","1,766.55","1,741.85","1,741.95","1,749.79","2,314.65","1,589.50","299,096","523,356,303.25","17,948"
23-May-2023,EQ,"1,776.80","1,787.00","1,763.00","1,787.15","1,767.00","1,766.55","1,772.46","2,314.65","1,589.50","438,777","777,715,440.80","29,022"
22-May-2023,EQ,"1,792.05","1,824.70","1,785.00","1,804.60","1,787.05","1,787.15","1,799.99","2,314.65","1,589.50","271,626","488,923,702.00","20,744"
19-May-2023,EQ,"1,807.95","1,812.85","1,744.00","1,813.60","1,809.00","1,804.60","1,775.72","2,314.65","1,589.50","779,425","1,384,042,483.10","48,063"
18-May-2023,EQ,"1,821.40","1,834.35","1,804.25","1,817.40","1,810.00","1,813.60","1,819.89","2,314.65","1,589.50","163,499","297,550,065.40","12,453"
17-May-2023,EQ,"1,844.00","1,847.95","1,808.25","1,841.50","1,819.90","1,817.40","1,828.30","2,314.65","1,589.50","197,208","360,556,289.75","13,897"
16-May-2023,EQ,"1,845.00","1,860.00","1,839.00","1,842.55","1,840.55","1,841.50","1,851.42","2,314.65","1,589.50","207,708","384,555,419.00","15,051"
