Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,114.0,116.25,113.0,114.05,116.2,115.95,114.82,132.35,83.3,"2,617,876","300,577,560.55","10,940"
23-Jun-2023,EQ,115.0,116.0,112.25,115.25,114.2,114.05,114.42,132.35,81.2,"4,736,475","541,938,974.70","18,873"
22-Jun-2023,EQ,116.5,117.8,114.8,115.8,115.2,115.25,116.35,132.35,81.2,"4,501,149","523,698,711.35","17,528"
21-Jun-2023,EQ,117.55,117.8,114.85,117.1,115.75,115.8,116.05,132.35,81.2,"3,086,853","358,235,567.25","13,827"
20-Jun-2023,EQ,114.4,119.25,113.95,114.5,117.2,117.1,117.29,132.35,81.2,"9,544,830","1,119,519,469.80","43,352"
19-Jun-2023,EQ,115.8,116.1,113.9,115.2,114.4,114.5,114.97,132.35,81.2,"2,102,578","241,742,924.15","11,157"
16-Jun-2023,EQ,114.9,116.2,114.05,114.25,115.1,115.2,115.17,132.35,81.2,"3,762,955","433,384,241.90","13,306"
15-Jun-2023,EQ,116.0,116.25,113.65,115.4,114.15,114.25,115.2,132.35,81.2,"3,415,430","393,441,660.40","18,067"
14-Jun-2023,EQ,114.45,116.3,114.1,113.35,115.6,115.4,115.47,132.35,81.2,"5,875,926","678,500,885.45","26,794"
13-Jun-2023,EQ,113.95,114.65,112.9,113.4,113.75,113.35,113.6,132.35,81.2,"3,153,024","358,168,978.30","10,945"
12-Jun-2023,EQ,113.0,114.15,112.25,112.75,113.4,113.4,113.29,132.35,81.2,"1,647,861","186,692,296.25","9,568"
09-Jun-2023,EQ,113.6,114.25,112.4,113.45,112.65,112.75,113.24,132.35,81.2,"1,604,843","181,729,011.45","8,654"
08-Jun-2023,EQ,115.7,116.15,113.2,115.15,113.65,113.45,114.5,132.35,81.2,"2,988,963","342,246,369.25","16,758"
07-Jun-2023,EQ,113.85,115.75,113.4,113.65,115.2,115.15,114.66,132.35,81.2,"2,899,993","332,506,039.25","13,033"
06-Jun-2023,EQ,114.2,115.6,112.85,114.35,113.55,113.65,114.33,132.35,81.2,"5,189,783","593,347,522.95","18,824"
05-Jun-2023,EQ,114.0,115.35,113.75,113.8,114.25,114.35,114.45,132.35,81.2,"3,137,680","359,118,587.85","16,125"
02-Jun-2023,EQ,112.35,114.65,112.1,111.6,113.6,113.8,113.62,132.35,81.2,"4,414,157","501,533,614.00","19,970"
01-Jun-2023,EQ,114.75,114.75,111.2,113.25,111.95,111.6,112.41,132.35,81.2,"3,534,039","397,259,374.80","18,967"
31-May-2023,EQ,111.0,113.5,109.5,111.1,113.0,113.25,111.9,132.35,81.2,"10,170,176","1,138,000,789.45","35,114"
30-May-2023,EQ,109.2,112.85,108.15,108.9,111.6,111.1,111.06,132.35,81.2,"10,315,826","1,145,687,163.45","39,285"
29-May-2023,EQ,107.0,109.4,106.1,106.9,109.05,108.9,108.26,132.35,81.2,"5,489,963","594,335,350.90","25,025"
26-May-2023,EQ,103.0,107.1,102.95,102.85,107.0,106.9,105.98,132.35,81.2,"7,127,234","755,328,498.25","29,033"
25-May-2023,EQ,102.0,103.0,101.05,102.2,102.8,102.85,101.88,132.35,81.2,"2,309,949","235,345,755.20","11,678"
24-May-2023,EQ,102.4,102.9,101.6,102.9,102.0,102.2,102.28,132.35,81.2,"2,038,851","208,526,261.15","15,568"
23-May-2023,EQ,103.0,104.4,102.5,103.7,102.9,102.9,103.53,132.35,81.2,"2,895,692","299,787,658.35","13,173"
22-May-2023,EQ,103.8,104.0,102.15,101.6,103.45,103.7,103.04,132.35,81.2,"3,940,408","406,024,408.80","18,761"
19-May-2023,EQ,102.7,102.7,100.5,101.9,102.0,101.6,101.22,132.35,81.2,"2,542,387","257,345,732.90","13,415"
18-May-2023,EQ,103.1,104.0,101.7,102.65,102.0,101.9,102.86,132.35,81.2,"1,842,580","189,531,773.85","10,100"
17-May-2023,EQ,104.0,104.3,101.6,104.35,102.45,102.65,102.8,132.35,81.2,"2,892,348","297,347,695.40","14,279"
16-May-2023,EQ,104.5,105.55,104.0,104.45,104.4,104.35,104.65,132.35,81.2,"2,372,949","248,323,521.25","12,701"
15-May-2023,EQ,102.45,105.0,101.1,102.1,104.35,104.45,103.54,132.35,81.2,"3,731,816","386,402,288.10","15,034"
12-May-2023,EQ,104.75,104.75,102.0,105.1,102.25,102.1,102.92,132.35,81.2,"3,186,646","327,961,636.85","19,507"
11-May-2023,EQ,105.95,106.95,104.55,105.7,104.9,105.1,105.82,132.35,81.2,"3,483,081","368,564,307.50","14,711"
10-May-2023,EQ,105.75,106.45,104.4,105.75,105.95,105.7,105.43,132.35,81.2,"2,275,047","239,868,004.00","11,757"
09-May-2023,EQ,107.8,108.7,105.15,106.9,106.05,105.75,106.88,132.35,81.2,"2,011,030","214,948,267.60","10,896"
08-May-2023,EQ,105.2,107.35,104.75,104.65,107.1,106.9,106.31,132.35,81.2,"2,763,076","293,752,873.85","12,944"
