Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,269.4,272.7,266.45,269.45,272.25,271.15,270.25,279.5,200.05,"1,916,191","517,846,975.65","22,802"
23-Jun-2023,EQ,273.0,274.75,265.0,275.0,269.45,269.45,269.82,279.5,200.05,"6,014,578","1,622,870,750.15","68,432"
22-Jun-2023,EQ,272.8,276.0,270.6,274.0,275.6,275.0,274.24,279.5,200.05,"2,958,531","811,355,611.05","31,258"
21-Jun-2023,EQ,274.2,275.3,270.55,272.95,274.1,274.0,273.46,279.5,200.05,"2,804,544","766,937,469.45","32,873"
20-Jun-2023,EQ,273.0,273.5,268.7,272.75,273.0,272.95,271.75,279.5,200.05,"2,160,254","587,048,403.75","24,563"
19-Jun-2023,EQ,273.45,274.4,271.05,273.4,272.3,272.75,272.84,279.5,200.05,"881,452","240,491,625.60","16,901"
16-Jun-2023,EQ,274.0,275.0,271.0,274.0,273.9,273.4,273.3,279.5,200.05,"3,659,902","1,000,260,462.70","39,521"
15-Jun-2023,EQ,276.25,277.75,273.0,275.9,273.7,274.0,274.86,279.5,200.05,"1,888,308","519,029,382.05","33,211"
14-Jun-2023,EQ,273.5,279.5,273.5,274.35,275.7,275.9,277.0,279.5,200.05,"4,126,144","1,142,942,869.20","54,077"
13-Jun-2023,EQ,275.5,277.2,272.9,273.45,274.05,274.35,274.51,278.4,200.05,"2,430,467","667,199,255.70","26,654"
12-Jun-2023,EQ,263.0,274.95,262.95,262.2,273.95,273.45,269.95,278.4,200.05,"4,912,351","1,326,075,920.05","42,673"
09-Jun-2023,EQ,268.0,268.8,261.55,265.9,262.25,262.2,264.64,278.4,200.05,"2,090,433","553,215,131.80","28,397"
08-Jun-2023,EQ,272.5,272.5,265.0,276.65,266.6,265.9,268.46,278.4,200.05,"7,932,888","2,129,656,847.45","57,764"
07-Jun-2023,EQ,263.3,278.4,262.85,262.35,276.15,276.65,274.52,278.4,200.05,"13,628,304","3,741,222,675.45","93,060"
06-Jun-2023,EQ,256.95,263.25,256.6,256.5,262.85,262.35,260.29,269.0,200.05,"2,859,015","744,175,788.65","34,867"
05-Jun-2023,EQ,258.15,258.85,253.3,258.55,257.0,256.5,255.27,269.0,200.05,"2,728,973","696,634,078.25","29,931"
