Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,116.95,117.15,114.15,116.35,115.45,115.3,115.69,158.65,89.0,"8,526,314","986,422,648.70","28,695"
23-Jun-2023,EQ,114.95,117.5,113.6,114.55,116.1,116.35,115.65,158.65,89.0,"18,072,794","2,090,169,310.10","49,948"
22-Jun-2023,EQ,118.25,119.8,114.0,117.15,114.9,114.55,116.72,158.65,89.0,"27,164,607","3,170,767,469.20","75,765"
21-Jun-2023,EQ,114.6,117.85,114.2,114.05,117.7,117.15,116.1,158.65,89.0,"13,121,996","1,523,471,050.05","34,638"
20-Jun-2023,EQ,113.0,115.45,113.0,112.9,114.1,114.05,114.35,158.65,89.0,"9,650,033","1,103,488,639.25","22,996"
19-Jun-2023,EQ,113.5,114.3,112.05,112.95,112.65,112.9,113.29,158.65,89.0,"4,801,076","543,895,388.70","15,836"
16-Jun-2023,EQ,113.5,114.75,112.4,113.15,112.65,112.95,113.73,158.65,89.0,"5,083,525","578,151,848.05","17,785"
15-Jun-2023,EQ,113.5,114.5,112.65,113.15,113.5,113.15,113.45,158.65,89.0,"4,574,136","518,947,184.55","18,965"
14-Jun-2023,EQ,114.6,116.0,112.65,114.4,113.8,113.15,113.92,158.65,89.0,"6,194,906","705,733,140.85","20,721"
13-Jun-2023,EQ,109.95,115.0,109.6,109.35,114.45,114.4,113.26,158.65,89.0,"14,710,369","1,666,052,904.10","43,193"
12-Jun-2023,EQ,110.0,110.65,109.0,109.9,109.35,109.35,109.64,158.65,89.0,"3,876,152","424,989,821.50","16,776"
09-Jun-2023,EQ,112.1,112.4,109.5,111.55,109.65,109.9,110.8,158.65,89.0,"5,054,641","560,051,785.00","20,223"
08-Jun-2023,EQ,112.9,113.95,111.25,112.5,111.6,111.55,112.5,158.65,89.0,"5,270,663","592,941,627.20","18,607"
07-Jun-2023,EQ,113.4,113.95,112.05,112.9,112.4,112.5,113.0,158.65,89.0,"5,021,602","567,448,097.05","19,103"
06-Jun-2023,EQ,114.25,114.45,112.6,114.2,113.0,112.9,113.17,158.65,89.0,"4,715,837","533,702,412.70","18,002"
05-Jun-2023,EQ,114.15,115.5,113.0,113.55,114.15,114.2,114.3,158.65,89.0,"8,225,136","940,096,658.05","26,479"
02-Jun-2023,EQ,115.2,116.2,112.75,114.6,113.55,113.55,113.97,158.65,89.0,"7,511,811","856,117,645.15","27,596"
01-Jun-2023,EQ,115.7,117.5,114.4,115.15,114.5,114.6,115.64,158.65,89.0,"7,587,140","877,353,086.60","24,119"
31-May-2023,EQ,115.4,115.55,113.4,115.4,115.0,115.15,114.46,158.65,89.0,"7,852,031","898,762,794.65","26,049"
30-May-2023,EQ,117.9,118.35,115.15,117.45,115.45,115.4,116.43,158.65,89.0,"7,343,120","854,944,258.10","29,464"
29-May-2023,EQ,114.35,121.75,113.55,113.55,117.65,117.45,118.57,158.65,89.0,"28,877,604","3,424,087,858.50","95,350"
26-May-2023,EQ,111.95,116.2,111.7,111.55,113.4,113.55,113.77,158.65,89.0,"18,588,863","2,114,878,146.20","53,153"
25-May-2023,EQ,111.5,113.5,111.0,112.0,111.6,111.55,111.7,158.65,89.0,"10,043,813","1,121,890,181.95","21,813"
24-May-2023,EQ,111.5,113.5,110.55,111.6,112.2,112.0,112.3,158.65,89.0,"7,656,792","859,856,500.00","27,897"
23-May-2023,EQ,113.0,113.0,108.05,113.6,111.45,111.6,111.52,158.65,89.0,"8,226,947","917,452,725.40","27,973"
22-May-2023,EQ,112.45,115.0,111.65,111.95,113.4,113.6,113.29,158.65,89.0,"9,442,935","1,069,835,384.55","32,855"
19-May-2023,EQ,111.9,113.65,110.25,111.45,112.15,111.95,111.8,158.65,89.0,"7,026,456","785,571,431.60","27,074"
18-May-2023,EQ,113.15,115.25,111.0,112.65,111.3,111.45,113.36,158.65,89.0,"7,626,578","864,512,182.70","28,805"
17-May-2023,EQ,113.4,113.4,111.15,113.5,112.65,112.65,112.27,158.65,89.0,"5,894,112","661,737,308.25","21,827"
16-May-2023,EQ,115.0,115.9,113.15,114.55,113.5,113.5,114.71,158.65,89.0,"6,959,632","798,306,527.50","24,575"
15-May-2023,EQ,112.4,115.3,109.9,111.85,114.6,114.55,113.53,158.65,89.0,"7,937,954","901,187,632.20","30,427"
12-May-2023,EQ,113.75,114.15,111.55,114.1,111.75,111.85,112.54,158.65,89.0,"5,297,632","596,218,554.45","21,984"
11-May-2023,EQ,115.65,115.95,113.05,115.05,113.9,114.1,114.3,158.65,89.0,"5,363,860","613,085,852.10","21,521"
10-May-2023,EQ,110.25,115.7,109.9,110.3,114.9,115.05,113.7,158.65,89.0,"15,228,607","1,731,443,114.65","52,883"
09-May-2023,EQ,114.45,115.9,109.35,114.0,110.2,110.3,112.6,158.65,89.0,"11,308,180","1,273,253,728.05","42,223"
08-May-2023,EQ,111.9,114.7,111.45,111.35,114.2,114.0,113.48,158.65,89.0,"6,428,134","729,495,923.20","23,744"
05-May-2023,EQ,116.3,116.4,111.0,116.2,111.4,111.35,112.9,158.65,89.0,"8,386,653","946,841,426.50","31,247"
04-May-2023,EQ,114.6,116.9,114.35,114.05,116.0,116.2,115.96,158.65,89.0,"7,417,226","860,096,605.30","24,937"
03-May-2023,EQ,112.7,117.25,110.95,112.95,114.1,114.05,114.82,158.65,89.0,"14,419,754","1,655,640,013.65","47,615"
02-May-2023,EQ,108.6,114.55,108.05,107.65,113.1,112.95,112.88,158.65,89.0,"15,784,934","1,781,840,027.95","52,064"
