Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,927.1,931.8,923.2,923.5,927.0,927.45,926.74,958.85,694.1,"11,749,040","10,888,355,748.15","195,374"
23-Jun-2023,EQ,926.05,931.9,919.0,925.75,923.9,923.5,924.42,958.85,677.6,"8,767,733","8,105,050,233.05","155,655"
22-Jun-2023,EQ,924.4,935.55,920.7,924.7,925.7,925.75,930.42,958.85,677.6,"27,291,569","25,392,594,584.00","215,747"
21-Jun-2023,EQ,928.0,928.4,920.0,925.55,925.0,924.7,923.8,958.85,677.6,"9,210,553","8,508,710,895.75","157,330"
20-Jun-2023,EQ,920.95,928.55,914.8,923.15,928.2,925.55,919.93,958.85,677.6,"15,212,286","13,994,175,555.45","287,355"
19-Jun-2023,EQ,933.5,933.95,918.7,934.2,922.35,923.15,923.17,958.85,677.6,"19,351,375","17,864,588,448.55","282,056"
16-Jun-2023,EQ,929.3,937.75,927.0,926.6,934.05,934.2,932.02,958.85,669.95,"11,249,387","10,484,657,237.25","166,192"
15-Jun-2023,EQ,940.7,942.95,924.35,939.8,927.0,926.6,932.03,958.85,669.95,"19,366,819","18,050,535,655.75","196,189"
14-Jun-2023,EQ,946.05,946.95,936.25,943.55,939.15,939.8,938.69,958.85,669.95,"13,489,262","12,662,298,905.90","161,261"
13-Jun-2023,EQ,935.9,946.25,934.1,935.95,943.75,943.55,940.17,958.85,669.95,"13,528,776","12,719,334,878.30","184,244"
12-Jun-2023,EQ,938.0,943.5,933.3,938.05,936.7,935.95,938.6,958.85,669.95,"10,520,125","9,874,219,363.85","163,744"
09-Jun-2023,EQ,941.4,944.0,936.2,937.9,939.0,938.05,939.36,958.85,669.95,"12,253,128","11,510,047,267.80","160,590"
08-Jun-2023,EQ,936.6,950.5,935.2,940.2,938.95,937.9,943.61,958.85,669.95,"17,608,140","16,615,268,439.75","191,521"
07-Jun-2023,EQ,944.35,945.85,933.8,942.1,940.0,940.2,937.88,958.85,669.95,"16,486,469","15,462,369,201.45","201,193"
06-Jun-2023,EQ,946.5,947.8,938.1,946.75,942.6,942.1,941.11,958.85,669.95,"11,894,330","11,193,869,092.55","140,147"
05-Jun-2023,EQ,943.0,951.8,943.0,938.15,947.0,946.75,948.39,958.85,669.95,"10,751,684","10,196,745,923.25","124,104"
02-Jun-2023,EQ,943.0,944.65,935.05,936.1,936.6,938.15,939.61,958.85,669.95,"12,494,376","11,739,902,972.45","202,054"
01-Jun-2023,EQ,954.25,954.25,932.8,949.15,936.45,936.1,946.03,958.85,669.95,"21,650,700","20,482,235,167.70","199,559"
31-May-2023,EQ,949.5,952.0,940.5,949.95,951.3,949.15,946.37,958.85,669.95,"27,254,425","25,792,657,193.20","196,047"
30-May-2023,EQ,945.35,952.3,944.65,948.15,951.35,949.95,948.19,958.85,669.95,"18,483,624","17,525,924,428.00","165,705"
29-May-2023,EQ,953.85,957.6,946.8,950.7,948.15,948.15,951.73,958.85,669.95,"12,108,079","11,523,605,997.05","154,665"
26-May-2023,EQ,939.8,952.45,935.55,939.85,950.5,950.7,944.9,958.85,669.95,"10,957,182","10,353,399,956.05","116,316"
25-May-2023,EQ,937.0,941.6,932.95,940.65,939.4,939.85,937.68,958.85,669.95,"19,328,582","18,124,113,002.95","165,933"
24-May-2023,EQ,946.7,953.85,938.5,953.4,941.1,940.65,948.39,958.85,669.95,"18,049,620","17,118,111,862.45","156,440"
23-May-2023,EQ,952.0,958.85,945.0,950.35,951.0,953.4,954.55,958.85,669.95,"16,579,935","15,826,384,807.30","179,712"
22-May-2023,EQ,951.05,954.25,946.15,954.3,948.5,950.35,950.48,958.2,669.95,"15,509,525","14,741,519,452.50","174,326"
19-May-2023,EQ,951.45,956.0,941.6,946.5,954.0,954.3,948.41,958.2,669.95,"15,427,412","14,631,454,419.20","256,936"
18-May-2023,EQ,947.95,952.25,942.1,939.35,946.5,946.5,947.09,958.2,669.95,"21,550,141","20,409,847,199.75","209,338"
